element_type,osmid,geometry,nodes,building,name,architect,roof:colour,start_date,tourism,historic,layer,building:levels,amenity,healthcare,air_conditioning,cuisine,delivery,microbrewery,opening_hours,wheelchair,ways,type
way,237445911,"POLYGON ((118.7901403 32.0584324, 118.7901307 32.058188, 118.7902542 32.0581845, 118.7902555 32.0582175, 118.7906191 32.0582072, 118.7906176 32.0581688, 118.7907502 32.058165, 118.7907599 32.0584118, 118.7906337 32.0584153, 118.7906324 32.0583819, 118.7904792 32.0583862, 118.7904811 32.0584331, 118.7904207 32.0584348, 118.790419 32.058391, 118.7902663 32.0583953, 118.7902676 32.0584288, 118.7901403 32.0584324))","[2453408215, 2453408216, 2453408217, 2453408218, 2453408219, 2453408220, 2453408221, 2453408222, 2453408223, 2453408224, 2453408225, 2453408226, 2453408227, 2453408228, 2453408229, 2453408230, 2453408215]",yes,金陵院,,,,,,,,,,,,,,,,,
way,237488978,"POLYGON ((118.7867049 32.0573837, 118.7867049 32.0573155, 118.7859137 32.0573587, 118.7859217 32.057486, 118.7865064 32.0574587, 118.7865145 32.0577406, 118.7861122 32.0577633, 118.7861171 32.0578696, 118.7860639 32.0578724, 118.7860612 32.0578952, 118.7866486 32.0578679, 118.7866432 32.0578088, 118.7866111 32.0578088, 118.7866003 32.0574269, 118.7866567 32.0574223, 118.786654 32.057386, 118.7867049 32.0573837))","[2453816371, 2453816372, 2453816373, 2453816374, 2453816375, 2453816383, 2453816381, 2453816386, 2453816382, 2453816376, 2453816377, 2453816385, 2453816384, 2453816378, 2453816379, 2453816380, 2453816371]",yes,逸夫科技馆,,,,,,,,,,,,,,,,,
way,237488979,"POLYGON ((118.7860639 32.0578724, 118.7859378 32.0578747, 118.78594 32.0576401, 118.7858956 32.0576401, 118.7858963 32.0575557, 118.7862186 32.0575438, 118.7862275 32.0577565, 118.7861122 32.0577633, 118.7861171 32.0578696, 118.7860639 32.0578724))","[2453816382, 2453816387, 2453816388, 2453816397, 2453816393, 2453816394, 2453816391, 2453816381, 2453816386, 2453816382]",yes,,,,,,,,,,,,,,,,,,
way,292432278,"POLYGON ((118.7891373 32.0545872, 118.7891085 32.0544443, 118.7883973 32.0545473, 118.7884261 32.0546901, 118.7891373 32.0545872))","[2959880552, 2959880553, 2959880554, 2959880555, 2959880552]",apartments,沙塘园三舍,,,,,,,,,,,,,,,,,
way,404067941,"POLYGON ((118.7898644 32.0570808, 118.7898683 32.0571256, 118.7897121 32.0571353, 118.789706 32.0570652, 118.7895277 32.0570763, 118.7895337 32.0571455, 118.7893769 32.0571553, 118.7893737 32.057118, 118.7892915 32.0571231, 118.789295 32.057163, 118.7892324 32.0571669, 118.78924 32.0572547, 118.7895338 32.0572364, 118.7895354 32.0572554, 118.7897232 32.0572438, 118.7897215 32.0572242, 118.7900147 32.057206, 118.7900071 32.0571174, 118.7899459 32.0571212, 118.789942 32.057076, 118.7898644 32.0570808))","[4063413361, 4063413362, 4063413363, 2451219193, 2451219191, 4063413364, 4063413365, 2451473865, 4063413366, 4063413367, 4063413368, 4063413369, 4063413370, 4063413371, 4063413372, 4063413373, 4063413374, 4063413375, 4063413376, 4063413377, 4063413361]",yes,中大院,,,,,,,3,,,,,,,,,,
way,404071177,"POLYGON ((118.7891924 32.0545474, 118.7891629 32.0544042, 118.7900051 32.0542542, 118.7900346 32.0544019, 118.7891924 32.0545474))","[4063447231, 4063447232, 4063447233, 4063447234, 4063447231]",apartments,沙塘园一舍,,,,,,,,,,,,,,,,,
way,404071178,"POLYGON ((118.7890355 32.0552011, 118.7889698 32.0548589, 118.7890583 32.054843, 118.7890476 32.0548066, 118.7892112 32.0547816, 118.7891978 32.0547111, 118.7895036 32.0546611, 118.7896007 32.0551115, 118.7890355 32.0552011))","[4063447235, 4063447236, 4063447237, 4063447238, 4063447239, 4063447240, 4063447241, 4063447242, 4063447235]",school,沙塘园餐厅,,,,,,,,restaurant,,yes,chinese,no,yes,Mo-Su 07:00-20:00,no,,
way,404071179,"POLYGON ((118.7891066 32.0542451, 118.7899783 32.054086, 118.7899434 32.0539291, 118.789069 32.054095, 118.7891066 32.0542451))","[4063447243, 4063447244, 4063447245, 4063447246, 4063447243]",apartments,沙塘园二舍,,,,,,,,,,,,,,,,,
way,404071180,"POLYGON ((118.788639 32.0552646, 118.7889771 32.0552103, 118.7889591 32.0551226, 118.7886221 32.0551793, 118.788639 32.0552646))","[3574510506, 4063447247, 4063447248, 4063447249, 3574510506]",university,东南大学保卫处,,,,,,,,,,,,,,,,,
way,404071182,"POLYGON ((118.790469 32.0539075, 118.790428 32.053507, 118.790399 32.0532237, 118.790342 32.0526676, 118.7907632 32.0526256, 118.7910488 32.0535685, 118.7911191 32.0538005, 118.790469 32.0539075))","[3574509989, 4063447262, 4063447266, 4063447252, 4063447253, 4063447254, 3574509986, 3574509989]",yes,南京图书馆成贤街分馆,,,,,,,,library,,,,,,,,,
way,981890957,"POLYGON ((118.7858855 32.0587634, 118.7864593 32.0587383, 118.7864534 32.0585648, 118.7858788 32.0585892, 118.7858855 32.0587634))","[9081237752, 9081237753, 9081237754, 9081237755, 9081237752]",yes,河海院,,,,,,,,,,,,,,,,,
way,981890958,"POLYGON ((118.7860418 32.0591143, 118.7865042 32.05908, 118.7864933 32.0589599, 118.7860309 32.0589969, 118.7860418 32.0591143))","[9081237756, 9081237757, 9081237758, 9081237759, 9081237756]",yes,东南大学出版社,,,,,,,,,,,,,,,,,
way,981890959,"POLYGON ((118.786468 32.0596691, 118.7869965 32.0596191, 118.7869823 32.0595371, 118.7864538 32.0595911, 118.786468 32.0596691))","[9081237760, 9081237761, 9081237762, 9081237763, 9081237760]",yes,专家楼,,,,,,,,,,,,,,,,,
way,982259581,"POLYGON ((118.7903556 32.0560367, 118.7904355 32.0560317, 118.7904253 32.0559076, 118.7903465 32.0559135, 118.7903518 32.0559846, 118.7903556 32.0560367))","[9084256927, 9084256928, 9084256929, 9084256930, 9084269758, 9084256927]",yes,,,,,,,,2,,,,,,,,,,
way,1056474960,"POLYGON ((118.7870949 32.0572661, 118.7870811 32.0571438, 118.7879189 32.0570815, 118.7879292 32.0572152, 118.7870949 32.0572661))","[9707574173, 9707574174, 9707574175, 9707574176, 9707574173]",university,,,,,,,,,,,,,,,,,,
way,1056474961,"POLYGON ((118.7858264 32.0584951, 118.7858098 32.0580238, 118.7866758 32.0579723, 118.7867265 32.0584421, 118.7858264 32.0584951))","[9707574177, 9707574178, 9707574179, 9707574180, 9707574177]",hotel,榴园宾馆,,,,,,,,,,,,,,,,,
way,1056474962,"POLYGON ((118.7885836 32.054973, 118.7885619 32.0548576, 118.7886866 32.0548404, 118.7887088 32.0549524, 118.7885836 32.054973))","[4063447251, 9707574181, 9707574182, 9707574183, 4063447251]",university,总务处,,,,,,,,,,,,,,,,,
way,1056580726,"POLYGON ((118.7891602 32.0555008, 118.7897279 32.0554686, 118.7897132 32.0553456, 118.7891525 32.0553872, 118.7891602 32.0555008))","[9708723637, 9708723638, 9708723639, 9708723640, 9708723637]",yes,,,,,,,,,,,,,,,,,,
way,1056580731,"POLYGON ((118.7905853 32.0580352, 118.7905762 32.0578744, 118.7907727 32.0578725, 118.7907818 32.0580275, 118.7905853 32.0580352))","[9708723657, 9708723658, 9708723659, 9708723660, 9708723657]",university,电子系办公楼,,,,,,,,,,,,,,,,,
way,1056580732,"POLYGON ((118.7901329 32.0587277, 118.7901257 32.0585527, 118.7907305 32.0585161, 118.7907445 32.0587008, 118.7901329 32.0587277))","[9708723662, 9708723663, 9708723664, 9708723665, 9708723662]",yes,土木学院实验室,,,,,,,,,,,,,,,,,
way,1056580733,"POLYGON ((118.7881053 32.0584487, 118.788094 32.0581673, 118.7883176 32.0581615, 118.7883312 32.0584372, 118.7881053 32.0584487))","[9708723667, 9708723668, 9708723669, 9708723670, 9708723667]",university,,,,,,,,,,,,,,,,,,
way,1056580738,"POLYGON ((118.7873398 32.0570833, 118.7873295 32.0569733, 118.7876588 32.0569512, 118.7876691 32.0570612, 118.7873398 32.0570833))","[9708723706, 9708723707, 9708723708, 9708723709, 9708723706]",university,仿真实验室,,,,,,,,,,,,,,,,,
way,1056580739,"POLYGON ((118.7871104 32.0570627, 118.7870883 32.0568376, 118.7872946 32.056823, 118.7873168 32.0570481, 118.7871104 32.0570627))","[9708723710, 9708723711, 9708723712, 9708723713, 9708723710]",industrial,锅炉实验室,,,,,,,,,,,,,,,,,
way,1056580740,"POLYGON ((118.7873344 32.056866, 118.7873207 32.0567561, 118.7875586 32.0567411, 118.7875605 32.0568494, 118.7873344 32.056866))","[9708723714, 9708723715, 9708723716, 9708740717, 9708723714]",university,制冷实验室,,,,,,,,,,,,,,,,,
way,1056580741,"POLYGON ((118.7873951 32.0566224, 118.7873856 32.0565132, 118.7876176 32.0564988, 118.7876271 32.0566079, 118.7873951 32.0566224))","[9708740718, 9708740719, 9708740720, 9708740721, 9708740718]",university,图书资料室,,,,,,,,,,,,,,,,,
way,1056580742,"POLYGON ((118.7871893 32.0566748, 118.7871796 32.0565056, 118.787321 32.0564997, 118.7873308 32.0566689, 118.7871893 32.0566748))","[9708740722, 9708740723, 9708740724, 9708740725, 9708740722]",university,洁净煤发电实验室,,,,,,,,,,,,,,,,,
way,1056580743,"POLYGON ((118.7876903 32.0570424, 118.7876831 32.0569416, 118.7878256 32.0569344, 118.7878328 32.0570351, 118.7876903 32.0570424))","[9708740726, 9708740727, 9708740728, 9708740729, 9708740726]",university,,,,,,,,,,,,,,,,,,
