u,v,key,osmid,highway,oneway,reversed,length,tunnel,name,geometry,lanes,bridge,maxspeed
2864441892,4807859872,0,282495552,residential,False,False,151.167,,,"LINESTRING (114.3965957 30.5190324, 114.3957589 30.519037, 114.3956619 30.5190347, 114.3957242 30.5195871)",,,
2864441893,2864441892,0,282495552,residential,False,False,108.244,,,"LINESTRING (114.3977257 30.5190278, 114.3965957 30.5190324)",,,
2864441893,4806115391,0,488499350,residential,False,False,48.919,,,"LINESTRING (114.3977257 30.5190278, 114.3977188 30.5185879)",,,
2864441893,2864441890,0,488499350,residential,False,True,122.317,,,"LINESTRING (114.3977257 30.5190278, 114.3977182 30.5201278)",,,
2864441895,3090420282,0,282495545,residential,False,False,14.041,,,"LINESTRING (114.3977138 30.5216208, 114.3977089 30.5214946)",,,
2864441895,6454009700,0,282495545,residential,False,True,5.789,,,"LINESTRING (114.3977138 30.5216208, 114.3977077 30.5216726)",,,
2864441895,2864441896,0,282495553,residential,False,False,77.732,,,"LINESTRING (114.3977138 30.5216208, 114.3985252 30.5216097)",,,
2864441895,6502932637,0,692664262,path,False,False,17.174,,,"LINESTRING (114.3977138 30.5216208, 114.3978442 30.5215148)",,,
2864441896,6502960012,0,282495549,residential,False,False,37.084,,,"LINESTRING (114.3985252 30.5216097, 114.3985236 30.5212762)",,,
2864441896,4807101981,0,282495549,residential,False,True,40.076,,,"LINESTRING (114.3985252 30.5216097, 114.3985217 30.5219701)",,,
2864441896,6502917047,0,282495553,residential,False,False,41.774,,,"LINESTRING (114.3985252 30.5216097, 114.3989613 30.5216118)",,,
2864441896,2864441895,0,282495553,residential,False,True,77.732,,,"LINESTRING (114.3985252 30.5216097, 114.3977138 30.5216208)",,,
2864441896,6502932640,0,692664264,path,False,True,17.303,,,"LINESTRING (114.3985252 30.5216097, 114.3983869 30.5215096)",,,
2864441897,4807102331,0,282495554,residential,False,False,33.735,,,"LINESTRING (114.3999593 30.5233284, 114.3999677 30.5230251)",,,
