u,v,key,osmid,lanes,highway,maxspeed,oneway,reversed,length,name,geometry,bridge,service
3034716276,3034716278,0,299485223,,service,,False,False,77.603,,"LINESTRING (121.4163978 31.1456566, 121.4157096 31.1454924, 121.4156818 31.1455755)",,
3034716276,3034560083,0,521678545,,living_street,,False,True,77.298,,"LINESTRING (121.4163978 31.1456566, 121.4164833 31.1453318, 121.416627 31.1449911)",,
3034716278,3034716279,0,299485223,,service,,False,False,68.194,,"LINESTRING (121.4156818 31.1455755, 121.4149911 31.1454122)",,
3034716278,3034716283,0,299485224,,service,,False,True,20.325,,"LINESTRING (121.4156818 31.1455755, 121.4156171 31.1457497)",,
3034716278,3034716276,0,299485223,,service,,False,True,77.603,,"LINESTRING (121.4156818 31.1455755, 121.4157096 31.1454924, 121.4163978 31.1456566)",,
3034716279,3034716285,0,299485223,,service,,False,False,30.637,,"LINESTRING (121.4149911 31.1454122, 121.4150202 31.1456866)",,
3034716279,3034716278,0,299485223,,service,,False,True,68.194,,"LINESTRING (121.4149911 31.1454122, 121.4156818 31.1455755)",,
3034716279,3034716280,0,380295385,,service,,False,False,65.505,,"LINESTRING (121.4149911 31.1454122, 121.4150505 31.1459991)",,
3034716280,3034716281,0,299485223,,service,,False,False,87.23,,"LINESTRING (121.4150505 31.1459991, 121.415927 31.1462286)",,
3034716280,3034716285,0,299485223,,service,,False,True,34.868,,"LINESTRING (121.4150505 31.1459991, 121.4150202 31.1456866)",,
3034716280,3034716279,0,380295385,,service,,False,True,65.505,,"LINESTRING (121.4150505 31.1459991, 121.4149911 31.1454122)",,
3034716281,3034716282,0,299485223,,service,,False,False,42.511,,"LINESTRING (121.415927 31.1462286, 121.4160703 31.1458665)",,
3034716281,3034716280,0,299485223,,service,,False,True,87.23,,"LINESTRING (121.415927 31.1462286, 121.4150505 31.1459991)",,
3034716281,3034716287,0,299485227,,service,,False,True,26.866,,"LINESTRING (121.415927 31.1462286, 121.4158391 31.1464582)",,
3034716282,3034716283,0,299485223,,service,,False,False,45.043,,"LINESTRING (121.4160703 31.1458665, 121.4156171 31.1457497)",,
3034716282,3034716281,0,299485223,,service,,False,True,42.511,,"LINESTRING (121.4160703 31.1458665, 121.415927 31.1462286)",,
3034716282,3034716296,0,"[299485225, 521678545]",,"['service', 'living_street']",,False,"[False, True]",33.748999999999995,,"LINESTRING (121.4160703 31.1458665, 121.4162854 31.1459219, 121.4163249 31.1458159)",,
3034716283,3034716282,0,299485223,,service,,False,True,45.043,,"LINESTRING (121.4156171 31.1457497, 121.4160703 31.1458665)",,
3034716283,3034716278,0,299485224,,service,,False,False,20.325,,"LINESTRING (121.4156171 31.1457497, 121.4156818 31.1455755)",,
3034716283,3034716285,0,299485223,,service,,False,False,66.71600000000001,,"LINESTRING (121.4156171 31.1457497, 121.4155893 31.1458368, 121.4150202 31.1456866)",,
3034716285,3034716280,0,299485223,,service,,False,False,34.868,,"LINESTRING (121.4150202 31.1456866, 121.4150505 31.1459991)",,
