u,v,key,osmid,highway,oneway,reversed,length,geometry,name,bridge,lanes,tunnel,service,access
5726340790,5726340781,0,603105981,living_street,False,True,98.916,"LINESTRING (113.3454735 23.1514994, 113.3454672 23.1519475, 113.3449871 23.1519472)",,,,,,
5726340790,5726340793,0,603105983,living_street,False,False,51.628,"LINESTRING (113.3454735 23.1514994, 113.3456474 23.151505, 113.3456596 23.1513554, 113.3458274 23.151356)",,,,,,
5726340793,5726340702,0,488110319,residential,False,False,37.616,"LINESTRING (113.3458274 23.151356, 113.3458525 23.1510185)",北江路,,,,,
5726340793,5726340784,0,488110319,residential,False,True,48.338,"LINESTRING (113.3458274 23.151356, 113.3457951 23.1517897)",北江路,,,,,
5726340793,5726340790,0,603105983,living_street,False,True,51.628,"LINESTRING (113.3458274 23.151356, 113.3456596 23.1513554, 113.3456474 23.151505, 113.3454735 23.1514994)",,,,,,
5726340794,5726340734,0,603105962,living_street,False,False,8.941,"LINESTRING (113.3449466 23.1512357, 113.3449511 23.151316)",西江路,,,,,
5726340794,5726340796,0,603105962,living_street,False,True,19.53,"LINESTRING (113.3449466 23.1512357, 113.3449442 23.1511943, 113.3449366 23.1510603)",西江路,,,,,
5726340794,5726340795,0,603105984,living_street,False,False,54.458,"LINESTRING (113.3449466 23.1512357, 113.345386 23.1512048, 113.3454777 23.1511984)",,,,,,
5726340795,5726340797,0,603105981,living_street,False,False,18.071,"LINESTRING (113.3454777 23.1511984, 113.3454799 23.1510359)",,,,,,
5726340795,5726340790,0,603105981,living_street,False,True,33.472,"LINESTRING (113.3454777 23.1511984, 113.3454735 23.1514994)",,,,,,
5726340795,5726340794,0,603105984,living_street,False,True,54.458,"LINESTRING (113.3454777 23.1511984, 113.345386 23.1512048, 113.3449466 23.1512357)",,,,,,
5726340796,5726340797,0,603105985,living_street,False,False,55.614,"LINESTRING (113.3449366 23.1510603, 113.3454799 23.1510359)",,,,,,
5726340796,5726340794,0,603105962,living_street,False,False,19.53,"LINESTRING (113.3449366 23.1510603, 113.3449442 23.1511943, 113.3449466 23.1512357)",西江路,,,,,
