element_type,osmid,amenity,name,geometry,building,man_made,name:en,capacity,phone,addr:city,addr:district,addr:postcode,addr:province,addr:street,fee,leisure,nodes,building:levels,height,shop,healthcare,wheelchair,name:zh,tourism,int_name,alt_name,name_1,wikidata,addr:housenumber,website,opening_hours,addr:housename,description,cuisine,fast_food,level,opening_hours:covid19,note,bicycle_parking,covered,supervised,power,takeaway,layer,access,female,toilets:disposal,male,name:zh-Hans,ways,type
way,103639640,,,"POLYGON ((114.3622423 30.533081, 114.3613162 30.5331425, 114.3613085 30.5330565, 114.3622346 30.532995, 114.3622423 30.533081))",residential,,,,,,,,,,,,"[1196676737, 1196676732, 1196676703, 1196676698, 1196676737]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103639641,,,"POLYGON ((114.3611788 30.5336106, 114.3607014 30.533702, 114.3606788 30.5336142, 114.3611562 30.5335228, 114.3611788 30.5336106))",residential,,,,,,,,,,,,"[1196676689, 1196676717, 1196676726, 1196676714, 1196676689]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103639645,,武汉大学老干部活动中心,"POLYGON ((114.3604821 30.5339967, 114.3606403 30.5339343, 114.3607342 30.5341122, 114.360871 30.5340614, 114.3609113 30.5341446, 114.3607369 30.5342093, 114.3606645 30.5341307, 114.360584 30.5341607, 114.3604821 30.5339967))",yes,,,,,,,,,,,,"[1196676708, 1196676705, 1196676771, 1196676722, 1196676735, 1196676702, 1196676691, 1196676713, 1196676708]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103640062,,,"POLYGON ((114.3630112 30.532248, 114.362452 30.5323722, 114.3624727 30.5324414, 114.3630319 30.5323172, 114.3630112 30.532248))",residential,,,,,,,,,,,,"[1196680416, 1196680414, 1196680430, 1196680449, 1196680416]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103640063,,,"POLYGON ((114.363626 30.5319178, 114.3630928 30.5320214, 114.3630763 30.5319585, 114.3636095 30.5318549, 114.363626 30.5319178))",residential,,,,,,,,,,,,"[1196680433, 1196680420, 1196680445, 1196680418, 1196680433]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103640064,,,"POLYGON ((114.3629907 30.5319724, 114.3624425 30.5320867, 114.3624614 30.5321539, 114.3630096 30.5320397, 114.3629907 30.5319724))",residential,,,,,,,,,,,,"[1196680436, 1196680452, 1196680442, 1196680415, 1196680436]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103640066,,,"POLYGON ((114.3639524 30.5321298, 114.3635845 30.53221, 114.3635649 30.5321434, 114.3639329 30.5320632, 114.3639524 30.5321298))",residential,,,,,,,,,,,,"[1196680425, 1196680439, 1196680427, 1196680424, 1196680425]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103640067,,,"POLYGON ((114.3635272 30.5322136, 114.3631424 30.5322924, 114.3631252 30.5322299, 114.36351 30.5321512, 114.3635272 30.5322136))",residential,,,,,,,,,,,,"[1196680423, 1196680456, 1196680437, 1196680451, 1196680423]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103640951,,,"POLYGON ((114.3635812 30.5324715, 114.3632179 30.5325389, 114.3631997 30.5324661, 114.363563 30.5323987, 114.3635812 30.5324715))",residential,,,,,,,,,,,,"[1196688841, 1196688738, 1196688814, 1196688811, 1196688841]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103640952,,,"POLYGON ((114.3628368 30.5337523, 114.3623758 30.5336963, 114.362398 30.5335609, 114.362859 30.5336169, 114.3628368 30.5337523))",residential,,,,,,,,,,,,"[1196688747, 1196688719, 1196688829, 1196688853, 1196688747]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103640954,,,"POLYGON ((114.364142 30.5341686, 114.3635842 30.5341131, 114.3635975 30.5340137, 114.3641554 30.5340693, 114.364142 30.5341686))",residential,,,,,,,,,,,,"[1196688852, 1196688754, 1196688733, 1196688828, 1196688852]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103640955,,,"POLYGON ((114.3626735 30.5342532, 114.3619573 30.5340175, 114.3618554 30.5340106, 114.3618554 30.5338928, 114.3619224 30.5338928, 114.3619546 30.533805, 114.3627673 30.5340706, 114.3626735 30.5342532))",yes,,,,,,,,,,,,"[1196688854, 1196688715, 1196688768, 1196688708, 1196688851, 1196688800, 1196688718, 1196688854]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103640958,,,"POLYGON ((114.3631528 30.5327256, 114.3626042 30.532838, 114.3626253 30.5329141, 114.3631738 30.5328017, 114.3631528 30.5327256))",residential,,,,,,,,,,,,"[1196688744, 1196688778, 1196688720, 1196688824, 1196688744]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103640960,,,"POLYGON ((114.3660249 30.5344966, 114.3654726 30.5344363, 114.365487 30.534338, 114.3660393 30.5343983, 114.3660249 30.5344966))",residential,,,,,,,,,,,,"[1196688760, 1196688846, 1196688755, 1196688803, 1196688760]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103640965,,,"POLYGON ((114.3635357 30.5328584, 114.3633323 30.5329064, 114.3633677 30.5330176, 114.3635711 30.5329696, 114.3635357 30.5328584))",residential,,,,,,,,,,,,"[1196688721, 1196688732, 1196688826, 1196688835, 1196688721]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103640967,,,"POLYGON ((114.3642338 30.5330407, 114.3636786 30.5330527, 114.3636808 30.5331266, 114.364236 30.5331146, 114.3642338 30.5330407))",residential,,,,,,,,,,,,"[1196688844, 1196688857, 1196688774, 1196688752, 1196688844]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103640969,,,"POLYGON ((114.3654003 30.5344203, 114.3648514 30.5343566, 114.3648659 30.5342636, 114.3654149 30.5343273, 114.3654003 30.5344203))",residential,,,,,,,,,,,,"[1196688819, 1196688809, 1196688757, 1196688815, 1196688819]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103640970,,,"POLYGON ((114.3636486 30.5326246, 114.3632675 30.5326981, 114.3632872 30.5327739, 114.3636683 30.5327003, 114.3636486 30.5326246))",residential,,,,,,,,,,,,"[1196688834, 1196688764, 1196688741, 1196688858, 1196688834]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103640971,,,"POLYGON ((114.3642 30.5333288, 114.3636957 30.5333132, 114.3636923 30.533394, 114.3641966 30.5334096, 114.3642 30.5333288))",residential,,,,,,,,,,,,"[1196688703, 1196688847, 1196688855, 1196688730, 1196688703]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103640972,,,"POLYGON ((114.3629883 30.5335155, 114.36355 30.533578, 114.3635634 30.5334888, 114.3630016 30.5334264, 114.3629883 30.5335155))",residential,,,,,,,,,,,,"[1196688731, 1196688777, 1196688766, 1196688745, 1196688731]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103640974,,,"POLYGON ((114.3628554 30.5342619, 114.3628743 30.534147, 114.3634409 30.5342161, 114.363422 30.5343311, 114.3628554 30.5342619))",residential,,,,,,,,,,,,"[1196688832, 1196688758, 1196688784, 1196688825, 1196688832]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103640976,,,"POLYGON ((114.3641564 30.5327669, 114.3637499 30.5328343, 114.3637682 30.5329162, 114.3641747 30.5328488, 114.3641564 30.5327669))",residential,,,,,,,,,,,,"[1196688761, 1196688850, 1196688773, 1196688845, 1196688761]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103640977,,,"POLYGON ((114.3640788 30.5325424, 114.363727 30.5326086, 114.3637453 30.5326808, 114.3640971 30.5326146, 114.3640788 30.5325424))",residential,,,,,,,,,,,,"[1196688704, 1196688765, 1196688795, 1196688839, 1196688704]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103640978,,,"POLYGON ((114.3629197 30.5334043, 114.3623841 30.5333387, 114.3623678 30.5334376, 114.3629033 30.5335032, 114.3629197 30.5334043))",residential,,,,,,,,,,,,"[1196688817, 1196688713, 1196688820, 1196688705, 1196688817]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103640979,,,"POLYGON ((114.3647888 30.5343238, 114.364224 30.534259, 114.3642386 30.5341645, 114.3648034 30.5342293, 114.3647888 30.5343238))",residential,,,,,,,,,,,,"[1196688856, 1196688714, 1196688781, 1196688707, 1196688856]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
