u,v,key,osmid,name,highway,access,oneway,reversed,length,geometry,maxspeed
3050561843,3051268129,0,300917758,逸仙路,unclassified,permissive,False,True,26.378,"LINESTRING (113.2925353 23.0983315, 113.2924852 23.0980988)",
3050561843,3051268245,0,300949480,,footway,,False,False,45.542,"LINESTRING (113.2925353 23.0983315, 113.2920991 23.0984137)",
3050561844,3051268239,0,300949478,,footway,,False,False,26.458,"LINESTRING (113.2916439 23.0984994, 113.2916155 23.0982629)",
3050561844,3051268263,0,300949478,,footway,,False,True,28.058,"LINESTRING (113.2916439 23.0984994, 113.2917005 23.0987463)",
3050561844,3051268258,0,300949480,,footway,,False,False,51.566,"LINESTRING (113.2916439 23.0984994, 113.29115 23.0985925)",
3050561844,3051268245,0,300949480,,footway,,False,True,47.523,"LINESTRING (113.2916439 23.0984994, 113.2920991 23.0984137)",
3050561845,3051268278,0,300949482,逸仙路,unclassified,permissive,False,False,53.092,"LINESTRING (113.2930176 23.0985104, 113.293121 23.0989783)",
3050561845,3051268103,0,300949482,逸仙路,unclassified,permissive,False,True,107.988,"LINESTRING (113.2930176 23.0985104, 113.2928073 23.0975587)",
3050561845,3051268248,0,301016547,康乐路,service,permissive,False,False,52.315,"LINESTRING (113.2930176 23.0985104, 113.2935215 23.0984297)",
3050561846,3051268276,0,300949474,,footway,,False,True,29.525,"LINESTRING (113.2905542 23.0987047, 113.2906117 23.0989649)",
3050561846,3050561847,0,300949480,,footway,,False,False,36.204,"LINESTRING (113.2905542 23.0987047, 113.2902074 23.0987699)",
3050561846,3051268260,0,300949480,,footway,,False,True,17.279,"LINESTRING (113.2905542 23.0987047, 113.2907197 23.0986735)",
3050561847,3051268266,0,300949480,,footway,,False,False,40.35,"LINESTRING (113.2902074 23.0987699, 113.2898153 23.0988099)",
3050561847,3050561846,0,300949480,,footway,,False,True,36.204,"LINESTRING (113.2902074 23.0987699, 113.2905542 23.0987047)",
3050561847,3051268280,0,301016486,,footway,,False,False,29.342,"LINESTRING (113.2902074 23.0987699, 113.2902691 23.0990276)",
3050561848,3051268277,0,300949480,,footway,,False,False,51.98,"LINESTRING (113.2889978 23.0988931, 113.2884961 23.0989677)",
3050561848,3051268270,0,300949480,,footway,,False,True,43.179,"LINESTRING (113.2889978 23.0988931, 113.2894174 23.0988504)",
