u,v,key,osmid,oneway,name,highway,reversed,length,geometry,tunnel,access,width,bridge,service
1196688783,1196688746,0,103640968,False,,living_street,False,82.178,"LINESTRING (114.3639529 30.5321831, 114.3631173 30.5323509)",,,,,
1196688785,1196688823,0,527572904,False,珞珈山路,residential,False,160.12,"LINESTRING (114.3639864 30.5345613, 114.3656445 30.5347455)",,,,,
1196688785,1196672335,0,527572904,False,珞珈山路,residential,True,44.981,"LINESTRING (114.3639864 30.5345613, 114.3635206 30.5345096)",,,,,
1196688785,1196688822,0,103640961,False,,living_street,True,82.595,"LINESTRING (114.3639864 30.5345613, 114.3640494 30.5344588, 114.3641675 30.5343895, 114.3644974 30.5343964, 114.3647491 30.534362)",,,,,
1196688786,1196688791,0,103640980,False,,living_street,True,70.354,"LINESTRING (114.3625332 30.53297, 114.3632487 30.5328268)",,,,,
1196688786,1196672364,0,527572905,False,,living_street,False,14.895,"LINESTRING (114.3625332 30.53297, 114.3624885 30.5328417)",,,,,
1196688786,1196688739,0,527572905,False,,living_street,True,28.269,"LINESTRING (114.3625332 30.53297, 114.3626012 30.5331651, 114.3626501 30.533193)",,,,,
1196688791,1196688701,0,103640963,False,珞南六路,living_street,False,27.034,"LINESTRING (114.3632487 30.5328268, 114.3633011 30.5330657)",,,,,
1196688791,1196688726,0,103640963,False,珞南六路,living_street,True,27.298,"LINESTRING (114.3632487 30.5328268, 114.363177 30.5325892)",,,,,
1196688791,1196688786,0,103640980,False,,living_street,False,70.354,"LINESTRING (114.3632487 30.5328268, 114.3625332 30.53297)",,,,,
1196688791,1196688838,0,103640980,False,,living_street,True,31.965,"LINESTRING (114.3632487 30.5328268, 114.3635738 30.5327618)",,,,,
1196688802,1196688827,0,103640963,False,珞南六路,living_street,False,23.52,"LINESTRING (114.3628717 30.5338329, 114.362829 30.5340412)",,,,,
1196688802,1196688702,0,103640963,False,珞南六路,living_street,True,34.124,"LINESTRING (114.3628717 30.5338329, 114.3629337 30.5335307)",,,,,
1196688802,1196688842,0,103640975,False,,living_street,False,67.763,"LINESTRING (114.3628717 30.5338329, 114.3635749 30.5339001)",,,,,
1196688802,1196688711,0,103640975,False,,living_street,True,87.927,"LINESTRING (114.3628717 30.5338329, 114.361962 30.5337265)",,,,,
1196688822,1196688840,0,103640962,False,,living_street,True,88.652,"LINESTRING (114.3647491 30.534362, 114.3656645 30.5344802)",,,,,
1196688822,1196688785,0,103640961,False,,living_street,False,82.59500000000001,"LINESTRING (114.3647491 30.534362, 114.3644974 30.5343964, 114.3641675 30.5343895, 114.3640494 30.5344588, 114.3639864 30.5345613)",,,,,
