u,v,key,osmid,highway,oneway,reversed,length,geometry,bridge
5227217165,5227217128,0,540282331,footway,False,True,775.9740000000002,"LINESTRING (113.4088594 23.0183068, 113.4084015 23.0181029, 113.4084672 23.0179684, 113.4083358 23.0179005, 113.4084296 23.017719, 113.407865 23.0174499, 113.4077725 23.017445, 113.4076961 23.0174536, 113.4075971 23.0174923, 113.4075259 23.0175391, 113.407471 23.0176102, 113.4074385 23.0176981, 113.4074304 23.0178178, 113.4075646 23.0182182, 113.4078349 23.0183323, 113.4078735 23.0182594, 113.408213 23.0184165, 113.4081276 23.0186055, 113.4081988 23.0186354, 113.4082638 23.0186747, 113.4083065 23.0187159, 113.4083289 23.0188075, 113.4083573 23.0188786, 113.4084163 23.0189385, 113.4084787 23.0189787, 113.4085504 23.0190283, 113.4086134 23.0190844, 113.4088126 23.0193912, 113.4088919 23.0194792, 113.4090857 23.0195852, 113.4093717 23.0197617, 113.4096156 23.019887, 113.409951 23.0200423, 113.4104022 23.0202126, 113.4107133 23.0203454, 113.4109592 23.020482, 113.4110263 23.020525, 113.4109763 23.0205987)",
5227217166,5227149182,0,504914068,unclassified,False,True,108.885,"LINESTRING (113.4090689 23.0206952, 113.4081096 23.0202717)",
5227217166,5227217167,0,540282332,residential,False,False,23.06,"LINESTRING (113.4090689 23.0206952, 113.4091597 23.0205054)",
5227217166,5227224031,0,504914068,unclassified,False,False,195.218,"LINESTRING (113.4090689 23.0206952, 113.41013 23.0211637, 113.4107957 23.0214409)",
5227217167,5227217168,0,540282332,residential,False,False,21.694,"LINESTRING (113.4091597 23.0205054, 113.4093553 23.0205806)",
5227217167,5227217166,0,540282332,residential,False,True,23.06,"LINESTRING (113.4091597 23.0205054, 113.4090689 23.0206952)",
5227217167,5227217169,0,540282333,footway,False,False,3.255,"LINESTRING (113.4091597 23.0205054, 113.4091725 23.0204786)",
5227217168,5227217167,0,540282332,residential,False,True,21.694,"LINESTRING (113.4093553 23.0205806, 113.4091597 23.0205054)",
5227217169,5227217167,0,540282333,footway,False,True,3.255,"LINESTRING (113.4091725 23.0204786, 113.4091597 23.0205054)",
5227217171,5227149339,0,540282334,residential,False,True,40.982,"LINESTRING (113.4107644 23.0212153, 113.410923 23.0212864, 113.4108221 23.0214705)",
5227217172,5227217173,0,540282335,footway,False,False,24.993,"LINESTRING (113.4110019 23.0212951, 113.4108996 23.0214992)",
5227217173,5227149339,0,504914068,unclassified,False,True,8.549,"LINESTRING (113.4108996 23.0214992, 113.4108221 23.0214705)",
5227217173,5227217172,0,540282335,footway,False,True,24.993,"LINESTRING (113.4108996 23.0214992, 113.4110019 23.0212951)",
5227217173,4950043868,0,540282342,unclassified,False,False,22.102,"LINESTRING (113.4108996 23.0214992, 113.4110878 23.0215967)",yes
5227217193,5227217194,0,540282344,residential,False,False,13.605,"LINESTRING (113.4099763 23.016004, 113.4100946 23.0160598)",
5227217194,5227217193,0,540282344,residential,False,True,13.605,"LINESTRING (113.4100946 23.0160598, 113.4099763 23.016004)",
5227223969,5227149216,0,504914064,unclassified,False,False,106.519,"LINESTRING (113.4075652 23.0237589, 113.4082437 23.0241808, 113.4084437 23.0242695)",
5227223969,5227224053,0,504914064,unclassified,False,True,350.6670000000001,"LINESTRING (113.4075652 23.0237589, 113.4050502 23.0221819, 113.4050173 23.0221383, 113.4049992 23.0220787, 113.4050064 23.0220311, 113.4050951 23.0218598)",
5227223969,5227223970,0,"[540283132, 540283133, 540283134]",footway,False,False,35.678,"LINESTRING (113.4075652 23.0237589, 113.4076527 23.0236739, 113.4077106 23.0236177, 113.407805 23.023526)",yes
5227223970,5227223969,0,"[540283132, 540283133, 540283134]",footway,False,True,35.678,"LINESTRING (113.407805 23.023526, 113.4077106 23.0236177, 113.4076527 23.0236739, 113.4075652 23.0237589)",yes
5227224026,5227224029,0,540283138,footway,False,False,20.483,"LINESTRING (113.4097227 23.0219662, 113.4098074 23.0217993)",
5227224026,5227149338,0,540274754,unclassified,False,False,75.945,"LINESTRING (113.4097227 23.0219662, 113.4099488 23.0220427, 113.4103642 23.0223008)",
5227224026,9627882865,0,540274754,unclassified,False,True,81.08500000000001,"LINESTRING (113.4097227 23.0219662, 113.4096837 23.021953, 113.4094347 23.021958, 113.4092074 23.0220626, 113.4090835 23.0221767, 113.4090564 23.0222384)",
5227224028,5227224029,0,540283139,footway,False,False,28.625,"LINESTRING (113.4095525 23.0216933, 113.4098074 23.0217993)",
5227224029,5227224026,0,540283138,footway,False,True,20.483,"LINESTRING (113.4098074 23.0217993, 113.4097227 23.0219662)",
5227224029,5227224028,0,540283139,footway,False,True,28.625,"LINESTRING (113.4098074 23.0217993, 113.4095525 23.0216933)",
5227224029,5227224037,0,540283138,footway,False,False,95.257,"LINESTRING (113.4098074 23.0217993, 113.4101102 23.0211958, 113.410299 23.0212773)",
5227224030,5227224033,0,"[540283140, 972227822, 972227823]",footway,False,False,36.97,"LINESTRING (113.4104603 23.0217204, 113.4104938 23.0216567, 113.4105191 23.0216092, 113.4106205 23.0214224)",
5227224031,5227149339,0,504914068,unclassified,False,False,4.258,"LINESTRING (113.4107957 23.0214409, 113.4108221 23.0214705)",
5227224031,5227217166,0,504914068,unclassified,False,True,195.218,"LINESTRING (113.4107957 23.0214409, 113.41013 23.0211637, 113.4090689 23.0206952)",
5227224031,5227224033,0,540283138,footway,False,True,23.743000000000002,"LINESTRING (113.4107957 23.0214409, 113.4107618 23.0214963, 113.4107269 23.0214727, 113.4106205 23.0214224)",
5227224033,5227224037,0,540283138,footway,False,True,36.645,"LINESTRING (113.4106205 23.0214224, 113.410299 23.0212773)",
5227224033,5227224031,0,540283138,footway,False,False,23.743000000000002,"LINESTRING (113.4106205 23.0214224, 113.4107269 23.0214727, 113.4107618 23.0214963, 113.4107957 23.0214409)",
5227224033,5227224030,0,"[540283140, 972227822, 972227823]",footway,False,True,36.97,"LINESTRING (113.4106205 23.0214224, 113.4105191 23.0216092, 113.4104938 23.0216567, 113.4104603 23.0217204)",
5227224036,5227224037,0,"[972227824, 972227825, 540283141]",footway,False,False,37.05,"LINESTRING (113.4101511 23.0215814, 113.4101847 23.0215111, 113.4102057 23.0214709, 113.410299 23.0212773)",
5227224037,5227224033,0,540283138,footway,False,False,36.645,"LINESTRING (113.410299 23.0212773, 113.4106205 23.0214224)",
5227224037,5227224029,0,540283138,footway,False,True,95.257,"LINESTRING (113.410299 23.0212773, 113.4101102 23.0211958, 113.4098074 23.0217993)",
5227224037,5227224036,0,"[972227824, 972227825, 540283141]",footway,False,True,37.05,"LINESTRING (113.410299 23.0212773, 113.4102057 23.0214709, 113.4101847 23.0215111, 113.4101511 23.0215814)",
5227224038,5227181751,0,504914067,unclassified,False,False,8.531,"LINESTRING (113.4099191 23.0166075, 113.4098439 23.0165744)",
5227224038,5227224039,0,504914067,unclassified,False,True,56.435,"LINESTRING (113.4099191 23.0166075, 113.4104165 23.0168266)",
5227224038,5227217090,0,540282327,footway,False,True,158.543,"LINESTRING (113.4099191 23.0166075, 113.409244 23.0178908)",
