u,v,key,osmid,name,highway,oneway,reversed,length,geometry,lanes,maxspeed,service,tunnel,bridge,ref,junction,access
2154564577,7961613990,0,"[853584763, 853584765, 853584766]","['华农紫荆路', '紫荆桥']",residential,True,False,494.43100000000004,"LINESTRING (113.3590459 23.1557007, 113.3588904 23.1557014, 113.3583862 23.1557036, 113.3559013 23.1556995, 113.3542098 23.1557024)",2,20,,,yes,,,
2154564578,8857415219,0,205493508,华农泰山一路,living_street,False,True,93.252,"LINESTRING (113.3609976 23.1541096, 113.3609894 23.1549482)",2,,,,,,,
2154564578,7961592360,0,"[853584754, 853584755]",华农泰山一路,living_street,False,False,77.413,"LINESTRING (113.3609976 23.1541096, 113.3610555 23.1540552, 113.3611388 23.1540596, 113.36121 23.1541368, 113.3613091 23.1542291, 113.3616489 23.1542308)",,,,,,,,
2154564578,8857415220,0,"[884012649, 205493507]",,"['residential', 'service']",False,True,263.356,"LINESTRING (113.3609976 23.1541096, 113.3608318 23.154041, 113.3604197 23.1542183, 113.3600076 23.1543634, 113.3595078 23.154444, 113.359057 23.1544683, 113.3590526 23.1549637)",,,driveway,,,,,
2154564587,7961592363,0,853584755,华农泰山一路,living_street,False,False,12.892,"LINESTRING (113.3632133 23.1542386, 113.3633394 23.1542392)",,,,,,,,
2154564587,7961592362,0,853584755,华农泰山一路,living_street,False,True,38.514,"LINESTRING (113.3632133 23.1542386, 113.3628366 23.1542367)",,,,,,,,
2154564587,2154564602,0,"[205493512, 857689753, 857689752]",,service,False,False,195.86499999999998,"LINESTRING (113.3632133 23.1542386, 113.363219 23.1537501, 113.3640142 23.1537533, 113.3642644 23.1542438)",,,driveway,,,,,
2154564591,2154564607,0,852603756,紫荆路,living_street,False,False,50.996,"LINESTRING (113.3633283 23.1556331, 113.3628295 23.1556326)",,,,,,,,
2154564591,5726340658,0,852603756,紫荆路,living_street,False,True,62.794,"LINESTRING (113.3633283 23.1556331, 113.3639425 23.1556336)",,,,,,,,
2154564591,7961592363,0,"[205493504, 853584761]",泰山公寓四路,"['steps', 'living_street']",False,False,154.999,"LINESTRING (113.3633283 23.1556331, 113.3633381 23.1544356, 113.3633389 23.1543196, 113.3633394 23.1542392)",,,,,,,,
2154564592,2154564574,0,931675663,紫荆路,living_street,False,True,71.096,"LINESTRING (113.3616414 23.1556316, 113.3623368 23.1556322)",,,,,,,,
2154564592,7961592360,0,"[205493509, 853584758]",泰山公寓一路,"['steps', 'living_street']",False,False,155.765,"LINESTRING (113.3616414 23.1556316, 113.3616501 23.1544461, 113.3616494 23.1543196, 113.3616489 23.1542308)",,,,,,,,
2154564592,2154564612,0,931675663,紫荆路,living_street,False,False,67.343,"LINESTRING (113.3616414 23.1556316, 113.3610955 23.1556311, 113.3609827 23.155631)",,,,,,,,
2154564593,7961613986,0,852603757,华农紫荆路,residential,True,False,7.75,"LINESTRING (113.3596133 23.1556378, 113.3596891 23.1556375)",2,20,,,,,,
2154564593,7961592374,0,853584764,,residential,False,True,6.716,"LINESTRING (113.3596133 23.1556378, 113.3596136 23.1556982)",,,,,,,,
2154564598,7961592362,0,853584755,华农泰山一路,living_street,False,False,50.343,"LINESTRING (113.3623442 23.1542343, 113.3628366 23.1542367)",,,,,,,,
