element_type,osmid,building,historic,name,name:zh-Hans,geometry,nodes,addr:housenumber,addr:place,alt_name,name:zh,name:en,addr:city,addr:district,addr:postcode,addr:province,building:levels,wheelchair,amenity,layer,level,opening_hours,operator,ref,start_date,subway,wikidata,wikimedia_commons,wikipedia,smoking,name:alt,old_name,alt_name:en,alt_name:zh,height,tourism,office,leisure,construction,ways,type
way,613936878,dormitory,,,,"POLYGON ((113.3510207 23.1653985, 113.3510206 23.1654756, 113.3509335 23.1654755, 113.3509334 23.1655526, 113.3509664 23.1655527, 113.3509663 23.1655743, 113.3512554 23.1655747, 113.3512553 23.1655926, 113.3513345 23.1655927, 113.3513345 23.1655748, 113.3514062 23.1655749, 113.3514063 23.1655372, 113.3513928 23.1655372, 113.3513929 23.1654977, 113.3514785 23.1654978, 113.3514785 23.1654762, 113.3514787 23.1653991, 113.3510207 23.1653985))","[5808019550, 5808019548, 5808019540, 5808019539, 5808019538, 5808019546, 5808019537, 5808019535, 5808019534, 5808019536, 5808019545, 5808019541, 5808019542, 5808019543, 5808019544, 5808019547, 5808019549, 5808019550]",7,六一区研究生公寓,,,,,,,,,,,,,,,,,,,,,outside,,,,,,,,,,,
way,613936879,university,,莘园饭堂,,"POLYGON ((113.3510381 23.1658479, 113.3510382 23.1658768, 113.351039 23.1660401, 113.3510396 23.1661705, 113.3512969 23.1661695, 113.3512967 23.1661149, 113.3518535 23.1661127, 113.3518534 23.1660854, 113.3522042 23.166084, 113.352204 23.1660392, 113.352415 23.1660383, 113.352415 23.1660347, 113.3523557 23.1658756, 113.3522962 23.1658758, 113.3522961 23.165843, 113.3510381 23.1658479))","[5808022965, 5808022963, 5808022961, 5808022959, 5808022957, 5808022956, 5808022955, 5808022954, 5808022953, 5808019552, 5808022958, 5808022960, 5808019551, 5808022962, 5808022964, 5808022965]",,,,莘园饭堂,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,613986253,university,,陈瑞球林满珍伉儷大樓,陈瑞球林满珍伉俪大楼,"POLYGON ((113.3469696 23.162275, 113.3469953 23.1622575, 113.3470163 23.1622354, 113.3470318 23.1622097, 113.3470411 23.1621817, 113.3470438 23.1621524, 113.3470369 23.162114, 113.3470187 23.1620789, 113.3469906 23.1620498, 113.3469548 23.162029, 113.3469142 23.1620182, 113.3468719 23.1620182, 113.3468312 23.162029, 113.3467954 23.1620498, 113.3467673 23.1620788, 113.3466296 23.1620789, 113.3466302 23.162556, 113.3470114 23.1625556, 113.3470113 23.1624688, 113.3469761 23.1624688, 113.3469761 23.1624443, 113.3469455 23.1624443, 113.3469455 23.1623079, 113.3469696 23.1623079, 113.3469696 23.162275))","[5808417246, 5808417224, 5808417225, 5808417226, 5808417227, 5808417236, 5808417228, 5808417229, 5808417230, 5808417231, 5808417232, 5808417233, 5808417234, 5808417235, 5808417237, 5808417245, 5808417222, 5808417252, 5808417250, 5808417248, 5808417238, 5808417239, 5808417240, 5808417241, 5808417246]",24,华南农业大学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,613986255,university,,,,"POLYGON ((113.3456745 23.1631952, 113.3456722 23.1635512, 113.3455647 23.1635506, 113.3455617 23.1640018, 113.3450484 23.163999, 113.3450486 23.16396, 113.3449675 23.1639595, 113.3449678 23.1639148, 113.3450101 23.163915, 113.3450108 23.1638182, 113.3454774 23.1638208, 113.3454792 23.1635501, 113.3453062 23.1635491, 113.3453053 23.1636978, 113.3450639 23.1636965, 113.3450648 23.1635478, 113.3450467 23.1635477, 113.345047 23.1635134, 113.344964 23.1635129, 113.3449643 23.1634687, 113.3450071 23.1634689, 113.3450079 23.1633562, 113.3454612 23.1633587, 113.3454611 23.1633735, 113.345506 23.1633738, 113.3455101 23.1633293, 113.3455158 23.1632997, 113.3455248 23.1632805, 113.3455379 23.1632617, 113.345553 23.1632479, 113.3455734 23.1632331, 113.3455895 23.1632204, 113.3456197 23.1632056, 113.3456745 23.1631952))","[5808417266, 5808417301, 5808417298, 5808417296, 5808417295, 5808417291, 5808417292, 5808417289, 5808417290, 5808417293, 5808417294, 5808417297, 5808417281, 5808417280, 5808417279, 5808417282, 5808417288, 5808417287, 5808417300, 5808417285, 5808417286, 5808417299, 5808417283, 5808417284, 5808417267, 5808417265, 5808417264, 5808417263, 5808417262, 5808417261, 5808417260, 5808417259, 5808417258, 5808417266]",58,华南农业大学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,613986268,university,,动科温氏楼,,"POLYGON ((113.3442105 23.1634757, 113.3442351 23.1633391, 113.3445476 23.1633865, 113.344523 23.1635231, 113.3442105 23.1634757))","[5808417472, 5808417470, 5808417469, 5808417471, 5808417472]",22-2,华南农业大学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,613986275,dormitory,,,,"POLYGON ((113.3427483 23.1634088, 113.3423841 23.1634083, 113.342373 23.1634056, 113.3423678 23.1633962, 113.3423698 23.1633888, 113.342376 23.1633838, 113.3423854 23.1633838, 113.3423858 23.1633135, 113.3430677 23.1633167, 113.3430673 23.1633766, 113.3430805 23.1633767, 113.3430884 23.1633838, 113.3430909 23.1633936, 113.3430876 23.1634027, 113.3430798 23.1634089, 113.3430695 23.1634089, 113.3429029 23.163409, 113.3429387 23.1634239, 113.3429521 23.1634375, 113.3429607 23.163454, 113.3429637 23.1634761, 113.3429582 23.1634978, 113.3429447 23.1635164, 113.3429251 23.1635295, 113.3428994 23.163533, 113.3429013 23.1636444, 113.3421952 23.163642, 113.3421956 23.1635331, 113.3427526 23.1635344, 113.3427371 23.1635222, 113.342725 23.163506, 113.3427179 23.1634874, 113.3427164 23.1634678, 113.3427219 23.163445, 113.3427348 23.163425, 113.3427483 23.1634088))","[5808417636, 5808417652, 5808417645, 5808417646, 5808417644, 5808417643, 5808417647, 5808417651, 5808417650, 5808417648, 5808417641, 5808417640, 5808417642, 5808417639, 5808417638, 5808417649, 5808417629, 5808417626, 5808417625, 5808417628, 5808417624, 5808417623, 5808417622, 5808417621, 5808417653, 5808417655, 5808417656, 5808417654, 5808417637, 5808417632, 5808417631, 5808417630, 5808417635, 5808417634, 5808417633, 5808417636]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,614119141,university,,土木工程实验中心,,"POLYGON ((113.3427339 23.1616668, 113.3427467 23.1615884, 113.3429157 23.1616118, 113.3429029 23.1616902, 113.3427339 23.1616668))","[5809450265, 5809450264, 5809450263, 5809450262, 5809450265]",36-1,华南农业大学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,614119142,university,,,,"POLYGON ((113.3429023 23.1618894, 113.343021 23.1619058, 113.343048 23.1617405, 113.3429293 23.1617241, 113.3429023 23.1618894))","[5809450269, 5809450267, 5809450266, 5809450268, 5809450269]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,614119143,university,,,,"POLYGON ((113.3426864 23.1619443, 113.3426957 23.1618871, 113.3429545 23.1619229, 113.3429452 23.16198, 113.3426864 23.1619443))","[5809450273, 5809450271, 5809450270, 5809450272, 5809450273]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,614119144,university,,华山学生活动中心,,"POLYGON ((113.3434152 23.1619175, 113.3434726 23.1619172, 113.3434725 23.1619692, 113.3434589 23.1619692, 113.3434587 23.1620398, 113.3435064 23.1620399, 113.3435065 23.1619725, 113.3435169 23.1619725, 113.3435169 23.1619892, 113.3435573 23.1619893, 113.3435572 23.1620115, 113.3437141 23.1620118, 113.3438787 23.1620122, 113.343879 23.1619297, 113.3438816 23.1619298, 113.3439817 23.1618381, 113.3439681 23.1618381, 113.343858 23.1617363, 113.3437192 23.1618633, 113.3437145 23.1618633, 113.3434486 23.1618627, 113.3434518 23.1618554, 113.3434584 23.1618171, 113.3434551 23.1617783, 113.3434421 23.1617414, 113.3434201 23.1617082, 113.3433904 23.1616806, 113.3433544 23.1616602, 113.3433143 23.161648, 113.3432722 23.1616447, 113.3432304 23.1616505, 113.3431913 23.1616651, 113.3431628 23.1616829, 113.3431386 23.1617053, 113.3431194 23.1617315, 113.343106 23.1617606, 113.3430988 23.1617915, 113.3430981 23.1618232, 113.3431061 23.1618608, 113.3431232 23.1618958, 113.3431486 23.1619262, 113.343181 23.1619504, 113.3432185 23.1619672, 113.3432592 23.1619756, 113.3433009 23.1619752, 113.3433414 23.1619659, 113.3433789 23.1619482, 113.343411 23.1619228, 113.3434152 23.1619175))","[5809450277, 5809450316, 5809450315, 5809450314, 5809450320, 5809450312, 5809450313, 5809450308, 5809450309, 5809450310, 5809450311, 5809450319, 5809450318, 5809450275, 5809450317, 5809450274, 5809450307, 5809450306, 5809450305, 5809450321, 5809450276, 5809450292, 5809450293, 5809450294, 5809450295, 5809450296, 5809450297, 5809450298, 5809450299, 5809450300, 5809450301, 5809450303, 5809450278, 5809450279, 5809450280, 5809450281, 5809450282, 5809450302, 5809450283, 5809450284, 5809450285, 5809450286, 5809450287, 5809450288, 5809450289, 5809450304, 5809450290, 5809450291, 5809450277]",36,华南农业大学,,,,,,,,,,,3,,,,,,,,,,,新学活,,,,,,,,,,
