element_type,osmid,building,geometry,name,nodes,amenity,level,name:en,leisure,addr:city,addr:housenumber,addr:postcode,addr:street,building:levels,name:de,website,sport,shop,healthcare
way,183383951,yes,"POLYGON ((121.4986976 31.2869802, 121.4986202 31.2868595, 121.4987956 31.2867774, 121.4988128 31.2868043, 121.4992299 31.286609, 121.4991441 31.2864752, 121.4990807 31.2863763, 121.4990637 31.2863497, 121.4991906 31.2862903, 121.4993765 31.2865802, 121.4993052 31.2866136, 121.4993457 31.2866767, 121.4986976 31.2869802))",,"[1937562443, 1937562432, 1937562416, 1937562422, 1937562387, 1937562363, 1937562355, 1937562353, 1937562351, 1937562377, 1937562391, 1937562399, 1937562443]",,,,,,,,,,,,,,
way,183383952,yes,"POLYGON ((121.4985742 31.2839269, 121.4981289 31.2841018, 121.4980523 31.2839595, 121.4976771 31.2841068, 121.4977537 31.2842492, 121.4973021 31.2844266, 121.4972255 31.2842843, 121.4975885 31.2841417, 121.497515 31.284005, 121.4980414 31.2837982, 121.4981149 31.2839349, 121.4984976 31.2837845, 121.4985742 31.2839269))",解放楼,"[1937562240, 1937562244, 1937562242, 1937562245, 1937562249, 1937562254, 1937562250, 1937562246, 1937562243, 1937562239, 1937562241, 1937562238, 1937562240]",,,,,,,,,,,,,,
way,183383954,yes,"POLYGON ((121.4981746 31.2868135, 121.4978145 31.2869849, 121.4976257 31.2866953, 121.4981295 31.2864554, 121.4983187 31.2867455, 121.498241 31.2867825, 121.4982919 31.2868583, 121.4983751 31.2868091, 121.4984462 31.2869241, 121.4982751 31.2869811, 121.4981227 31.2870701, 121.4980516 31.2869551, 121.4982289 31.2868967, 121.4981746 31.2868135))",瑞安楼,"[1937562426, 1937562447, 1937562412, 1937562361, 1937562414, 1937562418, 1937562430, 1937562424, 1937562437, 1937562445, 1937562455, 1937562439, 1937562436, 1937562426]",,,Rui'an Building,,,,,,,,,,,
way,183383955,yes,"POLYGON ((121.4985857 31.2870886, 121.4982695 31.2872316, 121.4981943 31.2871102, 121.4985106 31.2869672, 121.4985857 31.2870886))",,"[1937562457, 1937562476, 1937562459, 1937562440, 1937562457]",,,,,,,,,,,,,,
way,183383956,yes,"POLYGON ((121.4980047 31.2871779, 121.4980962 31.2871358, 121.4980148 31.2870067, 121.4979233 31.2870489, 121.4980047 31.2871779))",,"[1937562466, 1937562463, 1937562449, 1937562453, 1937562466]",,,,,,,,,,,,,,
way,183383957,yes,"POLYGON ((121.498093 31.2844486, 121.4987155 31.2841959, 121.4988702 31.2844742, 121.4982476 31.2847269, 121.498093 31.2844486))",学苑饮食广场,"[1937562255, 1937562248, 1937562257, 1937562266, 1937562255]",restaurant,,Xueyuan Canteen,,,,,,,,,,,
way,183383958,yes,"POLYGON ((121.4971126 31.2861672, 121.4970228 31.2860261, 121.497504 31.2858026, 121.4975938 31.2859437, 121.4971126 31.2861672))",,"[1937562350, 1937562349, 1937562339, 1937562346, 1937562350]",,,,,,,,,,,,,,
way,183383959,yes,"POLYGON ((121.4968756 31.2856823, 121.4967894 31.285535, 121.4972103 31.2853552, 121.4972965 31.2855025, 121.4968756 31.2856823))",,"[1937562329, 1937562309, 1937562292, 1937562305, 1937562329]",,,,,,,,,,,,,,
way,183383960,yes,"POLYGON ((121.4982425 31.2872493, 121.4980678 31.2873295, 121.4979945 31.2872129, 121.4981691 31.2871327, 121.4982425 31.2872493))",,"[1937562477, 1937562485, 1937562470, 1937562461, 1937562477]",,,,,,,,,,,,,,
way,183383961,yes,"POLYGON ((121.4979494 31.287384, 121.4980678 31.2873295, 121.4979945 31.2872129, 121.4979631 31.2871631, 121.4978447 31.2872175, 121.4979494 31.287384))",,"[1937562487, 1937562485, 1937562470, 1937562465, 1937562475, 1937562487]",,,,,,,,,,,,,,
way,183383962,yes,"POLYGON ((121.4979673 31.2846665, 121.4975435 31.2848415, 121.4975931 31.2849292, 121.4976466 31.2849072, 121.4976756 31.2849584, 121.4980459 31.2848056, 121.4979673 31.2846665))",测绘与地理信息学院,"[1937562262, 1937562270, 1937562274, 1937562272, 1937562276, 1937562269, 1937562262]",,,College of Surveying and Geo-Informatics,,,,,,5,,,,,
way,183383963,yes,"POLYGON ((121.4970016 31.285862, 121.4969559 31.2857881, 121.4973458 31.2856117, 121.4974147 31.2857228, 121.4971752 31.2858312, 121.4971521 31.2857939, 121.4970016 31.285862))",,"[1937562343, 1937562335, 1937562319, 1937562331, 1937562341, 1937562337, 1937562343]",,,,,,,,,,,,,,
way,183383964,yes,"POLYGON ((121.4985713 31.2868366, 121.4984749 31.2866757, 121.498624 31.2866105, 121.498669 31.2866856, 121.498614 31.2867097, 121.4986654 31.2867955, 121.4985713 31.2868366))",,"[1937562428, 1937562398, 1937562389, 1937562402, 1937562410, 1937562420, 1937562428]",,,,,,,,,,,,,,
way,183383965,yes,"POLYGON ((121.4988356 31.2866826, 121.4989941 31.2866084, 121.4989631 31.2865599, 121.4991441 31.2864752, 121.4990807 31.2863763, 121.4988711 31.2864745, 121.498904 31.2865258, 121.4987741 31.2865866, 121.4988356 31.2866826))",,"[1937562400, 1937562385, 1937562371, 1937562363, 1937562355, 1937562362, 1937562367, 1937562379, 1937562400]",,,,,,,,,,,,,,
way,183383966,college,"POLYGON ((121.4975363 31.2847985, 121.4979601 31.2846266, 121.4978789 31.2844804, 121.4982858 31.2843153, 121.4982075 31.2841744, 121.497695 31.2843822, 121.497784 31.2845425, 121.4974658 31.2846716, 121.4975363 31.2847985))",青年楼,"[1937562268, 1937562260, 1937562258, 1937562251, 1937562247, 1937562252, 1937562259, 1937562263, 1937562268]",,,Youth Building,,,,,,,,,,,
way,183388116,yes,"POLYGON ((121.4956035 31.2842363, 121.496026 31.2840723, 121.4959526 31.2839341, 121.4956243 31.2840615, 121.495526 31.2838856, 121.4957334 31.2838127, 121.4956764 31.2836945, 121.4953334 31.2838255, 121.4955082 31.2841547, 121.4955513 31.284138, 121.4956035 31.2842363))",西南七楼,"[1937606789, 1937606765, 1937606758, 1937606764, 1937606757, 1937606745, 1937606741, 1937606750, 1937606776, 1937606771, 1937606789]",,,Xinan Apartments Building 7,,,,,,,,,,,
way,183388117,yes,"POLYGON ((121.4951537 31.2842186, 121.4952012 31.284183, 121.4952053 31.2841291, 121.4951637 31.2840886, 121.4951007 31.2840851, 121.495082 31.2840517, 121.4952826 31.2839698, 121.4952183 31.2838548, 121.49454 31.2841319, 121.4946126 31.2842617, 121.4950052 31.2841014, 121.4950711 31.2842193, 121.494659 31.2843876, 121.4947396 31.2845317, 121.4951517 31.2843634, 121.4952108 31.2844689, 121.4947986 31.2846373, 121.4948715 31.2847677, 121.4953513 31.2845717, 121.4952411 31.2843748, 121.4953164 31.284344, 121.4952946 31.284305, 121.4954375 31.2842467, 121.4953844 31.2841518, 121.4951662 31.2842409, 121.4951537 31.2842186))",西南八楼,"[1937606785, 1937606783, 1937606769, 1937606767, 1937606766, 1937606763, 1937606760, 1937606753, 1937606770, 1937606796, 1937606768, 1937606787, 1937606816, 1937606826, 1937606807, 1937606821, 1937606834, 1937606838, 1937606829, 1937606815, 1937606805, 1937606802, 1937606794, 1937606773, 1937606791, 1937606785]",,,Xinan Apartments Building 8,,,,,,,,,,,
way,183388118,yes,"POLYGON ((121.4947143 31.2848455, 121.4945614 31.2845553, 121.4946271 31.28453, 121.4945581 31.284399, 121.494342 31.2844822, 121.4942965 31.284396, 121.4943952 31.284358, 121.4943753 31.2843203, 121.4944928 31.284275, 121.4944344 31.2841642, 121.4941582 31.2842705, 121.4941714 31.2842955, 121.4940485 31.2843428, 121.4941009 31.2844422, 121.4942237 31.2843949, 121.494291 31.2845226, 121.494121 31.284588, 121.4941119 31.2845708, 121.4939614 31.2846287, 121.4940304 31.2847597, 121.4943936 31.2846199, 121.4944749 31.2847742, 121.4942622 31.284856, 121.4942493 31.2848316, 121.4940988 31.2848895, 121.4941833 31.2850499, 121.4947143 31.2848455))",西南九楼,"[1937606842, 1937606827, 1937606825, 1937606819, 1937606823, 1937606818, 1937606806, 1937606803, 1937606800, 1937606778, 1937606798, 1937606801, 1937606804, 1937606820, 1937606817, 1937606824, 1937606830, 1937606828, 1937606833, 1937606837, 1937606831, 1937606839, 1937606843, 1937606841, 1937606844, 1937606848, 1937606842]",,,Xinan Apartments Building 9,,,,,,,,,,,
way,183388119,yes,"POLYGON ((121.4929257 31.2848964, 121.4927857 31.2846262, 121.4931874 31.2844742, 121.4933274 31.2847445, 121.4929257 31.2848964))",同济大学生健身中心,"[1937606845, 1937606832, 1937606822, 1937606836, 1937606845]",,,,sports_centre,,,,,,,,,,
way,183388120,yes,"POLYGON ((121.5014775 31.2864666, 121.5012905 31.2861095, 121.5015922 31.2859941, 121.5017791 31.2863513, 121.5014775 31.2864666))",,"[1937606863, 1937606859, 1937606858, 1937606861, 1937606863]",,,,,,,,,,,,,,
