element_type,osmid,building,name,geometry,addr:city,nodes,addr:housename,addr:housenumber,addr:postcode,addr:street,building:levels,alt_name,layer,note,amenity,library,operator,fast_food,leisure,shop,atm,tourism,addr:district,addr:province,cuisine,diet:local,delivery,opening_hours,smoking,min_height,sport
way,283792159,yes,,"POLYGON ((114.397162 30.5241157, 114.3978449 30.524119, 114.3978457 30.5239952, 114.3971628 30.5239919, 114.397162 30.5241157))",,"[2876198751, 2876198752, 2876198753, 2876198754, 2876198751]",,,,,,,,,,,,,,,,,,,,,,,,,
way,283792160,yes,,"POLYGON ((114.3973731 30.5238949, 114.3977263 30.5238917, 114.397726 30.5238669, 114.3978206 30.5238661, 114.3978195 30.523773, 114.3973717 30.5237771, 114.3973731 30.5238949))",,"[2876198755, 2876198756, 2876198757, 2876198758, 2876198759, 2876198760, 2876198755]",,,,,,,,,,,,,,,,,,,,,,,,,
way,283792162,yes,,"POLYGON ((114.3980968 30.5252232, 114.3986417 30.5252283, 114.3986429 30.5251322, 114.398098 30.5251271, 114.3980968 30.5252232))",,"[2876198765, 2876198766, 2876198767, 2876198768, 2876198765]",,,,,,,,,,,,,,,,,,,,,,,,,
way,283792163,yes,,"POLYGON ((114.3981142 30.5249674, 114.3986468 30.5249704, 114.3986486 30.5248851, 114.3981159 30.524879, 114.3981142 30.5249674))",,"[2876198769, 2876198770, 2876198771, 2876198772, 2876198769]",,,,,,,,,,,,,,,,,,,,,,,,,
way,283792164,yes,,"POLYGON ((114.3981122 30.5247283, 114.3986412 30.5247263, 114.3986408 30.5246433, 114.3981118 30.5246452, 114.3981122 30.5247283))",,"[2876198773, 2876198774, 2876198775, 2876198776, 2876198773]",,,,,,,,,,,,,,,,,,,,,,,,,
way,283792165,yes,,"POLYGON ((114.3980844 30.5244839, 114.3986392 30.5244806, 114.3986385 30.5243953, 114.3980838 30.5243985, 114.3980844 30.5244839))",,"[2876198777, 2876198778, 2876198779, 2876198780, 2876198777]",,,,,,,,,,,,,,,,,,,,,,,,,
way,283792363,yes,,"POLYGON ((114.3988557 30.5252723, 114.3992768 30.5252676, 114.3992768 30.5251359, 114.3988503 30.5251452, 114.3988557 30.5252723))",,"[2876198782, 2876198783, 2876198784, 2876198785, 2876198782]",,,,,,,,,,,,,,,,,,,,,,,,,
way,283792626,yes,,"POLYGON ((114.3988557 30.5250389, 114.3993948 30.525025, 114.3993948 30.5248957, 114.398853 30.5249072, 114.3988557 30.5250389))",,"[2876202393, 2876202394, 2876202395, 2876202396, 2876202393]",,,,,,,,,,,,,,,,,,,,,,,,,
way,283792627,yes,,"POLYGON ((114.3988584 30.5247917, 114.3993975 30.5247824, 114.3994002 30.5246461, 114.3988503 30.5246577, 114.3988584 30.5247917))",,"[2876202397, 2876202398, 2876202399, 2876202400, 2876202397]",,,,,,,,,,,,,,,,,,,,,,,,,
way,283792628,yes,,"POLYGON ((114.3988906 30.5245066, 114.3995191 30.524492, 114.3995176 30.5244031, 114.3988844 30.5244177, 114.3988906 30.5245066))",,"[2876202401, 2876202402, 2876202403, 2876202404, 2876202401]",,,,,,,,,,,,,,,,,,,,,,,,,
way,283792629,yes,,"POLYGON ((114.3989968 30.5242535, 114.3995922 30.5242477, 114.3995908 30.5241421, 114.3989954 30.5241479, 114.3989968 30.5242535))",,"[2876202405, 2876202406, 2876202407, 2876202408, 2876202405]",,,,,,,,,,,,,,,,,,,,,,,,,
way,283792630,yes,,"POLYGON ((114.3990632 30.5240032, 114.3996587 30.5240032, 114.3996587 30.5239066, 114.3990632 30.5239066, 114.3990632 30.5240032))",,"[2876202409, 2876202410, 2876202411, 2876202412, 2876202409]",,,,,,,,,,,,,,,,,,,,,,,,,
way,283792631,yes,,"POLYGON ((114.3991473 30.5237819, 114.3997404 30.5237739, 114.3997404 30.5236753, 114.3991473 30.5236814, 114.3991473 30.5237819))",,"[2876202413, 2876202414, 2876202415, 2876202416, 2876202413]",,,,,,,,,,,,,,,,,,,,,,,,,
way,283792632,dormitory,研究生公寓10号楼,"POLYGON ((114.399308 30.5235148, 114.3998999 30.5235131, 114.3998996 30.5234155, 114.3993076 30.5234172, 114.399308 30.5235148))",,"[2876202417, 2876202418, 2876202419, 2876202420, 2876202417]",,,,,,,,,,,,,,,,,,,,,,,,,
way,283792633,yes,,"POLYGON ((114.3999208 30.5236956, 114.3999215 30.5235849, 114.39996 30.5235859, 114.39996 30.5235567, 114.4000289 30.5235577, 114.4000289 30.5235849, 114.400322 30.5235818, 114.4003196 30.5236955, 114.3999208 30.5236956))",,"[2876202421, 2876202422, 2876202423, 2876202424, 2876202425, 2876202426, 2876202427, 2876202428, 2876202421]",,,,,,,,,,,,,,,,,,,,,,,,,
way,283792634,yes,,"POLYGON ((114.4000441 30.523525, 114.4004901 30.5235189, 114.4004954 30.5234152, 114.4000441 30.5234229, 114.4000441 30.523525))",,"[2876202429, 2876202430, 2876202431, 2876202432, 2876202429]",,,,,,,,,,,,,,,,,,,,,,,,,
way,283792635,yes,,"POLYGON ((114.4006023 30.5237423, 114.4011968 30.5237322, 114.4011943 30.5236225, 114.4005998 30.5236325, 114.4006023 30.5237423))",,"[2876202433, 2876202434, 2876202435, 2876202436, 2876202433]",,,,,,,,,,,,,,,,,,,,,,,,,
