u,v,key,osmid,highway,oneway,reversed,length,width,geometry,lanes,name,access,bridge,service,maxspeed,junction,tunnel
2370583744,9051713940,0,228374745,footway,False,True,36.408,,"LINESTRING (-83.7161209 42.2977693, -83.7161249 42.2979369, -83.7161274 42.2979597, -83.716142 42.2979801, -83.7161777 42.2980024, -83.7162163 42.2980103, -83.7162834 42.2980089)",,,,,,,,
2370583746,2370583748,0,228374732,footway,False,False,18.465,,"LINESTRING (-83.7160303 42.2977699, -83.7158058 42.2977687)",,,,,,,,
2370583746,2370583744,0,228374732,footway,False,True,7.452,,"LINESTRING (-83.7160303 42.2977699, -83.7161209 42.2977693)",,,,,,,,
2370583746,2370583717,0,228374735,footway,False,False,8.687,,"LINESTRING (-83.7160303 42.2977699, -83.7160362 42.2976919)",,,,,,,,
2370583748,2370583699,0,228374732,footway,False,False,12.699,,"LINESTRING (-83.7158058 42.2977687, -83.7158065 42.2976545)",,,,,,,,
2370583748,2370583746,0,228374732,footway,False,True,18.465,,"LINESTRING (-83.7158058 42.2977687, -83.7160303 42.2977699)",,,,,,,,
2370583748,2370583750,0,978224505,footway,False,False,31.174999999999997,,"LINESTRING (-83.7158058 42.2977687, -83.7158112 42.2978561, -83.7156451 42.2978575, -83.7156439 42.2977875)",,,,,,,,
2370583750,2370583752,0,228374731,footway,False,False,16.59,,"LINESTRING (-83.7156439 42.2977875, -83.7154422 42.2977887)",,,,,,,,
2370583750,2370583701,0,228374734,footway,False,True,14.574,,"LINESTRING (-83.7156439 42.2977875, -83.7156381 42.2976565)",,,,,,,,
2370583750,2370583748,0,978224505,footway,False,True,31.175,,"LINESTRING (-83.7156439 42.2977875, -83.7156451 42.2978575, -83.7158112 42.2978561, -83.7158058 42.2977687)",,,,,,,,
8814868634,8814868708,0,"[952366248, 952366249, 952366258]",path,False,False,34.007000000000005,,"LINESTRING (-83.6998952 42.2967884, -83.6998813 42.2967634, -83.6998612 42.296687, -83.6998474 42.29663, -83.699839 42.2966017, -83.6998343 42.2965769, -83.6998734 42.2964927)",,,,yes,,,,
8814868634,8814868850,0,952366249,path,False,True,147.56400000000002,,"LINESTRING (-83.6998952 42.2967884, -83.6999349 42.2968318, -83.7001066 42.2969489, -83.7001589 42.2969658, -83.7002313 42.2969628, -83.7003145 42.2968844, -83.7004459 42.2967763, -83.7005357 42.2967555, -83.7006068 42.2967713, -83.7007651 42.2968547, -83.7009703 42.2970332, -83.7009917 42.2970868, -83.7009716 42.2971483, -83.7008281 42.2972385)",,,,,,,,
8814868634,8814868850,1,952366254,path,False,True,516.0049999999999,,"LINESTRING (-83.6998952 42.2967884, -83.6997901 42.296816, -83.6996976 42.2968398, -83.6995903 42.2968695, -83.6994991 42.2969191, -83.6994146 42.2969796, -83.6993167 42.2970451, -83.6991571 42.2971344, -83.6990431 42.29718, -83.6989841 42.2972395, -83.6989546 42.2972981, -83.6989291 42.2973844, -83.6989412 42.2974201, -83.6989774 42.297432, -83.6990082 42.2973774, -83.6990257 42.2973209, -83.6990565 42.2972871, -83.6990927 42.2972822, -83.6991423 42.297309, -83.6991678 42.2973387, -83.699192 42.2973943, -83.6992161 42.2974379, -83.6992577 42.297434, -83.6992925 42.2973933, -83.6993247 42.2973219, -83.6993113 42.2972653, -83.6992952 42.2972276, -83.6993019 42.2972058, -83.6993516 42.2971989, -83.6994052 42.2972167, -83.6994454 42.2972683, -83.6995339 42.2974191, -83.6995634 42.2974826, -83.6996439 42.297548, -83.6997432 42.2975818, -83.699888 42.297552, -83.6999524 42.2975064, -83.6999443 42.2974369, -83.6997888 42.2973615, -83.6997002 42.2972624, -83.6996225 42.2971155, -83.6995608 42.2970223, -83.6995795 42.2969826, -83.69966 42.2969826, -83.6997244 42.2970144, -83.6997888 42.297062, -83.6999282 42.297181, -83.7000945 42.2973298, -83.700293 42.2973913, -83.700403 42.2973873, -83.7004995 42.2973695, -83.7005344 42.2972921, -83.7005103 42.2972068, -83.7005022 42.2971354, -83.7005237 42.297062, -83.7005746 42.2969965, -83.7006497 42.2969747, -83.7007061 42.2970183, -83.700749 42.2970659, -83.700757 42.2971235, -83.7007758 42.2971889, -83.7008281 42.2972385)",,,,,,,,
11034401992,11061843649,0,1191433472,footway,False,False,1.534,,"LINESTRING (-83.7211525 42.291322, -83.7211525 42.2913358)",,,,,,,,
11034401993,11065635183,0,1191906579,footway,False,False,1.423,,"LINESTRING (-83.7209303 42.2904769, -83.7209304 42.2904897)",,,,,,,,
11034401994,11407776629,0,1230134702,footway,False,False,4.618,,"LINESTRING (-83.7210608 42.290532, -83.7210402 42.290532, -83.7210403 42.2905583)",,,,,,,,
2370583752,2370583775,0,228374731,footway,False,False,13.297,,"LINESTRING (-83.7154422 42.2977887, -83.7153359 42.2978788)",,,,,,,,
2370583752,2370583750,0,228374731,footway,False,True,16.59,,"LINESTRING (-83.7154422 42.2977887, -83.7156439 42.2977875)",,,,,,,,
2370583752,9051713927,0,978224510,footway,False,False,19.09,,"LINESTRING (-83.7154422 42.2977887, -83.7152101 42.2977896)",,,,,,,,
2262867165,2262866703,0,216970504,footway,False,False,28.216,,"LINESTRING (-83.7254623 42.2951437, -83.7253448 42.2949053)",,,,,,,,
2262867165,8359150597,0,305610781,service,False,False,5.367,,"LINESTRING (-83.7254623 42.2951437, -83.7254852 42.2951889)",,,,,parking_aisle,,,
2262867165,8359150607,0,8722649,residential,False,True,66.738,,"LINESTRING (-83.7254623 42.2951437, -83.7261805 42.2949429, -83.7262213 42.2949315)",2,Gilbert Court,,,,,,
2370583775,2370583752,0,228374731,footway,False,True,13.297,,"LINESTRING (-83.7153359 42.2978788, -83.7154422 42.2977887)",,,,,,,,
2370583775,2370583810,0,228374731,footway,False,False,19.731,,"LINESTRING (-83.7153359 42.2978788, -83.715234 42.2979557, -83.7152298 42.2980254)",,,,,,,,
2370583775,2370583836,0,228374746,footway,False,False,55.747,,"LINESTRING (-83.7153359 42.2978788, -83.7156673 42.2981174, -83.7156728 42.2981466, -83.7155493 42.2982388)",,,,,,,,
2370583808,2370583810,0,228374731,footway,False,True,11.683,,"LINESTRING (-83.7150882 42.2980337, -83.7152298 42.2980254)",,,,,,,,
2370583808,9051713934,0,228374746,footway,False,True,13.468,,"LINESTRING (-83.7150882 42.2980337, -83.7152097 42.2981149)",,,,,,,,
2370583808,2397822423,0,228374731,footway,False,False,42.391,,"LINESTRING (-83.7150882 42.2980337, -83.7150299 42.2980038, -83.7150136 42.2980048, -83.7149345 42.2980497, -83.7148742 42.2980713, -83.714806 42.2980895, -83.7146904 42.2980996, -83.714618 42.2981024)",,,,,,,,
