element_type,osmid,amenity,bicycle_parking,capacity,covered,geometry,access,fee,lit,operator,surface,nodes,building,description,layer
way,980710260,bicycle_parking,stands,110,no,"POLYGON ((-83.7356103 42.2762677, -83.735608 42.2761738, -83.7353025 42.2761779, -83.7353048 42.2762718, -83.7356103 42.2762677))",,,,,,"[9071728068, 9071728067, 9071728066, 9071728065, 9071728068]",,,
way,980710262,bicycle_parking,stands,14,no,"POLYGON ((-83.736064 42.2774198, -83.7360644 42.2774818, -83.7360837 42.2774817, -83.7360833 42.2774198, -83.736064 42.2774198))",,,,,,"[9071728075, 9071728074, 9071728073, 9071728072, 9071728075]",,,
way,981348699,bicycle_parking,stands,38,no,"POLYGON ((-83.7367471 42.2776048, -83.7367468 42.2775824, -83.7363533 42.2775853, -83.7363536 42.2776077, -83.7367471 42.2776048))",,no,,,,"[9077637518, 9077637519, 9077637520, 9077637521, 9077637518]",,,
way,992014306,bicycle_parking,stands,26,yes,"POLYGON ((-83.7388013 42.2798841, -83.7387859 42.2798843, -83.7387883 42.2799706, -83.7388037 42.2799704, -83.7388013 42.2798841))",,,,,,"[9165503185, 9165503184, 9165503183, 9165503182, 9165503185]",,,
way,992014307,bicycle_parking,stands,20,yes,"POLYGON ((-83.7387966 42.2797541, -83.7387812 42.2797543, -83.7387836 42.2798406, -83.738799 42.2798404, -83.7387966 42.2797541))",,,,,,"[9165503189, 9165503188, 9165503187, 9165503186, 9165503189]",,,
way,992339524,bicycle_parking,,,,"POLYGON ((-83.7020134 42.3010096, -83.7020131 42.3010527, -83.7019225 42.3010523, -83.7019228 42.3010092, -83.7020134 42.3010096))",,,,,concrete,"[9168493671, 9168493668, 9168493669, 9168493670, 9168493671]",roof,Bicycle parking area.,1
way,992493803,bicycle_parking,,,,"POLYGON ((-83.702887 42.2994126, -83.7028871 42.2994396, -83.7027851 42.2994397, -83.7027851 42.2994127, -83.702887 42.2994126))",,,,,concrete,"[9169917934, 9169917933, 9169917932, 9169917931, 9169917934]",,,
way,992493804,bicycle_parking,,,,"POLYGON ((-83.7024798 42.2994612, -83.7023886 42.2994613, -83.7023885 42.2994211, -83.7024797 42.299421, -83.7024798 42.2994612))",,,,,concrete,"[9169917938, 9169917937, 9169917936, 9169917935, 9169917938]",roof,Bicycle parking area.,1
way,992576060,bicycle_parking,,,,"POLYGON ((-83.7036211 42.3007947, -83.7036865 42.3007946, -83.7036864 42.3007706, -83.703621 42.3007708, -83.7036211 42.3007947))",,,,,concrete,"[9170643325, 9170643324, 9168493708, 9170643323, 9170643325]",,Bicycle parking area.,
way,993180406,bicycle_parking,,,,"POLYGON ((-83.7033887 42.3001575, -83.7032552 42.3001577, -83.7032551 42.3001344, -83.7033886 42.3001341, -83.7033887 42.3001575))",,,,,concrete,"[9175677835, 9175677834, 9175677833, 9175677832, 9175677835]",,Bicycle parking area.,
way,998596722,bicycle_parking,stands,34,no,"POLYGON ((-83.7360808 42.2769398, -83.7360576 42.2769402, -83.7360519 42.2767779, -83.7360752 42.2767774, -83.7360808 42.2769398))",,,,,,"[9071728069, 9220005834, 9220005833, 9220005832, 9071728069]",,,
way,1019622946,bicycle_parking,stands,,yes,"POLYGON ((-83.7393572 42.2796571, -83.7393412 42.2796575, -83.7393606 42.2800928, -83.7393766 42.2800924, -83.7393572 42.2796571))",,,,,,"[9404054868, 9404054867, 9404054866, 9404054865, 9404054868]",,,
way,1020956714,bicycle_parking,stands,22,no,"POLYGON ((-83.7340198 42.2785833, -83.7340379 42.2785704, -83.7339541 42.2785061, -83.733936 42.278519, -83.7340198 42.2785833))",,,,,,"[9416437880, 9416437879, 9416437878, 9416437877, 9416437880]",,,
way,1020956715,bicycle_parking,stands,18,no,"POLYGON ((-83.7341653 42.2786146, -83.734062 42.2786146, -83.734062 42.2785967, -83.7341653 42.2785967, -83.7341653 42.2786146))",,,,,,"[9416437884, 9416437883, 9416437882, 9416437881, 9416437884]",,,
way,1020956716,bicycle_parking,stands,66,no,"POLYGON ((-83.7348981 42.278556, -83.7348984 42.2785143, -83.7344924 42.2785124, -83.7344921 42.2785541, -83.7348981 42.278556))",,,,,,"[9416437895, 9416437894, 9416437893, 9416437892, 9416437895]",,,
way,1020956718,bicycle_parking,stands,20,no,"POLYGON ((-83.7344845 42.2778577, -83.7344708 42.2778485, -83.73442 42.2778897, -83.7344337 42.2778989, -83.7344845 42.2778577))",,,,,,"[9416437903, 9416437902, 9416437901, 9416437900, 9416437903]",,,
way,1021822136,bicycle_parking,,,,"POLYGON ((-83.7423001 42.2518502, -83.7423242 42.2518805, -83.7421837 42.2519416, -83.7421596 42.2519112, -83.7423001 42.2518502))",,,,,,"[9424356396, 9424356393, 9424356394, 9424356395, 9424356396]",,,
way,1072317975,bicycle_parking,stands,24,no,"POLYGON ((-83.7094877 42.2932585, -83.7094875 42.2932238, -83.709346 42.2932242, -83.7093462 42.293259, -83.7094877 42.2932585))",yes,no,yes,University of Michigan,,"[9838875854, 9838875852, 9838875851, 9838875853, 9838875854]",,,
way,1167775487,bicycle_parking,stands,64,no,"POLYGON ((-83.711513 42.2938068, -83.7114051 42.2938068, -83.7114051 42.2937135, -83.711513 42.2937135, -83.711513 42.2938068))",yes,no,,University of Michigan,brick,"[2562410113, 10860698381, 10860698380, 10860698379, 2562410113]",,,
