u,v,key,osmid,lanes,name,highway,maxspeed,oneway,reversed,length,access,geometry,tunnel,bridge,service
1141096742,29354253,0,"[98631144, 667213289]",,Unwin Road,service,,False,True,78.792,"['private', 'destination']","LINESTRING (-0.1751105 51.4995316, -0.1754411 51.4995029, -0.175431 51.4994493, -0.1754099 51.4993183, -0.1754038 51.4992848, -0.1753817 51.4991551, -0.1753645 51.4990597, -0.1753647 51.4990268, -0.1753731 51.4990053)",building_passage,,
1770238794,8339646088,0,367135152,,Imperial College Road,service,20 mph,False,False,47.058,permissive,"LINESTRING (-0.1748881 51.4981179, -0.1742131 51.4981681)",,,
1770238794,7933770414,0,850407201,,,service,,False,True,12.772,destination,"LINESTRING (-0.1748881 51.4981179, -0.1748669 51.4980038)",,,
1770238794,29354228,0,"[367135152, 367135153]",,Imperial College Road,service,"['10 mph', '20 mph']",False,True,19.464,"['permissive', 'destination']","LINESTRING (-0.1748881 51.4981179, -0.1749656 51.4981159, -0.1751675 51.4980995)",,,
1770238798,6768922415,0,"[667213282, 24433429]",,Ayrton Road,service,,True,False,24.903,"['private', 'destination']","LINESTRING (-0.1761817 51.4989375, -0.1765067 51.4989154, -0.1765393 51.498913)",building_passage,,
1770238798,1770238861,0,667213290,,,footway,,False,True,28.68,,"LINESTRING (-0.1761817 51.4989375, -0.1761403 51.4987202, -0.1761551 51.4986822)",building_passage,,
1770238800,29354253,0,24433430,,Unwin Road,service,,False,False,42.278,destination,"LINESTRING (-0.1752868 51.4986289, -0.1753731 51.4990053)",,,
1770238800,29354228,0,"[488362011, 488362012, 24433430]",,Unwin Road,service,,False,True,59.445,destination,"LINESTRING (-0.1752868 51.4986289, -0.1752205 51.4983437, -0.1751987 51.4982494, -0.1751933 51.4982261, -0.1751675 51.4980995)",building_passage,,
1770238800,1770238801,0,"[165484893, 788238806]",,,pedestrian,,False,False,65.185,,"LINESTRING (-0.1752868 51.4986289, -0.1754235 51.4986197, -0.176117 51.4985729, -0.1761662 51.4985931, -0.1762055 51.4986099)",building_passage,,
1770238801,1770238802,0,788238806,,,pedestrian,,False,False,1.975,,"LINESTRING (-0.1762055 51.4986099, -0.1762295 51.4986195)",building_passage,,
1770238801,6705384903,0,"[165484894, 698340191]",,Dalby Court,footway,,False,False,88.004,,"LINESTRING (-0.1762055 51.4986099, -0.1754049 51.4990203, -0.1753771 51.4990352, -0.1752325 51.499119)",,yes,
1770238801,1770238800,0,"[165484893, 788238806]",,,pedestrian,,False,True,65.185,,"LINESTRING (-0.1762055 51.4986099, -0.1761662 51.4985931, -0.176117 51.4985729, -0.1754235 51.4986197, -0.1752868 51.4986289)",building_passage,,
1770238802,1770238801,0,788238806,,,pedestrian,,False,True,1.975,,"LINESTRING (-0.1762295 51.4986195, -0.1762055 51.4986099)",building_passage,,
1770238802,1770238861,0,"[667213292, 1133279014]",,,"['pedestrian', 'footway']",,False,"[False, True]",9.021,,"LINESTRING (-0.1762295 51.4986195, -0.176176 51.4986457, -0.1761551 51.4986822)",building_passage,,
1770238802,7371559428,0,"[1213090898, 165484891, 788238806]",,Dangoor Plaza,pedestrian,,False,"[False, True]",25.713,,"LINESTRING (-0.1762295 51.4986195, -0.1763355 51.4986143, -0.1763952 51.498609, -0.1765132 51.4985932, -0.176597 51.4985885)",building_passage,,
1770238861,1770238798,0,667213290,,,footway,,False,False,28.68,,"LINESTRING (-0.1761551 51.4986822, -0.1761403 51.4987202, -0.1761817 51.4989375)",building_passage,,
1770238861,6705384901,0,"[713315215, 713315214, 165484895]",,Dalby Court,"['steps', 'footway']",,False,"[False, True]",23.484,permissive,"LINESTRING (-0.1761551 51.4986822, -0.176153 51.4987212, -0.1761843 51.4988731, -0.1761879 51.498892)",,yes,
1770238861,1770238802,0,"[667213292, 1133279014]",,,"['pedestrian', 'footway']",,False,"[False, True]",9.021,,"LINESTRING (-0.1761551 51.4986822, -0.176176 51.4986457, -0.1762295 51.4986195)",building_passage,,
1770239303,1108317691,0,23106603,2,Prince's Gardens,residential,20 mph,False,False,8.15,,"LINESTRING (-0.1738382 51.4998359, -0.1737218 51.4998469)",,,
1770239303,26389375,0,23106603,2,Prince's Gardens,residential,20 mph,False,True,36.669,,"LINESTRING (-0.1738382 51.4998359, -0.17418 51.4998065, -0.1743629 51.4997905)",,,
2609483561,7652058100,0,819387602,,,footway,,False,False,2.109,,"LINESTRING (-0.1744788 51.4990873, -0.1744488 51.4990906)",,,
2920576165,7370281030,0,299032751,2,Prince Consort Road,residential,20 mph,False,False,3.577,,"LINESTRING (-0.1781046 51.4997705, -0.1780533 51.4997744)",,,
