element_type,osmid,nodes,amenity,building,emergency,healthcare,name,name:en,name:zh,name:zh-Hans,name:zh-Hant,operator,operator:type,wheelchair,geometry,building:levels,smoking,ref,leisure,air_conditioning,outdoor_seating,layer,note,access,sport,description,internet_access,internet_access:fee,addr:city,addr:housenumber,addr:postcode,addr:street,foot,start_date,addr:province,bicycle_parking,man_made
way,271958258,"[2768927339, 2768927340, 2768927341, 2768927342, 2768927343, 2768927344, 2768927346, 2768927347, 2768927339]",,dormitory,,,原第四教学楼（东北楼）,,原第四教学楼（东北楼）,原第四教学楼（东北楼）,原第四教學樓（東北樓）,中国科学技术大学,,yes,"POLYGON ((117.2641303 31.8371229, 117.2641377 31.8370418, 117.2643028 31.8370528, 117.2643129 31.836943, 117.2648473 31.8369784, 117.2648351 31.8371115, 117.2642982 31.8370759, 117.2642929 31.8371337, 117.2641303 31.8371229))",,no,222#,,,,,,,,,,,,,,,,,,,
way,271958260,"[2768927357, 2768927358, 2768927359, 2768927368, 2768927363, 2768927364, 2768927360, 2768927357]",,yes,,,215#,215#,215#,,,中国科学技术大学,,yes,"POLYGON ((117.2650811 31.8373086, 117.2657527 31.8373447, 117.2657404 31.8374792, 117.2656351 31.8374713, 117.265446 31.8374599, 117.2651478 31.8374447, 117.2650712 31.8374414, 117.2650811 31.8373086))",,no,,,,,,,,,,,,,,,,,,,,
way,271958261,"[2768927361, 2768927362, 2768927363, 2768927364, 2768927361]",,yes,,,,,,,,中国科学技术大学,,yes,"POLYGON ((117.2651392 31.8375668, 117.2654374 31.837582, 117.265446 31.8374599, 117.2651478 31.8374447, 117.2651392 31.8375668))",,no,,,,,,,,,,,,,,,,,,,,
way,271958262,"[2768927365, 2768927367, 2768927359, 2768927368, 2768927365]",,yes,,,,,,,,中国科学技术大学,,yes,"POLYGON ((117.2656235 31.837584, 117.2657288 31.8375918, 117.2657404 31.8374792, 117.2656351 31.8374713, 117.2656235 31.837584))",,no,,,,,,,,,,,,,,,,,,,,
way,271958263,"[2768927369, 2768927370, 2768927371, 2768927372, 2768927373, 2768927374, 2768927369]",,yes,,,档案馆,,档案馆,档案馆,檔案館,中国科学技术大学,,yes,"POLYGON ((117.2650728 31.8376074, 117.2652119 31.8376133, 117.2652097 31.8376508, 117.2657557 31.8376741, 117.2657477 31.8378101, 117.2650625 31.8377808, 117.2650728 31.8376074))",,no,214#,,,,,,,,,,,,,,,,,,,
way,271958264,"[2768927376, 2768927377, 2768927378, 2768927379, 2768927376]",public_bath,yes,,,浴室,,浴室,浴室,浴室,,,yes,"POLYGON ((117.2622951 31.8375797, 117.2625208 31.8375919, 117.2625141 31.8376817, 117.2622884 31.8376695, 117.2622951 31.8375797))",,,,,,,,,,,,,,,,,,,,,,
way,271958265,"[2768927380, 2768927381, 2768927382, 2768927383, 2768927380]",,retail,,,,,,,,中国科学技术大学,,yes,"POLYGON ((117.2622231 31.8375796, 117.2622294 31.8374979, 117.2621094 31.8374912, 117.262103 31.8375729, 117.2622231 31.8375796))",,no,,,,,,,,,,,,,,,,,,,,
way,271958268,"[2768927395, 2768927397, 2768927398, 2768927399, 2768927400, 2768927401, 2768927402, 2768927403, 2768927395]",,dormitory,,,原第四教学楼（西北楼）,,原第四教学楼（西北楼）,原第四教学楼（西北楼）,原第四教學樓（西北樓）,中国科学技术大学,,yes,"POLYGON ((117.2632351 31.8368469, 117.2637645 31.836872, 117.2637582 31.8369684, 117.2639165 31.8369759, 117.2639107 31.8370626, 117.2637531 31.8370551, 117.2637557 31.8370161, 117.2632256 31.8369908, 117.2632351 31.8368469))",,no,230#,,,,,,,,,,,,,,,,,,,
way,271958271,"[2768927440, 2768927441, 2768927442, 2768927445, 2768927446, 2768927447, 2768927448, 2768927449, 2768927440]",,yes,,,礼堂,,礼堂,礼堂,禮堂,中国科学技术大学,,yes,"POLYGON ((117.2629698 31.8360068, 117.2629677 31.8360487, 117.263035 31.8360511, 117.2630174 31.8364058, 117.2629438 31.8364032, 117.2629416 31.8364468, 117.2622429 31.8364218, 117.2622647 31.8359816, 117.2629698 31.8360068))",,no,,,,,,331#,,,,,,,,,,,,,,
way,271959067,"[2768934121, 2768934122, 2768934123, 2768934125, 2768934121]",,yes,,,羽毛球馆,,羽毛球馆,羽毛球馆,羽毛球館,中国科学技术大学,government,,"POLYGON ((117.2610296 31.8372361, 117.2610045 31.8374101, 117.2603855 31.8373584, 117.2604004 31.8371838, 117.2610296 31.8372361))",,,,sports_centre,,,,,private,badminton,,,,,,,,,,,,
