u,v,key,osmid,oneway,name,highway,reversed,length,access,geometry,tunnel,width,bridge
2706849472,2706849473,0,265033439,False,芳草路,service,False,87.031,permissive,"LINESTRING (117.2640009 31.837159, 117.2649204 31.8372079)",,,
2706849472,2706849471,0,265033439,False,芳草路,service,True,84.244,permissive,"LINESTRING (117.2640009 31.837159, 117.2631122 31.837096)",,,
2706849473,3732911532,0,265033439,False,芳草路,service,False,79.733,permissive,"LINESTRING (117.2649204 31.8372079, 117.2657615 31.8372677)",,,
2706849473,2706849472,0,265033439,False,芳草路,service,True,87.031,permissive,"LINESTRING (117.2649204 31.8372079, 117.2640009 31.837159)",,,
2706849473,2706849475,0,265033440,False,,service,True,47.487,permissive,"LINESTRING (117.2649204 31.8372079, 117.2649558 31.8367819)",,,
2706849473,2896638821,0,265033440,False,,service,False,94.857,permissive,"LINESTRING (117.2649204 31.8372079, 117.2649708 31.8373333, 117.264998 31.8376663, 117.2649847 31.8380529)",,,
2706849475,2706839904,0,265032060,False,四牌楼路,residential,True,86.535,permissive,"LINESTRING (117.2649558 31.8367819, 117.264041 31.8367414)",,,
2706849475,2706849473,0,265033440,False,,service,False,47.487,permissive,"LINESTRING (117.2649558 31.8367819, 117.2649204 31.8372079)",,,
2706849475,10583324251,0,265032060,False,四牌楼路,residential,False,24.207,permissive,"LINESTRING (117.2649558 31.8367819, 117.2650663 31.8367868, 117.2652117 31.8367933)",,,
2706849478,2706849482,0,265032054,False,孺子牛路,residential,False,82.43,permissive,"LINESTRING (117.2649294 31.8387992, 117.2658003 31.8388455)",,,
2706849478,3026584403,0,298738842,False,,service,True,13.011,permissive,"LINESTRING (117.2649294 31.8387992, 117.2649423 31.8386827)",,,
2706849478,2724738770,0,265032054,False,孺子牛路,residential,True,29.823,permissive,"LINESTRING (117.2649294 31.8387992, 117.2648428 31.8388346, 117.2646247 31.8388128)",,,
2706849480,10583324243,0,306495981,False,,service,True,34.518,,"LINESTRING (117.2657975 31.8369322, 117.2661626 31.8369448)",,,
2706849480,2706849481,0,265033441,False,志学路,residential,False,128.824,permissive,"LINESTRING (117.2657975 31.8369322, 117.2658016 31.8372706, 117.2658421 31.83809)",,,
2706849480,10583324251,0,"[265033441, 265032060]",False,"['志学路', '四牌楼路']",residential,True,63.724000000000004,permissive,"LINESTRING (117.2657975 31.8369322, 117.2654405 31.8369177, 117.2653768 31.8368006, 117.2652117 31.8367933)",,,
2706849481,2706849482,0,265033441,False,志学路,residential,False,84.101,permissive,"LINESTRING (117.2658421 31.83809, 117.2658003 31.8388455)",,,
2706849481,2896638821,0,286026284,False,,service,False,81.099,permissive,"LINESTRING (117.2658421 31.83809, 117.2649847 31.8380529)",,,
2706849481,2706849480,0,265033441,False,志学路,residential,True,128.824,permissive,"LINESTRING (117.2658421 31.83809, 117.2658016 31.8372706, 117.2657975 31.8369322)",,,
2706849482,2706849478,0,265032054,False,孺子牛路,residential,True,82.43,permissive,"LINESTRING (117.2658003 31.8388455, 117.2649294 31.8387992)",,,
2706849482,2706849489,0,265033441,False,志学路,residential,False,80.311,permissive,"LINESTRING (117.2658003 31.8388455, 117.2657395 31.8395659)",,,
2706849482,2706849481,0,265033441,False,志学路,residential,True,84.101,permissive,"LINESTRING (117.2658003 31.8388455, 117.2658421 31.83809)",,,
