element_type,osmid,nodes,building,name,name:zh,name:zh-Hans,name:zh-Hant,geometry,leisure,wikidata,wikipedia,layer,building:levels,amenity,operator
way,442376447,"[4400686165, 4400686163, 5257003756, 4400686162, 4400686164, 4400686165]",university,北京工业大学第三教学楼,北京工业大学第三教学楼,北京工业大学第三教学楼,北京工業大學第三教學樓,"POLYGON ((116.4743509 39.8743749, 116.4743489 39.8738874, 116.4751393 39.8738855, 116.4760441 39.8738834, 116.476046 39.8743708, 116.4743509 39.8743749))",,,,,5,,
way,442376449,"[4400686147, 4400686133, 4400686134, 4400686148, 4400686147]",university,信息楼东,信息楼东,信息楼东,信息楼东,"POLYGON ((116.4726252 39.8736389, 116.472628 39.8733008, 116.4728007 39.8733017, 116.4727979 39.8736397, 116.4726252 39.8736389))",,,,,,,
way,442376451,"[4400686144, 10264529442, 4400686137, 4400686138, 4400686145, 4400686144]",university,,,,,"POLYGON ((116.474893 39.8736294, 116.4748952 39.8734974, 116.4748964 39.8734282, 116.4750496 39.8734298, 116.4750461 39.873631, 116.474893 39.8736294))",,,,,,,
way,442376453,"[4400686090, 4400684182, 4400684183, 4400686091, 4400686090]",apartments,学生宿舍5号楼,学生宿舍5号楼,学生宿舍5号楼,學生宿舍5號樓,"POLYGON ((116.4747283 39.8720693, 116.4747284 39.8719497, 116.4754329 39.8719501, 116.4754327 39.8720698, 116.4747283 39.8720693))",,,,,,,
way,442376455,"[4400686112, 4400686113, 4400686125, 4400686126, 4400686130, 4400686129, 4400686112]",apartments,学生宿舍9号楼,学生宿舍9号楼,学生宿舍9号楼,學生宿舍9號樓,"POLYGON ((116.4742398 39.8727659, 116.4744106 39.8727665, 116.4744085 39.873108, 116.475005 39.8731101, 116.4750043 39.8732333, 116.474237 39.8732306, 116.4742398 39.8727659))",,,,,,,
way,442376457,"[4400686122, 4400686121, 4400686115, 4400686114, 4400686116, 4400686117, 4400686118, 4400686122]",apartments,学生宿舍12号楼,学生宿舍12号楼,学生宿舍12号楼,學生宿舍12號樓,"POLYGON ((116.4752857 39.8730157, 116.4759955 39.873012, 116.475986 39.8728807, 116.4753564 39.8728747, 116.4753171 39.8728879, 116.4752936 39.8729036, 116.4752889 39.8729253, 116.4752857 39.8730157))",,,,,,,
way,442376462,"[4400686161, 4400686124, 4400686123, 4400686127, 4400686128, 4400686153, 4400686152, 4400686160, 4400686161]",university,信息楼,信息楼,信息楼,信息樓,"POLYGON ((116.4719854 39.8738922, 116.4719818 39.8730589, 116.4727956 39.8730568, 116.4727963 39.8732214, 116.4721002 39.8732232, 116.4721025 39.8737486, 116.4728023 39.8737468, 116.4728029 39.8738901, 116.4719854 39.8738922))",,,,,,,
way,442376464,"[4400686107, 8508759282, 4400686105, 4400686104, 4400686119, 4400686120, 4400686110, 4400686111, 4400686106, 4400686107]",yes,美食园,美食园,美食园,美食園,"POLYGON ((116.4743234 39.872684, 116.4743232 39.872606, 116.474323 39.8724955, 116.4749915 39.8724946, 116.4749927 39.8729601, 116.4748448 39.8729603, 116.4748442 39.8727366, 116.4747747 39.8727367, 116.4747746 39.8726833, 116.4743234 39.872684))",,,,,2,restaurant,
way,442376586,"[4400687342, 4400687337, 4400687338, 4400687336, 4400687335, 4400687334, 4400687340, 4400687339, 4400687341, 4400687343, 4400687342]",university,城建楼,城建楼,城建楼,城建樓,"POLYGON ((116.4800226 39.8719427, 116.4800259 39.8717437, 116.4802916 39.8717462, 116.4804521 39.8717114, 116.4806174 39.8716616, 116.4808718 39.8716591, 116.480875 39.8718619, 116.4806725 39.8718581, 116.4804942 39.8719191, 116.4803143 39.8719452, 116.4800226 39.8719427))",,,,,,,
way,442376587,"[4400687352, 4400687347, 4400687348, 4400687346, 4400687344, 4400687345, 4400687349, 4400687350, 4400687351, 4400687353, 4400687352]",university,软件楼,软件楼,软件楼,軟件樓,"POLYGON ((116.480371 39.8724054, 116.4803694 39.8722089, 116.480619 39.8722089, 116.4807697 39.872189, 116.4809139 39.8721479, 116.4810971 39.8721541, 116.4811003 39.8723444, 116.4809496 39.8723531, 116.4807989 39.8723942, 116.4806449 39.8724141, 116.480371 39.8724054))",,,,,,,
way,442376588,"[4400687327, 4400687328, 4400687326, 4400687325, 4400687324, 4400687330, 4400687329, 4400687331, 4400687333, 4400687332, 4400687327]",university,实训楼,实训楼,实训楼,實訓樓,"POLYGON ((116.4794538 39.8712947, 116.4798606 39.8712947, 116.4800469 39.8712487, 116.4802544 39.8711629, 116.4805461 39.8711554, 116.4805461 39.8713631, 116.4803192 39.8713557, 116.4801101 39.8714477, 116.47988 39.871495, 116.4794425 39.8714912, 116.4794538 39.8712947))",,,,,,,
way,442376589,"[4400687382, 4400687376, 4400687377, 4400687383, 4400687382]",university,理科楼,理科楼,理科楼,理科樓,"POLYGON ((116.4794956 39.8742861, 116.4794963 39.874056, 116.4807263 39.874058, 116.4807256 39.8742881, 116.4794956 39.8742861))",,,,,9,,
way,442376590,"[4400687367, 4400687363, 4400687362, 4400687366, 4400687367]",university,艺术楼,艺术楼,艺术楼,藝術樓,"POLYGON ((116.478627 39.8735175, 116.4786245 39.8732041, 116.4792565 39.8732011, 116.479259 39.8735145, 116.478627 39.8735175))",,,,,,,
way,442376591,"[4400687365, 4400687357, 4400687356, 4400687364, 4400687365]",university,环能楼,环能楼,环能楼,環能樓,"POLYGON ((116.4794968 39.8732483, 116.4794951 39.8730163, 116.480717 39.8730108, 116.4807187 39.8732428, 116.4794968 39.8732483))",,,,,,,
way,442376592,"[4400687372, 4400687368, 4400687369, 4400687373, 4400687372]",university,生命楼,生命楼,生命楼,生命樓,"POLYGON ((116.4797278 39.8737759, 116.4797308 39.8735396, 116.4807259 39.8735472, 116.4807228 39.8737835, 116.4797278 39.8737759))",,,,,,,
way,442376593,"[4400687371, 10734051843, 4400687361, 4400687360, 4400687370, 4400687371]",university,,,,,"POLYGON ((116.4809505 39.8735738, 116.4809481 39.8734428, 116.4809422 39.8731223, 116.4812777 39.8731187, 116.4812859 39.8735702, 116.4809505 39.8735738))",,,,,,,
way,442376594,"[4400687381, 4400687378, 4400687379, 4400687380, 4400687381]",university,北工大第四教学楼,北工大第四教学楼,北工大第四教学楼,北工大第四教學樓,"POLYGON ((116.4779678 39.8742834, 116.478065 39.8740819, 116.4793161 39.8740819, 116.4793161 39.8742784, 116.4779678 39.8742834))",,,,,9,,
way,442376595,"[4400687358, 4400687354, 4400687355, 4400687359, 4400687358]",university,,,,,"POLYGON ((116.4811011 39.8730677, 116.4811011 39.8729601, 116.4812867 39.8729601, 116.4812867 39.8730677, 116.4811011 39.8730677))",,,,,,,
way,442376596,"[4400687384, 4400687374, 4400687375, 4400687387, 4400687386, 4400687385, 4400687384]",university,,,,,"POLYGON ((116.4809887 39.8742895, 116.4809915 39.8738114, 116.4813418 39.8738126, 116.4813385 39.8743684, 116.4810644 39.8743675, 116.4810649 39.8742897, 116.4809887 39.8742895))",,,,,,,
