element_type,osmid,nodes,building,name,geometry,amenity,name:en,name:zh,leisure,building:levels,ref,ways,type
way,675691008,"[6327768800, 6327768801, 6327768802, 6327768803, 6327768804, 6327768805, 6327768800]",dormitory,,"POLYGON ((126.6814736 45.770824, 126.6815084 45.7703649, 126.6830437 45.7704215, 126.6830315 45.7705823, 126.6817952 45.7705367, 126.6817725 45.770835, 126.6814736 45.770824))",,,,,7,,,
way,675691011,"[6327768810, 6327768811, 6327768812, 6327768813, 6327768810]",yes,,"POLYGON ((126.6789012 45.7694313, 126.6789129 45.7692666, 126.6799748 45.7693033, 126.6799631 45.7694681, 126.6789012 45.7694313))",,,,,,,,
way,675708929,"[6327905547, 6327905548, 6327905549, 6327905550, 6327905547]",yes,,"POLYGON ((126.6724422 45.772212, 126.6724756 45.7718158, 126.6734551 45.771856, 126.6734217 45.7722522, 126.6724422 45.772212))",,,,,,,,
way,675708930,"[6327905551, 6327905552, 6327905553, 6327905554, 6327905551]",yes,,"POLYGON ((126.6737732 45.773348, 126.6737867 45.7731737, 126.6748028 45.7732119, 126.6747893 45.7733862, 126.6737732 45.773348))",,,,,,,,
way,675708931,"[6327905555, 6327905556, 6327905557, 6327905558, 6327905555]",yes,,"POLYGON ((126.6703486 45.7744293, 126.6703637 45.7742721, 126.6713786 45.7743196, 126.6713635 45.7744768, 126.6703486 45.7744293))",,,,,,,,
way,675708932,"[6327905559, 6327905560, 6327905561, 6327905562, 6327905559]",yes,,"POLYGON ((126.6736768 45.7729397, 126.6736817 45.7727997, 126.6747322 45.7728175, 126.6747273 45.7729574, 126.6736768 45.7729397))",,,,,,,,
way,675708937,"[6327905572, 6327905573, 6327905574, 6327905575, 6327905572]",yes,大学生美食城,"POLYGON ((126.6776677 45.7746176, 126.677721 45.774105, 126.6784499 45.7741419, 126.6783966 45.7746545, 126.6776677 45.7746176))",,,,,,,,
way,675708942,"[6327905790, 6327905791, 6327905792, 6327905793, 6327905790]",university,,"POLYGON ((126.6783129 45.7800737, 126.6784115 45.7798292, 126.6788838 45.7799218, 126.6787852 45.7801663, 126.6783129 45.7800737))",,,,,,,,
way,675708943,"[6327905794, 6327905795, 6327905796, 6327905797, 6327905794]",yes,,"POLYGON ((126.6795408 45.7793324, 126.6797765 45.7787934, 126.6800727 45.7788564, 126.679837 45.7793954, 126.6795408 45.7793324))",,,,,,,,
way,675733275,"[6328109098, 6328109099, 6328109100, 6328109101, 6328109102, 6328109103, 6328109104, 6328109105, 6328109098]",dormitory,,"POLYGON ((126.6782451 45.7703738, 126.6778855 45.7703617, 126.6779321 45.7696878, 126.6782984 45.7697001, 126.6782885 45.7698439, 126.6780975 45.7698375, 126.6780699 45.7702366, 126.6782541 45.7702428, 126.6782451 45.7703738))",,,,,,,,
way,675733276,"[6328109106, 6328109107, 6328109108, 6328109109, 6328109110, 6328109111, 6328109112, 6328109113, 6328109106]",dormitory,,"POLYGON ((126.6747548 45.7702362, 126.6747647 45.7701096, 126.6749638 45.7701171, 126.6749972 45.76969, 126.6748449 45.7696842, 126.6748535 45.769574, 126.6752343 45.7695885, 126.6751823 45.7702525, 126.6747548 45.7702362))",,,,,,,,
way,675733277,"[6328109114, 6328109115, 6328109116, 6328109117, 6328109118, 6328109119, 6328109114]",dormitory,,"POLYGON ((126.6772244 45.7693513, 126.6772389 45.7692002, 126.6785598 45.7692622, 126.6785274 45.7695981, 126.6783396 45.7695893, 126.6783574 45.7694045, 126.6772244 45.7693513))",,,,,,,,
way,675733278,"[6328109120, 6328109121, 6328109122, 6328109123, 6328109124, 6328109125, 6328109126, 6328109127, 6328109120]",dormitory,,"POLYGON ((126.6771155 45.769236, 126.6770878 45.7695073, 126.6761038 45.7694584, 126.6761321 45.7691806, 126.6763303 45.7691905, 126.676316 45.7693303, 126.6768843 45.7693585, 126.6768979 45.7692252, 126.6771155 45.769236))",,,,,,,,
way,675733279,"[6328109128, 6328109129, 6328109130, 6328109131, 6328109128]",dormitory,,"POLYGON ((126.6748942 45.769286, 126.6749072 45.7691434, 126.6759232 45.7691886, 126.6759102 45.7693312, 126.6748942 45.769286))",,,,,,,,
way,675733280,"[6328109132, 6328109133, 6328109134, 6328109135, 6328109132]",university,,"POLYGON ((126.6729264 45.7696854, 126.6729395 45.7695472, 126.6732691 45.7695624, 126.6732561 45.7697006, 126.6729264 45.7696854))",,,,,,,,
way,675733281,"[6328109136, 6328109137, 6328109138, 6328109139, 6328109140, 6328109141, 6328109142, 6328109143, 6328109144, 6328109145, 6328109146, 6328109147, 6328109136]",dormitory,,"POLYGON ((126.6742281 45.770877, 126.6748051 45.7708889, 126.6748088 45.7708005, 126.6744594 45.7707933, 126.674483 45.7702349, 126.674621 45.7702377, 126.6746268 45.7701015, 126.674265 45.770094, 126.6742591 45.770234, 126.6743159 45.7702352, 126.6742934 45.7707691, 126.6742327 45.7707678, 126.6742281 45.770877))",,,,,,,,
way,675733282,"[6328109148, 6328109149, 6328109150, 6328109151, 6328109152, 6328109153, 6328109154, 6328109155, 6328109156, 6328109157, 6328109148]",dormitory,,"POLYGON ((126.6741318 45.7698291, 126.6741456 45.769708, 126.6743045 45.7697168, 126.674371 45.7691334, 126.674748 45.7691543, 126.6747367 45.769253, 126.6745538 45.7692429, 126.6744983 45.7697297, 126.6746108 45.7697359, 126.6745972 45.7698549, 126.6741318 45.7698291))",,,,,,,,
way,675733283,"[6328109158, 6328109159, 6328109160, 6328109161, 6328109162, 6328109163, 6328109158]",yes,,"POLYGON ((126.6724401 45.7714513, 126.6724523 45.7712176, 126.6730531 45.771233, 126.6730473 45.7713441, 126.6727018 45.7713353, 126.6726954 45.7714578, 126.6724401 45.7714513))",,,,,,,,
way,675733284,"[6328109164, 6328109165, 6328109166, 6328109167, 6328109168, 6328109169, 6328109170, 6328109171, 6328109164]",university,,"POLYGON ((126.6729431 45.769888, 126.6728666 45.7706607, 126.6738256 45.7707069, 126.6739021 45.7699334, 126.673677 45.7699226, 126.6736122 45.7705768, 126.6731029 45.7705523, 126.6731676 45.7698988, 126.6729431 45.769888))",,,,,,,,
way,675733285,"[6328109172, 6328109173, 6328109174, 6328109175, 6328109176, 6328109177, 6328109178, 6328109179, 6328109180, 6328109181, 6328109172]",university,,"POLYGON ((126.6737523 45.7722061, 126.6737913 45.7718469, 126.6741001 45.7718632, 126.6740775 45.7720718, 126.6744938 45.7720938, 126.6745202 45.7718503, 126.6750488 45.7718782, 126.6750319 45.7720332, 126.6748248 45.7720223, 126.6747988 45.7722614, 126.6737523 45.7722061))",,,,,,,,
way,675733294,"[6328109221, 6328109222, 6328109223, 6328109224, 6328109221]",yes,,"POLYGON ((126.6801272 45.769446, 126.6801411 45.7693053, 126.6810632 45.7693498, 126.6810492 45.7694906, 126.6801272 45.769446))",,,,,,,,
way,675733295,"[6328109225, 6328109226, 6328109227, 6328109228, 6328109225]",yes,,"POLYGON ((126.6813734 45.7695099, 126.6813911 45.7693544, 126.6830556 45.7694468, 126.6830379 45.7696022, 126.6813734 45.7695099))",,,,,,,,
way,675733296,"[6328109229, 6328109230, 6328109231, 6328109232, 6328109229]",yes,,"POLYGON ((126.6825794 45.7702642, 126.6826313 45.7696277, 126.683036 45.7696438, 126.6829841 45.7702803, 126.6825794 45.7702642))",,,,,,,,
way,675733297,"[6328109233, 6328109234, 6328109235, 6328109236, 6328109237, 6328109238, 6328109239, 6328109240, 6328109233]",university,,"POLYGON ((126.677876 45.7771513, 126.6769699 45.7771193, 126.6770423 45.7761222, 126.6782964 45.7761665, 126.6782857 45.7763148, 126.6773666 45.7762823, 126.6773139 45.7770092, 126.6778849 45.7770294, 126.677876 45.7771513))",,,,,,,,
relation,9384167,"[[[6327768589, 6327768590, 6327768591, 6327768592, 6327768589], [6327768597, 6327768598, 6327768599, 6327768600, 6327768597], [6327768593, 6327768594, 6327768595, 6327768596, 6327768593]]]",university,61#,"POLYGON ((126.682175 45.7749399, 126.6801521 45.7745611, 126.6795258 45.7761882, 126.6815487 45.776567, 126.682175 45.7749399), (126.6814389 45.7757576, 126.6812337 45.7762958, 126.6799374 45.7760554, 126.6801426 45.7755172, 126.6814389 45.7757576), (126.6815746 45.7754786, 126.6802521 45.7752238, 126.6804233 45.7747917, 126.6817457 45.7750465, 126.6815746 45.7754786))",,,,,,,"[675690963, 675690965, 675690964]",multipolygon
relation,9384168,"[[[6327768637, 6327768638, 6327768639, 6327768640, 6327768637], [6327768641, 6327768642, 6327768643, 6327768644, 6327768641], [6327768645, 6327768646, 6327768647, 6327768648, 6327768645]]]",university,Building 11,"POLYGON ((126.6775513 45.7713692, 126.6753339 45.7712713, 126.6752516 45.7721773, 126.677469 45.7722752, 126.6775513 45.7713692), (126.6762478 45.7715558, 126.6762057 45.7719891, 126.675561 45.7719586, 126.6756031 45.7715253, 126.6762478 45.7715558), (126.6766303 45.7715473, 126.6772577 45.7715779, 126.677213 45.7720251, 126.6765855 45.7719946, 126.6766303 45.7715473))",,,11#,,,,"[675690973, 675690974, 675690975]",multipolygon
relation,9384170,"[[[6327768626, 6327768627, 6327768628, 6327768629, 6327768626], [6327768685, 6327768686, 6327768687, 6327768688, 6327768685], [6327768689, 6327768690, 6327768691, 6327768692, 6327768689]]]",university,21号教学楼,"POLYGON ((126.6751696 45.7730132, 126.6750641 45.7740904, 126.6772908 45.7741964, 126.6773962 45.7731192, 126.6751696 45.7730132), (126.6760604 45.7732852, 126.6760271 45.7738872, 126.6754285 45.7738711, 126.6754618 45.7732691, 126.6760604 45.7732852), (126.6764211 45.7733162, 126.6770693 45.7733435, 126.6770199 45.7739147, 126.6763717 45.7738874, 126.6764211 45.7733162))",,,,,6,,"[675690971, 675690988, 675690989]",multipolygon
