u,v,key,osmid,highway,oneway,reversed,length,geometry,name,service,tunnel
6328109220,6327768657,0,675690978,residential,False,True,183.812,"LINESTRING (126.678706 45.7713506, 126.6810715 45.7714513)",郑和路,,
6328109220,5636755212,0,"[675733288, 675733292, 675733293]",service,False,True,229.763,"LINESTRING (126.678706 45.7713506, 126.678705 45.7714776, 126.6796492 45.771515, 126.6795794 45.7722933, 126.6795637 45.772793)",,driveway,yes
6328109241,6327767446,0,675690930,service,False,False,28.997,"LINESTRING (126.6728969 45.7786954, 126.6728663 45.7789553)",,,
6328109241,6327767445,0,675690930,service,False,True,90.811,"LINESTRING (126.6728969 45.7786954, 126.6729844 45.777881)",,,
6328109241,6328109242,0,675733298,service,False,False,129.334,"LINESTRING (126.6728969 45.7786954, 126.6745609 45.7787731)",,,
6328109242,6327767448,0,279766039,residential,False,False,88.731,"LINESTRING (126.6745609 45.7787731, 126.674596 45.7779755)",陈赓路,,
6328109242,9880612182,0,279766039,residential,False,True,23.602,"LINESTRING (126.6745609 45.7787731, 126.6745493 45.7789852)",陈赓路,,
6328109242,6328109241,0,675733298,service,False,True,129.334,"LINESTRING (126.6745609 45.7787731, 126.6728969 45.7786954)",,,
6328109243,6327767448,0,675708923,residential,False,False,31.149,"LINESTRING (126.6741946 45.7779655, 126.674596 45.7779755)",北海路,,
6328109243,8956491786,0,675733299,service,False,False,22.359,"LINESTRING (126.6741946 45.7779655, 126.6741865 45.7781665)",,driveway,
6328109243,8956491788,0,675708923,residential,False,True,79.947,"LINESTRING (126.6741946 45.7779655, 126.6736523 45.7779303, 126.6731694 45.7778906)",北海路,,
8463470191,6327768660,0,675690979,service,False,False,133.484,"LINESTRING (126.6751026 45.7723998, 126.6752102 45.7712017)",陈赓路,,
8463470191,8463470199,0,675690979,service,False,True,19.809,"LINESTRING (126.6751026 45.7723998, 126.6750867 45.7725776)",陈赓路,,
8463470191,8463470197,0,911499279,residential,False,False,337.30800000000005,"LINESTRING (126.6751026 45.7723998, 126.6726091 45.7722979, 126.6725402 45.7722819, 126.6724841 45.772257, 126.6724305 45.7722249, 126.6723999 45.7721733, 126.6724875 45.7710859)",,,
8463470197,6327768660,0,675690978,residential,False,True,211.569,"LINESTRING (126.6724875 45.7710859, 126.6752102 45.7712017)",郑和路,,
8463470197,8463470191,0,911499279,residential,False,True,337.308,"LINESTRING (126.6724875 45.7710859, 126.6723999 45.7721733, 126.6724305 45.7722249, 126.6724841 45.772257, 126.6725402 45.7722819, 126.6726091 45.7722979, 126.6751026 45.7723998)",,,
8463470199,8463470191,0,675690979,service,False,False,19.809,"LINESTRING (126.6750867 45.7725776, 126.6751026 45.7723998)",陈赓路,,
8463470199,2839601048,0,675690979,service,False,True,9.86,"LINESTRING (126.6750867 45.7725776, 126.6750787 45.7726661)",陈赓路,,
8463470199,3480430918,0,911499280,footway,False,True,209.339,"LINESTRING (126.6750867 45.7725776, 126.6726768 45.7724901, 126.6723911 45.7724978)",,,
8956491775,8956491776,0,968103894,service,False,True,29.423,"LINESTRING (126.6783044 45.7754481, 126.6779252 45.77544)",,,
8956491776,8956491775,0,968103894,service,False,False,29.423,"LINESTRING (126.6779252 45.77544, 126.6783044 45.7754481)",,,
8956491776,8956491777,0,968103895,service,False,False,77.487,"LINESTRING (126.6779252 45.77544, 126.6779941 45.7747448)",,,
8956491776,6327768705,0,968103895,service,False,True,63.064,"LINESTRING (126.6779252 45.77544, 126.6779061 45.7756333, 126.6773714 45.775615)",,,
8956491777,6327905511,0,675708921,service,False,True,40.82,"LINESTRING (126.6779941 45.7747448, 126.677469 45.7747197)",,,
8956491777,8956491776,0,968103895,service,False,True,77.487,"LINESTRING (126.6779941 45.7747448, 126.6779252 45.77544)",,,
8956491777,6327905513,0,675708921,service,False,False,277.149,"LINESTRING (126.6779941 45.7747448, 126.6783558 45.774812, 126.6788669 45.7748483, 126.6782898 45.7766776)",,,
8956491779,6327768703,0,968103896,service,False,True,119.073,"LINESTRING (126.6780201 45.777186, 126.6768533 45.7771261, 126.6768506 45.7770064, 126.6767084 45.7769146)",,,
8956491786,6328109243,0,675733299,service,False,True,22.359,"LINESTRING (126.6741865 45.7781665, 126.6741946 45.7779655)",,driveway,
