element_type,osmid,building,name,geometry,nodes,name:zh,office,leisure,sport,amenity,building:levels,fast_food,name_1,ways,type
way,599537890,dormitory,学生宿舍20舍,"POLYGON ((103.9878055 30.5596246, 103.9883167 30.5597209, 103.9883353 30.5596475, 103.9884514 30.5596694, 103.9884783 30.5595631, 103.9885056 30.5595683, 103.9885377 30.5594413, 103.9884941 30.5594332, 103.9885197 30.5593316, 103.9884316 30.5593152, 103.9883531 30.5596266, 103.9878406 30.5595308, 103.987922 30.559208, 103.9877707 30.5591797, 103.9877434 30.559288, 103.9877119 30.5592821, 103.9876733 30.5594347, 103.9877339 30.5594461, 103.9877119 30.5595326, 103.9878235 30.5595536, 103.9878055 30.5596246))","[5703862076, 5703862077, 5703862078, 5703862079, 5703862080, 5703862081, 5703862082, 5703862083, 5703862084, 5703862085, 5703862086, 5703862087, 5703862088, 5703862089, 5703862090, 5703862091, 5703862092, 5703862093, 5703862094, 5703862095, 5703862076]",,,,,,,,,,
way,599537891,dormitory,学生宿舍20舍,"POLYGON ((103.9884841 30.5592375, 103.9885928 30.5592567, 103.9886276 30.5591101, 103.9878426 30.5589717, 103.9878123 30.559099, 103.9878713 30.5591094, 103.9878802 30.5590721, 103.9884975 30.5591809, 103.9884841 30.5592375))","[5703862096, 5703862097, 5703862098, 5703862099, 5703862100, 5703862101, 5703862102, 5703862103, 5703862096]",,,,,,,,,,
way,599538916,dormitory,学生宿舍17舍,"POLYGON ((103.9881063 30.5583168, 103.9879884 30.558297, 103.9879127 30.5586328, 103.988031 30.5586526, 103.9880127 30.558734, 103.9885291 30.5588204, 103.9885429 30.5587588, 103.988667 30.5587796, 103.9887457 30.5584307, 103.9886422 30.5584134, 103.9885734 30.5587183, 103.988036 30.5586284, 103.9881063 30.5583168))","[5703867632, 5703867633, 5703867634, 5703867635, 5703867636, 5703867637, 5703867638, 5703867639, 5703867640, 5703867641, 5703867642, 5703867643, 5703867632]",,,,,,,,,,
way,599538917,dormitory,学生宿舍17舍,"POLYGON ((103.9880133 30.5582142, 103.9881026 30.5582296, 103.9881131 30.5581845, 103.9887053 30.5582865, 103.988697 30.5583225, 103.9888077 30.5583416, 103.9888365 30.5582176, 103.9880442 30.5580811, 103.9880133 30.5582142))","[5703867644, 5703867645, 5703867646, 5703867647, 5703867648, 5703867649, 5703867650, 5703867651, 5703867644]",,,,,,,,,,
way,599538918,dormitory,学生宿舍16舍,"POLYGON ((103.9889844 30.5584784, 103.9890892 30.5584943, 103.9890091 30.5588154, 103.9895329 30.5588976, 103.9896191 30.5585872, 103.98973 30.5586137, 103.9896376 30.5589454, 103.9895329 30.5589374, 103.9895113 30.5590064, 103.9889875 30.5589109, 103.9889998 30.5588419, 103.9888951 30.558826, 103.9889844 30.5584784))","[5703867652, 5703867653, 5703867654, 5703867655, 5703867656, 5703867657, 5703867658, 5703867659, 5703867660, 5703867661, 5703867662, 5703867663, 5703867652]",,,,,,,,,,
way,599538919,dormitory,学生宿舍16舍,"POLYGON ((103.9889956 30.5584064, 103.9890885 30.5584231, 103.9891043 30.5583577, 103.9896964 30.5584642, 103.9896857 30.5585084, 103.9897916 30.5585274, 103.9898251 30.5583892, 103.9890343 30.5582469, 103.9889956 30.5584064))","[5703867664, 5703867665, 5703867666, 5703867667, 5703867668, 5703867669, 5703867670, 5703867671, 5703867664]",,,,,,,,,,
way,599562714,yes,艺术学院工坊,"POLYGON ((103.9899885 30.5599944, 103.9905889 30.5600098, 103.9905952 30.5598271, 103.9899948 30.5598117, 103.9899885 30.5599944))","[5703974088, 5703974089, 5703974090, 5703974091, 5703974088]",,,,,,,,,,
way,599562724,yes,四川大学瑞升网球训练中心,"POLYGON ((103.9911954 30.5599462, 103.9911399 30.5595105, 103.9920395 30.5594256, 103.992095 30.5598613, 103.9911954 30.5599462))","[5703974111, 5703974112, 5703974113, 5703974114, 5703974111]",,,sports_centre,tennis,,,,,,
way,599567592,dormitory,学生宿舍18舍,"POLYGON ((103.9881603 30.5577565, 103.9881844 30.5576645, 103.9891908 30.5578608, 103.989238 30.5576811, 103.9893587 30.5577046, 103.9893073 30.5578998, 103.9891878 30.5578765, 103.9891677 30.5579529, 103.9881603 30.5577565))","[5704012639, 5704012640, 5704012641, 5704012642, 5704012643, 5704012644, 5704012645, 5704012646, 5704012639]",,,,,,,,,,
way,599567593,dormitory,学生宿舍18舍,"POLYGON ((103.9881709 30.5575289, 103.9882611 30.5575439, 103.9882906 30.557413, 103.9892535 30.5575736, 103.9892441 30.5576153, 103.9893693 30.5576361, 103.9893988 30.5575049, 103.9882205 30.5573083, 103.9881709 30.5575289))","[5704012647, 5704012648, 5704012649, 5704012650, 5704012651, 5704012652, 5704012653, 5704012654, 5704012647]",,,,,,,,,,
