u,v,key,osmid,highway,oneway,reversed,length,name,geometry,bridge
5703974096,5703864658,0,859542689,residential,False,True,106.388,,"LINESTRING (103.9887173 30.5590073, 103.988942 30.5580703)",
5703974119,4770839252,0,484339182,residential,False,False,128.327,,"LINESTRING (103.9911207 30.5600753, 103.9924444 30.5598946)",
5703974119,5703974120,0,484339182,residential,False,True,44.601,,"LINESTRING (103.9911207 30.5600753, 103.9907587 30.5601328, 103.990664 30.5601535)",
5703974119,5703950642,0,599562726,residential,False,True,198.885,,"LINESTRING (103.9911207 30.5600753, 103.9910796 30.5598636, 103.9910351 30.5594982, 103.9910544 30.5591682, 103.9911372 30.5588263, 103.9912575 30.5584475, 103.9912992 30.5583182)",
5703974120,5703989224,0,599562728,residential,False,False,12.665,,"LINESTRING (103.990664 30.5601535, 103.9906649 30.5600396)",
5703974120,5703974119,0,484339182,residential,False,False,44.601,,"LINESTRING (103.990664 30.5601535, 103.9907587 30.5601328, 103.9911207 30.5600753)",
5703974120,4770839247,0,484339182,residential,False,True,182.2,,"LINESTRING (103.990664 30.5601535, 103.9902666 30.5602403, 103.9898152 30.560476, 103.9895608 30.5607323, 103.9893375 30.5611871)",
5703989224,5703974120,0,599562728,residential,False,True,12.665,,"LINESTRING (103.9906649 30.5600396, 103.990664 30.5601535)",
5703989224,5703989224,0,599562728,residential,False,False,194.05399999999997,,"LINESTRING (103.9906649 30.5600396, 103.9906659 30.5597806, 103.9899535 30.559778, 103.9899522 30.560037, 103.9906649 30.5600396)",
5703989224,5703989224,1,599562728,residential,False,True,194.054,,"LINESTRING (103.9906649 30.5600396, 103.9899522 30.560037, 103.9899535 30.559778, 103.9906659 30.5597806, 103.9906649 30.5600396)",
5704032070,4770960534,0,604500132,residential,False,False,40.945,,"LINESTRING (103.9912917 30.5561777, 103.9915675 30.5558963)",
5704032070,5704032072,0,604500132,residential,False,True,54.292,,"LINESTRING (103.9912917 30.5561777, 103.9909618 30.5565748)",
5704032070,4770960549,0,484351220,pedestrian,False,False,141.91,,"LINESTRING (103.9912917 30.5561777, 103.9923072 30.5567758, 103.9925455 30.5568457)",
5704032070,5704044557,0,484351220,pedestrian,False,True,114.38399999999999,,"LINESTRING (103.9912917 30.5561777, 103.9910695 30.5560607, 103.990171 30.5558407)",
5704032072,5704032070,0,604500132,residential,False,False,54.292,,"LINESTRING (103.9909618 30.5565748, 103.9912917 30.5561777)",
5704032072,4770960509,0,599571307,pedestrian,False,True,168.156,,"LINESTRING (103.9909618 30.5565748, 103.9916267 30.5567761, 103.9917279 30.5568174, 103.9917409 30.5568773, 103.9917378 30.5569188, 103.9914657 30.5575852)",
5704032072,4770960553,0,604500132,residential,False,True,73.943,,"LINESTRING (103.9909618 30.5565748, 103.9906753 30.5569549, 103.99062 30.5570494, 103.9905904 30.5571523)",
5704044556,5704044557,0,484351220,pedestrian,False,False,6.093,,"LINESTRING (103.9901098 30.5558257, 103.990171 30.5558407)",
