u,v,key,osmid,oneway,name,highway,reversed,length,maxspeed,access,geometry,service,junction
1684824562,1684824522,0,156205176,False,,service,False,24.996,,,"LINESTRING (118.770742 32.0575457, 118.7706951 32.057545, 118.7706991 32.05736)",driveway,
1684824577,1684824543,0,156205191,False,,service,False,10.154,,,"LINESTRING (118.7708908 32.0575481, 118.7708928 32.0574568)",driveway,
1684824577,1684824579,0,156205196,False,,service,False,18.474,,,"LINESTRING (118.7708908 32.0575481, 118.7710868 32.0575511)",driveway,
1684824577,1684824562,0,156205196,False,,service,True,14.025,,,"LINESTRING (118.7708908 32.0575481, 118.770742 32.0575457)",driveway,
1684824579,1684824524,0,156205176,False,,service,True,18.406,,,"LINESTRING (118.7710868 32.0575511, 118.7710904 32.0573856)",driveway,
1684824579,1684824577,0,156205196,False,,service,True,18.474,,,"LINESTRING (118.7710868 32.0575511, 118.7708908 32.0575481)",driveway,
1684824579,1684824595,0,156205176,False,,service,False,47.701,,,"LINESTRING (118.7710868 32.0575511, 118.7710833 32.0577109, 118.7712799 32.0577139, 118.7712821 32.0576114)",driveway,
1684824595,1684824579,0,156205176,False,,service,True,47.701,,,"LINESTRING (118.7712821 32.0576114, 118.7712799 32.0577139, 118.7710833 32.0577109, 118.7710868 32.0575511)",driveway,
1684824654,1683685567,0,156050906,False,南秀村,residential,False,8.743,,,"LINESTRING (118.7708349 32.0577113, 118.7708844 32.0577778)",alley,
1684824654,1684824562,0,156205176,False,,service,False,20.389,,,"LINESTRING (118.7708349 32.0577113, 118.770742 32.0575457)",driveway,
1684824661,1683601266,0,156050906,False,南秀村,residential,False,33.729,,,"LINESTRING (118.7714977 32.057883, 118.7718555 32.0578905)",alley,
1684824661,1683685567,0,156050906,False,南秀村,residential,True,59.690000000000005,,,"LINESTRING (118.7714977 32.057883, 118.7710093 32.0578344, 118.7708844 32.0577778)",alley,
1684824661,1684824531,0,156205200,False,,service,False,82.572,,,"LINESTRING (118.7714977 32.057883, 118.7714914 32.057436, 118.7718401 32.0574325)",driveway,
1684901806,1030350299,0,156066573,False,两江路,service,False,62.913,10,permissive,"LINESTRING (118.7757401 32.0577733, 118.7750791 32.057694)",,
1684901806,1030357729,0,156066573,False,两江路,service,True,19.711,10,permissive,"LINESTRING (118.7757401 32.0577733, 118.7759472 32.0577981)",,
1684901806,1984452120,0,156217231,False,,footway,False,28.962,,,"LINESTRING (118.7757401 32.0577733, 118.7756971 32.0580312)",,
1684901809,1030357740,0,156066609,False,南高路,service,False,28.145,10,permissive,"LINESTRING (118.775219 32.0582749, 118.7755147 32.0583104)",,
1684901809,1683685593,0,156066609,False,南高路,service,True,22.11,10,permissive,"LINESTRING (118.775219 32.0582749, 118.7749867 32.058247)",,
1684901809,1684901822,0,156217239,False,,footway,True,22.674,,,"LINESTRING (118.775219 32.0582749, 118.7751829 32.0584765)",,
1684901810,1683685601,0,156066609,False,南高路,service,False,19.311,10,permissive,"LINESTRING (118.7756479 32.0583264, 118.7758508 32.0583507)",,
1684901810,1030357740,0,156066609,False,南高路,service,True,12.678,10,permissive,"LINESTRING (118.7756479 32.0583264, 118.7755147 32.0583104)",,
1684901810,1984452120,0,156217231,False,,footway,True,33.151,,,"LINESTRING (118.7756479 32.0583264, 118.7756971 32.0580312)",,
1684901812,1030357740,0,156217229,False,,footway,False,3.462,,,"LINESTRING (118.7755086 32.0583411, 118.7755147 32.0583104)",,
1684901812,1030357726,0,187804259,False,,footway,False,31.885,,,"LINESTRING (118.7755086 32.0583411, 118.7758436 32.0583813)",,
