u,v,key,osmid,name,highway,oneway,reversed,length,geometry,tunnel
2035903754,2035903784,0,193057327,,service,False,True,127.391,"LINESTRING (121.4926773 31.3019758, 121.4920055 31.3022015, 121.4915524 31.3025618)",
2035903767,2035903781,0,193057325,,service,False,False,34.584,"LINESTRING (121.4936191 31.3022358, 121.493438 31.3025056)",
2035903767,2035903754,0,193057327,,service,False,True,94.035,"LINESTRING (121.4936191 31.3022358, 121.4926773 31.3019758)",
2035903767,2035903744,0,193057325,,service,False,True,72.17099999999999,"LINESTRING (121.4936191 31.3022358, 121.4937939 31.3019755, 121.4934137 31.3018481)",
2035903771,1994986960,0,188862025,,service,False,False,40.886,"LINESTRING (121.4926688 31.3023002, 121.4926591 31.3026678)",
2035903771,2035903754,0,188862025,,service,False,True,36.081,"LINESTRING (121.4926688 31.3023002, 121.4926773 31.3019758)",
2035903771,2035903781,0,193057328,,service,False,False,77.04100000000001,"LINESTRING (121.4926688 31.3023002, 121.4927476 31.3022977, 121.493438 31.3025056)",
2035903771,2035903791,0,193057328,,service,False,True,101.965,"LINESTRING (121.4926688 31.3023002, 121.4922245 31.302425, 121.4917598 31.3027567)",
2035903774,2035903784,0,188862026,,service,False,False,29.201,"LINESTRING (121.4913455 31.3023676, 121.4915524 31.3025618)",
2035903774,1994986959,0,188862026,,service,False,True,30.52,"LINESTRING (121.4913455 31.3023676, 121.4911293 31.3021646)",
2035903774,2035903729,0,193057325,,service,False,False,153.28300000000002,"LINESTRING (121.4913455 31.3023676, 121.4917561 31.3020118, 121.4919569 31.3018793, 121.4921698 31.3017806, 121.4926854 31.3016665)",
2035903781,1994986961,0,193057325,,service,False,False,40.176,"LINESTRING (121.493438 31.3025056, 121.4932499 31.3028292)",
2035903781,2035903767,0,193057325,,service,False,True,34.584,"LINESTRING (121.493438 31.3025056, 121.4936191 31.3022358)",
2035903781,2035903771,0,193057328,,service,False,True,77.04100000000001,"LINESTRING (121.493438 31.3025056, 121.4927476 31.3022977, 121.4926688 31.3023002)",
2035903784,2035903791,0,188862026,,service,False,False,29.291,"LINESTRING (121.4915524 31.3025618, 121.4917598 31.3027567)",
2035903784,2035903774,0,188862026,,service,False,True,29.201,"LINESTRING (121.4915524 31.3025618, 121.4913455 31.3023676)",
2035903784,2035903754,0,193057327,,service,False,False,127.391,"LINESTRING (121.4915524 31.3025618, 121.4920055 31.3022015, 121.4926773 31.3019758)",
2035903791,1994986962,0,188862026,,service,False,False,12.769,"LINESTRING (121.4917598 31.3027567, 121.4918503 31.3028416)",
2035903791,2035903784,0,188862026,,service,False,True,29.291,"LINESTRING (121.4917598 31.3027567, 121.4915524 31.3025618)",
2035903791,2035903771,0,193057328,,service,False,False,101.965,"LINESTRING (121.4917598 31.3027567, 121.4922245 31.302425, 121.4926688 31.3023002)",
3057652780,3067824734,0,52509503,望道路,service,False,False,53.363,"LINESTRING (121.4990156 31.2991141, 121.4984873 31.2989512)",
3057652780,3057652784,0,52509503,望道路,service,False,True,15.858,"LINESTRING (121.4990156 31.2991141, 121.4991758 31.2991541)",
3057652780,667526334,0,71461972,日月西路,service,False,True,94.63,"LINESTRING (121.4990156 31.2991141, 121.4986689 31.2999119)",
3057652784,3057652780,0,52509503,望道路,service,False,False,15.858,"LINESTRING (121.4991758 31.2991541, 121.4990156 31.2991141)",
