u,v,key,osmid,lanes,name,highway,access,oneway,reversed,length,geometry,service,bridge,tunnel
1925480981,1925481072,0,"[182203640, 182203630]",,,"['steps', 'footway']",,False,"[False, True]",51.73,"LINESTRING (114.1379707 22.2820173, 114.1381692 22.2822134, 114.1381799 22.2822357, 114.1383378 22.2821447)",,,
1925481028,1925481111,0,182203605,,,steps,,False,False,20.226,"LINESTRING (114.1384185 22.2815971, 114.1384183 22.281779)",,,
1925481028,2169110598,0,31854027,2,大學道 University Drive,service,permissive,False,False,66.616,"LINESTRING (114.1384185 22.2815971, 114.1379271 22.2816077, 114.1378173 22.2816302, 114.1377765 22.281644)",,,
1925481028,10617295057,0,31854027,2,大學道 University Drive,service,permissive,False,True,81.374,"LINESTRING (114.1384185 22.2815971, 114.1384451 22.2815965, 114.1392063 22.2815333)",,,
1925481041,1925481075,0,182203608,,,steps,,False,False,13.573,"LINESTRING (114.1376428 22.2818911, 114.137694 22.2820036)",,,
1925481041,1925481063,0,182203629,,,footway,,False,False,9.555,"LINESTRING (114.1376428 22.2818911, 114.1375577 22.2819255)",,,
1925481041,2169110598,0,"[182203608, 624183772]",,,"['steps', 'footway']",,False,"[False, True]",33.839,"LINESTRING (114.1376428 22.2818911, 114.1376971 22.2818634, 114.1377942 22.2817198, 114.1377765 22.281644)",,,
1925481063,1925481041,0,182203629,,,footway,,False,True,9.555,"LINESTRING (114.1375577 22.2819255, 114.1376428 22.2818911)",,,
1925481072,3044835118,0,"[182203594, 182203606]",,,"['steps', 'footway']",,False,False,48.00000000000001,"LINESTRING (114.1383378 22.2821447, 114.1383221 22.282258, 114.1382792 22.2822903, 114.1381612 22.2823251, 114.1380865 22.2823234, 114.1379991 22.2823398)",,,
1925481072,1925480981,0,"[182203640, 182203630]",,,"['steps', 'footway']",,False,"[False, True]",51.730000000000004,"LINESTRING (114.1383378 22.2821447, 114.1381799 22.2822357, 114.1381692 22.2822134, 114.1379707 22.2820173)",,,
1925481072,1925481111,0,"[182203605, 182203630]",,,"['steps', 'footway']",,False,True,45.149,"LINESTRING (114.1383378 22.2821447, 114.1384177 22.2820971, 114.1384183 22.281779)",,,
1925481075,1925481041,0,182203608,,,steps,,False,True,13.573,"LINESTRING (114.137694 22.2820036, 114.1376428 22.2818911)",,,
1925481075,1925481108,0,"[182203608, 182203653]",,,"['steps', 'footway']",,False,False,38.616,"LINESTRING (114.137694 22.2820036, 114.1377454 22.2821166, 114.1377642 22.2821588, 114.1375708 22.2821639)",,,
1925481075,1925481108,1,"[182203648, 182203658]",,,"['steps', 'footway']",,False,"[False, True]",31.173000000000002,"LINESTRING (114.137694 22.2820036, 114.137681 22.2820024, 114.1375657 22.2820024, 114.1375708 22.2821639)",,,
1925481091,5264333200,0,707832733,,,footway,,False,False,39.791,"LINESTRING (114.1380433 22.2826414, 114.1384298 22.2826292)",,,
1925481091,5566729530,0,"[182203619, 707832733]",,,footway,,False,True,23.477,"LINESTRING (114.1380433 22.2826414, 114.1378498 22.2826484, 114.1378153 22.2826496)",,,
1925481091,5264333179,0,"[182203600, 182023180, 976551693]",,Sun Yat-sen Steps 中山階,"['steps', 'footway']",,False,True,38.294,"LINESTRING (114.1380433 22.2826414, 114.1380448 22.2826676, 114.1380579 22.282758, 114.1381779 22.2828834, 114.1381982 22.2829398)",,,
1925481093,6505344804,0,182203596,2,大學道 University Drive,service,permissive,False,False,54.956,"LINESTRING (114.1370077 22.2824673, 114.1369774 22.2825093, 114.1369117 22.2825716, 114.1368201 22.282636, 114.1365687 22.2827282)",,,
1925481093,356626512,0,182203596,2,大學道 University Drive,service,permissive,False,True,19.373,"LINESTRING (114.1370077 22.2824673, 114.137064 22.2823692, 114.1370853 22.2823092)",,,
1925481093,1925481102,0,"[182203611, 182203598]",,,service,permissive,False,False,36.577999999999996,"LINESTRING (114.1370077 22.2824673, 114.1370518 22.2825299, 114.137091 22.2825658, 114.1371607 22.2826229, 114.1372787 22.2826651)",driveway,yes,
1925481102,1925481093,0,"[182203611, 182203598]",,,service,permissive,False,True,36.578,"LINESTRING (114.1372787 22.2826651, 114.1371607 22.2826229, 114.137091 22.2825658, 114.1370518 22.2825299, 114.1370077 22.2824673)",driveway,yes,
1925481108,1925481118,0,"[182203653, 182203655, 182203628, 182203631, 182203607]",,,"['steps', 'footway']",,False,False,62.907000000000004,"LINESTRING (114.1375708 22.2821639, 114.1375657 22.282191, 114.1376381 22.282191, 114.1377132 22.2821886, 114.1377079 22.2822208, 114.1376328 22.2822208, 114.1376328 22.2822705, 114.1375577 22.2822705, 114.137554 22.2822983, 114.1375772 22.2822986, 114.1376623 22.2823027, 114.1376955 22.2823448)",,,
1925481108,1925481075,0,"[182203608, 182203653]",,,"['steps', 'footway']",,False,True,38.616,"LINESTRING (114.1375708 22.2821639, 114.1377642 22.2821588, 114.1377454 22.2821166, 114.137694 22.2820036)",,,
1925481108,1925481075,1,"[182203648, 182203658]",,,"['steps', 'footway']",,False,"[False, True]",31.173000000000002,"LINESTRING (114.1375708 22.2821639, 114.1375657 22.2820024, 114.137681 22.2820024, 114.137694 22.2820036)",,,
1925481110,1925481118,0,182203585,2,,service,permissive,False,False,11.648,"LINESTRING (114.1378087 22.2823435, 114.1376955 22.2823448)",,,
1925481110,3044835118,0,182203585,2,,service,permissive,False,True,19.595,"LINESTRING (114.1378087 22.2823435, 114.1379991 22.2823398)",,,
1925481110,5566729530,0,"[707832738, 581918101]",,,footway,,False,False,67.195,"LINESTRING (114.1378087 22.2823435, 114.1378098 22.2824165, 114.1376488 22.2824198, 114.1376505 22.2824575, 114.1378116 22.2824542, 114.1378153 22.2826496)",,,
