u,v,key,osmid,highway,oneway,reversed,length,lanes,name,maxspeed,service,geometry,width,tunnel,access,bridge,junction
335535677,253301629,0,23385359,unclassified,False,False,104.45199999999998,,Avenue Jean-Rodolphe-Perronet,30,,"LINESTRING (6.561582 46.5190582, 6.5614805 46.5188577, 6.5614621 46.5187753, 6.5614594 46.5187133, 6.5614627 46.5186477, 6.5615111 46.5184366, 6.5615276 46.5183638, 6.5615358 46.5182855, 6.5615322 46.5182048, 6.5614913 46.5181414)",,,,,
335535681,1973828559,0,24303216,steps,False,True,3.98,,,,,"LINESTRING (6.562944 46.5186462, 6.5629815 46.518671)",,,,,
335535681,4841714903,0,30403019,footway,False,False,42.172,,,,,"LINESTRING (6.562944 46.5186462, 6.562925 46.51866, 6.5630255 46.5187306, 6.5630233 46.5187689, 6.5627793 46.5189158)",,,,,
335535681,415963474,0,30403019,footway,False,True,36.728,,,,,"LINESTRING (6.562944 46.5186462, 6.5627835 46.5185417, 6.5629679 46.5184165)",,,,,
335543375,9026075075,0,30403013,service,True,False,2.813,,,,parking_aisle,"LINESTRING (6.5643795 46.5214625, 6.5643792 46.5214878)",,,,,
335543375,335543380,0,30404101,service,True,False,86.589,,,,parking_aisle,"LINESTRING (6.5643795 46.5214625, 6.5632479 46.5214516)",,,,,
335543380,335535672,0,30403013,service,True,False,17.229,,,,parking_aisle,"LINESTRING (6.5632479 46.5214516, 6.5631822 46.5213034)",,,,,
343328977,1473004457,0,"[30879203, 975370958, 975370959]","['steps', 'footway']",False,False,9.032,,,,,"LINESTRING (6.5653832 46.5219498, 6.5653849 46.5219225, 6.5653851 46.5219091, 6.5653855 46.5218686)",,,,,
343328977,267496124,0,"[1147412089, 30879203, 30435628]","['steps', 'footway']",False,True,32.694,,,,,"LINESTRING (6.5653832 46.5219498, 6.5652513 46.5219481, 6.5651827 46.5219465, 6.5650938 46.5219613, 6.5649607 46.5219779)",,yes,,,
343328977,343329038,0,30879207,footway,False,True,37.724999999999994,,,,,"LINESTRING (6.5653832 46.5219498, 6.5653828 46.5219689, 6.5656367 46.5219671, 6.5658481 46.5219672)",,,,,
343329038,1473004455,0,24450819,service,True,False,10.765,,Chemin du Barrage,30,driveway,"LINESTRING (6.5658481 46.5219672, 6.5658457 46.5218704)",,,,,
343329038,343328977,0,30879207,footway,False,False,37.725,,,,,"LINESTRING (6.5658481 46.5219672, 6.5656367 46.5219671, 6.5653828 46.5219689, 6.5653832 46.5219498)",,,,,
343329550,343329551,0,30879249,service,False,False,24.938,,,30,parking_aisle,"LINESTRING (6.5660769 46.5200535, 6.565751 46.5200502)",,yes,,,
343329550,343329551,1,30879249,service,False,True,77.527,,,30,parking_aisle,"LINESTRING (6.5660769 46.5200535, 6.566072 46.5202899, 6.5657461 46.5202867, 6.565751 46.5200502)",,yes,,,
343329550,343329554,0,"[111610742, 450591383]",service,False,False,28.341,,,30,parking_aisle,"LINESTRING (6.5660769 46.5200535, 6.5662181 46.5199608, 6.5663437 46.5198767)",,yes,no,,
343329551,343329550,0,30879249,service,False,True,24.938,,,30,parking_aisle,"LINESTRING (6.565751 46.5200502, 6.5660769 46.5200535)",,yes,,,
343329551,343329550,1,30879249,service,False,False,77.527,,,30,parking_aisle,"LINESTRING (6.565751 46.5200502, 6.5657461 46.5202867, 6.566072 46.5202899, 6.5660769 46.5200535)",,yes,,,
343329551,1271743087,0,111668232,service,False,False,18.727,,,30,parking_aisle,"LINESTRING (6.565751 46.5200502, 6.5655608 46.5199442)",,yes,,,
343329554,8935269865,0,738863838,service,False,True,5.875,,Route des Noyerettes,30,driveway,"LINESTRING (6.5663437 46.5198767, 6.566341 46.5198239)",,,,,
