u,v,key,osmid,name,highway,oneway,reversed,length,geometry,bridge,junction
2569260965,7611431297,0,250489569,三江路,unclassified,False,False,26.86,"LINESTRING (120.26326 31.4800131, 120.2632289 31.4802532)",,
2569260965,2569260858,0,250489561,,unclassified,True,False,57.69299999999999,"LINESTRING (120.26326 31.4800131, 120.2632019 31.4799977, 120.2631523 31.4799677, 120.263116 31.4799261, 120.2630967 31.4798769, 120.2630963 31.479825, 120.2631148 31.4797756, 120.2631504 31.4797335, 120.2631996 31.4797029, 120.2632574 31.4796869, 120.2633183 31.479687)",,roundabout
2569260968,2569260871,0,250489565,天山路,unclassified,False,False,227.731,"LINESTRING (120.2611495 31.4924509, 120.2609931 31.4925511, 120.2607302 31.492734, 120.2605594 31.4928397, 120.2603877 31.4928946, 120.260167 31.4929079, 120.2589158 31.492914)",,
2569260968,2697137455,0,250489565,天山路,unclassified,False,True,92.024,"LINESTRING (120.2611495 31.4924509, 120.2613525 31.4923955, 120.2615947 31.4923823, 120.2621094 31.4923818)",,
2569260968,2697137492,0,264040392,,residential,False,False,223.96999999999997,"LINESTRING (120.2611495 31.4924509, 120.2611009 31.4923798, 120.260961 31.4922881, 120.2608188 31.4921806, 120.2606932 31.4920573, 120.2606047 31.4919521, 120.260505 31.4917895, 120.2603736 31.4916454, 120.2602694 31.4915542, 120.2601541 31.4914833, 120.2600195 31.4914167, 120.2598613 31.4913641, 120.2597004 31.4912932, 120.2594212 31.4911456)",,
2569266586,2575305038,0,250489562,两江路,unclassified,False,False,5.738,"LINESTRING (120.2707768 31.4842552, 120.2707772 31.4843068)",,
2569266586,2569266597,0,250489562,两江路,unclassified,False,True,8.64,"LINESTRING (120.2707768 31.4842552, 120.2707761 31.4841775)",,
2569266592,2569266593,0,250489562,两江路,unclassified,False,False,9.663,"LINESTRING (120.2707736 31.4838824, 120.2707743 31.4839693)",,
2569266592,2572389150,0,250489562,两江路,unclassified,False,True,35.417,"LINESTRING (120.2707736 31.4838824, 120.2707709 31.4835639)",,
2569266592,2570951323,0,250490279,江南大道,unclassified,True,False,6.334,"LINESTRING (120.2707736 31.4838824, 120.2708404 31.4838821)",,
2569266593,2569266597,0,250489562,两江路,unclassified,False,False,23.151,"LINESTRING (120.2707743 31.4839693, 120.2707761 31.4841775)",,
2569266593,2569266592,0,250489562,两江路,unclassified,False,True,9.663,"LINESTRING (120.2707743 31.4839693, 120.2707736 31.4838824)",,
2569266597,2569266586,0,250489562,两江路,unclassified,False,False,8.64,"LINESTRING (120.2707761 31.4841775, 120.2707768 31.4842552)",,
2569266597,2569266593,0,250489562,两江路,unclassified,False,True,23.151,"LINESTRING (120.2707761 31.4841775, 120.2707743 31.4839693)",,
2569266597,2572394744,0,250490282,江南大道,residential,True,False,51.974,"LINESTRING (120.2707761 31.4841775, 120.270228 31.4841768)",,
2569268632,2570950218,0,250490276,江南大道,residential,True,False,38.747,"LINESTRING (120.2688868 31.4839557, 120.2692954 31.4839586)",,
2569268632,2569268634,0,251116945,青山湾路,residential,False,False,24.407,"LINESTRING (120.2688868 31.4839557, 120.2688862 31.4841752)",,
