u,v,key,osmid,highway,oneway,reversed,length,geometry,tunnel,maxspeed,lanes,name,width,access,service
7631495198,7631495260,0,844953945,footway,False,False,46.415,"LINESTRING (-71.1124367 42.3769183, -71.1129832 42.3768122)",,,,,,,
688404510,391544448,0,34145420,footway,False,True,9.288,"LINESTRING (-71.1172694 42.3742471, -71.1172579 42.374164)",,,,,,,
688404510,82766885,0,942673952,footway,False,False,2.912,"LINESTRING (-71.1172694 42.3742471, -71.117304 42.3742528)",,,,,,,
688404510,314502310,0,942673952,footway,False,True,17.234,"LINESTRING (-71.1172694 42.3742471, -71.1170657 42.37421)",,,,,,,
688404509,314502302,0,54678855,footway,False,True,10.508,"LINESTRING (-71.1179612 42.3741362, -71.1178455 42.3741765)",,,,,,,
688404509,314502304,0,54678862,footway,False,False,13.423,"LINESTRING (-71.1179612 42.3741362, -71.1178054 42.3740998)",,,,,,,
688404509,314502305,0,942884349,footway,False,False,18.387,"LINESTRING (-71.1179612 42.3741362, -71.1179096 42.3742971)",,,,,,,
688404509,82766870,0,942884349,footway,False,True,37.677,"LINESTRING (-71.1179612 42.3741362, -71.118067 42.3738065)",,,,,,,
7631495201,61323587,0,8616200,residential,True,False,8.983,"LINESTRING (-71.1123536 42.3769335, -71.1123394 42.3770136)",,20 mph,1,Sumner Road,12.2,,
7631495201,7631495198,0,817122339,footway,False,False,7.032,"LINESTRING (-71.1123536 42.3769335, -71.1124367 42.3769183)",,,,,,,
7631495201,7631495197,0,817122339,footway,False,True,5.687,"LINESTRING (-71.1123536 42.3769335, -71.1122863 42.3769455)",,,,,,,
688404514,688404516,0,34145429,footway,False,True,47.265,"LINESTRING (-71.1169916 42.3737039, -71.1168589 42.3741175)",,,,,,,
688404514,391539694,0,942673967,footway,False,True,9.987,"LINESTRING (-71.1169916 42.3737039, -71.1168746 42.3737283)",,,,,,,
688404514,391541093,0,34145429,footway,False,False,16.951,"LINESTRING (-71.1169916 42.3737039, -71.1170305 42.3736738, -71.1171039 42.3736492, -71.1171733 42.3736505)",,,,,,,
7631495203,7631495207,0,817122342,footway,False,True,2.417,"LINESTRING (-71.1126506 42.3770169, -71.1126791 42.3770115)",,,,,,,
7631495203,7631495189,0,817122343,footway,False,False,27.553,"LINESTRING (-71.1126506 42.3770169, -71.1125889 42.3770273, -71.1123269 42.3770817)",,,,,,,
688404516,391539968,0,34145318,footway,False,False,10.06,"LINESTRING (-71.1168589 42.3741175, -71.1167676 42.3740572)",,,,,,,
688404516,391539969,0,34145318,footway,False,True,8.411,"LINESTRING (-71.1168589 42.3741175, -71.1169139 42.3741813)",,,,,,,
688404516,688404514,0,34145429,footway,False,False,47.265,"LINESTRING (-71.1168589 42.3741175, -71.1169916 42.3737039)",,,,,,,
688404508,391540821,0,54678852,footway,False,False,20.837,"LINESTRING (-71.1183422 42.374001, -71.1182829 42.3741832)",,,,,,,
688404508,391540574,0,54678852,footway,False,True,19.473,"LINESTRING (-71.1183422 42.374001, -71.1183969 42.3738306)",,,,,,,
688404508,391540956,0,54678861,footway,False,True,18.329,"LINESTRING (-71.1183422 42.374001, -71.1184946 42.3741214)",,,,,,,
688404517,11038367330,0,34145452,footway,False,False,7.063,"LINESTRING (-71.1153749 42.3729804, -71.1152911 42.3729662)",,,,,,,
