element_type,osmid,geometry,access,amenity,fee,name,parking,capacity,park_ride,surface,nodes,building,operator,operator:type,source,capacity:disabled,ways,type
way,1106713124,"POLYGON ((-76.4782428 42.4560986, -76.4780322 42.4560663, -76.4780154 42.4562938, -76.4780844 42.4562963, -76.4780878 42.4564367, -76.4780575 42.4564951, -76.4779985 42.4564815, -76.4780221 42.4564367, -76.4777307 42.4563559, -76.4777071 42.4564032, -76.4776734 42.4563957, -76.4776936 42.4563485, -76.4774948 42.4562963, -76.4774729 42.456341, -76.4773853 42.4563186, -76.4774055 42.4562764, -76.4771394 42.4561993, -76.4771208 42.4562503, -76.4770282 42.4562814, -76.4769625 42.4562689, -76.4768816 42.4564355, -76.4769473 42.4564603, -76.4769861 42.4564715, -76.4770332 42.4564852, -76.4770433 42.456469, -76.4770737 42.4564777, -76.4770535 42.4565187, -76.477291 42.4565821, -76.4773045 42.4565436, -76.4773398 42.4565535, -76.4773179 42.4565896, -76.4773988 42.456612, -76.4774207 42.4565709, -76.477478 42.4565846, -76.4775302 42.456474, -76.4776279 42.4564964, -76.4776464 42.4564566, -76.4776801 42.4564653, -76.4776633 42.4565038, -76.4781282 42.4566281, -76.4781552 42.4565809, -76.4781597 42.4565632, -76.4781687 42.4565274, -76.4781417 42.4565038, -76.478167 42.4564392, -76.4781636 42.4563298, -76.4782293 42.4563298, -76.4782276 42.4562217, -76.4782428 42.4560986))",,parking,,,surface,,,,"[10127147179, 10127147180, 10127147181, 10127147182, 10127147183, 10127147184, 10127147185, 10127147186, 10127147187, 10127147188, 10127147189, 10127147190, 10127147191, 10127147192, 10127147193, 10127147194, 10127147195, 10127147196, 10127147197, 10127147198, 10127147199, 10127147200, 10127157426, 10127147201, 10127147202, 10127147203, 10127147204, 10127147205, 10127147206, 10127147207, 10127147208, 10127147209, 10127147210, 10127147211, 10127147212, 10127147213, 10127147214, 10127147215, 10127147216, 10127157417, 10127157418, 10127157428, 10127157419, 10127157420, 10127157421, 10127157422, 10127157423, 10127157424, 10127147179]",,Cornell University,university,,,,
way,1115781242,"POLYGON ((-76.4808263 42.4488164, -76.4808364 42.4489863, -76.4806366 42.4489913, -76.4806258 42.4488224, -76.4808263 42.4488164))",permit,parking,,,surface,11,,,"[10204561757, 10204561758, 10204561759, 10204561760, 10204561757]",,,,,2,,
way,1115781243,"POLYGON ((-76.4817775 42.4493406, -76.4817578 42.4489878, -76.481545 42.4489943, -76.4815591 42.4492416, -76.4815794 42.4492409, -76.4815855 42.4493464, -76.4817775 42.4493406))",permit,parking,,J,surface,,,,"[1234261392, 1234261411, 10204561766, 10204561767, 10204561768, 10204561769, 1234261392]",,,,,,,
way,1118111008,"POLYGON ((-76.4584997 42.4429054, -76.4585087 42.442736, -76.4581463 42.4427255, -76.4581443 42.4427531, -76.4581361 42.4427627, -76.4581212 42.4427697, -76.4581053 42.442773, -76.4581033 42.442838, -76.4581153 42.4428408, -76.4581303 42.4428498, -76.4581368 42.44286, -76.4581373 42.4428949, -76.4584997 42.4429054))",permit,parking,,,surface,,,,"[10226039164, 10226039165, 10226039166, 10226039170, 10226039174, 10226039175, 10226039169, 10226039168, 10226039173, 10226039172, 10226039171, 10226039167, 10226039164]",,,,,,,
way,1118111010,"POLYGON ((-76.4585126 42.4424904, -76.4587023 42.4424949, -76.4587023 42.4423655, -76.4585993 42.442364, -76.4585962 42.4423941, -76.4585146 42.4423941, -76.4585126 42.4424904))",permit,parking,,,surface,,,,"[10226039180, 10226039181, 10226039182, 10226039183, 10226039184, 10226039185, 10226039180]",,,,,,,
way,1118675684,"POLYGON ((-76.4808849 42.4503884, -76.4812986 42.4503735, -76.4812986 42.4503801, -76.4813271 42.4503798, -76.4813424 42.4506465, -76.481172 42.4506513, -76.4811694 42.4506054, -76.4810747 42.4506088, -76.4809697 42.4505378, -76.4809255 42.4504991, -76.4808982 42.4504653, -76.4808848 42.4504318, -76.4808849 42.4503884))",permit,parking,,J,surface,,,,"[10231191111, 10231191112, 10231191113, 10231191114, 10231191115, 10231191116, 10231202717, 10231202718, 10231202719, 10231202720, 10231202721, 10231202722, 10231191111]",,,,,,,
way,1119776232,"POLYGON ((-76.480541 42.4487184, -76.4807437 42.4487158, -76.4807186 42.448355, -76.4807009 42.4483548, -76.4806899 42.4482411, -76.4806922 42.4482329, -76.480703 42.4482247, -76.4807124 42.4482075, -76.4807409 42.4481417, -76.4807146 42.4481282, -76.4805557 42.4481299, -76.4805563 42.4483016, -76.4805306 42.4483021, -76.4805334 42.4484557, -76.4805118 42.448483, -76.4805654 42.44852, -76.4805905 42.4485483, -76.4805988 42.4485847, -76.4805905 42.4486238, -76.480571 42.4486531, -76.480548 42.4486793, -76.4805403 42.4487009, -76.480541 42.4487184))",permit,parking,,,,,,,"[10241724504, 10241724505, 10241724506, 10241724507, 10241724508, 10241741625, 10241741624, 10241741609, 10241741610, 10241741611, 10241741612, 10241741613, 10241741614, 10241741615, 10241741616, 10241741617, 10241741618, 10241741619, 10241741620, 10241741621, 10241741622, 10241741623, 10241724504]",,,,,,,
way,1123436337,"POLYGON ((-76.474041 42.4490709, -76.4740367 42.4488265, -76.4739762 42.4488265, -76.4739753 42.4487903, -76.473886 42.4487897, -76.473887 42.448836, -76.4738091 42.4488371, -76.4738105 42.4489605, -76.4738853 42.4489592, -76.473887 42.4489681, -76.4739757 42.4490512, -76.474041 42.4490709))",,parking,,,,,,,"[10274188685, 10274188686, 10274188687, 10274188688, 10274188689, 10274188690, 10274188691, 10274188692, 10274188693, 10274188694, 10274188695, 10274188685]",,,,,,,
way,1133976835,"POLYGON ((-76.4794664 42.451121, -76.4794664 42.4509644, -76.4782108 42.4509601, -76.4780281 42.4509383, -76.4779308 42.4510797, -76.4781077 42.4511145, -76.4794664 42.451121))",,parking,,,,,,,"[10572152105, 10572152106, 10572152107, 10572152108, 10572172409, 10572172410, 10572152105]",,,,,,,
way,1192681043,"POLYGON ((-76.481173 42.4464415, -76.4814372 42.4464385, -76.4814346 42.4463762, -76.4811073 42.4463821, -76.4811113 42.4464445, -76.481173 42.4464415))",permissive,parking,,Cornell Police Parking,surface,,,,"[11071395148, 11071395147, 11071395146, 11071395145, 11071395144, 11071395148]",,,,,,,
