u,v,key,osmid,highway,oneway,reversed,length,name,geometry,service,tunnel,lanes,maxspeed,access,ref,bridge,width
213428125,213428120,0,570300165,residential,False,True,19.061,Kite Hill Drive,"LINESTRING (-76.4760706 42.4447944, -76.4759292 42.4449304)",,,,,,,,
213428125,5753756393,0,570300165,residential,False,False,29.906,Kite Hill Drive,"LINESTRING (-76.4760706 42.4447944, -76.4761757 42.4446933, -76.4762822 42.4445756)",,,,,,,,
213428130,1236695089,0,570300165,residential,False,True,19.783,Kite Hill Drive,"LINESTRING (-76.476759 42.44407, -76.476622 42.4442164)",,,,,,,,
213428130,1236695095,0,"[330453181, 330453182]",service,False,True,61.4,,"LINESTRING (-76.476759 42.44407, -76.477318 42.444036, -76.4773352 42.4441737)",,,,,,,,
213428130,7511457952,0,803001876,footway,False,False,54.82899999999999,,"LINESTRING (-76.476759 42.44407, -76.4768352 42.4439744, -76.4768999 42.443838, -76.4769461 42.4437107, -76.4769831 42.4436084)",,,,,,,,
213428137,1319459228,0,117133870,footway,False,False,73.63900000000001,,"LINESTRING (-76.477503 42.44461, -76.4776354 42.4446711, -76.4777016 42.4447608, -76.4777348 42.4448798, -76.4777594 42.4451236, -76.4777781 42.4452013)",,,,,,,,
213428137,1236695093,0,330453181,service,False,False,14.086,,"LINESTRING (-76.477503 42.44461, -76.477469 42.444556, -76.4774372 42.4444931)",,,,,,,,
213428137,1236695083,0,330453181,service,False,True,37.147999999999996,,"LINESTRING (-76.477503 42.44461, -76.477504 42.444655, -76.4774568 42.4446887, -76.4771319 42.444709)",,,,,,,,
213428252,213428257,0,20183909,residential,False,False,181.47899999999998,,"LINESTRING (-76.4719173 42.450554, -76.471923 42.4507407, -76.4719975 42.4511612, -76.4720699 42.4514823, -76.47211 42.4516623, -76.4714156 42.4516939)",,,,,,,,
213428252,213482840,0,20188434,residential,False,False,93.259,McIntyre Place,"LINESTRING (-76.4719173 42.450554, -76.472023 42.450561, -76.472192 42.450581, -76.472396 42.450628, -76.4730057 42.4507848)",,,,,,,,
213428252,213482829,0,20188434,residential,False,True,59.178,McIntyre Place,"LINESTRING (-76.4719173 42.450554, -76.471794 42.450555, -76.471197 42.45058)",,,,,,,,
213428257,213428252,0,20183909,residential,False,True,181.47899999999998,,"LINESTRING (-76.4714156 42.4516939, -76.47211 42.4516623, -76.4720699 42.4514823, -76.4719975 42.4511612, -76.471923 42.4507407, -76.4719173 42.450554)",,,,,,,,
213428257,213484982,0,347340057,tertiary,False,False,136.151,Judd Falls Road,"LINESTRING (-76.4714156 42.4516939, -76.4715288 42.4522985, -76.4715924 42.452632, -76.471652 42.4529058)",,,,25 mph,,,,
213428257,213482829,0,347340057,tertiary,False,True,125.152,Judd Falls Road,"LINESTRING (-76.4714156 42.4516939, -76.4713625 42.4514357, -76.4712583 42.4509011, -76.4712292 42.4507517, -76.471197 42.45058)",,,,25 mph,,,,
213429500,8798324116,0,70197686,service,False,True,34.979,,"LINESTRING (-76.4716055 42.4564043, -76.4712017 42.4565053)",,,,,,,,
213429500,8798329995,0,20192304,residential,False,False,17.095,Hasbrouck Circle,"LINESTRING (-76.4716055 42.4564043, -76.4715793 42.4563347, -76.4715603 42.4562663, -76.4715584 42.4562547)",,,,15 mph,,,,
213429500,213539262,0,20192304,residential,False,True,32.142,Hasbrouck Circle,"LINESTRING (-76.4716055 42.4564043, -76.4716927 42.4565563, -76.4717991 42.4566523)",,,,15 mph,,,,
213429509,835863947,0,69935104,footway,False,False,14.642,,"LINESTRING (-76.470914 42.456629, -76.4710495 42.4565433)",,,,,,,,
213429509,838234239,0,20184073,track,False,True,259.306,,"LINESTRING (-76.470914 42.456629, -76.4700507 42.45449, -76.4701795 42.4544583)",,,,,,,,
213429509,213429518,0,1142406404,track,False,False,196.83499999999998,,"LINESTRING (-76.470914 42.456629, -76.470868 42.456646, -76.470682 42.456684, -76.469656 42.456701, -76.468528 42.456728)",,,,,,,,
213429518,213502556,0,20189793,tertiary,False,False,77.766,Warren Road,"LINESTRING (-76.468528 42.456728, -76.468529 42.456784, -76.4684166 42.457422)",,,,,,,,
213429518,213429509,0,1142406404,track,False,True,196.835,,"LINESTRING (-76.468528 42.456728, -76.469656 42.456701, -76.470682 42.456684, -76.470868 42.456646, -76.470914 42.456629)",,,,,,,,
213429538,213429518,0,70197707,service,True,False,196.33100000000002,,"LINESTRING (-76.468077 42.4579712, -76.468016 42.4579334, -76.4679494 42.4578855, -76.4678038 42.4578091, -76.4676627 42.4577344, -76.4676074 42.4577064, -76.4675934 42.4576935, -76.467583 42.4576601, -76.4675827 42.4576389, -76.4676002 42.4574495, -76.4676172 42.4573138, -76.4676354 42.4572549, -76.4676857 42.4571733, -76.4677568 42.4571096, -76.4680868 42.456872, -76.4681425 42.4568401, -76.4682468 42.4568044, -76.468528 42.456728)",,,,,,,,
213429667,213429808,0,560778203,service,False,False,171.948,Palm Road,"LINESTRING (-76.4588401 42.4456114, -76.4567448 42.4456365)",,,,,,,,
213429667,213429791,0,20190843,service,False,True,292.118,Bookbank Road,"LINESTRING (-76.4588401 42.4456114, -76.458763 42.4444872, -76.4586738 42.4429872)",,,,,private,,,
213429667,213436703,0,107643125,service,False,False,212.42400000000004,Palm Road,"LINESTRING (-76.4588401 42.4456114, -76.4595991 42.4455935, -76.4597581 42.4456107, -76.459887 42.4456489, -76.4600058 42.445705, -76.4601236 42.4457891, -76.4602281 42.445907, -76.4607186 42.4465787)",,,,,private,,,
213429681,8800966396,0,20184084,residential,False,False,11.175,Mary Ann Wood Drive,"LINESTRING (-76.4890816 42.4462352, -76.4892118 42.4462647)",,,,,,,,
213429681,8800966389,0,20184084,residential,False,True,41.909,Mary Ann Wood Drive,"LINESTRING (-76.4890816 42.4462352, -76.4888361 42.4459047)",,,,,,,,
213429681,2097229677,0,404099070,footway,False,True,28.384,,"LINESTRING (-76.4890816 42.4462352, -76.489305 42.4464301)",,,,,,,,
213429689,8800966396,0,20184084,residential,False,True,36.831,Mary Ann Wood Drive,"LINESTRING (-76.4896457 42.4462368, -76.4894807 42.4462714, -76.489359 42.446293, -76.489244 42.446272, -76.4892118 42.4462647)",,,,,,,,
213429785,10226039159,0,20184097,service,False,False,32.598,,"LINESTRING (-76.4586592 42.4423777, -76.4586619 42.4425046, -76.4586818 42.4426702)",,,,,private,,,
213429791,10226039160,0,20184097,service,False,True,17.671,,"LINESTRING (-76.4586738 42.4429872, -76.4586707 42.4428283)",,,,,private,,,
213429791,213429667,0,20190843,service,False,False,292.118,Bookbank Road,"LINESTRING (-76.4586738 42.4429872, -76.458763 42.4444872, -76.4588401 42.4456114)",,,,,private,,,
213429791,5407763219,0,560778204,service,False,False,161.37300000000002,Scholarly Way,"LINESTRING (-76.4586738 42.4429872, -76.4577687 42.4430075, -76.4574909 42.443004, -76.4572606 42.4429913, -76.4569794 42.4429624, -76.4567148 42.4429292)",,,,,,,,
213429808,213421277,0,20184098,service,False,True,109.658,Solidago Road,"LINESTRING (-76.4567448 42.4456365, -76.4567704 42.4466225)",,,,,private,,,
213429808,213429667,0,560778203,service,False,True,171.948,Palm Road,"LINESTRING (-76.4567448 42.4456365, -76.4588401 42.4456114)",,,,,,,,
213429808,5407763219,0,560778205,service,False,False,301.049,Solidago Road,"LINESTRING (-76.4567448 42.4456365, -76.4567148 42.4429292)",,,,,,,,
213432136,10278545558,0,20184502,residential,False,False,15.174,Synchrotron Drive,"LINESTRING (-76.4703845 42.4437163, -76.4704106 42.4438514)",,,,,,,,
213432136,10278545556,0,117133749,primary,False,True,11.07,Dryden Road,"LINESTRING (-76.4703845 42.4437163, -76.4705194 42.443717)",,,,30 mph,,NY 366,,
213432136,213464132,0,539017974,secondary,False,False,40.285,Pine Tree Road,"LINESTRING (-76.4703845 42.4437163, -76.4703664 42.4435674, -76.4703568 42.4435209, -76.4703314 42.4434458, -76.4702858 42.4433641)",,,,,,,,
213432136,1319459475,0,"[539940002, 625489683, 117133757, 625489682]",primary,False,False,138.551,Dryden Road,"LINESTRING (-76.4703845 42.4437163, -76.4702151 42.4437293, -76.4696673 42.4437504, -76.4694764 42.4437596, -76.4692417 42.4437761, -76.4689114 42.4438165, -76.4687081 42.4438481)",,,"['3', '4', '2']",30 mph,,NY 366,yes,
213432154,10278545558,0,"[117146528, 117146522, 20184502]",residential,False,True,135.74400000000003,Synchrotron Drive,"LINESTRING (-76.471056 42.444864, -76.470939 42.444825, -76.47069 42.444702, -76.4706 42.444635, -76.470559 42.444595, -76.470523 42.444551, -76.470495 42.444506, -76.470472 42.444457, -76.4704541 42.4443461, -76.470431 42.4441646, -76.470415 42.4438741, -76.4704106 42.4438514)",,,,,,,yes,
213433492,2905098111,0,"[286831626, 286831628]","['path', 'steps']",False,True,38.342,,"LINESTRING (-76.4721671 42.4498183, -76.4720929 42.4498704, -76.4720277 42.4499115, -76.4719406 42.4499147, -76.4717489 42.4499216)",,,,,,,,
213433492,10808996884,0,"[287392368, 1162242846]","['path', 'footway']",False,False,73.54,,"LINESTRING (-76.4721671 42.4498183, -76.4722355 42.4500182, -76.4723248 42.4497283, -76.4724401 42.4497795, -76.4724725 42.449833)",,,,,,,,
