u,v,key,osmid,highway,oneway,reversed,length,geometry,name,tunnel,bridge,service
2271615321,9139805605,0,"[988857960, 544161548, 988857959]",footway,False,False,67.192,"LINESTRING (103.9290832 30.7529858, 103.9290758 30.7530327, 103.9291236 30.7530936, 103.9291047 30.7532078, 103.9290845 30.7533303, 103.9290446 30.7535723)",,,yes,
2271615321,6447660633,0,544161548,footway,False,True,202.40900000000002,"LINESTRING (103.9290832 30.7529858, 103.9291388 30.7527393, 103.9291367 30.7526243, 103.9291191 30.7525486, 103.9291 30.7524825, 103.9290558 30.7523972, 103.9290207 30.7523483, 103.9282514 30.7514456, 103.9282245 30.751414)",,,,
2271615321,6466134015,0,552968520,residential,False,False,152.862,"LINESTRING (103.9290832 30.7529858, 103.9275234 30.7528117, 103.9275199 30.7528345)",,,,
2271615476,7441685092,0,544161580,residential,False,True,7.077,"LINESTRING (103.9238568 30.7538118, 103.9237832 30.7538189)",,,,
2271615476,7736111202,0,803679394,service,False,True,9.32,"LINESTRING (103.9238568 30.7538118, 103.9237794 30.7538628)",,,,
2271615476,7441685119,0,544161580,residential,False,False,65.341,"LINESTRING (103.9238568 30.7538118, 103.9240426 30.7538881, 103.924227 30.7540795, 103.9243326 30.7542139)",,,,
2271615481,7441685092,0,544161580,residential,False,False,40.96,"LINESTRING (103.9233546 30.7538242, 103.9237832 30.7538189)",,,,
2271615481,7736111245,0,544277137,residential,False,False,5.662,"LINESTRING (103.9233546 30.7538242, 103.9233075 30.7538551)",水杉路,,,
2271615481,7736111214,0,544277137,residential,False,True,26.549,"LINESTRING (103.9233546 30.7538242, 103.9233484 30.7537258, 103.9233202 30.7535877)",水杉路,,,
2271615487,5515466556,0,217855186,residential,False,True,42.421,"LINESTRING (103.9331692 30.7538299, 103.9327669 30.7536686)",,,,
2271615487,8791837737,0,217855174,service,False,False,60.765,"LINESTRING (103.9331692 30.7538299, 103.9332569 30.7535245, 103.9332929 30.7534341, 103.9334495 30.7534561)",后勤物资通道,,,
2271615487,2271615601,0,217855174,service,False,True,120.538,"LINESTRING (103.9331692 30.7538299, 103.9330351 30.7540673, 103.9328715 30.7542978, 103.9326635 30.7545248, 103.9324369 30.7546989)",后勤物资通道,,,
2271615487,5261438364,0,217855186,residential,False,False,106.208,"LINESTRING (103.9331692 30.7538299, 103.9338424 30.754063, 103.934142 30.7542717)",,,,
2271615586,7736111204,0,217855140,service,False,False,6.235,"LINESTRING (103.9246453 30.7546129, 103.9245935 30.754647)",,,,
2271615586,7441685119,0,544161580,residential,False,True,53.491,"LINESTRING (103.9246453 30.7546129, 103.9243326 30.7542139)",,,,
2271615586,6801079185,0,544161580,residential,False,False,40.317,"LINESTRING (103.9246453 30.7546129, 103.9247114 30.7547373, 103.9248038 30.7549487)",,,,
2271615601,5260608572,0,217855167,residential,False,False,37.653,"LINESTRING (103.9324369 30.7546989, 103.9327188 30.7549355)",,,,
2271615601,2271615625,0,217855174,service,False,True,39.824,"LINESTRING (103.9324369 30.7546989, 103.9321043 30.7549147)",后勤物资通道,,,
2271615601,2271615487,0,217855174,service,False,False,120.53800000000001,"LINESTRING (103.9324369 30.7546989, 103.9326635 30.7545248, 103.9328715 30.7542978, 103.9330351 30.7540673, 103.9331692 30.7538299)",后勤物资通道,,,
2271615622,5515463905,0,574644711,footway,False,True,46.743,"LINESTRING (103.9314874 30.7549406, 103.9318769 30.7546863)",,,,
2271615622,5260256742,0,217855192,footway,False,False,31.881999999999998,"LINESTRING (103.9314874 30.7549406, 103.9313573 30.754997, 103.9312701 30.7550258, 103.9311927 30.7549792)",,,,
2271615622,2271615644,0,217855192,footway,False,True,47.568000000000005,"LINESTRING (103.9314874 30.7549406, 103.9315571 30.7549406, 103.9316805 30.7549327, 103.9318061 30.7549594, 103.9319042 30.754977, 103.9319722 30.7550037)",,,,
2271615622,5515463906,0,574644711,footway,False,False,37.614999999999995,"LINESTRING (103.9314874 30.7549406, 103.931364 30.755012, 103.9311556 30.7551225)",,,,
2271615625,2271615601,0,217855174,service,False,False,39.824,"LINESTRING (103.9321043 30.7549147, 103.9324369 30.7546989)",后勤物资通道,,,
2271615625,2271615644,0,217855174,service,False,True,16.04,"LINESTRING (103.9321043 30.7549147, 103.9319722 30.7550037)",后勤物资通道,,,
2271615625,8794836015,0,217855182,residential,False,False,5.389,"LINESTRING (103.9321043 30.7549147, 103.9321393 30.7549527)",,,,
2271615625,5515463905,0,217855182,residential,False,True,33.424,"LINESTRING (103.9321043 30.7549147, 103.9318769 30.7546863)",,,,
2271615635,7736111201,0,574644707,service,False,False,21.79,"LINESTRING (103.9220509 30.7550009, 103.9219129 30.7548449)",,,,
2271615635,7441685106,0,803679394,service,False,False,87.228,"LINESTRING (103.9220509 30.7550009, 103.9227755 30.7545238)",,,,
2271615635,2271615706,0,574644707,service,False,True,116.731,"LINESTRING (103.9220509 30.7550009, 103.9223375 30.7553253, 103.9223917 30.7553866, 103.9227893 30.7558372)",,,,
2271615644,2271615625,0,217855174,service,False,False,16.04,"LINESTRING (103.9319722 30.7550037, 103.9321043 30.7549147)",后勤物资通道,,,
2271615644,5338398353,0,217855174,service,False,True,24.723,"LINESTRING (103.9319722 30.7550037, 103.9317661 30.7551381)",后勤物资通道,,,
2271615644,8794836017,0,950008599,cycleway,False,True,5.23,"LINESTRING (103.9319722 30.7550037, 103.932007 30.75504)",,,,
2271615644,2271615622,0,217855192,footway,False,False,47.568,"LINESTRING (103.9319722 30.7550037, 103.9319042 30.754977, 103.9318061 30.7549594, 103.9316805 30.7549327, 103.9315571 30.7549406, 103.9314874 30.7549406)",,,,
2271615683,5259972562,0,217855186,residential,False,True,127.14200000000001,"LINESTRING (103.934887 30.755559, 103.9348905 30.7555218, 103.9349162 30.7552467, 103.9349131 30.7551558, 103.9348935 30.7550897, 103.9348478 30.755006, 103.9347261 30.7548447, 103.9344561 30.7545359)",,,,
2271615683,5315834699,0,949704497,residential,False,False,96.409,"LINESTRING (103.934887 30.755559, 103.9339206 30.7555237, 103.9338856 30.7555431)",,,,
2271615683,5260256771,0,"[949704497, 544161571, 544161573]",residential,False,"[False, True]",25.238,"LINESTRING (103.934887 30.755559, 103.9349369 30.7555642, 103.9351009 30.7555837, 103.9351491 30.7555861)",,,yes,
2271615695,5515466590,0,217855167,residential,False,True,25.474,"LINESTRING (103.9335844 30.7557104, 103.933458 30.7555087)",,,,
2271615695,5315834699,0,949704497,residential,False,True,34.27,"LINESTRING (103.9335844 30.7557104, 103.9338856 30.7555431)",,,,
2271615695,5315834657,0,217855167,residential,False,False,77.53,"LINESTRING (103.9335844 30.7557104, 103.9336699 30.7559125, 103.9337472 30.7561564, 103.9337788 30.7563842)",,,,
2271615706,7736111204,0,217855140,service,False,True,217.343,"LINESTRING (103.9227893 30.7558372, 103.9245935 30.754647)",,,,
2271615706,7517980970,0,574644707,service,False,True,82.04,"LINESTRING (103.9227893 30.7558372, 103.9233207 30.7564167)",,,,
2271615706,2271615635,0,574644707,service,False,False,116.731,"LINESTRING (103.9227893 30.7558372, 103.9223917 30.7553866, 103.9223375 30.7553253, 103.9220509 30.7550009)",,,,
2271615754,8794836013,0,544161574,residential,False,True,33.528,"LINESTRING (103.9310018 30.7561834, 103.9313337 30.7560856)",,,,
2271615754,5260306598,0,604832423,residential,False,False,50.657,"LINESTRING (103.9310018 30.7561834, 103.9309267 30.7560731, 103.9308747 30.7560063, 103.9307982 30.7559254, 103.9307664 30.7558967, 103.9306647 30.7558412)",银杏大道,,,
2271615754,5315834727,0,604832423,residential,False,True,53.198,"LINESTRING (103.9310018 30.7561834, 103.9310956 30.7564352, 103.9311158 30.7565262, 103.9311262 30.7566078, 103.9311257 30.7566471)",银杏大道,,,
2271615825,5315834725,0,217855135,residential,False,True,80.047,"LINESTRING (103.9293364 30.7568551, 103.9301738 30.7568747)",,,,
2271615825,5260306564,0,544166219,residential,False,False,58.923,"LINESTRING (103.9293364 30.7568551, 103.9292925 30.7568127, 103.9291839 30.7567178, 103.9290873 30.7566517, 103.9288589 30.7565244)",,,,
2271615825,8794836194,0,544166219,residential,False,True,10.3,"LINESTRING (103.9293364 30.7568551, 103.9293604 30.7569324, 103.9293637 30.7569447)",,,,
2271615841,5315834725,0,217855135,residential,False,False,84.762,"LINESTRING (103.9310589 30.7569252, 103.9301738 30.7568747)",,,,
2271615841,5315834748,0,217855135,residential,False,True,96.161,"LINESTRING (103.9310589 30.7569252, 103.9320621 30.7569935)",,,,
2271615841,5336767831,0,604832423,residential,False,True,72.344,"LINESTRING (103.9310589 30.7569252, 103.9306092 30.7574486)",银杏大道,,,
2271615841,5315834727,0,604832423,residential,False,False,32.005,"LINESTRING (103.9310589 30.7569252, 103.9311123 30.756804, 103.9311298 30.756714, 103.9311257 30.7566471)",银杏大道,,,
2271615861,5315834748,0,217855135,residential,False,False,80.473,"LINESTRING (103.9329028 30.7570362, 103.9320621 30.7569935)",,,,
2271615861,2271615881,0,217855182,residential,False,False,17.856,"LINESTRING (103.9329028 30.7570362, 103.9328758 30.7571951)",,,,
2271615861,5315834676,0,217855182,residential,False,True,56.875,"LINESTRING (103.9329028 30.7570362, 103.9329224 30.7568264, 103.9329197 30.7565429, 103.9329201 30.7565254)",,,,
2271615875,8794836028,0,217855160,service,False,True,15.769,"LINESTRING (103.9272585 30.7570816, 103.9271052 30.7571341)",,,,
2271615875,5260306556,0,630914103,residential,False,False,12.099,"LINESTRING (103.9272585 30.7570816, 103.9273056 30.7571826)",丹桂路,,,
2271615875,5684908462,0,630914103,residential,False,True,36.716,"LINESTRING (103.9272585 30.7570816, 103.9271506 30.7568507, 103.9271153 30.7567752)",丹桂路,,,
2271615881,5315834746,0,217855182,residential,False,False,33.202,"LINESTRING (103.9328758 30.7571951, 103.9327396 30.7574698)",,,,
2271615881,2271615861,0,217855182,residential,False,True,17.856,"LINESTRING (103.9328758 30.7571951, 103.9329028 30.7570362)",,,,
2271615881,2271615889,0,544161277,residential,False,False,65.444,"LINESTRING (103.9328758 30.7571951, 103.9335599 30.7572232)",,,,
