element_type,osmid,nodes,building,geometry,name
way,150579812,"[1634786362, 1634786363, 1634786371, 1634786368, 1634786362]",yes,"POLYGON ((106.5012322 29.536278, 106.5017217 29.5362826, 106.5017232 29.5361637, 106.5012337 29.5361591, 106.5012322 29.536278))",
way,150579813,"[1634786370, 1634786361, 1634786366, 1634786364, 1634786370]",yes,"POLYGON ((106.5012629 29.5365156, 106.501718 29.5365134, 106.5017174 29.5364122, 106.5012622 29.5364143, 106.5012629 29.5365156))",
way,150579814,"[1634786360, 1634786356, 1634786367, 1634786369, 1634786360]",yes,"POLYGON ((106.5012357 29.5360533, 106.5017224 29.5360569, 106.5017236 29.5359297, 106.5012369 29.5359261, 106.5012357 29.5360533))",
way,150579815,"[1634786358, 1634786365, 1634786359, 1634786357, 1634786358]",yes,"POLYGON ((106.5009786 29.5365173, 106.5011999 29.5365193, 106.5012016 29.5363723, 106.5009803 29.5363703, 106.5009786 29.5365173))",
way,150579995,"[1634787436, 1634787464, 1634787468, 1634787465, 1634787436]",yes,"POLYGON ((106.5017979 29.535932, 106.5020433 29.5359314, 106.502043 29.535832, 106.5017976 29.5358326, 106.5017979 29.535932))",
way,150579996,"[1634787442, 1634787447, 1634787445, 1634787466, 1634787442]",yes,"POLYGON ((106.5021478 29.5364966, 106.502428 29.5364934, 106.5024263 29.536378, 106.5021461 29.5363811, 106.5021478 29.5364966))",
way,150579997,"[1634787449, 1634787438, 1634787467, 1634787437, 1634787449]",yes,"POLYGON ((106.5023234 29.5360801, 106.5026277 29.5360792, 106.5026273 29.5359974, 106.5023231 29.5359983, 106.5023234 29.5360801))",
way,150579998,"[1634787440, 1634787443, 1634787451, 1634787453, 1634787440]",yes,"POLYGON ((106.5022995 29.5362716, 106.5025372 29.5362681, 106.5025356 29.536185, 106.5022978 29.5361885, 106.5022995 29.5362716))",
way,150580075,"[1634789278, 1634789266, 1634789262, 1634789263, 1634789261, 1634789274, 1634789265, 1634789264, 1634789277, 1634789267, 1634789269, 1634789278]",yes,"POLYGON ((106.5029362 29.533519, 106.5030622 29.5334816, 106.5030515 29.5334583, 106.5032527 29.5333976, 106.5032741 29.5334326, 106.5033492 29.5334093, 106.5033599 29.5334373, 106.5035531 29.5333696, 106.5037033 29.5332646, 106.5036389 29.5331409, 106.5028661 29.5333953, 106.5029362 29.533519))",实验动物中心
way,150580150,"[1634792438, 1634792447, 1634792433, 1634792434, 1634792438]",yes,"POLYGON ((106.5039634 29.5341537, 106.5039661 29.5340674, 106.5044945 29.5340627, 106.5044029 29.5341563, 106.5039634 29.5341537))",
way,150580233,"[1634793836, 1634793831, 1634793839, 1634793834, 1634793836]",yes,"POLYGON ((106.5033375 29.5349947, 106.5035867 29.5349931, 106.5035858 29.534881, 106.5033366 29.5348826, 106.5033375 29.5349947))",
way,150580234,"[1634793837, 1634793838, 1634793826, 1634793835, 1634793830, 1634793828, 1634793833, 1634793832, 1634793837]",yes,"POLYGON ((106.5031488 29.5347621, 106.5031482 29.534637, 106.5033965 29.534636, 106.5033961 29.5345726, 106.5031618 29.5345735, 106.5031613 29.5344733, 106.5034769 29.5344721, 106.5034784 29.5347608, 106.5031488 29.5347621))",
way,150580240,"[1634795382, 1634795393, 1634795389, 1634795372, 1634795382]",yes,"POLYGON ((106.5036047 29.5347811, 106.5039103 29.534782, 106.5039106 29.5346921, 106.503605 29.5346912, 106.5036047 29.5347811))",
way,150582201,"[1634800206, 1634800209, 1634800212, 1634800211, 1634800206]",yes,"POLYGON ((106.5032713 29.5364252, 106.5034063 29.536426, 106.5034078 29.5362133, 106.5032728 29.5362126, 106.5032713 29.5364252))",
way,150582513,"[1634800762, 1634800757, 1634800765, 1634800761, 1634800762]",yes,"POLYGON ((106.5017673 29.5361211, 106.5017702 29.535994, 106.5020815 29.5359995, 106.5020786 29.5361265, 106.5017673 29.5361211))",
