u,v,key,osmid,highway,oneway,reversed,length,geometry,tunnel
4116113903,6428138079,0,685851841,service,False,True,98.878,"LINESTRING (103.7311774 36.0611083, 103.7308084 36.0602706)",
4116113903,4116113882,0,409744731,service,False,False,224.423,"LINESTRING (103.7311774 36.0611083, 103.7300294 36.0615202, 103.7298953 36.0615202, 103.7298309 36.0614465, 103.7294763 36.060695)",
4183954063,4116113636,0,409744748,service,False,False,67.36,"LINESTRING (103.730039 36.0576438, 103.7293401 36.0578623)",
4183954063,4116113605,0,409744748,service,False,True,36.846,"LINESTRING (103.730039 36.0576438, 103.7304213 36.0575243)",
4183954063,4183954085,0,417924894,path,False,True,28.564,"LINESTRING (103.730039 36.0576438, 103.7299743 36.0578953)",
4183954070,4116113379,0,409744732,service,False,False,103.73499999999999,"LINESTRING (103.7363043 36.0576966, 103.7359759 36.0575089, 103.7355896 36.0571663, 103.7355253 36.0570318)",
4183954070,8603649083,0,409744732,service,False,True,91.452,"LINESTRING (103.7363043 36.0576966, 103.7364158 36.0577604, 103.7369898 36.0582157, 103.7370323 36.0582672)",
4183954083,4116113654,0,409744748,service,False,False,68.009,"LINESTRING (103.7292649 36.0578852, 103.7285569 36.0581008)",
4183954083,4116113636,0,409744748,service,False,True,7.224,"LINESTRING (103.7292649 36.0578852, 103.7293401 36.0578623)",
4183954083,4183954116,0,417924899,path,False,False,47.492,"LINESTRING (103.7292649 36.0578852, 103.7294613 36.0582817)",
4183954085,4183954063,0,417924894,path,False,False,28.564,"LINESTRING (103.7299743 36.0578953, 103.730039 36.0576438)",
4183954085,4183954097,0,417924894,path,False,True,20.772,"LINESTRING (103.7299743 36.0578953, 103.7299273 36.0580782)",
4183954085,4183954100,0,417924910,path,False,False,37.791,"LINESTRING (103.7299743 36.0578953, 103.7301073 36.0579309, 103.7302174 36.0580011, 103.7302911 36.0580974)",
4183954092,4116113687,0,409744728,service,False,False,53.973,"LINESTRING (103.7306397 36.0579922, 103.7308518 36.0584463)",
4183954092,4116113605,0,409744728,service,False,True,55.609,"LINESTRING (103.7306397 36.0579922, 103.7304213 36.0575243)",
4183954092,4183954100,0,417924893,path,False,True,33.449,"LINESTRING (103.7306397 36.0579922, 103.7302911 36.0580974)",
4183954097,4183954085,0,417924894,path,False,False,20.772,"LINESTRING (103.7299273 36.0580782, 103.7299743 36.0578953)",
4183954097,4183954106,0,417924888,path,False,False,18.262,"LINESTRING (103.7299273 36.0580782, 103.7299933 36.0580905, 103.7300485 36.0581222, 103.7300844 36.0581686)",
4183954097,4183954108,0,417924888,path,False,True,21.794,"LINESTRING (103.7299273 36.0580782, 103.7298605 36.0580873, 103.7298031 36.0581164, 103.7297638 36.058161, 103.729755 36.0581919)",
4183954100,4183954092,0,417924893,path,False,False,33.449,"LINESTRING (103.7302911 36.0580974, 103.7306397 36.0579922)",
4183954100,4183954106,0,417924893,path,False,True,20.197,"LINESTRING (103.7302911 36.0580974, 103.7300844 36.0581686)",
4183954100,4183954135,0,417924910,path,False,False,37.788,"LINESTRING (103.7302911 36.0580974, 103.7303197 36.0582083, 103.7302998 36.0583204, 103.7302337 36.0584203)",
4183954100,4183954085,0,417924910,path,False,True,37.791000000000004,"LINESTRING (103.7302911 36.0580974, 103.7302174 36.0580011, 103.7301073 36.0579309, 103.7299743 36.0578953)",
4183954106,4183954100,0,417924893,path,False,False,20.197,"LINESTRING (103.7300844 36.0581686, 103.7302911 36.0580974)",
4183954106,4183954118,0,417924888,path,False,False,15.855,"LINESTRING (103.7300844 36.0581686, 103.7300957 36.0582226, 103.7300805 36.058276, 103.7300568 36.0583029)",
4183954106,4183954097,0,417924888,path,False,True,18.262,"LINESTRING (103.7300844 36.0581686, 103.7300485 36.0581222, 103.7299933 36.0580905, 103.7299273 36.0580782)",
4183954108,4183954116,0,417924890,path,False,True,28.227,"LINESTRING (103.729755 36.0581919, 103.7294613 36.0582817)",
4183954108,4183954097,0,417924888,path,False,False,21.794,"LINESTRING (103.729755 36.0581919, 103.7297638 36.058161, 103.7298031 36.0581164, 103.7298605 36.0580873, 103.7299273 36.0580782)",
4183954108,4183954124,0,417924888,path,False,True,17.44,"LINESTRING (103.729755 36.0581919, 103.7297486 36.0582144, 103.7297599 36.0582684, 103.7297958 36.0583148, 103.7298203 36.0583288)",
4183954116,4183954108,0,417924890,path,False,False,28.227,"LINESTRING (103.7294613 36.0582817, 103.729755 36.0581919)",
4183954116,4183954134,0,417924899,path,False,False,16.075,"LINESTRING (103.7294613 36.0582817, 103.7295278 36.0584159)",
