element_type,osmid,nodes,building,name,name:zh,name:zh-Hans,name:zh-Hant,geometry,addr:city,addr:postcode,leisure,sport,wikidata,wikimedia_commons,wikipedia,building:levels,amenity,shop,brand,brand:en,brand:wikidata,brand:zh,name:en,layer
way,543824550,"[5257089986, 5257089987, 5257089988, 5257089989, 5257089990, 5257089991, 5257089992, 5257089993, 5257089994, 5257089995, 5257089996, 5257089997, 5257089998, 5257089999, 5257090000, 5257090001, 5257089986]",university,数理楼,数理楼,数理楼,數理樓,"POLYGON ((116.3480284 39.9897847, 116.3493884 39.9897885, 116.3493895 39.9895579, 116.3492452 39.9895575, 116.3492448 39.9896433, 116.3488744 39.9896422, 116.3488745 39.9896191, 116.348823 39.9896189, 116.3488229 39.9896456, 116.3486292 39.9896451, 116.3486294 39.9896128, 116.3485634 39.9896126, 116.3485634 39.9896276, 116.3482327 39.9896267, 116.3482332 39.9895244, 116.3480297 39.9895238, 116.3480284 39.9897847))",,,,,,,,,,,,,,,,
way,543828704,"[5257112481, 5257112482, 5257112483, 5257112484, 5257112485, 5257112486, 5257112487, 5257112488, 5257112489, 5257112490, 5257112491, 5257112492, 5257112493, 5257112481]",university,冶金楼,冶金楼,冶金楼,冶金樓,"POLYGON ((116.3508579 39.9870744, 116.3515113 39.9870923, 116.3516327 39.987008, 116.3516529 39.9865833, 116.3514059 39.9865763, 116.3513963 39.9867772, 116.3514241 39.9867779, 116.3514164 39.9869397, 116.35087 39.9869244, 116.3508665 39.9869793, 116.3508384 39.9869787, 116.3508366 39.9870281, 116.35086 39.9870288, 116.3508579 39.9870744))",,,,,,,,,,,,,,,,
way,543829124,"[5257116385, 5257116386, 5257116387, 5257116388, 5257116389, 5257116390, 5257116391, 5257116392, 5257116393, 5257116394, 5257116395, 5257116396, 5257116397, 5257116398, 5257116399, 5257116400, 5257116401, 5257116402, 5257116403, 5257116404, 5257116385]",university,外语楼,外语楼,外语楼,外語樓,"POLYGON ((116.35013 39.9881963, 116.3502987 39.9881981, 116.3503012 39.9880605, 116.3504178 39.9880618, 116.3504164 39.9881381, 116.3512373 39.988147, 116.3512385 39.9880783, 116.3513284 39.9880792, 116.3513255 39.9882374, 116.3515487 39.9882398, 116.3515548 39.9879086, 116.3513386 39.9879063, 116.3513359 39.9880496, 116.3512413 39.9880486, 116.3512427 39.9879757, 116.3504231 39.9879668, 116.350422 39.9880266, 116.3503065 39.9880254, 116.3503089 39.9878913, 116.3501356 39.9878894, 116.35013 39.9881963))",,,,,,,,,,,,,,,,
way,543830448,"[5257127701, 5257127702, 5257127703, 5257127704, 5257127701]",university,教职工礼堂,教职工礼堂,教职工礼堂,教職工禮堂,"POLYGON ((116.3501571 39.9875828, 116.3507355 39.9875854, 116.3507369 39.9873995, 116.3501585 39.9873969, 116.3501571 39.9875828))",,,,,,,,,,,,,,,,
way,543830450,"[5257127713, 5257127714, 5257127715, 5257127716, 5257127717, 5257127718, 5257127719, 5257127720, 5257127713]",university,金物楼,,,,"POLYGON ((116.3490934 39.9872595, 116.3496265 39.9872674, 116.3496382 39.9868015, 116.3498072 39.986804, 116.3497948 39.9872966, 116.3497337 39.9872957, 116.34973 39.9874409, 116.349089 39.9874315, 116.3490934 39.9872595))",,,,,,,,,,,,,,,,
way,543830451,"[5257128121, 5257128122, 5257128123, 5257128124, 5257110282, 5257128125, 5257128121]",university,腐蚀防护楼,腐蚀防护楼,腐蚀防护楼,腐蝕防護樓,"POLYGON ((116.3500729 39.9873233, 116.3500676 39.9872887, 116.3500292 39.9872777, 116.3500703 39.9866435, 116.3502445 39.9866501, 116.3502006 39.9873282, 116.3500729 39.9873233))",,,,,,,,,,,,,,,,
way,543835538,"[5257163539, 5257163540, 5257163541, 5257163542, 5257163539]",yes,友谊餐厅,,,,"POLYGON ((116.3563949 39.9872332, 116.3564121 39.9868433, 116.3565969 39.9868481, 116.3565797 39.9872379, 116.3563949 39.9872332))",,,,,,,,,restaurant,,,,,,,
way,543835539,"[5257163543, 5257163535, 5257163536, 5257163537, 5257163538, 5257163544, 5257163545, 5257163543]",hospital,北京科技大学校医院,北京科技大学校医院,北京科技大学校医院,北京科技大學校醫院,"POLYGON ((116.3556385 39.986423, 116.3563392 39.9864381, 116.3563476 39.986212, 116.3558806 39.9862019, 116.3558824 39.9861524, 116.3556487 39.9861474, 116.3556465 39.9862057, 116.3556385 39.986423))",,,,,,,,,,,,,,,,
way,543835540,"[5257163545, 5257163546, 5257163547, 5257163544, 5257163545]",hospital,北京科技大学校医院-发热肠道门诊,,,,"POLYGON ((116.3556465 39.9862057, 116.3554643 39.9861983, 116.3554682 39.9861414, 116.3556487 39.9861474, 116.3556465 39.9862057))",,,,,,,,,,,,,,,,
way,543836353,"[5257176243, 5257176244, 5257176245, 5257176246, 5257176247, 5257176248, 5257176243]",university,测试楼,测试楼,测试楼,測試樓,"POLYGON ((116.3487973 39.9900597, 116.3495542 39.9900716, 116.3495479 39.9903061, 116.3493356 39.9903027, 116.3493374 39.9902363, 116.3487928 39.9902277, 116.3487973 39.9900597))",,,,,,,,,,,,,,,,
way,543836354,"[5257176249, 5257176250, 5257176251, 5257176252, 5257176249]",university,文法楼,文法楼,文法楼,文法樓,"POLYGON ((116.3480998 39.9900395, 116.3486229 39.9900511, 116.3486171 39.9902067, 116.3480939 39.9901951, 116.3480998 39.9900395))",,,,,,,,,,,,,,,,
way,543836355,"[5257176253, 5257176254, 5257176255, 5257176256, 5257176257, 5257176258, 5257176259, 5257176260, 5257176253]",university,工程训练中心（西区）,工程训练中心（西区）,工程训练中心（西区）,工程訓練中心（西區）,"POLYGON ((116.3480115 39.9900189, 116.3477526 39.990018, 116.3477523 39.9900696, 116.3477513 39.9901119, 116.3477369 39.9903318, 116.3477351 39.9903862, 116.3477331 39.9907473, 116.3480074 39.9907482, 116.3480115 39.9900189))",,,,,,,,,,,,,,,,
way,543836357,"[5257176261, 5257176262, 5257176263, 5257176264, 5257176261]",yes,高等教育书店,高等教育书店,高等教育书店,高等教育書店,"POLYGON ((116.3473912 39.9915868, 116.3474076 39.9912352, 116.3479924 39.9912512, 116.347976 39.9916028, 116.3473912 39.9915868))",,,,,,,,,,books,,,,,,
way,543836359,"[5257176265, 5257176266, 5257176267, 5257176268, 5257176269, 5257176270, 5257176271, 5257176272, 5257176265]",university,土环楼,土环楼,土环楼,土環樓,"POLYGON ((116.3480593 39.990757, 116.3480951 39.9907464, 116.3481531 39.9906873, 116.3486864 39.9907012, 116.3486671 39.9911336, 116.3481093 39.991119, 116.3481106 39.9910916, 116.3480445 39.9910898, 116.3480593 39.990757))",,,,,,,,,,,,,,,,
