u,v,key,osmid,lanes,name,highway,oneway,reversed,length,maxspeed,geometry,service,access,tunnel
1472721949,10946656122,0,133806984,,,service,False,True,9.991,,"LINESTRING (-73.5793544 45.5042581, -73.5792874 45.5043347)",driveway,,
1472721954,8750348173,0,133806979,,Avenue du Docteur-Penfield,secondary,True,False,25.78,50,"LINESTRING (-73.5795371 45.5066775, -73.5796425 45.506694, -73.5798391 45.5067675)",,,
1472721954,8750348172,0,475873782,,Avenue du Docteur-Penfield,secondary,True,False,25.664,50,"LINESTRING (-73.5795371 45.5066775, -73.5795862 45.5067236, -73.5796655 45.5067679, -73.5797872 45.5068242)",,,
1472721958,10946298400,0,133806983,,,service,False,False,3.28,,"LINESTRING (-73.5798916 45.506786, -73.579912 45.5067602)",,,
1472721958,10946251232,0,133806979,,Avenue du Docteur-Penfield,secondary,True,False,49.489000000000004,50,"LINESTRING (-73.5798916 45.506786, -73.5801356 45.5068736, -73.5802299 45.5069008, -73.5804028 45.506936, -73.580463 45.5069468, -73.5804797 45.506946)",,,
1550150634,11289137043,0,88542746,,,service,False,False,95.52600000000001,,"LINESTRING (-73.5819679 45.5096908, -73.5819212 45.5098971, -73.5819546 45.5099491, -73.5818602 45.510277, -73.581782 45.5105298)",,,
1550150634,10839975510,0,88542746,,,service,False,True,48.982,,"LINESTRING (-73.5819679 45.5096908, -73.5820024 45.5096113, -73.5822859 45.5093142)",,,
1550150634,1573611338,0,"[1186548424, 143801184]",,,footway,False,True,13.175,,"LINESTRING (-73.5819679 45.5096908, -73.5819956 45.5096979, -73.5820647 45.5097311, -73.5821137 45.5097498)",,,
1550150654,10946656073,0,141613741,,,service,False,False,13.448,,"LINESTRING (-73.5823925 45.5098147, -73.5824067 45.5097586, -73.5824 45.5096948)",driveway,,
1550150663,11014486031,0,141613746,,,service,False,True,6.714,,"LINESTRING (-73.5837937 45.5101924, -73.5838454 45.5101441)",driveway,,
1550150663,11020601363,0,141613746,,,service,False,False,27.978,,"LINESTRING (-73.5837937 45.5101924, -73.5837283 45.510254, -73.5836988 45.5103035, -73.5837019 45.51034, -73.583727 45.5103757, -73.5837703 45.5104087)",driveway,,
1550150663,11020601359,0,"[1186548408, 1186548409, 1186548406]",,,"['service', 'footway']",False,"[False, True]",29.25,,"LINESTRING (-73.5837937 45.5101924, -73.5839185 45.510268, -73.5839453 45.5102861, -73.5840659 45.5103732)",parking_aisle,,
1550150667,11020601375,0,141613743,,,service,False,True,4.752,,"LINESTRING (-73.5830257 45.5102372, -73.5829827 45.5102675)",driveway,,
1550150667,10839975512,0,141613740,,,service,False,False,100.577,,"LINESTRING (-73.5830257 45.5102372, -73.5828956 45.5098926, -73.5827821 45.5097657, -73.5825261 45.5094668, -73.5825027 45.5094199)",,,
1550150667,11014856871,0,141613740,,,service,False,True,38.714,,"LINESTRING (-73.5830257 45.5102372, -73.5831237 45.5104716, -73.5831761 45.5105688)",,,
1550150712,11014856858,0,141613740,,,service,False,False,10.071,,"LINESTRING (-73.583566 45.5108659, -73.5834651 45.5108093)",,,
1550150712,1550150716,0,141613740,,,service,False,True,20.296,,"LINESTRING (-73.583566 45.5108659, -73.5837507 45.5109946)",,,
1550150712,2636957479,0,141613746,,,service,False,True,35.538,,"LINESTRING (-73.583566 45.5108659, -73.5837279 45.5108727, -73.5838276 45.5108671, -73.5839078 45.5108472, -73.5839608 45.5108231, -73.5839917 45.5107996)",driveway,,
1550150716,1550150712,0,141613740,,,service,False,False,20.296,,"LINESTRING (-73.5837507 45.5109946, -73.583566 45.5108659)",,,
1550150718,11014856865,0,141613743,,,service,False,False,50.677,,"LINESTRING (-73.583628 45.5111341, -73.583179 45.5108044)",driveway,,
1563386637,332514089,0,142872170,,,service,False,False,28.631,,"LINESTRING (-73.5780271 45.5032026, -73.5777243 45.5030568)",alley,,
1563386637,1563386664,0,142872170,,,service,False,True,35.574,,"LINESTRING (-73.5780271 45.5032026, -73.5784032 45.5033839)",alley,,
