u,v,key,osmid,oneway,highway,reversed,length,geometry,bridge
7925084302,7925084301,0,849445661,False,residential,True,90.07,"LINESTRING (116.1615538 40.1742852, 116.1604937 40.1742808)",
7925084302,7925084335,0,849445667,False,unclassified,False,201.40300000000002,"LINESTRING (116.1615538 40.1742852, 116.1615367 40.1744027, 116.1613999 40.1760925)",
7925084302,7925084325,0,849445667,False,unclassified,True,177.62,"LINESTRING (116.1615538 40.1742852, 116.1615481 40.1739324, 116.161645 40.1727783, 116.1616621 40.1726912)",
7925084309,7925084314,0,849445663,False,unclassified,False,81.508,"LINESTRING (116.1601745 40.1730004, 116.1608642 40.1724909)",
7925084309,7925077328,0,849445663,False,unclassified,True,141.091,"LINESTRING (116.1601745 40.1730004, 116.1589699 40.1738738)",
7925084309,7925084313,0,849445662,False,residential,False,113.63900000000001,"LINESTRING (116.1601745 40.1730004, 116.1598895 40.1728088, 116.1596901 40.1728306, 116.1595704 40.1728785, 116.1589491 40.1728741)",
7925084309,7925084301,0,849445662,False,residential,True,152.488,"LINESTRING (116.1601745 40.1730004, 116.1604424 40.1732051, 116.1604823 40.1733314, 116.1605108 40.1735404, 116.1605279 40.1737234, 116.1605051 40.173928, 116.1604937 40.174124, 116.1604937 40.1742808)",
7925084313,7925084320,0,849445664,False,residential,False,7.765,"LINESTRING (116.1589491 40.1728741, 116.1589548 40.1728044)",
7925084313,7925084309,0,849445662,False,residential,True,113.639,"LINESTRING (116.1589491 40.1728741, 116.1595704 40.1728785, 116.1596901 40.1728306, 116.1598895 40.1728088, 116.1601745 40.1730004)",
7925084313,7925077320,0,849445664,False,residential,True,92.541,"LINESTRING (116.1589491 40.1728741, 116.1588807 40.1732008, 116.1588978 40.173314, 116.1589149 40.1734403, 116.1588807 40.1735274, 116.1587724 40.1735579, 116.1586716 40.1735318)",
7925084314,7925084309,0,849445663,False,unclassified,True,81.508,"LINESTRING (116.1608642 40.1724909, 116.1601745 40.1730004)",
