u,v,key,osmid,highway,oneway,reversed,length,geometry,service,tunnel,bridge
9550312086,9550312167,0,1036623739,footway,False,False,52.172999999999995,"LINESTRING (120.7365602 31.2716739, 120.7365406 31.2716357, 120.7364513 31.2715201, 120.736288 31.2713784, 120.7361941 31.2713375)",,,
9550312086,9550312062,0,1036623739,footway,False,True,28.626,"LINESTRING (120.7365602 31.2716739, 120.7365942 31.2717404, 120.7366376 31.2719215)",,,
9550312086,9550312098,0,1036623741,footway,False,True,33.927,"LINESTRING (120.7365602 31.2716739, 120.736473 31.2717047, 120.736274 31.271775, 120.7362312 31.2717922)",,,
9550312088,9550312098,0,1036623741,footway,False,False,27.479,"LINESTRING (120.7359819 31.2719136, 120.7360456 31.2718667, 120.7362312 31.2717922)",,,
9550312088,9550312032,0,1036623741,footway,False,True,44.863,"LINESTRING (120.7359819 31.2719136, 120.7359524 31.2719354, 120.735858 31.272076, 120.7357798 31.272273)",,,
9550312088,9550312069,0,1036623742,footway,False,False,64.876,"LINESTRING (120.7359819 31.2719136, 120.7359209 31.2718012, 120.7358297 31.2715224, 120.7358056 31.2714599, 120.7357674 31.2713609)",,,
9550312088,9550312093,0,1036623742,footway,False,True,23.313,"LINESTRING (120.7359819 31.2719136, 120.7360636 31.2719782, 120.7361563 31.2720609)",,,
9550312088,9550312075,0,1036623743,footway,False,False,68.375,"LINESTRING (120.7359819 31.2719136, 120.7357354 31.2718858, 120.7354414 31.2718833, 120.7353746 31.2718828, 120.7352647 31.2718866)",,,
9550312093,9550312037,0,1036623742,footway,False,True,20.743,"LINESTRING (120.7361563 31.2720609, 120.7363073 31.2721956)",,,
9550312093,9550312088,0,1036623742,footway,False,False,23.313,"LINESTRING (120.7361563 31.2720609, 120.7360636 31.2719782, 120.7359819 31.2719136)",,,
9550312093,9550312098,0,1036623744,footway,False,False,32.533,"LINESTRING (120.7361563 31.2720609, 120.7361873 31.2720351, 120.7362026 31.2720223, 120.7362348 31.2719535, 120.7362434 31.2718728, 120.7362424 31.2718211, 120.7362312 31.2717922)",,,
9550312098,9550312086,0,1036623741,footway,False,False,33.927,"LINESTRING (120.7362312 31.2717922, 120.736274 31.271775, 120.736473 31.2717047, 120.7365602 31.2716739)",,,
9550312098,9550312088,0,1036623741,footway,False,True,27.479,"LINESTRING (120.7362312 31.2717922, 120.7360456 31.2718667, 120.7359819 31.2719136)",,,
9550312098,9550312093,0,1036623744,footway,False,True,32.533,"LINESTRING (120.7362312 31.2717922, 120.7362424 31.2718211, 120.7362434 31.2718728, 120.7362348 31.2719535, 120.7362026 31.2720223, 120.7361873 31.2720351, 120.7361563 31.2720609)",,,
9550312167,9550312069,0,1036623739,footway,False,False,41.503,"LINESTRING (120.7361941 31.2713375, 120.7361477 31.2713173, 120.7359537 31.2713282, 120.7357674 31.2713609)",,,
9550312167,9550312086,0,1036623739,footway,False,True,52.172999999999995,"LINESTRING (120.7361941 31.2713375, 120.736288 31.2713784, 120.7364513 31.2715201, 120.7365406 31.2716357, 120.7365602 31.2716739)",,,
