element_type,osmid,nodes,building,name,tourism,geometry,amenity,office,name:en,layer,shop,landuse,man_made,monitoring:weather,natural,ways,type
way,106360598,"[1223967224, 1223967306, 1223967284, 1223967236, 1223967224]",yes,,,"POLYGON ((114.3509507 30.4821858, 114.3509667 30.4815429, 114.351046 30.4815444, 114.35103 30.4821873, 114.3509507 30.4821858))",,,,,,,,,,,
way,106361632,"[1223983067, 1223983068, 1223982996, 1223983009, 1223983067]",yes,,,"POLYGON ((114.3507992 30.4821661, 114.3508033 30.4819999, 114.3508803 30.4820013, 114.3508761 30.4821675, 114.3507992 30.4821661))",,,,,,,,,,,
way,106361633,"[1223983070, 1223983020, 1223983034, 1223983076, 1223983070]",yes,,,"POLYGON ((114.3507926 30.4819477, 114.3507982 30.481772, 114.3508866 30.4817741, 114.350881 30.4819498, 114.3507926 30.4819477))",,,,,,,,,,,
way,106361635,"[1223983022, 1223983061, 1223983008, 1223983006, 1223983022]",yes,,,"POLYGON ((114.350799 30.4817201, 114.3508035 30.4815526, 114.3508972 30.4815545, 114.3508927 30.481722, 114.350799 30.4817201))",,,,,,,,,,,
way,106362009,"[1223991433, 1404154218, 1404154215, 1223991436, 1223991429, 1404154216, 1404154212, 1223991438, 1223991433]",yes,,,"POLYGON ((114.348107 30.4811597, 114.3484247 30.4811533, 114.3484265 30.4811178, 114.3488891 30.4811235, 114.3488858 30.4812403, 114.348422 30.4812349, 114.3484226 30.4812758, 114.3481092 30.4812758, 114.348107 30.4811597))",,,,,,,,,,,
way,106362011,"[1223991427, 1223991445, 1223991422, 1223991430, 1223991427]",yes,,,"POLYGON ((114.3479646 30.4825178, 114.3481282 30.482517, 114.3481287 30.4825954, 114.3479651 30.4825961, 114.3479646 30.4825178))",,,,,,,,,,,
way,106362323,"[1223996770, 1223996777, 1223996747, 1223996755, 1223996770]",yes,,,"POLYGON ((114.3473163 30.4820338, 114.3478205 30.4820357, 114.34782 30.482142, 114.3473158 30.4821402, 114.3473163 30.4820338))",,,,,,,,,,,
way,106362330,"[1223996764, 1223996757, 1223996756, 1223996742, 1223996764]",yes,,,"POLYGON ((114.3473104 30.4817413, 114.34784 30.481746, 114.3478388 30.4818524, 114.3473091 30.4818477, 114.3473104 30.4817413))",,,,,,,,,,,
way,106362332,"[1223996732, 1223996795, 1223996784, 1223996738, 1223996732]",yes,北苑11栋,,"POLYGON ((114.3499783 30.4810498, 114.35036 30.4810487, 114.3503604 30.4811535, 114.3499787 30.4811546, 114.3499783 30.4810498))",,,,,,,,,,,
way,106362335,"[1223996762, 1223996734, 1223996782, 1223996733, 1223996762]",yes,,,"POLYGON ((114.3481392 30.4814065, 114.3487215 30.4814153, 114.3487193 30.4815242, 114.348137 30.4815154, 114.3481392 30.4814065))",,,,,,,,,,,
