u,v,key,osmid,name,highway,access,oneway,reversed,length,geometry,service,maxspeed,lanes,bridge,width
3724109306,3724109302,0,368553900,,footway,,False,False,34.439,"LINESTRING (106.4249091 29.8253331, 106.4245611 29.825264)",,,,,
3724109306,3724109308,0,368553900,,footway,,False,True,29.338,"LINESTRING (106.4249091 29.8253331, 106.4248388 29.8255898)",,,,,
3724109306,9209393877,0,997367946,,steps,,False,False,69.419,"LINESTRING (106.4249091 29.8253331, 106.4250811 29.8247269)",,,,,
3724109307,3724109304,0,368553900,,footway,,False,False,22.775,"LINESTRING (106.4241506 29.8254664, 106.4241064 29.8256676)",,,,,
3724109307,3724109308,0,368553901,,footway,,False,False,67.792,"LINESTRING (106.4241506 29.8254664, 106.4248388 29.8255898)",,,,,
3724109307,3724109302,0,368553900,,footway,,False,True,64.081,"LINESTRING (106.4241506 29.8254664, 106.4242245 29.8251972, 106.4245611 29.825264)",,,,,
3724109308,3724109306,0,368553900,,footway,,False,False,29.338,"LINESTRING (106.4248388 29.8255898, 106.4249091 29.8253331)",,,,,
3724109308,3724109307,0,368553901,,footway,,False,True,67.792,"LINESTRING (106.4248388 29.8255898, 106.4241506 29.8254664)",,,,,
3724109308,3724109304,0,368553900,,footway,,False,True,90.05499999999999,"LINESTRING (106.4248388 29.8255898, 106.4247876 29.8257911, 106.4241064 29.8256676)",,,,,
3724109309,3724109315,0,368553902,,service,,False,False,27.206,"LINESTRING (106.4238221 29.8260319, 106.4238926 29.825795)",,,,,
3724109309,3110234075,0,367700099,,service,,False,False,231.48499999999999,"LINESTRING (106.4238221 29.8260319, 106.4236057 29.8260278, 106.4233769 29.8260206, 106.4231415 29.8259742, 106.4229457 29.825849, 106.4224154 29.8254394, 106.4221007 29.8252071, 106.4217789 29.8250959)",,,,,
3724109309,9935768681,0,367700099,,service,,False,True,100.458,"LINESTRING (106.4238221 29.8260319, 106.4247563 29.8262047, 106.4248353 29.8262346)",,,,,
3724109314,3724109290,0,973994912,,service,,False,True,30.272,"LINESTRING (106.4246738 29.8243444, 106.4247296 29.8240765)",,,,,
3724109314,3724109315,0,368553902,,service,,False,True,203.173,"LINESTRING (106.4246738 29.8243444, 106.424327 29.8243176, 106.4242124 29.8246583, 106.4241039 29.8250455, 106.423988 29.8254871, 106.4238926 29.825795)",,,,,
3724109314,3724109301,0,"[973994912, 368553897]",,service,,False,False,41.739999999999995,"LINESTRING (106.4246738 29.8243444, 106.4246189 29.8245738, 106.42465 29.8246358, 106.4247105 29.8246872)",,,,,
3724109315,3724109309,0,368553902,,service,,False,True,27.206,"LINESTRING (106.4238926 29.825795, 106.4238221 29.8260319)",,,,,
3724109315,3724109304,0,368553903,,footway,,False,True,25.021,"LINESTRING (106.4238926 29.825795, 106.4241064 29.8256676)",,,,,
3724109315,3724109314,0,368553902,,service,,False,False,203.173,"LINESTRING (106.4238926 29.825795, 106.423988 29.8254871, 106.4241039 29.8250455, 106.4242124 29.8246583, 106.424327 29.8243176, 106.4246738 29.8243444)",,,,,
3724123189,3101507799,0,305512088,,service,permissive,False,False,15.451,"LINESTRING (106.4106717 29.8178124, 106.4105321 29.8177443)",,,,,
3724123189,8744634635,0,305512088,,service,permissive,False,True,183.022,"LINESTRING (106.4106717 29.8178124, 106.410714 29.817833, 106.4107879 29.8179218, 106.410873 29.8182216, 106.411141 29.819066, 106.4111643 29.8191126, 106.4111998 29.8191618, 106.4112409 29.8192027, 106.4112796 29.8192333, 106.4113753 29.8192912)",,,,,
3724123189,7847003951,0,"[368553531, 368553532]",,"['steps', 'footway']",,False,False,79.145,"LINESTRING (106.4106717 29.8178124, 106.4107514 29.8176928, 106.4107125 29.8175712, 106.4107021 29.8175387, 106.4106478 29.8173933, 106.4105443 29.8172606, 106.410495 29.8172435, 106.4104811 29.8171903)",,,,,
3724123189,3724427114,0,"[368592184, 368592187]",,footway,,False,"[False, True]",35.307,"LINESTRING (106.4106717 29.8178124, 106.4106064 29.8178853, 106.4103568 29.8179471)",,,,,
3724141343,7902519380,0,368555725,,service,,False,True,56.984,"LINESTRING (106.4236008 29.8232685, 106.4232426 29.823676)",,,,,
3724141343,3724109290,0,843421758,,footway,,False,False,141.266,"LINESTRING (106.4236008 29.8232685, 106.424396 29.8238645, 106.4247296 29.8240765)",,,,,
3724141343,3724521753,0,843421758,,footway,,False,True,264.191,"LINESTRING (106.4236008 29.8232685, 106.4231087 29.8226837, 106.422711 29.8222346, 106.4220183 29.8226142, 106.4216139 29.8224826)",,,,,
3724320462,3101507795,0,305512092,,service,,False,True,5.765,"LINESTRING (106.4141322 29.8174752, 106.4140727 29.81748)",,,,,
3724320462,7846353362,0,840894877,,steps,,False,False,70.8,"LINESTRING (106.4141322 29.8174752, 106.4143367 29.8180867)",,,,,
3724320462,7846353337,0,305512092,,service,,False,False,100.243,"LINESTRING (106.4141322 29.8174752, 106.4145675 29.817373, 106.4146458 29.8173542, 106.4147243 29.8173353, 106.4151276 29.8172179)",,,,,
3724320472,7846076924,0,306178746,,service,,False,False,113.419,"LINESTRING (106.4167582 29.8198723, 106.4157816 29.8204402)",,,,,
3724320472,7902519408,0,306178746,,service,,False,True,14.4,"LINESTRING (106.4167582 29.8198723, 106.4168825 29.8198006)",,,,,
3724320472,3724444687,0,368578310,,service,,False,False,66.767,"LINESTRING (106.4167582 29.8198723, 106.4165495 29.8192998)",,,,,
3724320472,7861724527,0,842727310,,service,,False,False,209.10500000000008,"LINESTRING (106.4167582 29.8198723, 106.4170328 29.8202921, 106.4170745 29.8203555, 106.4170869 29.820411, 106.4170764 29.8205018, 106.4170006 29.8205447, 106.4169649 29.8206301, 106.4170038 29.8207104, 106.417022 29.8207752, 106.4169964 29.8208287, 106.4169472 29.8208643, 106.416864 29.8209124, 106.4168002 29.8209579, 106.4167299 29.8210431, 106.4167411 29.8211266, 106.4168027 29.8212226, 106.4170207 29.8214335)",,25,,,
3724339770,7846353417,0,368578310,,service,,False,False,53.916,"LINESTRING (106.4159334 29.8175245, 106.4157727 29.8170601)",,,,,
3724339770,7846353335,0,368578310,,service,,False,True,12.902,"LINESTRING (106.4159334 29.8175245, 106.4159756 29.8176346)",,,,,
3724339770,3724339771,0,368580107,,footway,,False,False,41.895,"LINESTRING (106.4159334 29.8175245, 106.4163486 29.8174141)",,,,,
3724339771,3724339772,0,368580107,,footway,,False,False,53.447,"LINESTRING (106.4163486 29.8174141, 106.416199 29.8169513)",,,,,
3724339771,3724339770,0,368580107,,footway,,False,True,41.895,"LINESTRING (106.4163486 29.8174141, 106.4159334 29.8175245)",,,,,
3724339771,3724339773,0,368580107,,footway,,False,True,98.903,"LINESTRING (106.4163486 29.8174141, 106.416544 29.8173814, 106.4166207 29.8173666, 106.4166973 29.8173333, 106.4167569 29.8172927, 106.4167995 29.8172336, 106.4168208 29.8171671, 106.416808 29.8170821, 106.4167186 29.8168088)",,,,,
3724339772,3724339773,0,368580107,,footway,,False,False,52.573,"LINESTRING (106.416199 29.8169513, 106.4167186 29.8168088)",,,,,
3724339772,3724339771,0,368580107,,footway,,False,True,53.447,"LINESTRING (106.416199 29.8169513, 106.4163486 29.8174141)",,,,,
3724339772,7846353417,0,840894885,,service,,False,True,42.87,"LINESTRING (106.416199 29.8169513, 106.4157727 29.8170601)",driveway,,,,
3724339772,7846353463,0,840894893,,footway,,False,False,35.932,"LINESTRING (106.416199 29.8169513, 106.4160904 29.8166422)",,,,,
3724339773,3724339772,0,368580107,,footway,,False,True,52.573,"LINESTRING (106.4167186 29.8168088, 106.416199 29.8169513)",,,,,
3724339773,7846353464,0,840894896,,footway,,False,False,40.074,"LINESTRING (106.4167186 29.8168088, 106.417117 29.8167068)",,,,,
3724339773,3724339771,0,368580107,,footway,,False,False,98.90299999999999,"LINESTRING (106.4167186 29.8168088, 106.416808 29.8170821, 106.4168208 29.8171671, 106.4167995 29.8172336, 106.4167569 29.8172927, 106.4166973 29.8173333, 106.4166207 29.8173666, 106.416544 29.8173814, 106.4163486 29.8174141)",,,,,
3724339781,3724339790,0,305512092,,service,,False,False,30.543,"LINESTRING (106.4156569 29.8167158, 106.4155775 29.8164499)",,,,,
3724339781,7846353417,0,305512092,,service,,False,True,39.881,"LINESTRING (106.4156569 29.8167158, 106.4157727 29.8170601)",,,,,
3724339781,3724339782,0,368580108,,service,,False,False,22.897,"LINESTRING (106.4156569 29.8167158, 106.4157575 29.8165293)",,,,,
3724339782,7846353460,0,368580108,,service,,False,False,27.202,"LINESTRING (106.4157575 29.8165293, 106.416029 29.8164633)",,,,,
3724339782,3724339781,0,368580108,,service,,False,True,22.897,"LINESTRING (106.4157575 29.8165293, 106.4156569 29.8167158)",,,,,
3724339782,3724339790,0,368580110,,service,,False,False,19.481,"LINESTRING (106.4157575 29.8165293, 106.4155775 29.8164499)",,,,,
3724339783,3724418671,0,368580108,,service,,False,True,45.335,"LINESTRING (106.4173964 29.8161058, 106.4169486 29.8162294)",,,,,
3724339790,3101507770,0,305512092,,service,,False,False,48.713,"LINESTRING (106.4155775 29.8164499, 106.4154351 29.8160296)",,,,,
3724339790,3724339781,0,305512092,,service,,False,True,30.543,"LINESTRING (106.4155775 29.8164499, 106.4156569 29.8167158)",,,,,
3724339790,3724339782,0,368580110,,service,,False,True,19.481,"LINESTRING (106.4155775 29.8164499, 106.4157575 29.8165293)",,,,,
3724418671,3724339783,0,368580108,,service,,False,False,45.335,"LINESTRING (106.4169486 29.8162294, 106.4173964 29.8161058)",,,,,
3724418671,7861724675,0,368580108,,service,,False,True,7.139,"LINESTRING (106.4169486 29.8162294, 106.4168776 29.8162475)",,,,,
3724418671,7846353464,0,368589375,,service,,False,False,55.515,"LINESTRING (106.4169486 29.8162294, 106.417117 29.8167068)",driveway,,,,
