u,v,key,osmid,highway,oneway,reversed,length,name,geometry
8515442085,8515442087,0,916831881,service,False,False,42.781,,"LINESTRING (118.8133515 32.0391728, 118.8133945 32.0389277, 118.8134497 32.038799)"
8515442087,8515442063,0,916831880,service,False,False,26.937,,"LINESTRING (118.8134497 32.038799, 118.8137339 32.0387736)"
8515442087,8515442083,0,916831880,service,False,True,41.004,,"LINESTRING (118.8134497 32.038799, 118.8130171 32.0388378)"
8515442087,8515442085,0,916831881,service,False,True,42.781,,"LINESTRING (118.8134497 32.038799, 118.8133945 32.0389277, 118.8133515 32.0391728)"
8515442088,8515442064,0,916831871,service,False,False,55.147,明德路,"LINESTRING (118.8136735 32.0384273, 118.8135878 32.0379367)"
8515442088,8515442063,0,916831871,service,False,True,38.925,明德路,"LINESTRING (118.8136735 32.0384273, 118.8137339 32.0387736)"
8515442088,8515442089,0,916831882,service,False,False,105.726,,"LINESTRING (118.8136735 32.0384273, 118.8147885 32.0383239)"
8515442089,8515442057,0,916831869,service,False,False,60.56,博远路,"LINESTRING (118.8147885 32.0383239, 118.8146972 32.0377848)"
8515442089,8515442084,0,916831869,service,False,True,42.773,博远路,"LINESTRING (118.8147885 32.0383239, 118.8148355 32.0387065)"
8515442089,8515442088,0,916831882,service,False,True,105.726,,"LINESTRING (118.8147885 32.0383239, 118.8136735 32.0384273)"
8515442090,8515442065,0,916831871,service,False,False,74.894,明德路,"LINESTRING (118.8135161 32.0374167, 118.8134091 32.0367493)"
8515442090,8515442064,0,916831871,service,False,True,58.215,明德路,"LINESTRING (118.8135161 32.0374167, 118.8135878 32.0379367)"
8515442090,8515442035,0,916831883,service,False,True,86.116,,"LINESTRING (118.8135161 32.0374167, 118.8126103 32.0375177)"
8515442093,8515442051,0,916831865,service,False,False,31.154,文渊路,"LINESTRING (118.8123722 32.0358531, 118.8123311 32.0355751)"
8515442093,8515442094,0,916831884,service,False,False,83.397,,"LINESTRING (118.8123722 32.0358531, 118.8132507 32.0357642)"
8515442093,8515442045,0,916831865,service,False,True,109.531,文渊路,"LINESTRING (118.8123722 32.0358531, 118.8124237 32.0363176, 118.8124628 32.0365652, 118.8125049 32.0368315)"
8515442094,8515442066,0,916831871,service,False,False,32.682,明德路,"LINESTRING (118.8132507 32.0357642, 118.8132063 32.0354727)"
8515442094,8515442093,0,916831884,service,False,True,83.397,,"LINESTRING (118.8132507 32.0357642, 118.8123722 32.0358531)"
8515442094,8515442065,0,916831871,service,False,True,110.55499999999999,明德路,"LINESTRING (118.8132507 32.0357642, 118.8133589 32.0364082, 118.8134091 32.0367493)"
