element_type,osmid,nodes,building,geometry,historic,name,amenity,name:en,name:zh,name:zh-Hans,name:zh-Hant,tourism
way,916831970,"[8515450762, 8515450763, 8515450764, 8515450765, 8515450762]",yes,"POLYGON ((118.8171578 32.0397762, 118.81715 32.0396069, 118.8180431 32.0395776, 118.8180509 32.0397467, 118.8171578 32.0397762))",,H1,,,,,,
way,916831971,"[8515450766, 8515450767, 8515450768, 8515450769, 8515450766]",yes,"POLYGON ((118.8171403 32.0395775, 118.8171326 32.0394082, 118.8180257 32.0393789, 118.8180335 32.039548, 118.8171403 32.0395775))",,H1 南,,,,,,
way,916831972,"[8515450770, 8515450771, 8515450772, 8515450773, 8515450770]",yes,"POLYGON ((118.8171403 32.0393645, 118.8171326 32.0391952, 118.8180257 32.0391659, 118.8180335 32.039335, 118.8171403 32.0393645))",,H2,,,,,,
way,916831973,"[8515450774, 8515450775, 8515450776, 8515450777, 8515450774]",yes,"POLYGON ((118.8171014 32.0391455, 118.8170937 32.0389762, 118.8179868 32.0389469, 118.8179945 32.039116, 118.8171014 32.0391455))",,H南,,,,,,
way,916831974,"[8515450778, 8515450779, 8515450780, 8515450781, 8515450778]",yes,"POLYGON ((118.8183723 32.0397482, 118.8183121 32.0391332, 118.818666 32.0390972, 118.8187341 32.0397176, 118.8183723 32.0397482))",,E,,,,,,
way,916831975,"[8515450782, 8515450783, 8515450784, 8515450785, 8515450782]",yes,"POLYGON ((118.8172619 32.0401119, 118.817253 32.039954, 118.8180135 32.0399231, 118.8180225 32.0400808, 118.8172619 32.0401119))",,D,,,,,,
way,916831976,"[8515450786, 8515450787, 8515450796, 8515450788, 8515450789, 8515450790, 8515450791, 8515450786]",yes,"POLYGON ((118.817303 32.0408259, 118.8172548 32.0403609, 118.8179793 32.0403069, 118.8180916 32.0402985, 118.8181121 32.0404959, 118.8175136 32.0405404, 118.8175413 32.0408081, 118.817303 32.0408259))",,,,,,,,
way,916831977,"[8515450792, 8515450793, 8515450794, 8515450795, 8515450788, 8515450796, 8515450797, 8515450792]",yes,"POLYGON ((118.8177801 32.0402773, 118.8177747 32.0401432, 118.8180027 32.0401341, 118.818059 32.0401818, 118.8180916 32.0402985, 118.8179793 32.0403069, 118.8179678 32.0402728, 118.8177801 32.0402773))",,A5,,,,,,
way,916831978,"[8515450798, 8515450799, 8515450800, 8515450801, 8515450802, 8515450806, 8515450803, 8515450804, 8515450805, 8515450798]",yes,"POLYGON ((118.8172999 32.0403182, 118.8173724 32.0403319, 118.8174394 32.0402864, 118.817434 32.0402364, 118.8173804 32.0401977, 118.8173401 32.0401904, 118.8172812 32.0402023, 118.8172624 32.04025, 118.8172597 32.0402841, 118.8172999 32.0403182))",,A4,,,,,,
way,916831979,"[8515450807, 8515450808, 8515450809, 8515450810, 8515450807]",yes,"POLYGON ((118.8181036 32.0390037, 118.818082 32.0387566, 118.8182424 32.0387465, 118.8182641 32.0389936, 118.8181036 32.0390037))",,H3,,,,,,
way,916831980,"[8515450811, 8515450812, 8515450813, 8515450814, 8515450811]",yes,"POLYGON ((118.8183178 32.0388697, 118.8183092 32.0387421, 118.8186308 32.0387266, 118.8186394 32.0388542, 118.8183178 32.0388697))",,H4,,,,,,
way,916831982,"[8515450819, 8515450820, 8515450821, 8515450822, 8515450819]",yes,"POLYGON ((118.8180587 32.0386266, 118.8180429 32.038491, 118.8185641 32.0384474, 118.8185799 32.0385831, 118.8180587 32.0386266))",,,,,,,,
way,916831983,"[8515450823, 8515450824, 8515450825, 8515450826, 8515450823]",yes,"POLYGON ((118.8171339 32.0387551, 118.8171209 32.0385906, 118.8179565 32.038543, 118.8179695 32.0387077, 118.8171339 32.0387551))",,,,,,,,
way,916831984,"[8515450827, 8515450828, 8515450829, 8515450830, 8515450827]",yes,"POLYGON ((118.8167487 32.0387471, 118.8167439 32.0386231, 118.8170937 32.0386134, 118.8170985 32.0387374, 118.8167487 32.0387471))",,,,,,,,
way,916831985,"[8515450831, 8515450832, 8515450833, 8515450834, 8515450831]",yes,"POLYGON ((118.8162419 32.0387622, 118.8162317 32.0386278, 118.8166721 32.0386039, 118.8166822 32.0387381, 118.8162419 32.0387622))",,,,,,,,
way,916831986,"[8515450835, 8515450836, 8515450837, 8515450838, 8515450835]",yes,"POLYGON ((118.8167641 32.0391418, 118.8167493 32.0388166, 118.8169118 32.0388113, 118.8169266 32.0391365, 118.8167641 32.0391418))",,F3,,,,,,
way,916831987,"[8515450839, 8515450840, 8515450841, 8515450842, 8515450839]",yes,"POLYGON ((118.8162378 32.0389836, 118.8162276 32.0388493, 118.8166679 32.0388253, 118.8166781 32.0389596, 118.8162378 32.0389836))",,,,,,,,
way,916831988,"[8515450843, 8515450844, 8515450845, 8515450846, 8515450843]",yes,"POLYGON ((118.8162588 32.0392013, 118.8162486 32.039067, 118.816689 32.039043, 118.8166992 32.0391773, 118.8162588 32.0392013))",,,,,,,,
way,916831989,"[8515450847, 8515450848, 8515450849, 8515450850, 8515450847]",yes,"POLYGON ((118.8162775 32.0394112, 118.8162673 32.0392768, 118.8167076 32.0392528, 118.8167178 32.0393871, 118.8162775 32.0394112))",,,,,,,,
way,916831990,"[8515450851, 8515450852, 8515450853, 8515450854, 8515450851]",yes,"POLYGON ((118.8186839 32.0403806, 118.8186712 32.0402635, 118.8187959 32.0402538, 118.8188086 32.0403709, 118.8186839 32.0403806))",,1,,,,,,
way,916831991,"[8515450855, 8515450856, 8515450857, 8515450858, 8515450855]",yes,"POLYGON ((118.81867 32.040136, 118.8186573 32.040019, 118.818782 32.0400093, 118.8187947 32.0401263, 118.81867 32.040136))",,2,,,,,,
way,916831992,"[8515450859, 8515450860, 8515450861, 8515450862, 8515450859]",yes,"POLYGON ((118.8186431 32.0399114, 118.8186305 32.0397943, 118.8187552 32.0397846, 118.8187678 32.0399017, 118.8186431 32.0399114))",,3,,,,,,
way,916831993,"[8515450863, 8515450864, 8515450865, 8515450866, 8515450863]",yes,"POLYGON ((118.8182795 32.0403899, 118.8182669 32.0402249, 118.8186221 32.0402055, 118.8186346 32.0403705, 118.8182795 32.0403899))",,c,,,,,,
way,916831994,"[8515450867, 8515450868, 8515450869, 8515450870, 8515450871, 8515450872, 8515450867]",yes,"POLYGON ((118.818345 32.0408965, 118.8183315 32.0407899, 118.818663 32.0407599, 118.8186215 32.0404298, 118.8188218 32.0404117, 118.8188769 32.0408483, 118.818345 32.0408965))",,b2,,,,,,
