u,v,key,osmid,name,highway,oneway,reversed,length,geometry,lanes,junction,bridge,maxspeed,width,tunnel,service
5173027997,8552234702,0,"[920732026, 1119771251, 1119771252]",卓越路,pedestrian,False,True,30.128,"LINESTRING (113.9937532 22.5996356, 113.9937389 22.5996334, 113.993685 22.5996252, 113.9935066 22.599598, 113.9934687 22.5995782)",,,yes,,,,
5173028009,8530907578,0,926524850,明德路,unclassified,False,False,9.545,"LINESTRING (113.99968 22.6000013, 113.9996088 22.6000565)",,,,,,,
5173028009,8535834671,0,926524848,创业路,unclassified,False,True,50.117,"LINESTRING (113.99968 22.6000013, 113.9995645 22.5999644, 113.9994152 22.5999164, 113.9994046 22.5999117, 113.9993384 22.5998826, 113.9992275 22.5998339)",,,,,,,
5173028009,8530907613,0,926524849,创业路,residential,False,False,90.942,"LINESTRING (113.99968 22.6000013, 113.9998249 22.600021, 114.0005341 22.6002142)",,,,,,,
5173028017,5173027989,0,"[864686952, 533170949, 533170950]",,unclassified,False,False,98.921,"LINESTRING (113.996579 22.5972878, 113.9961825 22.5973898, 113.9957876 22.5974925, 113.9956507 22.5975263)",,,yes,,,,
5173028017,8530907608,0,918549012,,footway,False,True,50.261,"LINESTRING (113.996579 22.5972878, 113.9964705 22.5974227, 113.9964106 22.5975566, 113.996397 22.5976397, 113.9964048 22.5976943)",,,,,,,
5173028017,8530907612,0,926524848,创业路,unclassified,False,False,185.125,"LINESTRING (113.996579 22.5972878, 113.9968979 22.5977063, 113.9976741 22.5986098)",,,,,,,
5173028017,8530907607,0,926524848,创业路,unclassified,False,True,202.87600000000003,"LINESTRING (113.996579 22.5972878, 113.9964697 22.5971999, 113.995644 22.5962442, 113.9955423 22.5961162, 113.9954283 22.5960337, 113.9952671 22.5959403)",,,,,,,
5173028123,5173028146,0,532106180,创业路,unclassified,False,True,365.945,"LINESTRING (113.9945397 22.5955404, 113.9943925 22.5954959, 113.9937337 22.5952799, 113.993364 22.5951974, 113.9928509 22.5951042, 113.9927345 22.5951086, 113.9926612 22.5951262, 113.9925981 22.595157, 113.9925152 22.5952277, 113.9923351 22.5955094, 113.9922446 22.5956612, 113.9921512 22.5957559, 113.9917808 22.5961436, 113.9916475 22.5962689)",,,,,,,
5173028123,9049790443,0,"[533170946, 533170948, 926524847]",一号桥,unclassified,False,True,60.185,"LINESTRING (113.9945397 22.5955404, 113.9945061 22.5955935, 113.9944741 22.5956485, 113.9944547 22.5956821, 113.9942822 22.5959807, 113.9942748 22.5959936, 113.9942593 22.5960156)",,,yes,,,,
5173028123,8530907607,0,926524848,创业路,unclassified,False,False,86.955,"LINESTRING (113.9945397 22.5955404, 113.9946393 22.5955856, 113.995114 22.5958516, 113.9952671 22.5959403)",,,,,,,
5173028146,8059520650,0,533170955,,footway,False,False,31.883,"LINESTRING (113.9916475 22.5962689, 113.9917916 22.5965229)",,,,,,,
5173028146,8552162820,0,921134249,,service,False,False,66.687,"LINESTRING (113.9916475 22.5962689, 113.9912787 22.5957752)",,,,,,,
5173028146,5173028123,0,532106180,创业路,unclassified,False,False,365.94500000000005,"LINESTRING (113.9916475 22.5962689, 113.9917808 22.5961436, 113.9921512 22.5957559, 113.9922446 22.5956612, 113.9923351 22.5955094, 113.9925152 22.5952277, 113.9925981 22.595157, 113.9926612 22.5951262, 113.9927345 22.5951086, 113.9928509 22.5951042, 113.993364 22.5951974, 113.9937337 22.5952799, 113.9943925 22.5954959, 113.9945397 22.5955404)",,,,,,,
5173028146,8059520651,0,864686955,,footway,False,True,64.737,"LINESTRING (113.9916475 22.5962689, 113.9915657 22.5964025, 113.9914677 22.5965025, 113.9913466 22.5966048, 113.9912236 22.5966906)",,,,,,,
5173028147,8059520650,0,"[533170955, 533170956, 533170957]",,footway,False,True,86.72099999999999,"LINESTRING (113.9920855 22.5972379, 113.9920883 22.5970691, 113.9918854 22.5966884, 113.9917916 22.5965229)",,,yes,,,,
5173028147,5173028328,0,533170962,创知北路,pedestrian,False,False,62.446,"LINESTRING (113.9920855 22.5972379, 113.9921867 22.5973476, 113.9922195 22.5975556, 113.992247 22.5976064, 113.9923464 22.5977257)",,,,,,,
5173028147,5173028355,0,"[881493875, 669046555]",创新路,unclassified,False,False,52.903999999999996,"LINESTRING (113.9920855 22.5972379, 113.9920075 22.5972678, 113.9918758 22.597267, 113.9917823 22.5972602, 113.9915824 22.5972166)",,,,,,,
