element_type,osmid,geometry,nodes,amenity,building,internet_access,internet_access:fee,internet_access:ssid,name,name:de,name:en,name:zh,name:zh-Hans,name:zh-Hant,website,addr:housename,leisure,sport,healthcare,building:levels,alt_name:en,tourism,url,addr:city,addr:postcode,addr:street,layer,shop,building:levels:underground,alt_name,ways,type
way,190563776,"POLYGON ((116.3419216 39.9830378, 116.3419284 39.982934, 116.34196 39.9829088, 116.3420933 39.9829134, 116.3421255 39.9829411, 116.3421188 39.983045, 116.3420879 39.9830676, 116.3420565 39.9830662, 116.34195 39.9830621, 116.3419216 39.9830378))","[2012097125, 2012097128, 8789803334, 2012097129, 2012097130, 2012097127, 2012097126, 8789803331, 8789803335, 2012097125]",,yes,,,,七号楼附楼,,,七号楼附楼,七号楼附楼,七號樓附樓,,,,,,,,,,,,,,,,,,
way,190564099,"POLYGON ((116.3460467 39.9813934, 116.346058 39.9812103, 116.3464346 39.9812232, 116.3464233 39.9814063, 116.3460467 39.9813934))","[2012099727, 2012099730, 2012099731, 2012099728, 2012099727]",,yes,,,,第八馆,,,第八馆,第八馆,第八館,,,,,,,,,,,,,,,,,,
way,255737642,"POLYGON ((116.3395436 39.9759016, 116.3399567 39.9759001, 116.3399672 39.9761463, 116.3398438 39.9761453, 116.3398405 39.9765637, 116.3395243 39.9765669, 116.3395436 39.9759016))","[2614203420, 2614203422, 6924398112, 6924398113, 2614203423, 2614203425, 2614203420]",,commercial,,,,量子银座,,,量子银座,量子银座,量子銀座,,,,,,16,,,,,,,,,,,,
way,255896184,"POLYGON ((116.3409192 39.984033, 116.3415367 39.9840525, 116.3415455 39.9838893, 116.340928 39.9838698, 116.3409192 39.984033))","[2616085066, 2616085067, 2616085068, 2616085069, 2616085066]",,apartments,,,,学生16公寓,16. Studentenwohnheim,16th Dormitory,学生16公寓,学生16公寓,學生16公寓,,,,,,4,,,,北京,100191,北四环中路,,,,,,
way,265003797,"POLYGON ((116.344432 39.9849764, 116.3444427 39.9847745, 116.3450362 39.9847886, 116.3450282 39.9849903, 116.344432 39.9849764))","[2706639976, 2706639977, 2706639978, 2706639979, 2706639976]",,yes,,,,第三馆东 / 北配电楼,,,第三馆东 / 北配电楼,第三馆东 / 北配电楼,第三館東 / 北配電樓,,,,,,,,,,,,,,,,,,
way,265003801,"POLYGON ((116.3436157 39.9836392, 116.343916 39.9836477, 116.3439186 39.9835943, 116.3442009 39.9836023, 116.3441984 39.983655, 116.3445031 39.9836637, 116.3445068 39.9835872, 116.3447239 39.9835934, 116.3447154 39.9837705, 116.3447127 39.9838248, 116.3447065 39.9839547, 116.3444897 39.9839486, 116.3444932 39.9838762, 116.3436071 39.9838511, 116.3436036 39.9839237, 116.3433771 39.9839173, 116.3433946 39.9835547, 116.3436195 39.9835611, 116.3436157 39.9836392))","[2706639998, 8789738255, 8789738253, 8789738254, 8789738257, 2706639999, 2706640002, 2706640003, 2706640020, 2706640017, 2706640004, 2706640005, 2706640008, 8789738256, 2706640012, 2706640013, 2706640014, 2706640015, 2706639998]",,university,,,,四号楼,,,四号楼,四号楼,四號樓,,,,,,,,,,,,,1,,,,,
way,265003803,"POLYGON ((116.3449573 39.9839602, 116.3451812 39.9839668, 116.3451848 39.983894, 116.3460691 39.9839198, 116.3460659 39.9839854, 116.3462845 39.9839918, 116.3463022 39.9836369, 116.3460879 39.9836307, 116.346084 39.9837093, 116.3457747 39.9837003, 116.3457774 39.9836455, 116.3455013 39.9836374, 116.3454985 39.9836925, 116.3453995 39.9836896, 116.3451933 39.9836836, 116.345197 39.9836082, 116.3449752 39.9836017, 116.3449664 39.9837774, 116.3449637 39.9838318, 116.3449573 39.9839602))","[2706640021, 2706640022, 2706640025, 2706640026, 2706640029, 2706640030, 2706640031, 2706640032, 2706640035, 8789738252, 8789738250, 8789738249, 8789738251, 10220935357, 2706640036, 2706640039, 2706640040, 6924289518, 6924289519, 2706640021]",,university,,,,三号楼,,,三号楼,三号楼,三號樓,,,,,,4,,,,,,,1,,,,,
way,265004775,"POLYGON ((116.3450977 39.9831994, 116.345109 39.9829869, 116.3451292 39.9829875, 116.3451343 39.9828912, 116.3452057 39.9828934, 116.3452119 39.9827769, 116.345218 39.9826625, 116.3451473 39.9826602, 116.3451525 39.9825617, 116.345127 39.9825609, 116.3451383 39.9823484, 116.3448738 39.9823401, 116.3448707 39.9823978, 116.3448536 39.982718, 116.3448485 39.982818, 116.3448312 39.9831394, 116.3448286 39.9831918, 116.3450977 39.9831994))","[2706651410, 2706651412, 2706651414, 2706651454, 8789738247, 2706651465, 8789738246, 2706651463, 2706651416, 2706651419, 2706651421, 8789738245, 2706651452, 2706651438, 2706651440, 2706651475, 2706651408, 2706651410]",,university,,,,主楼,,,主楼,主楼,主樓,,,,,,,,,,,,,,,,,,
way,265004776,"POLYGON ((116.3441052 39.9829409, 116.3441249 39.9825562, 116.3443864 39.9825641, 116.3443828 39.9826339, 116.3448199 39.982647, 116.3448163 39.9827169, 116.3448536 39.982718, 116.3448485 39.982818, 116.3448097 39.9828169, 116.3448061 39.9828868, 116.3443706 39.9828737, 116.3443668 39.9829488, 116.3441052 39.9829409))","[2706651425, 2706651427, 2706651429, 2706651431, 2706651433, 8789738248, 2706651438, 2706651440, 2706651442, 2706651444, 2706651446, 2706651448, 2706651425]",,university,,,,主M,,,主M,主M,主M,,,,,,,,,,,,,,,,,,
way,265004778,"POLYGON ((116.3440614 39.9832903, 116.3440737 39.9830372, 116.3442574 39.9830424, 116.3442535 39.9831229, 116.3448312 39.9831394, 116.3448286 39.9831918, 116.3450977 39.9831994, 116.3451913 39.9832021, 116.3451803 39.9834292, 116.3449642 39.9834231, 116.3449682 39.9833409, 116.3448936 39.9833387, 116.3448222 39.9833367, 116.3441988 39.9833189, 116.3442 39.9832943, 116.3440614 39.9832903))","[2706651469, 2706651470, 2706651471, 2706651472, 2706651475, 2706651408, 2706651410, 2706651476, 2706651477, 2706651478, 2706651480, 2706651513, 4721512695, 2706651482, 2706651485, 2706651469]",,university,,,,主北,,,主北,主北,主北,,,,,,,,,,,,,,,,,,
way,265004779,"POLYGON ((116.344102 39.9824547, 116.3441149 39.9822054, 116.344249 39.9822095, 116.3442505 39.9821811, 116.344945 39.982202, 116.3448748 39.9822, 116.3450191 39.9822043, 116.3450238 39.9821138, 116.3452461 39.9821205, 116.3452441 39.9821588, 116.3452342 39.9823511, 116.3451383 39.9823484, 116.3448738 39.9823401, 116.3448707 39.9823978, 116.3442848 39.9823801, 116.3442807 39.98246, 116.344102 39.9824547))","[2706651487, 2706651489, 8789738244, 2706651491, 2706651518, 2706651533, 2706651495, 2706651497, 2706651499, 10220935355, 2706651501, 2706651421, 8789738245, 2706651452, 2706651507, 2706651509, 2706651487]",,university,,,,主南,,,主南,主南,主南,,,,,,,,,,,,,,,,,,
way,265004780,"POLYGON ((116.3448014 39.9837729, 116.3448222 39.9833367, 116.3448936 39.9833387, 116.3448729 39.9837748, 116.3449664 39.9837774, 116.3449637 39.9838318, 116.3447127 39.9838248, 116.3447154 39.9837705, 116.3448014 39.9837729))","[2706651511, 4721512695, 2706651513, 2706651516, 6924289518, 6924289519, 2706640017, 2706640020, 2706651511]",,university,,,,走廊,,,走廊,走廊,走廊,,,,,,,,,,,,,1,,,,,
way,265004781,"POLYGON ((116.344945 39.982202, 116.3449671 39.9817586, 116.345061 39.9817613, 116.3450639 39.9817069, 116.3448079 39.9816995, 116.3448052 39.9817533, 116.344897 39.9817559, 116.3448748 39.9822, 116.344945 39.982202))","[2706651518, 2706651520, 2706651523, 2706651525, 2706651527, 2706651529, 2706651531, 2706651533, 2706651518]",,university,,,,走廊,,,走廊,走廊,走廊,,,,,,,,,,,,,1,,,,,
way,265004782,"POLYGON ((116.3450531 39.9819304, 116.3448052 39.9817533, 116.3448079 39.9816995, 116.3450702 39.9815728, 116.3452865 39.9815789, 116.3452832 39.9816474, 116.3461633 39.9816722, 116.3461667 39.9816023, 116.3463929 39.9816087, 116.3463757 39.9819662, 116.3461566 39.98196, 116.3461603 39.981883, 116.3458552 39.9818744, 116.3458526 39.9819293, 116.345575 39.9819215, 116.3455775 39.9818696, 116.3452669 39.9818609, 116.3452632 39.9819363, 116.3450531 39.9819304))","[2706651535, 2706651529, 2706651527, 2706651537, 2706651539, 2706651544, 2706651546, 2706651552, 2706651554, 2706651556, 2706651558, 2706651564, 8789738241, 8789738239, 8789738238, 8789738240, 2706651565, 2706651568, 2706651535]",,university,,,,一号楼,,,一号楼,一号楼,一號樓,,,,,,,,,,,,,2,,,,,
way,265004783,"POLYGON ((116.3434709 39.9818846, 116.3434808 39.9816765, 116.3435 39.981677, 116.343507 39.9815299, 116.3437041 39.9815354, 116.3437009 39.9816032, 116.3445861 39.9816279, 116.3445893 39.9815601, 116.3448142 39.9815664, 116.3450639 39.9817069, 116.345061 39.9817613, 116.3447974 39.9819213, 116.3445715 39.981915, 116.344575 39.9818406, 116.3436906 39.981816, 116.343687 39.9818907, 116.3434709 39.9818846))","[2706651569, 8789738242, 8789738243, 2706651570, 2706651572, 2706651574, 2706651580, 2706651585, 2706651586, 2706651525, 2706651523, 2706651587, 2706651588, 2706651591, 2706651594, 2706651595, 2706651569]",,university,,,,二号楼,,,二号楼,二号楼,二號樓,,,,,,,,,,,,,,,,,,
way,265006583,"POLYGON ((116.3433365 39.9846522, 116.3433456 39.9845498, 116.3434941 39.9845561, 116.3436792 39.9845628, 116.3436705 39.9846624, 116.3433365 39.9846522))","[2706659286, 2706659287, 2706659292, 2706659288, 2706659289, 2706659286]",,industrial,,,,实验室,,,实验室,实验室,實驗室,,,,,,,,,,,,,,,,,,
way,265006584,"POLYGON ((116.3433456 39.9845498, 116.3433831 39.9840253, 116.3435316 39.9840316, 116.3434941 39.9845561, 116.3433456 39.9845498))","[2706659287, 2706659290, 2706659291, 2706659292, 2706659287]",,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,265006590,"POLYGON ((116.3419683 39.9831548, 116.3418809 39.9831519, 116.3418841 39.9830947, 116.3419478 39.9830964, 116.3420542 39.9831006, 116.3422863 39.9831078, 116.3422839 39.9831504, 116.3423509 39.9831526, 116.3423463 39.9832364, 116.3419645 39.9832241, 116.3419683 39.9831548))","[2706659330, 8789803339, 2706659332, 8789803333, 8789803332, 8789803336, 2706659334, 8789803337, 2706659337, 8789803338, 2706659330]",,yes,,,,七号楼,,,七号楼,七号楼,七號樓,,,,,,,,,,,,,,,,,,
way,265006591,"POLYGON ((116.3415635 39.9813805, 116.3412179 39.9811122, 116.3411062 39.9811967, 116.3411032 39.9814634, 116.3415625 39.9814664, 116.3415635 39.9813805))","[2706659352, 5334645890, 2706659353, 2706659354, 2706659355, 2706659352]",,yes,,,,知行北楼,,,知行北楼,知行北楼,知行北樓,,,,,,,,,,,,,,,,,,
way,265006592,"POLYGON ((116.3413176 39.9810588, 116.3416446 39.981068, 116.3416516 39.9809221, 116.341133 39.9809075, 116.3413176 39.9810588))","[2706659356, 2706659357, 2706659358, 2706659359, 2706659356]",,yes,,,,知行南楼,,,知行南楼,知行南楼,知行南樓,,,,,,,,,,,,,,,,,,
way,265008341,"POLYGON ((116.3444682 39.9840735, 116.3444571 39.9843045, 116.3445303 39.9843066, 116.3445191 39.9845383, 116.3447159 39.9845438, 116.3447306 39.9842377, 116.3449512 39.984244, 116.3449588 39.9840874, 116.3444682 39.9840735))","[2706639994, 2706639993, 2706639992, 2706639997, 7606115953, 7606115954, 2706671829, 2706671830, 2706639994]",,yes,,,,第二馆,,,第二馆,第二馆,第二館,,,,,,,,,,,,,,,,,,
way,370806843,"POLYGON ((116.3428133 39.9778861, 116.343965 39.9779187, 116.3440069 39.9770499, 116.3435671 39.9770374, 116.3435688 39.9770008, 116.3433188 39.9769938, 116.3433169 39.9770327, 116.3428551 39.9770196, 116.3428133 39.9778861))","[3744930096, 3744930097, 3744930098, 8789523974, 8789523972, 8789523971, 8789523973, 3744930099, 3744930096]",,yes,,,,第十二至十五馆 / 为民楼,,,第十二至十五馆 / 为民楼,第十二至十五馆 / 为民楼,第十二至十五館 / 為民樓,,,,,,,,,,,,,,,,,,
way,370806847,"POLYGON ((116.3421114 39.9773909, 116.3426629 39.9774082, 116.3426884 39.9770141, 116.3421273 39.9769989, 116.3421114 39.9773909))","[3744929437, 3744929438, 3744929439, 3744929440, 3744929437]",,university,,,,第十六馆 / 曾宪梓楼,,,第十六馆 / 曾宪梓楼,第十六馆 / 曾宪梓楼,第十六館 / 曾憲梓樓,,,,,,,,,,,,,,,,,,
way,407857810,"POLYGON ((116.3391019 39.981012, 116.3397366 39.9810284, 116.3397419 39.9809078, 116.3391072 39.9808914, 116.3391019 39.981012))","[4098894795, 4098894796, 4098894797, 4098894798, 4098894795]",,dormitory,,,,20公寓,,,20公寓,20公寓,20公寓,,,,,,4,,,,,,,,,,,,
way,407857811,"POLYGON ((116.3402453 39.9810598, 116.3410271 39.9810783, 116.3410328 39.9809364, 116.340251 39.9809179, 116.3402453 39.9810598))","[4098894799, 4098894800, 4098894801, 4098894802, 4098894799]",,dormitory,,,,21公寓,,,21公寓,21公寓,21公寓,,,,,,4,,,,,,,,,,,,
way,439501149,"POLYGON ((116.3380062 39.9847154, 116.338948 39.9847427, 116.338944 39.9848548, 116.3380651 39.9848304, 116.3380225 39.9848191, 116.3379984 39.9847975, 116.3380062 39.9847154))","[4371259706, 4371259707, 4371259708, 4371259709, 8789621766, 8789621765, 4371259706]",,yes,,,,110住宅,,,110住宅,110住宅,110住宅,,,,,,,,,,,,,,,,,,
way,552563730,"POLYGON ((116.3378568 39.9810183, 116.3379443 39.9810214, 116.337961 39.9807485, 116.3378735 39.9807453, 116.3378568 39.9810183))","[5334813740, 5334813738, 5334813744, 5334813736, 5334813740]",,yes,,,,超市发,,Chao Shi Fa,超市发,超市发,超市發,,,,,,,,,,,,,,supermarket,,,,
way,553445438,"POLYGON ((116.345978 39.9797243, 116.3459905 39.9794362, 116.3468363 39.9794577, 116.3468238 39.9797458, 116.345978 39.9797243))","[5342285602, 5342285605, 5342285599, 5342285595, 5342285602]",,yes,,,,新主楼A座,,,新主楼A座,新主楼A座,新主樓A座,,,,,,,,,,,,,,,,,,
way,553445440,"POLYGON ((116.3452369 39.9792642, 116.3456323 39.9792709, 116.3460562 39.9792781, 116.3460725 39.9787163, 116.3452532 39.9787024, 116.3452369 39.9792642))","[5342285597, 6924450353, 5342285601, 5342285596, 5342285604, 5342285597]",,yes,,,,新主楼会议中心,,,新主楼会议中心,新主楼会议中心,新主樓會議中心,,,,,,-1,,,,,,,,,,,,
way,553445443,"POLYGON ((116.344279 39.9796649, 116.3451347 39.979686, 116.3451469 39.9793958, 116.3442912 39.9793747, 116.344279 39.9796649))","[5342285600, 5342285603, 5342285594, 5342285598, 5342285600]",,yes,,,,新主楼G座,,,新主楼G座,新主楼G座,新主樓G座,,,,,,,,,,,,,,,,,,
way,566265932,"POLYGON ((116.3406771 39.9836205, 116.3414398 39.9836439, 116.3414349 39.9837387, 116.341562 39.9837426, 116.3415747 39.983497, 116.3406849 39.9834698, 116.3406771 39.9836205))","[5453214588, 5453214589, 5453214590, 5453214591, 5453214592, 5453214593, 5453214588]",,yes,,,,学生12公寓,,,学生12公寓,学生12公寓,學生12公寓,,,,,,,,,,,,,,,,,,
way,566266105,"POLYGON ((116.3428207 39.9783024, 116.3432391 39.9783106, 116.3432391 39.9782202, 116.3432927 39.9782284, 116.3433035 39.9781544, 116.3428314 39.9781462, 116.3428207 39.9783024))","[5453211752, 5453211753, 5453211754, 5453211755, 5453211756, 5453211757, 5453211752]",,yes,,,,交叉科学研究院,,,交叉科学研究院,交叉科学研究院,交叉科學研究院,,,,,,,,,,,,,,,,,,
way,579096423,"POLYGON ((116.3389017 39.9796527, 116.3391216 39.9796601, 116.3392112 39.9780877, 116.3389914 39.9780804, 116.3389017 39.9796527))","[5546915067, 5546915066, 5546915065, 5546915064, 5546915067]",,yes,,,,运动场看台,,,运动场看台,运动场看台,運動場看臺,,,,,,,,,,,,,,,,,,
way,635292181,"POLYGON ((116.3370285 39.9815769, 116.3370343 39.9814596, 116.3369968 39.9814288, 116.3369079 39.9814265, 116.3368992 39.9816287, 116.3369592 39.9816302, 116.3370386 39.9816296, 116.3370424 39.9816528, 116.3377881 39.9816836, 116.3377934 39.9816404, 116.3379061 39.9816487, 116.3379168 39.9814801, 116.3378873 39.9814719, 116.337797 39.9814688, 116.33779 39.9815991, 116.3370285 39.9815769))","[5992972819, 5992972820, 5992972821, 5992972822, 5992972823, 5992972824, 5992972825, 5992972826, 5992972827, 5992972830, 5992972833, 5992972834, 5992972835, 5992972836, 5992972837, 5992972819]",,yes,,,,305住宅,,,305住宅,305住宅,305住宅,,,,,,,,,,,,,,,,,,
way,727034429,"POLYGON ((116.3439411 39.9811606, 116.3439579 39.9808821, 116.3440665 39.9808868, 116.3440484 39.9811622, 116.3439411 39.9811606))","[2011229403, 6813625762, 6813625761, 6813625760, 2011229403]",,yes,,,,艺文雅苑,,,艺文雅苑,艺文雅苑,藝文雅苑,,,,,,,,,,,,,,,,,,
way,741501052,"POLYGON ((116.3418201 39.9835054, 116.342008 39.9835077, 116.3420049 39.9835951, 116.3429231 39.983614, 116.3429231 39.9835478, 116.343111 39.9835526, 116.3430956 39.9838807, 116.3429108 39.9838736, 116.3429108 39.9838075, 116.3419957 39.9837816, 116.3419926 39.9838547, 116.3418077 39.98385, 116.3418201 39.9835054))","[6941761686, 6941761687, 6941761688, 6941761689, 6941761690, 6941761691, 6941761692, 6941761693, 6941761694, 6941761695, 6941761696, 6941761697, 6941761686]",,university,,,,五号楼,,,五号楼,五号楼,五號樓,,,,,,,,,,,,,,,,,,
way,814254434,"POLYGON ((116.3450973 39.9844827, 116.3451332 39.9844838, 116.3451282 39.9845824, 116.3453389 39.9845887, 116.3453432 39.9845043, 116.3452748 39.9845022, 116.345293 39.9841443, 116.3453602 39.9841463, 116.3453636 39.9840785, 116.345151 39.9840722, 116.3451466 39.9841578, 116.3451139 39.9841568, 116.3450973 39.9844827))","[7606115955, 8789562180, 8789562181, 8789562182, 7606115956, 8789562183, 8789562184, 8789562185, 7606115957, 8789562186, 8789562187, 7606115958, 7606115955]",,yes,,,,第四馆,,,第四馆,第四馆,第四館,,,,,,,,,,,,,,,,,,
way,814254435,"POLYGON ((116.3426924 39.9832181, 116.3430908 39.9832274, 116.3431152 39.9829938, 116.3427087 39.9829751, 116.3426924 39.9832181))","[7606115959, 7606115960, 7606115961, 7606115962, 7606115959]",,yes,,,,图书馆北配楼,,,图书馆北配楼,图书馆北配楼,圖書館北配樓,,,,,,,,,,,,,,,,,,
way,814254436,"POLYGON ((116.3465099 39.9811122, 116.3465302 39.9808973, 116.345896 39.9808661, 116.3458878 39.9810998, 116.3465099 39.9811122))","[7606115963, 7606115964, 7606115965, 7606115966, 7606115963]",,yes,,,,第七馆,,,第七馆,第七馆,第七館,,,,,,,,,,,,,,,,,,
way,814254437,"POLYGON ((116.3416353 39.9761062, 116.3419928 39.9760953, 116.3420034 39.9758838, 116.3416212 39.9758621, 116.3416353 39.9761062))","[7606115967, 7606115968, 7606115969, 7606115970, 7606115967]",,yes,,,,第十一馆,,,第十一馆,第十一馆,第十一館,,,,,,,,,,,,,,,,,,
way,899365021,"POLYGON ((116.3410381 39.9773286, 116.3413445 39.9773362, 116.3413556 39.9770744, 116.341199 39.9770705, 116.3411924 39.9772252, 116.3410426 39.9772214, 116.3410381 39.9773286))","[8356406804, 8356406805, 8356406806, 8356406807, 8356406808, 8356406809, 8356406804]",,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,899365022,"POLYGON ((116.341224 39.977372, 116.3414756 39.9773818, 116.3414669 39.9775113, 116.3413583 39.977507, 116.3413431 39.9777343, 116.3414455 39.9777383, 116.3414414 39.9777988, 116.3413555 39.9777955, 116.3413536 39.9778237, 116.3410051 39.9778102, 116.3410211 39.9775683, 116.3411548 39.9775735, 116.3411591 39.9775092, 116.3412148 39.9775114, 116.341224 39.977372))","[8356406810, 8356406811, 8356406812, 8356406813, 8356406814, 8356406815, 8356406816, 8356460717, 8356460718, 8356460719, 8356460720, 8356460721, 8356460722, 8356460723, 8356406810]",,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,899365023,"POLYGON ((116.3406343 39.9765851, 116.3413016 39.9766035, 116.3413087 39.9764523, 116.3406414 39.9764338, 116.3406343 39.9765851))","[8356460724, 8356460725, 8356460726, 8356460727, 8356460724]",,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,949446451,"POLYGON ((116.3421209 39.9767553, 116.3421303 39.976558, 116.3435197 39.9765949, 116.343513 39.9767953, 116.3426252 39.9767717, 116.3426238 39.976819, 116.3423543 39.9768138, 116.3423569 39.9767625, 116.3421209 39.9767553))","[8789773636, 8789773635, 8789773634, 8789773633, 8789773632, 8789773631, 8789773630, 8789773629, 8789773636]",,school,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,949452369,"POLYGON ((116.3392521 39.9836711, 116.3392665 39.9833885, 116.3405921 39.9834216, 116.3405764 39.9837074, 116.3403388 39.9837009, 116.3403452 39.983586, 116.3395063 39.9835672, 116.3394983 39.983678, 116.3392521 39.9836711))","[8789833480, 8789833481, 8789833482, 8789833483, 8789833484, 8789833485, 8789833486, 8789833487, 8789833480]",,school,,,,学生13公寓,,,,,,,,,,,,,,,,,,,,1,,,
way,1105974658,"POLYGON ((116.3382563 39.9837519, 116.338242 39.9842196, 116.3389376 39.984232, 116.3389519 39.9837644, 116.3382563 39.9837519))","[10120300295, 10120300298, 10120300297, 10120300299, 10120300295]",,yes,,,,北区食堂,,,,,,,,,,,,,,,,,,,,1,新北区食堂,,
way,1105974776,"POLYGON ((116.3392254 39.983994, 116.3392142 39.9842895, 116.3405517 39.9843193, 116.3405623 39.9840404, 116.3403281 39.9840351, 116.3403241 39.9841404, 116.3394921 39.9841219, 116.3394967 39.9840001, 116.3392254 39.983994))","[10120299254, 10120299251, 10120299253, 10120299252, 10120299250, 10120299249, 10120299255, 10120299248, 10120299254]",,yes,,,,学生15公寓,,,,,,,,,,,,,,,,,,,,1,,,
way,1105975270,"POLYGON ((116.3407954 39.9841572, 116.3407867 39.9843268, 116.3413667 39.9843443, 116.3413754 39.9841747, 116.3407954 39.9841572))","[10120297387, 10120297385, 10120297384, 10120297383, 10120297387]",,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,1105976808,"POLYGON ((116.3370544 39.98206, 116.3370659 39.9818679, 116.336965 39.9818644, 116.3369674 39.9818233, 116.3360587 39.9817913, 116.336056 39.9818366, 116.3359481 39.9818328, 116.335937 39.9820182, 116.3360756 39.9820231, 116.3360834 39.9818939, 116.3369273 39.9819236, 116.3369194 39.9820553, 116.3370544 39.98206))","[10120326226, 10120313006, 10120326218, 10120313008, 10120326223, 10120313011, 10120313005, 10120326222, 10120313016, 10120313010, 10120326224, 10120326221, 10120326226]",,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,1105976809,"POLYGON ((116.3358568 39.9828862, 116.3358479 39.9830784, 116.3359489 39.9830812, 116.335947 39.9831222, 116.3368561 39.9831468, 116.3368582 39.9831015, 116.3369661 39.9831045, 116.3369747 39.982919, 116.336836 39.9829152, 116.33683 39.9830445, 116.3359857 39.9830216, 116.3359918 39.9828899, 116.3358568 39.9828862))","[10120313004, 10120313012, 10120313014, 10120313013, 10120313015, 10120313007, 10120313003, 10120326217, 10120313009, 10120326220, 10120326227, 10120326219, 10120313004]",,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,1105977414,"POLYGON ((116.3349301 39.9838375, 116.3355524 39.9838576, 116.3355592 39.9837351, 116.3349369 39.9837151, 116.3349301 39.9838375))","[10120303123, 10120303149, 10120303150, 10120303126, 10120303123]",,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,1105977415,"POLYGON ((116.3357944 39.98377, 116.3369041 39.9838019, 116.3369101 39.9836803, 116.3358004 39.9836483, 116.3357944 39.98377))","[10120303151, 10120303144, 10120303133, 10120303148, 10120303151]",,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,1105977416,"POLYGON ((116.3389419 39.9834918, 116.3382016 39.98346, 116.3381903 39.983614, 116.3380258 39.9836069, 116.3380441 39.9833566, 116.3389489 39.9833955, 116.3389419 39.9834918))","[10120303131, 10120303152, 10120303121, 10120303125, 10120303153, 10120303127, 10120303131]",,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,1105977417,"POLYGON ((116.335787 39.9841289, 116.3368967 39.9841609, 116.3369026 39.9840392, 116.3357929 39.9840073, 116.335787 39.9841289))","[10120303138, 10120303135, 10120303137, 10120303120, 10120303138]",,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,1105977418,"POLYGON ((116.3352898 39.9840183, 116.3352723 39.9841738, 116.3352964 39.9843159, 116.3354193 39.9844252, 116.3356003 39.9844731, 116.3366245 39.9845057, 116.3366337 39.9844098, 116.3356131 39.9843846, 116.3355119 39.9843598, 116.335429 39.9842797, 116.3354076 39.9841692, 116.3354164 39.984135, 116.3354609 39.9841363, 116.3354699 39.9840365, 116.3352898 39.9840183))","[10120303147, 10120303139, 10120303124, 10120303130, 10120303146, 10120303145, 10120303136, 10120303134, 10120303119, 10120303141, 10120303122, 10120303143, 10120303132, 10120303140, 10120303147]",,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,1105977419,"POLYGON ((116.3372042 39.9839005, 116.3378265 39.9839206, 116.3378332 39.9837981, 116.3372109 39.9837781, 116.3372042 39.9839005))","[10120303154, 10120303129, 10120303128, 10120303155, 10120303154]",,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,1105978634,"POLYGON ((116.3369049 39.9843072, 116.336828 39.9843055, 116.3368247 39.9843945, 116.336877 39.9843956, 116.3368761 39.9844218, 116.3368213 39.9844206, 116.3368191 39.9844784, 116.3368691 39.9844795, 116.3368673 39.9845274, 116.3368132 39.9845263, 116.3368109 39.9845861, 116.3368444 39.9845869, 116.3368436 39.9846077, 116.3368053 39.9846069, 116.3368039 39.9846447, 116.3371406 39.9846521, 116.3371417 39.9846222, 116.3370942 39.9846212, 116.3370956 39.9845858, 116.3371317 39.9845866, 116.3371333 39.9845426, 116.3370784 39.9845414, 116.3370797 39.9845063, 116.3370969 39.9845067, 116.3370977 39.9844851, 116.33714 39.984486, 116.337142 39.984431, 116.3370844 39.9844298, 116.3370853 39.9844063, 116.3371447 39.9844076, 116.337148 39.9843168, 116.3370753 39.9843152, 116.3370743 39.9843436, 116.3370236 39.9843426, 116.3370243 39.9843213, 116.336951 39.9843198, 116.3369502 39.9843404, 116.3369037 39.9843394, 116.3369049 39.9843072))","[10120342663, 10120342648, 10120342651, 10120342679, 10120342626, 10120342667, 10120342674, 10120342681, 10120342627, 10120342687, 10120342659, 10120342704, 10120344718, 10120342649, 10120342662, 10120342665, 10120342641, 10120342683, 10120342643, 10120342635, 10120342633, 10120344721, 10120342698, 10120342642, 10120342661, 10120342664, 10120342652, 10120342680, 10120342699, 10120342653, 10120342670, 10120342716, 10120342644, 10120342668, 10120342712, 10120342660, 10120342706, 10120342645, 10120342663]",,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
