element_type,osmid,geometry,nodes,building,name,ref,building:levels,alt_name,leisure,sport,roof:shape,location,power,substation,amenity,bath:open_air,bath:sand_bath,opening_hours,department,faculty,height,layer,min_height,frequency,voltage,ways,type,short_name
way,696699097,"POLYGON ((121.3886978 31.3224757, 121.3887089 31.322261, 121.3886288 31.322258, 121.3886178 31.3224727, 121.3886978 31.3224757))","[6542708208, 6542708209, 6542708210, 6542708211, 6542708208]",university,,,,,,,,,,,,,,,,,,,,,,,,
way,696699098,"POLYGON ((121.3885603 31.322417, 121.3885665 31.3222067, 121.3884643 31.3222045, 121.3884599 31.3223533, 121.3883612 31.3223512, 121.388364 31.3222554, 121.388412 31.3222564, 121.3884135 31.3222047, 121.388302 31.3222023, 121.3882958 31.3224113, 121.3885603 31.322417))","[6542708212, 6542708213, 9110301336, 9110301334, 9110301333, 9110301332, 9110301335, 9110301337, 6542708214, 6542708215, 6542708212]",university,危险品仓库,,,,,,,,,,,,,,,,,,,,,,,
way,696699099,"POLYGON ((121.386954 31.3224318, 121.3869757 31.3222248, 121.3869442 31.3222224, 121.3869532 31.3221365, 121.3864323 31.3220965, 121.3864289 31.3221288, 121.3859875 31.322095, 121.3859725 31.3222369, 121.3855182 31.322202, 121.3855107 31.322273, 121.3855454 31.3222757, 121.385538 31.3223461, 121.3861177 31.3223905, 121.3861309 31.3222642, 121.386729 31.32231, 121.3867181 31.3224137, 121.386954 31.3224318))","[6542708216, 6542708217, 6542708218, 6542708219, 6542708220, 6542708221, 6542708222, 6542708223, 6542708224, 6542708225, 6542708226, 6542708227, 9101662692, 9101662693, 9101662694, 9101662695, 6542708216]",university,乐乎新楼,,,,,,,,,,,,,,,,,,,,,,,
way,696699100,"POLYGON ((121.3919353 31.3168409, 121.3921693 31.3169733, 121.3925797 31.3169991, 121.3925689 31.3171617, 121.3921048 31.3171359, 121.3918298 31.3169776, 121.3919353 31.3168409))","[6542708228, 6542708229, 6542708230, 6542708231, 6542708232, 6542708233, 6542708228]",university,HE楼,HE,,,,,,,,,,,,,,,,,,,,,,
way,696699101,"POLYGON ((121.3923907 31.3165094, 121.3922526 31.3166919, 121.3921161 31.3166165, 121.3922543 31.316434, 121.3923907 31.3165094))","[6542708234, 6542708235, 6542708236, 6542708237, 6542708234]",yes,,1,,,,,,indoor,substation,distribution,,,,,,,,,,,,,,
way,696699102,"POLYGON ((121.3925598 31.3162208, 121.3924607 31.3161643, 121.3923442 31.3163131, 121.3924232 31.3163583, 121.3925145 31.3162416, 121.3925346 31.3162531, 121.3925598 31.3162208))","[6542708238, 6542708239, 6542708240, 6542708241, 9364002125, 9364002126, 6542708238]",university,电话总机,,,,,,,,,,,,,,,,,,,,,,,
way,697060751,"POLYGON ((121.3845602 31.3142833, 121.3845803 31.3140082, 121.3845122 31.3140046, 121.3845016 31.3141499, 121.3842565 31.3141368, 121.3842639 31.3140363, 121.3841958 31.3140327, 121.3841789 31.314263, 121.3845602 31.3142833))","[6546602939, 6546602940, 6546602941, 6546602942, 6546602943, 6546602944, 6546602945, 6546602946, 6546602939]",university,后勤基建大楼,,5,,,,,,,,,,,,,,,,,,,,,
way,697060752,"POLYGON ((121.3846456 31.3135938, 121.3846566 31.3134298, 121.3838116 31.3133885, 121.3838006 31.3135525, 121.3846456 31.3135938))","[6546602947, 6546602948, 6546602949, 6546602950, 6546602947]",parking,,,1,,,,,,,,,,,,,,,,,,,,,
way,908265177,"POLYGON ((121.3836848 31.3207813, 121.3841331 31.3208069, 121.3841022 31.3212024, 121.3836538 31.3211768, 121.3836848 31.3207813))","[8433634328, 8433634329, 8433634330, 8433634331, 8433634328]",yes,玄陵网球馆,,,,sports_hall,,,,,,,,,,,,,,,,,,,
way,978588306,"POLYGON ((121.394707 31.3155083, 121.3956573 31.3155566, 121.3956686 31.3153952, 121.3947182 31.3153469, 121.394707 31.3155083))","[9054860145, 9054860144, 9054860143, 9054860142, 9054860145]",university,社会科学学部,D2,5,东区2号楼,,,,,,,,,,,social_science,,,,,,,,,
way,978588312,"POLYGON ((121.3870389 31.3190745, 121.3870912 31.3191031, 121.3872012 31.3189742, 121.3874158 31.3188931, 121.3875572 31.3191329, 121.3881916 31.3183264, 121.3879066 31.3183017, 121.3878945 31.3183762, 121.3878733 31.3184168, 121.3878439 31.3184535, 121.3878073 31.3184852, 121.3877646 31.3185107, 121.3877173 31.3185293, 121.3876669 31.3185403, 121.3876149 31.3185435, 121.3875645 31.3185388, 121.3875157 31.3185268, 121.3874702 31.3185076, 121.3874293 31.318482, 121.3873942 31.3184506, 121.3873661 31.3184145, 121.3873458 31.3183748, 121.3873339 31.3183327, 121.3873353 31.3182702, 121.387049 31.3182714, 121.3872028 31.3185321, 121.386998 31.3186219, 121.3868404 31.3186225, 121.3868401 31.3186572, 121.3867445 31.3186609, 121.3867474 31.3187243, 121.3867587 31.3187871, 121.3867784 31.3188483, 121.3868062 31.3189072, 121.3868437 31.3189657, 121.3868892 31.3190199, 121.386942 31.319069, 121.3870013 31.3191123, 121.3870389 31.3190745))","[9054860253, 9054860252, 9054860251, 9054860247, 9054860263, 9054860264, 9054860265, 9054860279, 9054860266, 9054860267, 9054860268, 9054860269, 9054860270, 9054860271, 9054860280, 9054860272, 9054860273, 9054860274, 9054860275, 9054860276, 9054860277, 9054860278, 9054860281, 9054860282, 9054860283, 9054860246, 9054860250, 9054860249, 9054860248, 9054860262, 9054860259, 9054860258, 9054860257, 9054860261, 9054860256, 9054860255, 9054860254, 9054860260, 9054860253]",yes,上海大学本部图书馆,,,,,,,,,,library,,,,,,,,,,,,,
way,978588320,"POLYGON ((121.3946745 31.3162389, 121.394653 31.316213, 121.3946374 31.3161842, 121.3946282 31.3161535, 121.394626 31.3161162, 121.3946333 31.3160793, 121.3946497 31.3160447, 121.394703 31.3159929, 121.3947634 31.3159472, 121.39483 31.3159083, 121.3948959 31.3158791, 121.3949653 31.3158564, 121.3950372 31.3158407, 121.3950788 31.3158397, 121.3951198 31.3158453, 121.3951589 31.3158572, 121.3951948 31.3158751, 121.3952243 31.3158966, 121.395249 31.3159222, 121.3952682 31.315951, 121.3952813 31.3159822, 121.3952843 31.3160263, 121.3952833 31.3160704, 121.395277 31.3161224, 121.3952652 31.3161736, 121.3952495 31.3162154, 121.3952297 31.3162561, 121.395209 31.3162906, 121.3951854 31.3163237, 121.3951583 31.3163468, 121.3951264 31.3163649, 121.3950929 31.3163768, 121.3950574 31.3163832, 121.3950058 31.3163802, 121.3949548 31.3163729, 121.394892 31.316358, 121.3948317 31.3163368, 121.3947749 31.3163096, 121.3947222 31.3162768, 121.3946745 31.3162389))","[9054860526, 9054860523, 9054860522, 9054860525, 9054860521, 9054860520, 9054860524, 9054860517, 9054860516, 9054860519, 9054860515, 9054860514, 9054860518, 9054860511, 9054860510, 9054860509, 9054860513, 9054860508, 9054860507, 9054860506, 9054860512, 9054860503, 9054860505, 9054860502, 9054860504, 9054860499, 9054860501, 9054860498, 9054860500, 9054860495, 9054860497, 9054860494, 9054860496, 9054860492, 9054860493, 9054860491, 9054860490, 9054860489, 9054860488, 9054860526]",yes,钱伟长图书馆,,8,,,,,,,,library,,,,,,,,,,,,,
way,980909968,"POLYGON ((121.3936391 31.3154257, 121.3942855 31.3154617, 121.3942963 31.3153203, 121.3936499 31.3152842, 121.3936391 31.3154257))","[9073714636, 9073714635, 9073714634, 9073714633, 9073714636]",university,,D3,6,东区3号楼,,,,,,,,,,,,,,,,,,,,
way,980909969,"POLYGON ((121.3934247 31.3185836, 121.3940439 31.3186159, 121.3940273 31.3188482, 121.3934081 31.3188159, 121.3934247 31.3185836))","[9073714640, 9073714639, 9073714638, 9073714637, 9073714640]",university,材料实验楼,D13,5,东区13号楼,,,,,,,,,,,,,,,,,,,,
way,980909970,"POLYGON ((121.3934465 31.3181218, 121.3940717 31.3181598, 121.3940584 31.3183189, 121.3934333 31.3182809, 121.3934465 31.3181218))","[9073714644, 9073714643, 9073714642, 9073714641, 9073714644]",university,通信实验楼,D12,5,东区12号楼,,,,,,,,,,,,,,,,,,,,
