u,v,key,osmid,highway,maxspeed,oneway,reversed,length,geometry,lanes,name,bridge,tunnel,access,service
6305105196,6305105192,0,673328968,footway,,False,True,40.620000000000005,"LINESTRING (116.1394637 40.2500572, 116.1392128 40.2501088, 116.1389955 40.2500894)",,,,,,
6305105197,6305105196,0,673276066,footway,5,False,True,21.236,"LINESTRING (116.1397133 40.2500529, 116.1396509 40.2500484, 116.1394637 40.2500572)",,,,,,
6305105197,6305629113,0,673276068,footway,5,False,False,9.413,"LINESTRING (116.1397133 40.2500529, 116.1396932 40.2500868, 116.139687 40.250134)",,,,,,
6305105197,6305629112,0,673276068,footway,5,False,True,7.104,"LINESTRING (116.1397133 40.2500529, 116.1397406 40.2500364, 116.1397494 40.2499997)",,,,,,
6305105197,10246279439,0,831068560,footway,5,False,False,27.779,"LINESTRING (116.1397133 40.2500529, 116.1397916 40.2500719, 116.1400363 40.2500834)",,,,,,
6305105198,6305629117,0,831068560,footway,5,False,False,5.471,"LINESTRING (116.1401985 40.250091, 116.1402585 40.250073)",,,,,,
6305105198,10246279439,0,831068560,footway,5,False,True,13.791,"LINESTRING (116.1401985 40.250091, 116.1400363 40.2500834)",,,,,,
6305105198,6305629113,0,673328971,footway,,False,True,45.137,"LINESTRING (116.1401985 40.250091, 116.1400823 40.250133, 116.1400272 40.2501537, 116.140002 40.2501564, 116.1399115 40.250148, 116.139687 40.250134)",,,,,,
6305105203,7759502648,0,673276077,footway,,False,False,7.153,"LINESTRING (116.1408484 40.2500285, 116.140929 40.2500473)",,,,,,
6305105203,6305819457,0,831068560,footway,5,False,True,6.339,"LINESTRING (116.1408484 40.2500285, 116.1407761 40.2500142)",,,,,,
6305105203,6305105245,0,994874264,unclassified,20,False,True,11.239,"LINESTRING (116.1408484 40.2500285, 116.1408914 40.2499329)",2,宏德大道,,,,
6305105203,6305629122,0,994874264,unclassified,20,False,False,17.894,"LINESTRING (116.1408484 40.2500285, 116.1408115 40.2501277, 116.1407917 40.2501835)",2,宏德大道,,,,
6305105204,6305819447,0,673274037,unclassified,20,False,True,83.358,"LINESTRING (116.1397623 40.2492193, 116.1407445 40.2492181)",,,,,,
6305105204,10246279433,0,673276068,footway,5,False,False,21.716,"LINESTRING (116.1397623 40.2492193, 116.1397619 40.2494146)",,,,,,
6305105204,6305075415,0,"[673274041, 673274037]",unclassified,20,False,False,76.713,"LINESTRING (116.1397623 40.2492193, 116.1388981 40.2492175, 116.138878 40.2492174, 116.1388584 40.2492174)",,,,,,
6305105217,7588367223,0,673276068,footway,5,False,True,8.606,"LINESTRING (116.1396734 40.251438, 116.1396684 40.2513607)",,,,,,
6305105217,10226078144,0,1062594234,unclassified,20,False,True,56.332,"LINESTRING (116.1396734 40.251438, 116.1396695 40.2519446)",,,,,,
6305105217,9748882665,0,1086665265,unclassified,20,False,False,8.054,"LINESTRING (116.1396734 40.251438, 116.1397683 40.2514379)",,,,,,
