u,v,key,osmid,highway,oneway,reversed,length,geometry,service
4017824624,4017834790,0,399047067,service,False,False,67.495,"LINESTRING (116.3493792 39.959312, 116.3501709 39.9593257)",
4017824624,8821671891,0,"[399047064, 399047066]",service,False,False,209.965,"LINESTRING (116.3493792 39.959312, 116.3494182 39.9587364, 116.3501881 39.9587556, 116.3511287 39.9587814)",
4017824625,4017838654,0,399047067,service,False,True,52.502,"LINESTRING (116.3531552 39.9593787, 116.3525394 39.9593668)",
4017824625,4017832019,0,399055360,service,False,True,97.481,"LINESTRING (116.3531552 39.9593787, 116.3531327 39.9602552)",
4017824625,3511265498,0,"[399055360, 399047064]",service,False,"[False, True]",118.398,"LINESTRING (116.3531552 39.9593787, 116.353168 39.9588351, 116.3524885 39.9588188)",
4017824626,4017838654,0,399047067,service,False,False,6.292,"LINESTRING (116.3524656 39.9593655, 116.3525394 39.9593668)",
4017824626,4017834794,0,399047067,service,False,True,51.578,"LINESTRING (116.3524656 39.9593655, 116.3518606 39.959355)",
4017824626,3511265498,0,399047513,service,False,False,60.822,"LINESTRING (116.3524656 39.9593655, 116.3524885 39.9588188)",
4017824627,2857344069,0,106617841,service,False,False,94.221,"LINESTRING (116.3531173 39.9609937, 116.3542224 39.9610165)",
4017824627,1226520273,0,106617841,service,False,True,51.145,"LINESTRING (116.3531173 39.9609937, 116.3525175 39.9609793)",
4017824627,4017840118,0,399055360,service,False,False,42.35,"LINESTRING (116.3531173 39.9609937, 116.3531262 39.9606129)",
4017832019,4017824625,0,399055360,service,False,False,97.481,"LINESTRING (116.3531327 39.9602552, 116.3531552 39.9593787)",
4017832019,4017834792,0,399055360,service,False,True,15.501,"LINESTRING (116.3531327 39.9602552, 116.3531314 39.9603946)",
4017832019,4017832023,0,399047512,service,False,False,257.425,"LINESTRING (116.3531327 39.9602552, 116.3542637 39.9602619, 116.3542744 39.9600974, 116.3547465 39.9601056, 116.3547033 39.9610265)",
4017832023,2857344069,0,106617841,service,False,True,41.002,"LINESTRING (116.3547033 39.9610265, 116.3542224 39.9610165)",
4017832023,4017931891,0,399048058,service,False,True,70.808,"LINESTRING (116.3547033 39.9610265, 116.3546647 39.9616626)",
4017832023,4017832019,0,399047512,service,False,True,257.42499999999995,"LINESTRING (116.3547033 39.9610265, 116.3547465 39.9601056, 116.3542744 39.9600974, 116.3542637 39.9602619, 116.3531327 39.9602552)",
4017834789,8821671892,0,399047777,track,False,False,11.932,"LINESTRING (116.3501438 39.9604305, 116.3501448 39.9603232)",
4017834790,4017840119,0,399047067,service,False,False,79.677,"LINESTRING (116.3501709 39.9593257, 116.3511055 39.9593419)",
4017834790,4017824624,0,399047067,service,False,True,67.495,"LINESTRING (116.3501709 39.9593257, 116.3493792 39.959312)",
4017834790,2463866300,0,399047777,track,False,True,54.15,"LINESTRING (116.3501709 39.9593257, 116.3501595 39.9598126)",
4017834791,8821671892,0,399047779,service,False,False,69.158,"LINESTRING (116.3493338 39.960303, 116.3501448 39.9603232)",
4017834791,2463866299,0,399047781,service,False,False,59.033,"LINESTRING (116.3493338 39.960303, 116.3493692 39.9597728)",
