element_type,osmid,nodes,building,source,geometry,addr:city,addr:housenumber,addr:postcode,addr:street,leisure,name,amenity,drink:tea,addr:district,addr:province,layer
way,549381321,"[5306827305, 5306827306, 5306827307, 5306827308, 5306827305]",apartments,,"POLYGON ((120.0379301 30.2319022, 120.0379301 30.2317278, 120.0385189 30.2317278, 120.0385189 30.2319022, 120.0379301 30.2319022))",,,,,,东10,,,,,
way,549381322,"[5306827309, 5306827310, 5306827311, 5306827312, 5306827309]",dormitory,,"POLYGON ((120.0379315 30.2314609, 120.0379301 30.2312805, 120.0385175 30.2312769, 120.0385189 30.2314573, 120.0379315 30.2314609))",,,,,,东11,,,,,
way,549381323,"[5306827313, 5306827314, 5306827315, 5306827316, 5306827317, 5306827318, 5306827319, 5306827320, 5306827313]",yes,,"POLYGON ((120.0410449 30.2341178, 120.0410443 30.2340311, 120.0409793 30.2340315, 120.0409769 30.2336587, 120.041033 30.2336584, 120.0410325 30.2335777, 120.0413693 30.233576, 120.041373 30.2341161, 120.0410449 30.2341178))",,,,,,,,,,,
way,549381324,"[5306827321, 5306827322, 5306827323, 5306827324, 5306827321]",yes,,"POLYGON ((120.0408487 30.2344651, 120.0408487 30.2342559, 120.0416156 30.2342559, 120.0416156 30.2344651, 120.0408487 30.2344651))",,,,,,,,,,,
way,549381325,"[5306827325, 5306827326, 5306827327, 5306827328, 5306827329, 5306827330, 5306827331, 5306827332, 5306827333, 5306827334, 5306827335, 5306827336, 5306827337, 5306827325]",university,,"POLYGON ((120.0416227 30.234452, 120.0416223 30.2342582, 120.0420613 30.2342574, 120.0420609 30.2340944, 120.0415027 30.2340954, 120.0415018 30.2337286, 120.0419448 30.2337277, 120.0419444 30.2336022, 120.0415277 30.2336031, 120.0415272 30.2334158, 120.04219 30.2334143, 120.0421928 30.2343431, 120.0420879 30.2344512, 120.0416227 30.234452))",,,,,,土木楼,,,,,
way,549381326,"[5306827338, 5306827339, 5306827340, 5306827341, 5306827338]",yes,,"POLYGON ((120.040789 30.2351555, 120.0407886 30.2349679, 120.0416132 30.2349666, 120.0416136 30.2351542, 120.040789 30.2351555))",,,,,,,,,,,
way,549381327,"[5306827342, 5306827343, 5306827344, 5306827345, 5306827346, 5306827347, 5306827348, 5306827349, 5306827350, 5306827351, 5306827352, 5306827353, 5306827356, 5306827355, 5306827354, 5306827342]",university,,"POLYGON ((120.0416477 30.2351586, 120.041648 30.2349665, 120.0421018 30.234967, 120.0422237 30.2350723, 120.0422218 30.2359745, 120.0413744 30.2359732, 120.0413747 30.2357853, 120.0420901 30.2357863, 120.0420905 30.2355646, 120.0416354 30.2355639, 120.0416358 30.2353829, 120.0420543 30.2353835, 120.0420544 30.235319, 120.0419797 30.2353189, 120.04198 30.235159, 120.0416477 30.2351586))",,,,,,机械楼,,,,,
way,549381328,"[5306827357, 5306827358, 5306827359, 5306827360, 5306827369, 5306827361, 5306827362, 5306827363, 5306827364, 5306827365, 5306827366, 5306827367, 5306827368, 5306827357]",university,,"POLYGON ((120.0426294 30.2360066, 120.0426285 30.2350754, 120.0427393 30.23496, 120.0432233 30.2349598, 120.0432234 30.235171, 120.042757 30.2351712, 120.0427571 30.2353911, 120.0434276 30.2353909, 120.0434277 30.2355983, 120.0427777 30.2355985, 120.0427778 30.235802, 120.0433276 30.2358017, 120.0433277 30.2360061, 120.0426294 30.2360066))",,,,,,计算机楼,,,,,
way,549381329,"[5306827370, 5306827371, 5306827372, 5306827373, 5306827374, 5306827375, 5306827376, 5306827377, 5306827378, 5306827379, 5306827380, 5306827381, 5306827382, 5306827370]",university,,"POLYGON ((120.0425957 30.2343431, 120.0425908 30.2333973, 120.0431539 30.2333951, 120.0431548 30.2335698, 120.0427573 30.2335714, 120.0427586 30.2338322, 120.0432649 30.2338303, 120.043266 30.2340462, 120.042741 30.2340482, 120.0427421 30.2342544, 120.0431607 30.2342527, 120.0431618 30.2344471, 120.0427239 30.2344489, 120.0425957 30.2343431))",,,,,,信息楼,,,,,
way,549381330,"[5306827383, 9683083114, 9683083113, 9683083115, 5306827388, 5306827389, 5306827390, 5306827391, 5306827392, 5306827393, 5306827394, 5306827395, 5306827396, 5306827397, 5306827398, 5306827399, 5306827400, 5306827401, 5306827402, 5306827403, 5306827404, 5306827405, 5306827383]",university,,"POLYGON ((120.0435368 30.2351314, 120.0435555 30.2349121, 120.0435539 30.2346928, 120.0435392 30.2344761, 120.0435071 30.2342618, 120.0436463 30.2342583, 120.0436491 30.2343421, 120.0445654 30.2343189, 120.04457 30.2344566, 120.0446925 30.2344535, 120.0446966 30.2345736, 120.0446319 30.2345752, 120.0446075 30.2346206, 120.044499 30.2346206, 120.0444535 30.2345813, 120.0444532 30.2345266, 120.0438852 30.2345287, 120.0438868 30.2348503, 120.0444595 30.2348482, 120.0444607 30.2350954, 120.0437012 30.2350982, 120.0436781 30.2351668, 120.0435368 30.2351314))",,,,,,艺术楼,,,,,
