u,v,key,osmid,highway,oneway,reversed,length,geometry,name,lanes,maxspeed
5170874275,5101650476,0,524200079,service,False,True,392.614,"LINESTRING (116.3012706 39.9694226, 116.3012561 39.9695271, 116.3011917 39.9695292, 116.3010657 39.9696093, 116.3008726 39.9712517, 116.3029311 39.9715296)",,,
5471945201,5471945203,0,182857674,residential,False,False,50.001,"LINESTRING (116.3034114 39.9682026, 116.3034634 39.9677547)",谨勤路,,
5471945201,5018578074,0,182857674,residential,False,True,53.094,"LINESTRING (116.3034114 39.9682026, 116.3033561 39.9686782)",谨勤路,,
5471945201,5018578045,0,568811601,footway,False,True,105.226,"LINESTRING (116.3034114 39.9682026, 116.303008 39.968173, 116.3029919 39.9683292, 116.3023682 39.9682975)",,,
5471945202,5018578071,0,318612594,residential,False,False,28.243,"LINESTRING (116.3024488 39.9676882, 116.3024154 39.9679409)",品园路,,
5471945202,5018578069,0,318612594,residential,False,True,11.333,"LINESTRING (116.3024488 39.9676882, 116.3024622 39.9675868)",品园路,,
5471945202,5471945203,0,568811602,footway,False,False,86.78,"LINESTRING (116.3024488 39.9676882, 116.3034634 39.9677547)",,,
5471945203,5471945201,0,182857674,residential,False,True,50.001,"LINESTRING (116.3034634 39.9677547, 116.3034114 39.9682026)",谨勤路,,
5471945203,5471945202,0,568811602,footway,False,True,86.78,"LINESTRING (116.3034634 39.9677547, 116.3024488 39.9676882)",,,
10238296583,10238296584,0,1119418889,service,False,False,42.094,"LINESTRING (116.3130965 39.9680096, 116.3135812 39.9680825)",,,
10238296583,2843205539,0,1119418889,service,False,True,15.094,"LINESTRING (116.3130965 39.9680096, 116.3129202 39.9679966)",,,
10238296583,2641708696,0,513378601,service,False,True,105.428,"LINESTRING (116.3130965 39.9680096, 116.3132097 39.9675374, 116.3126113 39.967444)",友谊路,,
10238296584,10238296583,0,1119418889,service,False,True,42.094,"LINESTRING (116.3135812 39.9680825, 116.3130965 39.9680096)",,,
10238296585,2843205539,0,1119418888,service,False,False,37.82,"LINESTRING (116.3124801 39.9679528, 116.3129202 39.9679966)",春华路,,
10238296585,10238296587,0,1119418888,service,False,True,79.242,"LINESTRING (116.3124801 39.9679528, 116.311558 39.967861)",春华路,,
10238296585,2641708696,0,1119418890,service,False,False,57.67,"LINESTRING (116.3124801 39.9679528, 116.3126113 39.967444)",,,
