u,v,key,osmid,name,highway,maxspeed,width,oneway,reversed,length,lanes,geometry,ref,service,access,bridge,tunnel
436587028,2292050356,0,42769910,Ames Street,tertiary,20 mph,15.2;18.6,False,True,7.257999999999999,2,"LINESTRING (-71.0883205 42.3611201, -71.0883109 42.3610998, -71.0882989 42.3610808, -71.0882851 42.3610604)",,,,,
436587089,2292064924,0,220084675,,footway,,,False,False,35.49,,"LINESTRING (-71.0895304 42.361149, -71.0894687 42.3614649)",,,,,
436587089,1828218862,0,434976073,,pedestrian,,,False,False,6.23,,"LINESTRING (-71.0895304 42.361149, -71.0894546 42.3611475)",,,permissive,,
436587089,1828218861,0,434976073,,pedestrian,,,False,True,3.814,,"LINESTRING (-71.0895304 42.361149, -71.0895761 42.361155)",,,permissive,,
542889531,9765409675,0,43250216,North Corridor,pedestrian,,,False,False,45.241,,"LINESTRING (-71.0920313 42.3604355, -71.09153 42.3606038)",,,permissive,,
542889531,8044626019,0,43250216,North Corridor,pedestrian,,,False,True,33.661,,"LINESTRING (-71.0920313 42.3604355, -71.0924043 42.3603103)",,,permissive,,
542889531,11594907423,0,"[863570913, 1066204733, 1066204734]",,footway,,,False,True,112.364,,"LINESTRING (-71.0920313 42.3604355, -71.0920044 42.3603869, -71.0919998 42.3603786, -71.0918482 42.3601287, -71.0918091 42.360064, -71.0918053 42.3600532, -71.0917962 42.3600168, -71.0917934 42.3600063, -71.0917081 42.3598686, -71.0912206 42.3600282)",,,"['private', 'permissive']",,
542890219,9765409678,0,1011548287,,footway,,,False,True,3.737,,"LINESTRING (-71.0917308 42.3611121, -71.0917754 42.3611187)",,,permissive,,
542890219,542890226,0,"[1011548290, 863566851, 1011548291]",,service,,,False,False,54.744,,"LINESTRING (-71.0917308 42.3611121, -71.0916434 42.3613002, -71.0915009 42.3613482, -71.0914779 42.3613562, -71.0914437 42.361368, -71.0912816 42.3614212)",,,"['private', 'permit']",,
542890219,4040435540,0,863566851,,service,,,False,True,58.291000000000004,,"LINESTRING (-71.0917308 42.3611121, -71.0917066 42.3610735, -71.0914527 42.360668, -71.0914333 42.3606362)",,,permit,,
542890226,4329091769,0,"[1009149441, 435102503]",Compton Court,"['service', 'pedestrian']",,,False,False,72.295,,"LINESTRING (-71.0912816 42.3614212, -71.0910758 42.3610657, -71.0910191 42.3609851, -71.0909464 42.3609124, -71.0908599 42.3608606)",,,permissive,,
