element_type,osmid,nodes,amenity,building,cuisine,name,geometry,name:en,leisure,int_name,building:levels,shop,ways,type
way,891002832,"[8281285726, 8281285272, 8281285215, 8281285768, 8281285726]",,residential,,,"POLYGON ((117.1573137 39.1052176, 117.157251 39.1052209, 117.1572549 39.1052647, 117.1573175 39.1052614, 117.1573137 39.1052176))",,,,,,,
way,891002833,"[8281285968, 8281285513, 8281241259, 8281285613, 8281285968]",,residential,,,"POLYGON ((117.1589115 39.1061088, 117.1588252 39.1061082, 117.158825 39.1061303, 117.1589112 39.1061309, 117.1589115 39.1061088))",,,,,,,
way,891002835,"[8281285985, 8281285530, 8281241276, 8281285236, 8281285985]",,residential,,,"POLYGON ((117.1579556 39.1068193, 117.1573554 39.1068226, 117.1573564 39.1069296, 117.1579566 39.1069263, 117.1579556 39.1068193))",,,,,,,
way,891002836,"[8281285702, 8281285642, 8281285188, 8281285743, 8281285702]",,residential,,,"POLYGON ((117.1567228 39.1060843, 117.1567633 39.1060843, 117.1567635 39.1061967, 117.156723 39.1061968, 117.1567228 39.1060843))",,,,,,,
way,891002837,"[8281285896, 8281285441, 8281285993, 8281285538, 8281285698, 8281285244, 8281285797, 8281285343, 8281285285, 8281285838, 8281285384, 8281285936, 8281241284, 8281285638, 8281285184, 8281285739, 8281241300, 8281285655, 8281285201, 8281285755, 8281285911, 8281285456, 8281286008, 8281285555, 8281285497, 8281286050, 8281285597, 8281285143, 8281285301, 8281285854, 8281285400, 8281285952, 8281285465, 8281286017, 8281285564, 8281241309, 8281285268, 8281285821, 8281285367, 8281285920, 8281285862, 8281285408, 8281285960, 8281285505, 8281285664, 8281285210, 8281285763, 8281285309, 8281285681, 8281285227, 8281285780, 8281285326, 8281285481, 8281286033, 8281285580, 8281285126, 8281285896]",,residential,,,"POLYGON ((117.1586491 39.1066587, 117.1586675 39.1066586, 117.1586676 39.1066685, 117.1587136 39.1066684, 117.1587136 39.1066579, 117.1587673 39.1066579, 117.1587673 39.1066683, 117.1588019 39.1066682, 117.1588018 39.1066577, 117.1588217 39.1066576, 117.1588218 39.1066685, 117.1588702 39.1066684, 117.1588701 39.1066573, 117.1589022 39.1066572, 117.1589021 39.1065555, 117.1588607 39.1065556, 117.1588607 39.1065479, 117.1587808 39.1065479, 117.1587808 39.106557, 117.1587039 39.106557, 117.1587038 39.1065485, 117.1586224 39.1065486, 117.1586224 39.1065584, 117.1585885 39.1065584, 117.1585884 39.1064847, 117.1585993 39.1064846, 117.1585993 39.106421, 117.1585866 39.106421, 117.1585865 39.1063887, 117.1584572 39.1063888, 117.1584572 39.1064143, 117.1584455 39.1064144, 117.1584455 39.10644, 117.1584585 39.1064399, 117.1584585 39.1064562, 117.1584456 39.1064563, 117.1584457 39.1064918, 117.1584591 39.1064917, 117.1584591 39.1065151, 117.1584816 39.106515, 117.1584817 39.1065427, 117.1584684 39.1065427, 117.1584684 39.1065686, 117.1584828 39.1065686, 117.1584829 39.1065829, 117.1584699 39.1065829, 117.1584699 39.1066086, 117.1584827 39.1066086, 117.1584827 39.1066348, 117.1585436 39.1066348, 117.1585436 39.1066443, 117.1585825 39.1066443, 117.1585825 39.1066587, 117.1586134 39.1066586, 117.1586135 39.1066695, 117.1586492 39.1066695, 117.1586491 39.1066587))",,,,,,,
way,891002838,"[8281285537, 8281241283, 8281285243, 8281285796, 8281285537]",,residential,,,"POLYGON ((117.1574654 39.1059533, 117.1574239 39.105953, 117.1574235 39.1059788, 117.157465 39.1059792, 117.1574654 39.1059533))",,,,,,,
way,891002839,"[8281285321, 8281285476, 8281286028, 8281285575, 8281285321]",,residential,,,"POLYGON ((117.1585075 39.1058382, 117.158553 39.1058383, 117.1585528 39.1058708, 117.1585073 39.1058707, 117.1585075 39.1058382))",,,,,,,
way,891002840,"[8281285247, 8281285800, 8281285346, 8281285899, 8281286053, 8281285600, 8281285146, 8281285701, 8281241261, 8281285615, 8281285161, 8281285716, 8281285873, 8281285418, 8281285970, 8281285515, 8281285459, 8281286011, 8281285558, 8281241303, 8281285247]",,residential,,,"POLYGON ((117.1579141 39.1058541, 117.1579941 39.1058538, 117.1579941 39.105865, 117.1581422 39.1058645, 117.1581415 39.1057551, 117.1579904 39.1057556, 117.1579905 39.1057687, 117.1579186 39.1057689, 117.1579186 39.1057555, 117.1578083 39.105756, 117.1578084 39.1057688, 117.1577343 39.105769, 117.1577342 39.1057559, 117.1575839 39.1057565, 117.1575846 39.1058656, 117.1577323 39.1058651, 117.1577323 39.105854, 117.1578105 39.1058537, 117.1578106 39.1058655, 117.1579141 39.1058651, 117.1579141 39.1058541))",,,,,,,
way,891002841,"[8281285468, 8281285624, 8281285170, 8281285725, 8281285468]",,residential,,,"POLYGON ((117.1589089 39.1052919, 117.1588752 39.1052921, 117.1588755 39.1053245, 117.1589092 39.1053243, 117.1589089 39.1052919))",,,,,,,
way,891002842,"[8281285176, 8281285731, 8281285840, 8281285483, 8281285410, 8281285922, 8281285549, 8281241295, 8281285176]",,residential,,,"POLYGON ((117.1601101 39.1064238, 117.1601643 39.1064221, 117.1601666 39.1064217, 117.1601691 39.1064205, 117.1601717 39.1064182, 117.1601729 39.1064161, 117.1601719 39.1063884, 117.1601082 39.1063902, 117.1601101 39.1064238))",,,,,,,
