element_type,osmid,building,name,geometry,nodes,amenity,fast_food,tourism,ways,type,layer,office,addr:city,addr:province
relation,6759030,apartments,竹二宿舍楼,"POLYGON ((117.1333985 34.2141424, 117.1333924 34.2136203, 117.1325953 34.2136267, 117.1326015 34.2141488, 117.1333985 34.2141424), (117.1326959 34.2137746, 117.1332591 34.21377, 117.1332617 34.2139917, 117.1326985 34.2139962, 117.1326959 34.2137746))","[[[2784812390, 2784812391, 2784812392, 2784812393, 2784812390], [2784777232, 4535620332, 4535620333, 4535620334, 2784777232]]]",,,,"[273646383, 457409349]",multipolygon,1,,,
relation,6759031,apartments,桃四宿舍楼,"POLYGON ((117.1375839 34.2171454, 117.137224 34.2167551, 117.1367036 34.2170832, 117.1370635 34.2174735, 117.1375839 34.2171454), (117.1374302 34.2170493, 117.1370287 34.2173024, 117.136889 34.2171509, 117.1372905 34.2168978, 117.1374302 34.2170493))","[[[4535620337, 4535620335, 2784776915, 4535620336, 4535620337], [2784809812, 2784809813, 2784809814, 2784809815, 2784809812]]]",,,,"[457409350, 273646135]",multipolygon,,,,
relation,6759032,apartments,松二宿舍楼,"POLYGON ((117.1347016 34.2161555, 117.1345917 34.2160393, 117.1345425 34.2160712, 117.1344158 34.2159374, 117.134465 34.2159056, 117.1343581 34.2157926, 117.1339625 34.2160487, 117.1340127 34.2161018, 117.133994 34.2161139, 117.1341965 34.2163278, 117.134216 34.2163152, 117.1343067 34.2164111, 117.1347016 34.2161555), (117.1341333 34.2161072, 117.1343303 34.2159796, 117.134459 34.2161156, 117.134262 34.2162431, 117.1341333 34.2161072))","[[[2784810086, 2784810087, 4535620348, 4535620346, 4535620345, 4535620347, 2784810088, 2784810089, 4535620349, 4535620350, 4535620352, 4535620351, 2784810086], [4535620344, 4535620342, 2784776969, 4535620343, 4535620344]]]",,,,"[273646186, 457409353]",multipolygon,,,,
relation,6759033,apartments,松四宿舍楼,"POLYGON ((117.1342147 34.215638, 117.1341271 34.2155446, 117.1340584 34.2155887, 117.1339985 34.2155248, 117.1340243 34.2155083, 117.1339338 34.2154118, 117.1339768 34.2153843, 117.1338758 34.2152766, 117.133471 34.2155361, 117.1338099 34.2158976, 117.1342147 34.215638), (117.1338537 34.2154711, 117.1339908 34.2156173, 117.1337921 34.2157446, 117.1336551 34.2155985, 117.1338537 34.2154711))","[[[2784810470, 2784810472, 4535620361, 4535620359, 4535620356, 4535620357, 4535620358, 4535620360, 2784810474, 2784810476, 2784810470], [4535620355, 4535620354, 4535620353, 2784777009, 4535620355]]]",,,,"[273646226, 457409354]",multipolygon,,,,
relation,6759034,apartments,松一宿舍楼,"POLYGON ((117.1354074 34.2157227, 117.1350443 34.2153219, 117.1345742 34.2156131, 117.1349373 34.2160139, 117.1354074 34.2157227), (117.1351995 34.2156523, 117.1349455 34.2158097, 117.1348167 34.2156675, 117.1350707 34.2155101, 117.1351995 34.2156523))","[[[2784809991, 2784809992, 2784809993, 2784809994, 2784809991], [4535620364, 4535620362, 2784776963, 4535620363, 4535620364]]]",,,,"[273646168, 457409355]",multipolygon,,,,
relation,6759035,apartments,松三宿舍楼,"POLYGON ((117.1349259 34.2151505, 117.1345879 34.214791, 117.1341314 34.2150845, 117.1344694 34.215444, 117.1349259 34.2151505), (117.1347357 34.2150988, 117.1344326 34.2152936, 117.1343003 34.2151528, 117.1346033 34.214958, 117.1347357 34.2150988))","[[[2784810241, 2784810242, 2784810243, 2784810244, 2784810241], [4535620367, 4535620365, 2784776977, 4535620366, 4535620367]]]",,,,"[273646221, 457409356]",multipolygon,,,,
relation,6759036,university,行政楼,"POLYGON ((117.1436926 34.2149956, 117.1444241 34.2145151, 117.1439745 34.2140471, 117.143243 34.2145276, 117.1436926 34.2149956), (117.1439701 34.2143018, 117.144165 34.2145047, 117.143684 34.2148207, 117.1434891 34.2146178, 117.1439701 34.2143018))","[[[3393184674, 3393184675, 3393184673, 3393184672, 3393184674], [4535620381, 4535620380, 2784765052, 4535620379, 4535620381]]]",,,,"[332207581, 457409358]",multipolygon,,government,,
relation,6759037,university,建工学院,"POLYGON ((117.1434749 34.2185407, 117.1442322 34.2180608, 117.1438061 34.217601, 117.1430488 34.2180808, 117.1434749 34.2185407), (117.1436007 34.2179439, 117.1437375 34.2180916, 117.1435045 34.2182392, 117.1433677 34.2180916, 117.1436007 34.2179439))","[[[4535620500, 4535620499, 4535620498, 4535620497, 4535620500], [2784768562, 4535620496, 4535620495, 4535620494, 2784768562]]]",,,,"[457409373, 457409372]",multipolygon,,,,
relation,6759038,university,矿业科学中心,"POLYGON ((117.1477797 34.2174522, 117.147672 34.2173385, 117.1476033 34.217383, 117.1473157 34.2170795, 117.1473673 34.2170461, 117.1472575 34.2169303, 117.1472122 34.2169596, 117.1470213 34.2167581, 117.1470665 34.2167288, 117.1469563 34.2166124, 117.1469047 34.2166458, 117.1468114 34.2165474, 117.1465259 34.2167324, 117.1466192 34.2168309, 117.1462612 34.2170628, 117.1462281 34.2170279, 117.1461276 34.217093, 117.1465717 34.2175616, 117.1470301 34.2172646, 117.1473177 34.217568, 117.1469524 34.2178048, 117.146711 34.2175501, 117.1465881 34.2176297, 117.1466582 34.2177038, 117.1466517 34.2177555, 117.1466662 34.2178061, 117.1467 34.21785, 117.1467319 34.2178244, 117.1468042 34.2179007, 117.1465715 34.2180515, 117.1466792 34.2181652, 117.1474254 34.2176817, 117.1475304 34.2177925, 117.147816 34.2176075, 117.147711 34.2174967, 117.1477797 34.2174522), (117.1467396 34.2169368, 117.1469339 34.2171419, 117.1465617 34.2173831, 117.1463674 34.217178, 117.1467396 34.2169368))","[[[4535620555, 4535620552, 4535620553, 4535620554, 4535620555], [2784822668, 2784822665, 2784822666, 2784822667, 4535620568, 4535620581, 4535620576, 4535620575, 4535620574, 4535620577, 4535620580, 4535620572, 4535620571, 4535620570, 4535620573, 4535620578, 4535620579, 4535620583, 4535620582, 4535620569, 4535620564, 4535620563, 2784765324, 4535620561, 4535620560, 4535620557, 4535620559, 4535620558, 4535620556, 4535620562, 4535620566, 4535620567, 4535620565, 2784822664, 2784822669, 2784822668]]]",,,,"[457409378, 273647550]",multipolygon,,,,
relation,6759040,university,公共教学一区,"POLYGON ((117.1374653 34.21518, 117.1374656 34.2150367, 117.1366099 34.2150353, 117.1366105 34.2147859, 117.1372086 34.2147869, 117.1372087 34.2147616, 117.1373186 34.2147617, 117.1373189 34.2146486, 117.1372752 34.2146485, 117.1372756 34.2144976, 117.1374016 34.2144978, 117.1374018 34.2144156, 117.1374715 34.2144157, 117.1374718 34.2143007, 117.1374229 34.2143006, 117.137423 34.2142695, 117.1370796 34.2142689, 117.1370795 34.2143001, 117.1365196 34.2142991, 117.1365174 34.2151785, 117.1374653 34.21518), (117.1366375 34.2144259, 117.1372083 34.2144268, 117.1372077 34.2146496, 117.136637 34.2146486, 117.1366375 34.2144259))","[[[2784820244, 2784820245, 4535620778, 4535620777, 4535620771, 4535620772, 4535620773, 4535620774, 4535620776, 4535620775, 4535620779, 4535620780, 4535620781, 4535620782, 2784820246, 4535620788, 4535620787, 4535620786, 4535620889, 2784820247, 2784820244], [2784801271, 4535620785, 4535620784, 4535620783, 2784801271]]]",,,,"[273647188, 457409397]",multipolygon,,,,
