u,v,key,osmid,highway,access,oneway,reversed,length,name,geometry,bridge,tunnel,maxspeed,service,width
371156933,9176512392,0,32954774,unclassified,permissive,False,True,4.106,,"LINESTRING (116.3221798 39.9967959, 116.3221316 39.9967954)",,,,,
371156933,8000890893,0,743595613,unclassified,permissive,False,False,97.23,学堂路,"LINESTRING (116.3221798 39.9967959, 116.3220397 39.9976637)",,,,,
371156933,9176580584,0,743595613,unclassified,permissive,False,True,70.422,学堂路,"LINESTRING (116.3221798 39.9967959, 116.3223564 39.9961772)",,,,,
371156965,593586552,0,32954719,residential,permissive,False,False,95.191,,"LINESTRING (116.3213074 39.9948336, 116.3202058 39.99469)",,,,,
371156965,9176512397,0,32954719,residential,permissive,False,True,98.833,,"LINESTRING (116.3213074 39.9948336, 116.3224649 39.9948941)",,,,,
371156965,7959888856,0,32954781,service,permissive,False,False,217.023,,"LINESTRING (116.3213074 39.9948336, 116.3211585 39.9956842, 116.3210834 39.9960607, 116.3210514 39.9962212, 116.3210147 39.9964718, 116.3209878 39.9967692)",,,,,
371156965,7959888861,0,32954781,service,permissive,False,True,37.989,,"LINESTRING (116.3213074 39.9948336, 116.3213162 39.9947707, 116.3213549 39.9944939)",,,,,
371156966,7959888856,0,32954774,unclassified,permissive,False,False,13.355,,"LINESTRING (116.3208322 39.9967545, 116.3209878 39.9967692)",,,,,
371156966,380422691,0,32954774,unclassified,permissive,False,True,121.715,,"LINESTRING (116.3208322 39.9967545, 116.3200248 39.9966581, 116.3194247 39.9965673)",,,,,
371156966,2354063848,0,42364942,service,permissive,False,False,38.059,,"LINESTRING (116.3208322 39.9967545, 116.3208252 39.9968471, 116.3208154 39.9970965)",,,,,
371157143,9004126661,0,83689276,unclassified,permissive,False,True,46.942,明德路,"LINESTRING (116.3279533 40.0054625, 116.327979 40.0050408)",,,,,
371157143,7077837517,0,544171509,unclassified,permissive,False,False,3.266,至善路,"LINESTRING (116.3279533 40.0054625, 116.327915 40.0054611)",,,,,
371157143,9769500369,0,544171509,unclassified,permissive,False,True,96.363,至善路,"LINESTRING (116.3279533 40.0054625, 116.3290842 40.0054876)",,,,,
371157143,7110874280,0,83689276,unclassified,permissive,False,False,98.457,明德路,"LINESTRING (116.3279533 40.0054625, 116.3279441 40.0060208, 116.3278775 40.0063439)",,,,,
371157144,7077837522,0,80717412,service,permissive,False,True,3.47,,"LINESTRING (116.3281108 40.0024372, 116.3280701 40.0024359)",,,,,
371157144,6956583327,0,83689276,unclassified,permissive,False,False,131.403,明德路,"LINESTRING (116.3281108 40.0024372, 116.3280494 40.003618)",,,,,
371157144,10893676248,0,83689276,unclassified,permissive,False,True,5.864,明德路,"LINESTRING (116.3281108 40.0024372, 116.3281135 40.0023845)",,,,,
380418504,10060051284,0,33431777,cycleway,,False,False,8.001,,"LINESTRING (116.3112505 39.9985445, 116.3113146 39.9985971)",,,,,
380418504,2354489170,0,1011412213,unclassified,permissive,False,False,113.69,清华路,"LINESTRING (116.3112505 39.9985445, 116.3102094 39.9984904, 116.3101191 39.9985115, 116.3100748 39.9985359, 116.3100164 39.9985848, 116.3099954 39.9986243)",,,,,
380418504,380419281,0,"[1011412213, 1011412214, 22799951]",unclassified,permissive,False,True,34.5,清华路,"LINESTRING (116.3112505 39.9985445, 116.3113321 39.9985407, 116.3115925 39.998552, 116.311599 39.9985523, 116.3116547 39.9985484)",yes,,,,
380418800,2354488146,0,226682597,service,,False,False,50.699,,"LINESTRING (116.3111785 40.0004019, 116.3105881 40.0003441)",,,,,
380418800,380419321,0,863690582,cycleway,,False,False,21.693,,"LINESTRING (116.3111785 40.0004019, 116.3114315 40.0004242)",yes,,,,
380418800,2354488747,0,33431777,cycleway,,False,True,109.45,,"LINESTRING (116.3111785 40.0004019, 116.3112589 39.9999873, 116.3113472 39.9994262)",,,,,
380418800,2354023998,0,80319175,cycleway,permissive,False,False,204.375,,"LINESTRING (116.3111785 40.0004019, 116.311204 40.0005586, 116.3112194 40.00066, 116.3112639 40.0007443, 116.311311 40.0008633, 116.3113258 40.0009623, 116.3113256 40.0010367, 116.3113097 40.0011602, 116.3112883 40.001457, 116.3113068 40.0018151, 116.3113615 40.0018907, 116.3114153 40.0019661, 116.3114905 40.0020284, 116.3116406 40.0021274)",,,,,
380418838,380419281,0,22799951,unclassified,permissive,False,False,96.699,清华路,"LINESTRING (116.3127872 39.9986084, 116.3116547 39.9985484)",,,,,
380418838,371156467,0,22799951,unclassified,permissive,False,True,251.102,清华路,"LINESTRING (116.3127872 39.9986084, 116.3157305 39.9987335)",,,,,
380418838,10702142579,0,83800920,unclassified,permissive,False,False,7.399,近春路,"LINESTRING (116.3127872 39.9986084, 116.3127843 39.9986749)",,,,,
380418838,10702142588,0,83800920,unclassified,permissive,False,True,4.658,近春路,"LINESTRING (116.3127872 39.9986084, 116.3127924 39.9985667)",,,,,
380419120,380419121,0,83800920,unclassified,permissive,False,False,60.709,近春路,"LINESTRING (116.3124274 40.0005396, 116.3125271 40.0010802)",,,,,
380419120,2354070941,0,83800920,unclassified,permissive,False,True,53.856,近春路,"LINESTRING (116.3124274 40.0005396, 116.3123724 40.0000571)",,,,,
380419120,380419322,0,226681985,cycleway,,False,False,22.277,,"LINESTRING (116.3124274 40.0005396, 116.3121766 40.0004828)",,,,,
380419121,380419142,0,83800920,unclassified,permissive,False,False,5.603,近春路,"LINESTRING (116.3125271 40.0010802, 116.3125748 40.0011149)",,,,,
380419121,380419120,0,83800920,unclassified,permissive,False,True,60.709,近春路,"LINESTRING (116.3125271 40.0010802, 116.3124274 40.0005396)",,,,,
