u,v,key,osmid,highway,oneway,reversed,length,name,geometry,bridge,lanes,maxspeed
1839516774,1839513338,0,158668830,service,False,False,71.126,,"LINESTRING (114.3502577 30.6068757, 114.3503921 30.6062466)",,,
1839516774,1839548237,0,158668830,service,False,True,119.759,,"LINESTRING (114.3502577 30.6068757, 114.350031 30.6079349)",,,
1839516774,3816574577,0,173120184,service,False,True,33.836,,"LINESTRING (114.3502577 30.6068757, 114.3506057 30.6069294)",,,
1839534812,3816574575,0,158683121,service,False,False,57.162,交通一路,"LINESTRING (114.3507835 30.6093494, 114.3508915 30.6088438)",,,
1839534812,4050649064,0,158683121,service,False,True,119.978,交通一路,"LINESTRING (114.3507835 30.6093494, 114.3505568 30.6104106)",,,
1839534812,3904060945,0,387066473,service,False,False,89.507,,"LINESTRING (114.3507835 30.6093494, 114.351701 30.6095056)",,,
1839534817,8995273503,0,158667524,service,False,True,72.213,学子路,"LINESTRING (114.3511163 30.6077921, 114.3518592 30.6079058)",,,
1839534817,11271110514,0,158683121,service,False,False,38.914,交通一路,"LINESTRING (114.3511163 30.6077921, 114.3511898 30.6074479)",,,
1839534817,1839548241,0,158683121,service,False,True,35.546,交通一路,"LINESTRING (114.3511163 30.6077921, 114.3510491 30.6081065)",,,
1839548235,4050649064,0,158669026,service,False,False,151.682,青年园南路,"LINESTRING (114.3489936 30.6101853, 114.3505568 30.6104106)",,,
1839548235,1708233021,0,158683161,service,False,False,75.52,交通四路,"LINESTRING (114.3489936 30.6101853, 114.3488589 30.6108545)",,,
1839548235,3816715355,0,158683161,service,False,True,24.517,交通四路,"LINESTRING (114.3489936 30.6101853, 114.3490383 30.6099682)",,,
1839548237,1839548241,0,158668788,service,False,True,99.285,,"LINESTRING (114.350031 30.6079349, 114.3510491 30.6081065)",,,
1839548237,1839516774,0,158668830,service,False,False,119.759,,"LINESTRING (114.350031 30.6079349, 114.3502577 30.6068757)",,,
1839548237,3904060954,0,387066475,service,False,True,54.665,,"LINESTRING (114.350031 30.6079349, 114.3494735 30.6078279)",,,
1839548239,3904060944,0,387066471,service,False,False,79.183,交通二路,"LINESTRING (114.3513152 30.6112422, 114.3514696 30.6105426)",,,
1839548239,3816648053,0,387066474,service,False,False,69.736,青年园北路,"LINESTRING (114.3513152 30.6112422, 114.3520326 30.6113522)",,,
1839548239,3904060952,0,387066474,service,False,True,88.123,青年园北路,"LINESTRING (114.3513152 30.6112422, 114.3504125 30.6110857)",,,
1839548241,1839548237,0,158668788,service,False,False,99.285,,"LINESTRING (114.3510491 30.6081065, 114.350031 30.6079349)",,,
