u,v,key,osmid,oneway,highway,reversed,length,name,geometry
3653244381,3686355819,0,360776065,False,residential,False,78.297,,"LINESTRING (108.9134685 34.2462881, 108.9134781 34.2469922)"
3653244385,2016793108,0,191095199,False,service,True,54.492,,"LINESTRING (108.9081171 34.2461068, 108.9081265 34.2456168)"
3653244385,2016793114,0,191095199,False,service,False,17.538,,"LINESTRING (108.9081171 34.2461068, 108.9081234 34.2461952, 108.9081176 34.2462642)"
3653244385,2016793112,0,359677858,False,service,False,221.933,,"LINESTRING (108.9081171 34.2461068, 108.907008 34.2461146, 108.9069825 34.2460991, 108.9069664 34.2460692, 108.9069879 34.2450492)"
3653244388,3653244377,0,362794779,False,service,False,76.367,教学南路,"LINESTRING (108.9094569 34.2440692, 108.9086261 34.2440671)"
3653244388,3653244377,1,360776063,False,service,True,204.745,,"LINESTRING (108.9094569 34.2440692, 108.9094676 34.2435393, 108.9094609 34.2435071, 108.909422 34.2434761, 108.908675 34.2434739, 108.9086482 34.2434839, 108.9086173 34.243516, 108.9086261 34.2440671)"
3653244388,2016793104,0,362794779,False,service,True,17.422,教学南路,"LINESTRING (108.9094569 34.2440692, 108.9096464 34.2440662)"
3653254411,3653244381,0,169172415,False,residential,False,83.571,,"LINESTRING (108.9143777 34.2462908, 108.9134685 34.2462881)"
3653254411,3643535047,0,169172415,False,residential,True,52.462,,"LINESTRING (108.9143777 34.2462908, 108.9149484 34.2462975)"
3653254411,3686355826,0,191095189,False,residential,True,39.517,,"LINESTRING (108.9143777 34.2462908, 108.9143916 34.2459356)"
3670483435,3670483437,0,362794785,False,service,False,9.396,,"LINESTRING (108.9066406 34.2477254, 108.9067425 34.2477187)"
3670483435,3670483435,0,"[362794784, 970814742]",False,service,False,87.342,,"LINESTRING (108.9066406 34.2477254, 108.9065453 34.247946, 108.9065132 34.2479582, 108.9064756 34.2479482, 108.9063334 34.2477786, 108.9063388 34.247752, 108.9063683 34.2477331, 108.9066406 34.2477254)"
3670483435,3670483435,1,"[362794784, 970814742]",False,service,True,87.342,,"LINESTRING (108.9066406 34.2477254, 108.9063683 34.2477331, 108.9063388 34.247752, 108.9063334 34.2477786, 108.9064756 34.2479482, 108.9065132 34.2479582, 108.9065453 34.247946, 108.9066406 34.2477254)"
3670483436,3686355817,0,359583114,False,service,False,6.516,,"LINESTRING (108.9076382 34.2476802, 108.9076382 34.2476216)"
3670483436,3642584025,0,359583114,False,service,True,31.435,,"LINESTRING (108.9076382 34.2476802, 108.9076383 34.2479629)"
3670483436,3686355839,0,362794785,False,service,True,39.79,,"LINESTRING (108.9076382 34.2476802, 108.9072058 34.2476974)"
3670483437,3686355810,0,362794785,False,service,False,24.607,,"LINESTRING (108.9067425 34.2477187, 108.9070099 34.247708)"
3670483437,3670483435,0,362794785,False,service,True,9.396,,"LINESTRING (108.9067425 34.2477187, 108.9066406 34.2477254)"
3670483437,3670483439,0,362794786,False,service,False,122.77700000000002,,"LINESTRING (108.9067425 34.2477187, 108.9067318 34.2474072, 108.9067425 34.2473618, 108.9067774 34.2473352, 108.9068229 34.2473274, 108.9076316 34.247313)"
3670483439,8984902091,0,359583114,False,service,False,17.512,,"LINESTRING (108.9076316 34.247313, 108.907638 34.2471556)"
3670483439,3686355838,0,359583114,False,service,True,26.438,,"LINESTRING (108.9076316 34.247313, 108.9076382 34.2475507)"
3670483439,3670483437,0,362794786,False,service,True,122.77700000000002,,"LINESTRING (108.9076316 34.247313, 108.9068229 34.2473274, 108.9067774 34.2473352, 108.9067425 34.2473618, 108.9067318 34.2474072, 108.9067425 34.2477187)"
3686355754,3686355772,0,364596115,False,footway,False,18.145,,"LINESTRING (108.9070345 34.2441076, 108.906839 34.2441302)"
3686355754,3686355758,0,364596113,False,footway,False,24.146000000000004,,"LINESTRING (108.9070345 34.2441076, 108.9070275 34.2440837, 108.9070307 34.2440592, 108.9070436 34.2440371, 108.9070648 34.2440199, 108.9070919 34.2440097, 108.9071215 34.2440075, 108.9071502 34.2440138, 108.9071729 34.2440263, 108.9071898 34.244044)"
3686355754,3686355768,0,364596113,False,footway,True,13.203,,"LINESTRING (108.9070345 34.2441076, 108.9070508 34.2441281, 108.9070746 34.2441428, 108.907103 34.2441501, 108.9071302 34.2441494, 108.9071559 34.2441418)"
3686355758,3686355771,0,364596116,False,footway,False,14.313,,"LINESTRING (108.9071898 34.244044, 108.9072843 34.2439417)"
