element_type,osmid,building,designation,name,name:zh,name:zh-Hans,name:zh-Hant,geometry,nodes,source,layer,leisure,sport,building:levels
way,229077205,yes,,信息科技实验楼,信息科技实验楼,信息科技实验楼,信息科技實驗樓,"POLYGON ((116.3133938 39.9562259, 116.313394 39.9566813, 116.3127314 39.9566814, 116.3127312 39.9562261, 116.3133938 39.9562259))","[2377138417, 2377138428, 2377138406, 2377138403, 2377138417]",,-1,,,
way,424712797,dormitory,,硕博小区1号楼,硕博小区1号楼,硕博小区1号楼,碩博小區1號樓,"POLYGON ((116.304737 39.9572205, 116.3048458 39.9572594, 116.3049764 39.9572539, 116.3050344 39.957176, 116.3050127 39.9570648, 116.3049982 39.9569703, 116.3049256 39.9568758, 116.3046718 39.9566868, 116.3045992 39.956659, 116.3044904 39.9566256, 116.3044179 39.956659, 116.3043889 39.956709, 116.3043889 39.9567757, 116.3043889 39.9568424, 116.3044832 39.9568647, 116.3046065 39.9568591, 116.3048023 39.9570009, 116.3047479 39.957094, 116.304737 39.9572205))","[4240978395, 4240978396, 4240978397, 4240978398, 4240978399, 4240978400, 4240978401, 4240978402, 4240978403, 4240978404, 4240978405, 4240978406, 4240978407, 4240978408, 4240978409, 4240978410, 4240978411, 4240978412, 4240978395]",,,,,15
way,934713604,yes,,,,,,"POLYGON ((116.3032454 39.9597915, 116.3032463 39.9595246, 116.3038527 39.9595258, 116.3038518 39.9597926, 116.3032454 39.9597915))","[8662392220, 8662392221, 8662392222, 8662392223, 8662392220]",,,,,
way,934713605,yes,,,,,,"POLYGON ((116.3032561 39.9581002, 116.303257 39.9578333, 116.3038634 39.9578345, 116.3038625 39.9581014, 116.3032561 39.9581002))","[8662392224, 8662392225, 8662392226, 8662392227, 8662392224]",,,,,
way,934713606,yes,,,,,,"POLYGON ((116.3043979 39.9580785, 116.3043987 39.9578115, 116.3050051 39.9578127, 116.3050043 39.9580796, 116.3043979 39.9580785))","[8662392228, 8662392229, 8662392230, 8662392231, 8662392228]",,,,,
way,934713607,yes,,,,,,"POLYGON ((116.3043837 39.9597816, 116.3043845 39.9595146, 116.3049909 39.9595158, 116.3049901 39.9597827, 116.3043837 39.9597816))","[8662392232, 8662392233, 8662392234, 8662392235, 8662392232]",,,,,
way,934713608,yes,,,,,,"POLYGON ((116.3035518 39.9593666, 116.3035559 39.9590597, 116.3032574 39.9590574, 116.3032533 39.9593643, 116.3035518 39.9593666))","[8662392236, 8662392237, 8662392238, 8662392239, 8662392236]",,,,,
way,934713609,yes,,,,,,"POLYGON ((116.3035553 39.9585432, 116.3035594 39.9582363, 116.303261 39.958234, 116.3032569 39.9585408, 116.3035553 39.9585432))","[8662392240, 8662392241, 8662392242, 8662392243, 8662392240]",,,,,
way,934713610,yes,,,,,,"POLYGON ((116.3039351 39.9589978, 116.3039329 39.9585802, 116.3045535 39.9585783, 116.3045557 39.9589958, 116.3039351 39.9589978))","[8662392244, 8662392245, 8662392246, 8662392247, 8662392244]",,,,,
way,934714250,yes,,,,,,"POLYGON ((116.31297 39.9564358, 116.3129663 39.9561866, 116.3136573 39.9561809, 116.3136462 39.9564358, 116.31297 39.9564358))","[8662383375, 8662383376, 8662383377, 8662383378, 8662383375]",,,,,
