u,v,key,osmid,name,highway,oneway,reversed,length,maxspeed,geometry,lanes,service,access,bridge
566601424,11578252375,0,1245449249,,footway,False,False,10.478,,"LINESTRING (-118.1245284 34.1383719, -118.124642 34.1383657)",,,,
566601424,6868358822,0,843856999,,cycleway,False,False,16.485,,"LINESTRING (-118.1245284 34.1383719, -118.1245109 34.1384205, -118.1245027 34.1385178)",,,,
566601424,6868358824,0,843856999,,cycleway,False,True,35.0,,"LINESTRING (-118.1245284 34.1383719, -118.1245428 34.1383529, -118.1245488 34.1383249, -118.124553 34.1381466, -118.1245351 34.1381073, -118.1245028 34.1380729)",,,,
566601426,566601358,0,843856969,,service,False,True,51.022,5 mph,"LINESTRING (-118.1235817 34.1384179, -118.1235732 34.1388767)",,,,
566601426,844352197,0,44635105,,cycleway,False,True,71.393,,"LINESTRING (-118.1235817 34.1384179, -118.1240088 34.1384204, -118.124115 34.138383, -118.1243482 34.1383828)",,,,
566601426,566601421,0,"[44635104, 843856969]",,"['service', 'footway']",False,"[False, True]",62.447,5 mph,"LINESTRING (-118.1235817 34.1384179, -118.1235853 34.1383378, -118.1236594 34.138241, -118.123672 34.1378743)",,,,
566601428,566600627,0,44635106,,cycleway,False,False,37.163,,"LINESTRING (-118.1256875 34.1388829, -118.125691 34.1385487)",,,,
566601428,566601465,0,844398309,,cycleway,False,False,13.812,,"LINESTRING (-118.1256875 34.1388829, -118.125617 34.1388636, -118.1255415 34.1388578)",,,,
566601428,566601471,0,844398309,,cycleway,False,True,16.583,,"LINESTRING (-118.1256875 34.1388829, -118.1257847 34.1389287, -118.1258376 34.1389645)",,,,
566601429,6868358827,0,44635106,,cycleway,False,False,7.328,,"LINESTRING (-118.1256983 34.1379882, -118.1256979 34.1379223)",,,,
566601429,566600627,0,44635106,,cycleway,False,True,62.328,,"LINESTRING (-118.1256983 34.1379882, -118.125691 34.1385487)",,,,
566601429,566601432,0,843856967,,footway,False,True,26.85,,"LINESTRING (-118.1256983 34.1379882, -118.1254066 34.137992)",,,,
566601429,5270938215,0,"[547617528, 545357801, 547617527]",,"['steps', 'footway']",False,False,36.191,,"LINESTRING (-118.1256983 34.1379882, -118.125818 34.1379879, -118.1259958 34.1379874, -118.1260915 34.1379855)",,,,
566601430,6868358832,0,44635124,,footway,False,False,5.318,,"LINESTRING (-118.1256022 34.1377021, -118.1255653 34.1376653)",,,,
566601430,566601433,0,44635132,San Pasqual Walk,cycleway,False,False,19.277,,"LINESTRING (-118.1256022 34.1377021, -118.1254075 34.137766)",,,,
566601430,6868358827,0,44635106,,cycleway,False,True,28.365000000000002,,"LINESTRING (-118.1256022 34.1377021, -118.1256773 34.137747, -118.1256946 34.1377787, -118.1256979 34.1379223)",,,,
566601430,566601519,0,44635132,San Pasqual Walk,cycleway,False,True,13.153,,"LINESTRING (-118.1256022 34.1377021, -118.1257203 34.1376913, -118.1257444 34.137691)",,,,
566601431,566600633,0,44635107,,footway,False,False,37.417,,"LINESTRING (-118.1254056 34.1388842, -118.1254056 34.1385477)",,,,
566601431,566601465,0,844398309,,cycleway,False,True,12.915,,"LINESTRING (-118.1254056 34.1388842, -118.1254798 34.1388637, -118.1255415 34.1388578)",,,,
566601431,566601470,0,1245448737,,footway,False,False,17.803,,"LINESTRING (-118.1254056 34.1388842, -118.1253481 34.1389075, -118.1252952 34.1389338, -118.1252433 34.1389698)",,,,
566601432,6868358825,0,44635107,,footway,False,False,7.995,,"LINESTRING (-118.1254066 34.137992, -118.1254067 34.1379201)",,,,
566601432,566600633,0,44635107,,footway,False,True,61.791,,"LINESTRING (-118.1254066 34.137992, -118.1254056 34.1385477)",,,,
566601432,566601429,0,843856967,,footway,False,False,26.85,,"LINESTRING (-118.1254066 34.137992, -118.1256983 34.1379882)",,,,
566601432,566601435,0,843856967,,footway,False,True,41.181,,"LINESTRING (-118.1254066 34.137992, -118.125356 34.1379809, -118.1249609 34.1379808)",,,,
