element_type,osmid,amenity,geometry,operator,addr:postcode,building,name,website,access,parking,nodes,building:levels,building:material,official_name,source,source_ref,wikidata,building:levels:underground,roof:shape,created_by,fee,operator:type,ref,leisure,addr:housenumber,addr:street,addr:city,addr:state,addr:street_direction_prefix,layer,old_name,start,alt_name,old_name:-1960,old_name:1960-2017,wikipedia,opening_hours,addr:housename,ways,type
way,44635065,,"POLYGON ((-118.1242183 34.1362749, -118.124217 34.1362349, -118.124044 34.136236, -118.124044 34.1361028, -118.124046 34.13609, -118.1241359 34.1360912, -118.1241345 34.1360734, -118.124451 34.1360756, -118.124451 34.1360978, -118.1245194 34.1360989, -118.1245281 34.1362738, -118.1242183 34.1362749))",,,yes,Lauritsen Laboratory of High Energy Physics,,,,"[571720350, 571720351, 566601077, 571720331, 566601080, 571720352, 571720353, 571720354, 571720355, 571720335, 566601061, 571720350]",,,,,,Q62641335,,,,,,,,,,,,,,,,,,,,,,,
way,44635068,,"POLYGON ((-118.1262663 34.1369737, -118.1260107 34.1369728, -118.12601 34.136955, -118.1260107 34.1369421, -118.1260107 34.1369061, -118.1259825 34.1369063, -118.1259825 34.1368878, -118.1259562 34.1368878, -118.1259561 34.1369018, -118.1259107 34.1369383, -118.1258465 34.1369376, -118.1258009 34.1368996, -118.1258009 34.1368458, -118.125845 34.1368083, -118.125911 34.1368079, -118.1259574 34.1368464, -118.1259578 34.1368552, -118.1259781 34.1368552, -118.1259782 34.1368364, -118.1260107 34.1368365, -118.126011 34.1368044, -118.1260107 34.1367742, -118.1262663 34.1367729, -118.1262661 34.1368417, -118.1262758 34.1368418, -118.1262758 34.1368337, -118.1263143 34.1368335, -118.1263103 34.1368538, -118.1263095 34.1368749, -118.1263112 34.1368951, -118.1263152 34.1369153, -118.1262752 34.136915, -118.1262751 34.1369056, -118.1262657 34.1369055, -118.1262657 34.1369553, -118.1262663 34.1369737))",,,yes,Caltech Hall,,,,"[566601093, 566601097, 6907360308, 571720681, 566601101, 3704238343, 3704238344, 3704238345, 566601103, 566601105, 571720390, 566601109, 566601113, 566601118, 571720391, 566601121, 571720392, 3704238346, 566601126, 3704238347, 571720682, 566601129, 571720393, 571720394, 6911382260, 6911382259, 571720395, 6911382263, 571720396, 6911382264, 571720397, 6911382261, 6911382262, 566601133, 6907360307, 566601093]",9,,,,,Q62641330,,,,,,,,,,,,,,,,,,,,,,,
way,44635071,,"POLYGON ((-118.1248882 34.1371535, -118.1247139 34.1371535, -118.1241962 34.1371479, -118.1241976 34.1370114, -118.1248909 34.1370136, -118.1248882 34.1371535))",,,yes,Thomas,,,,"[566601161, 571718802, 566601183, 566601203, 566601253, 566601161]",3,plaster,Gates–Thomas Laboratory of Engineering,,,Q62641307,,,,,,,,,,,,,,,,,,,,,,,
way,44635077,,"POLYGON ((-118.1248869 34.1376874, -118.1241922 34.1376874, -118.1241922 34.1375264, -118.1247139 34.1375298, -118.1247166 34.1375431, -118.1248855 34.1375431, -118.1248869 34.1376874))",,,yes,Spalding,,,,"[566601306, 566601307, 566601309, 571718797, 3704238353, 566601311, 566601306]",3,,Eudora Hull Spalding Laboratory of Engineering,,,Q62641312,,,,,,,,,,,,,,,,,,,,,,,
way,44635080,library,"POLYGON ((-118.1247139 34.1375298, -118.1247139 34.1371535, -118.1248882 34.1371535, -118.1248842 34.13731, -118.1248534 34.13731, -118.1248534 34.1373877, -118.1248855 34.1373877, -118.1248855 34.1375431, -118.1247166 34.1375431, -118.1247139 34.1375298))",,,yes,Fairchild Library,,,,"[571718797, 571718802, 566601161, 571719133, 571719134, 571719135, 571719136, 566601311, 3704238353, 571718797]",3,,Sherman Fairchild Library of Engineering and Applied Science,,,Q62641358,,,,,,,,,,,,,,,,,,,,,,,
way,44635196,parking,"POLYGON ((-118.1226101 34.1398664, -118.1224318 34.139867, -118.1222034 34.1398679, -118.122199 34.1390623, -118.1226056 34.1390608, -118.1226079 34.1394691, -118.1226101 34.1398664))",,,yes,,,,multi-storey,"[566601755, 4003035631, 566601758, 566601760, 566601761, 844352177, 566601755]",,,,,,,,,,,,,,370,South Holliston Avenue,,,,,,,,,,,,,,
way,45094662,restaurant,"POLYGON ((-118.1235967 34.137472, -118.1234291 34.1374731, -118.1234278 34.1375242, -118.1233406 34.1375242, -118.1231689 34.1375264, -118.1231703 34.137482, -118.1230254 34.1374798, -118.1228504 34.1374811, -118.1228498 34.1376119, -118.1228122 34.1376108, -118.1228122 34.1376507, -118.1229517 34.1376519, -118.1229517 34.1376685, -118.1230925 34.1376696, -118.1230911 34.1376852, -118.123185 34.137684, -118.123185 34.1377728, -118.1234921 34.1377728, -118.1234921 34.137744, -118.1235552 34.1377451, -118.1235565 34.1376996, -118.1235941 34.1377018, -118.1235964 34.1374988, -118.1235967 34.137472))",,,yes,Browne Café,,,,"[571718724, 571718725, 571718728, 368343006, 566601864, 571718703, 368342744, 571718706, 566601867, 571718705, 571718731, 571718734, 571718736, 571718743, 571718746, 571718749, 571718751, 571718754, 571718756, 571718760, 571718764, 571718768, 2029287303, 571718724]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,45095034,,"POLYGON ((-118.1238931 34.1387929, -118.1236517 34.1388029, -118.1236477 34.1386242, -118.1238891 34.1386309, -118.1238931 34.1387929))",,,yes,,,,,"[571721398, 571721399, 571721400, 571721401, 571721398]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,45095035,restaurant,"POLYGON ((-118.1270005 34.1395941, -118.1268335 34.1395933, -118.1268332 34.1396075, -118.1267564 34.1396065, -118.1267561 34.1396963, -118.1268124 34.1396914, -118.1268123 34.13971, -118.126757 34.1397101, -118.1267561 34.1397174, -118.1267533 34.1397241, -118.126749 34.1397303, -118.1267433 34.1397351, -118.1267367 34.1397397, -118.1267305 34.1397428, -118.1267225 34.1397448, -118.1267146 34.1397455, -118.1267135 34.1398245, -118.1267258 34.1398236, -118.1267381 34.1398222, -118.1267513 34.1398197, -118.126763 34.1398166, -118.1267756 34.1398117, -118.1267798 34.1398094, -118.1267932 34.1398252, -118.126781 34.1398342, -118.1267697 34.1398414, -118.1267573 34.1398482, -118.1267434 34.1398545, -118.1267285 34.1398597, -118.126713 34.1398636, -118.1267121 34.1399265, -118.1267352 34.1399159, -118.126755 34.1399042, -118.1267718 34.1398933, -118.1267899 34.1398785, -118.1268075 34.1398623, -118.1268238 34.1398433, -118.126837 34.1398258, -118.1268489 34.1398061, -118.1268595 34.1397865, -118.1268688 34.1397623, -118.1268719 34.139737, -118.1268727 34.1397109, -118.1268343 34.1397108, -118.126835 34.1396895, -118.1269575 34.1396791, -118.1269568 34.139719, -118.1269992 34.1397189, -118.1270005 34.1395941))",,,yes,Broad Cafe,,,,"[571721402, 3704238371, 6911382215, 571721403, 571721404, 6911382216, 6911382217, 6911382223, 6911382232, 6911382231, 6911382233, 571721405, 6911382234, 6911382230, 6911382235, 571721406, 6911382238, 6911382239, 6911382242, 6911382243, 6911382244, 6911382246, 6911382249, 6911382248, 6911382247, 6911382245, 6911382241, 6911382240, 6911382237, 6911382236, 571721407, 6911382228, 6911382222, 6911382229, 571721408, 6911382227, 6911382221, 6911382226, 571721409, 6911382225, 6911382220, 6911382224, 6911382219, 6911382218, 571721410, 571721411, 571721412, 571721413, 571721402]",1,metal,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,45420596,,"POLYGON ((-118.127802 34.1335482, -118.1275249 34.1335526, -118.12752 34.1333578, -118.1275111 34.1329243, -118.1278019 34.1329214, -118.127802 34.1335482))",,,yes,Morrisroe,,,,"[577516312, 577516313, 11359610227, 577516316, 577516317, 577516312]",,,David W. Morrisroe Astroscience Laboratory,,,Q62641350,,,,,,,,772,South Wilson Avenue,,,,,,,,,,,,,,
