osmid,y,x,highway,street_count,geometry
4701556709,42.0513217,-87.6781458,,4,POINT (-87.6781458 42.0513217)
4733214479,42.0554403,-87.6740077,,3,POINT (-87.6740077 42.0554403)
4771947997,42.0555834,-87.6753584,,4,POINT (-87.6753584 42.0555834)
4771951638,42.0560321,-87.6725374,,3,POINT (-87.6725374 42.0560321)
4773228662,42.0512264,-87.6753193,,3,POINT (-87.6753193 42.0512264)
4773228663,42.0512542,-87.6753071,,3,POINT (-87.6753071 42.0512542)
4773228668,42.051271,-87.6752344,,3,POINT (-87.6752344 42.051271)
4773256553,42.0506726,-87.6748684,,1,POINT (-87.6748684 42.0506726)
4773256558,42.0514327,-87.6765511,,3,POINT (-87.6765511 42.0514327)
4773256560,42.0515275,-87.6766786,,3,POINT (-87.6766786 42.0515275)
4773256562,42.0514923,-87.6767409,,3,POINT (-87.6767409 42.0514923)
4773287954,42.0512751,-87.6771287,,3,POINT (-87.6771287 42.0512751)
4773287955,42.0512649,-87.6772711,crossing,4,POINT (-87.6772711 42.0512649)
4773287957,42.0512528,-87.6774394,,4,POINT (-87.6774394 42.0512528)
4773287958,42.0512213,-87.6771045,,3,POINT (-87.6771045 42.0512213)
4773287959,42.0511902,-87.6770782,,3,POINT (-87.6770782 42.0511902)
4773287960,42.0509537,-87.6775323,,3,POINT (-87.6775323 42.0509537)
4773287961,42.0508747,-87.6772192,,3,POINT (-87.6772192 42.0508747)
4773288009,42.0506259,-87.6757749,crossing,4,POINT (-87.6757749 42.0506259)
4773288010,42.050507,-87.6758326,,4,POINT (-87.6758326 42.050507)
4773292101,42.0508089,-87.6736629,,5,POINT (-87.6736629 42.0508089)
4773292103,42.050206,-87.6741747,crossing,4,POINT (-87.6741747 42.050206)
4773292107,42.0504306,-87.6737653,,4,POINT (-87.6737653 42.0504306)
4773292110,42.0502282,-87.6741317,,3,POINT (-87.6741317 42.0502282)
4773292111,42.0504447,-87.6738641,,4,POINT (-87.6738641 42.0504447)
4773312351,42.0502544,-87.674911,crossing,4,POINT (-87.674911 42.0502544)
4773312373,42.0513295,-87.6799654,,3,POINT (-87.6799654 42.0513295)
4773312377,42.0513455,-87.6816022,,4,POINT (-87.6816022 42.0513455)
4773312379,42.0513285,-87.6799456,,3,POINT (-87.6799456 42.0513285)
4773312390,42.0509914,-87.6791877,,3,POINT (-87.6791877 42.0509914)
4773312392,42.0510216,-87.6794806,,3,POINT (-87.6794806 42.0510216)
4773312394,42.0511432,-87.6799502,,4,POINT (-87.6799502 42.0511432)
4773312398,42.0511922,-87.6816059,,4,POINT (-87.6816059 42.0511922)
4773312399,42.0512635,-87.6809816,,3,POINT (-87.6809816 42.0512635)
4773312400,42.0511826,-87.6809831,crossing,4,POINT (-87.6809831 42.0511826)
4773312401,42.0508593,-87.6809893,,3,POINT (-87.6809893 42.0508593)
4773912810,42.051462,-87.6761702,,1,POINT (-87.6761702 42.051462)
4773919831,42.0498258,-87.6759877,,3,POINT (-87.6759877 42.0498258)
4773919834,42.0496051,-87.675234,,3,POINT (-87.675234 42.0496051)
4773919835,42.0504224,-87.6755163,,3,POINT (-87.6755163 42.0504224)
4773919836,42.0497838,-87.6758293,crossing,4,POINT (-87.6758293 42.0497838)
4774676896,42.0508902,-87.6739627,,1,POINT (-87.6739627 42.0508902)
4774678141,42.0503984,-87.6736223,,3,POINT (-87.6736223 42.0503984)
4774678156,42.0505434,-87.6711616,,1,POINT (-87.6711616 42.0505434)
4774678159,42.0509399,-87.6731611,,3,POINT (-87.6731611 42.0509399)
4774678160,42.050907,-87.6732829,,1,POINT (-87.6732829 42.050907)
