element_type,osmid,nodes,building,geometry,name,amenity,leisure,fast_food,ways,type
way,139098602,"[1524592437, 1524592440, 1524592415, 1524592408, 1524592400, 1524592398, 1524592413, 1524592406, 1524592437]",apartments,"POLYGON ((117.1536758 39.0994476, 117.1538983 39.0994532, 117.1539021 39.0993616, 117.1538321 39.0993598, 117.1538352 39.0992866, 117.1537509 39.0992845, 117.1537477 39.0993614, 117.1536795 39.0993597, 117.1536758 39.0994476))",,,,,,
way,139098604,"[1524592473, 1524592475, 1524592446, 1524592443, 1524592427, 1524592426, 1524592445, 1524592442, 1524592473]",apartments,"POLYGON ((117.1533058 39.0995498, 117.1535282 39.0995554, 117.1535321 39.0994638, 117.1534621 39.099462, 117.1534651 39.0993888, 117.1533809 39.0993867, 117.1533776 39.0994636, 117.1533095 39.0994619, 117.1533058 39.0995498))",,,,,,
way,139098607,"[1524592775, 1524592769, 1524592678, 1524592676, 1524592765, 1524592763, 1524592605, 1524592612, 1524592775]",yes,"POLYGON ((117.1579271 39.1002739, 117.1580991 39.1002724, 117.1580971 39.1001299, 117.1585192 39.1001264, 117.1585211 39.1002654, 117.1586979 39.1002639, 117.1586939 39.0999784, 117.1579231 39.0999849, 117.1579271 39.1002739))",,,,,,
way,139098609,"[1524592571, 1524592576, 1524592607, 1524592611, 1524592549, 1524592547, 1524592534, 1524592530, 1524592571]",yes,"POLYGON ((117.1529349 39.0998626, 117.1533398 39.0998691, 117.1533368 39.0999806, 117.1535117 39.0999834, 117.1535161 39.0998194, 117.1533718 39.0998171, 117.1533733 39.0997605, 117.1529378 39.0997536, 117.1529349 39.0998626))",,,,,,
way,139098611,"[1524593130, 1524593135, 1524593122, 1524593127, 1524593139, 1524593158, 1524593112, 1524593090, 1524593130]",yes,"POLYGON ((117.1543157 39.1012374, 117.1545 39.1012438, 117.1545051 39.1011555, 117.1548471 39.1011674, 117.1548421 39.1012531, 117.1550464 39.1012602, 117.1550582 39.101056, 117.1543277 39.1010306, 117.1543157 39.1012374))",,,,,,
way,267172630,"[2726482389, 2726482390, 2726482391, 2726482392, 2726482389]",university,"POLYGON ((117.1634089 39.1026935, 117.1659001 39.1027795, 117.1659317 39.1022824, 117.1634405 39.1022087, 117.1634089 39.1026935))",教学2主楼,,,,,
way,543815141,"[5256998859, 612050805, 5256998860, 8983189594, 5256998861, 6794880251, 5256998862, 8983189595, 5256998859]",university,"POLYGON ((117.1685303 39.1055071, 117.1685313 39.105182, 117.1685323 39.1048589, 117.1688746 39.1048595, 117.1694002 39.1048605, 117.1693991 39.1052065, 117.1693982 39.1055088, 117.168863 39.1055078, 117.1685303 39.1055071))",天大南开联合实验楼,,,,,
way,543826738,"[5257095413, 5257095414, 5257095415, 5257095416, 5257095413]",dormitory,"POLYGON ((117.1528886 39.1048156, 117.154047 39.1048108, 117.1540409 39.1044139, 117.1530303 39.1044139, 117.1528886 39.1048156))",,,,,,
way,543826747,"[5257095447, 5257095448, 5257095449, 5257095450, 5257095451, 5257095452, 5257095453, 5257095454, 5257095447]",college,"POLYGON ((117.1640794 39.101065, 117.1658479 39.1011463, 117.1658911 39.1008785, 117.1657247 39.1008641, 117.1657062 39.1009646, 117.164252 39.1009263, 117.1642581 39.1008163, 117.1640979 39.1008163, 117.1640794 39.101065))",,,,,,
way,543826769,"[5257095529, 5257095530, 5257095531, 5257095532, 5257095529]",college,"POLYGON ((117.1497576 39.1043172, 117.1503168 39.1043007, 117.1502318 39.1029165, 117.1496939 39.102922, 117.1497576 39.1043172))",南开大学商学院,,,,,
way,543830002,"[5257123198, 5257123199, 5257123200, 5257123201, 5257123202, 5257123203, 5257123204, 5257123205, 5257123206, 5257123207, 5257123208, 5257123209, 5257123210, 5257123211, 5257123212, 5257123213, 5257123198]",university,"POLYGON ((117.1562531 39.1017293, 117.1563856 39.1016791, 117.1564719 39.1015715, 117.1564565 39.1014615, 117.156401 39.1013922, 117.1562932 39.10133, 117.1561761 39.1013204, 117.156096 39.1013396, 117.1560128 39.101373, 117.1559728 39.1014233, 117.1559266 39.101483, 117.1559327 39.1015667, 117.1559604 39.1016265, 117.1560128 39.1016815, 117.1560898 39.1017126, 117.1561576 39.1017269, 117.1562531 39.1017293))",经济学院教学楼,,,,,
way,543834370,"[5257159303, 5257159304, 5257159305, 5257159306, 5257159307, 5257159308, 5257159726, 5257159309, 5257159310, 5257159311, 5257159312, 5257159313, 5257159314, 5257159315, 5257159316, 5257159317, 5257159318, 5257159319, 5257159320, 5257159721, 5257159722, 5257159723, 5257159724, 5257159725, 5257159303]",yes,"POLYGON ((117.1594783 39.1022941, 117.1597048 39.1021292, 117.159609 39.102044, 117.1596487 39.1020059, 117.1596814 39.1020168, 117.1597631 39.1019371, 117.1597526 39.1019008, 117.1597561 39.1018646, 117.1596744 39.1017921, 117.1596487 39.101803, 117.159616 39.1017794, 117.1597094 39.1016961, 117.1594829 39.1015113, 117.1593405 39.1016164, 117.159518 39.1017577, 117.1593989 39.1018592, 117.1593078 39.101861, 117.1591724 39.1017686, 117.1589879 39.101899, 117.1591654 39.1020367, 117.1592938 39.1019425, 117.1593755 39.1019353, 117.1595156 39.1020367, 117.1593265 39.1021817, 117.1594783 39.1022941))",南开大学新图书馆,library,,,,
way,543834371,"[5257159727, 5257159728, 5257159729, 5257159730, 5257159731, 5257159732, 5257159733, 5257159734, 5257159735, 5257159736, 5257159737, 5257159738, 5257159727]",university,"POLYGON ((117.1600387 39.10243, 117.1602161 39.10243, 117.1602278 39.1024662, 117.1604683 39.1024662, 117.16048 39.102439, 117.1607112 39.1024263, 117.1607135 39.1022904, 117.1604777 39.1022922, 117.1604753 39.1022451, 117.1602301 39.1022469, 117.1602278 39.1022922, 117.1600363 39.1022941, 117.1600387 39.10243))",医学院,,,,,
way,543834373,"[5257159743, 5257159744, 5257159745, 5257159746, 5257159747, 5257159748, 5257159743]",college,"POLYGON ((117.161456 39.1024064, 117.161972 39.1024064, 117.1619697 39.1022324, 117.1614864 39.102227, 117.1614794 39.1022995, 117.1614513 39.1023067, 117.161456 39.1024064))",,,,,,
way,543834374,"[5257159749, 5257159750, 5257159751, 5257159752, 5257159753, 5257159754, 5257159755, 5257159756, 5257159749]",university,"POLYGON ((117.1617217 39.1021907, 117.1618291 39.1021925, 117.1618291 39.1020475, 117.1619365 39.1020385, 117.1619319 39.1018863, 117.1618385 39.1018881, 117.1618245 39.1016362, 117.161696 39.1016344, 117.1617217 39.1021907))",化学学院,,,,,
way,543834375,"[5257159757, 5257159758, 5257159759, 5257159760, 5257159757]",college,"POLYGON ((117.1614443 39.1015692, 117.161944 39.1015566, 117.161944 39.1013989, 117.1614327 39.1014025, 117.1614443 39.1015692))",,,,,,
way,543834376,"[5257159761, 5257159762, 5257159763, 5257159764, 5257159765, 5257159766, 5257159767, 5257159768, 5257159769, 5257159770, 5257159771, 5257159772, 5257159761]",college,"POLYGON ((117.1635303 39.1015579, 117.1636644 39.1015622, 117.1636765 39.10148, 117.1640292 39.1014945, 117.1640265 39.1015757, 117.1641687 39.1015788, 117.1641874 39.1012843, 117.1640587 39.1012843, 117.1640547 39.1013467, 117.1636939 39.1013301, 117.1636979 39.1012614, 117.1635611 39.1012541, 117.1635303 39.1015579))",,,,,,
way,543834381,"[5257159783, 5257159784, 5257159785, 5257159786, 5257159787, 5257159788, 5257159783]",college,"POLYGON ((117.169951 39.1019315, 117.1700502 39.1019315, 117.1700529 39.1018753, 117.1706242 39.1018961, 117.1706886 39.1012592, 117.1699992 39.1012425, 117.169951 39.1019315))",,,,,,
way,543834383,"[5257159792, 5257159793, 5257159794, 5257159795, 5257159796, 5257159797, 5257159798, 5257159799, 5257159800, 5257159801, 5257159802, 5257159803, 5257159804, 5257159805, 5257159806, 5257159807, 5257159808, 5257159809, 5257159810, 5257159811, 5257159812, 5257159813, 5257159792]",yes,"POLYGON ((117.1664863 39.1047659, 117.167686 39.1047824, 117.1678595 39.104733, 117.1680152 39.1046423, 117.1681355 39.1045078, 117.1681603 39.1043595, 117.1681391 39.1042304, 117.1680683 39.1041233, 117.1679692 39.1040436, 117.1678488 39.1039832, 117.1676931 39.103942, 117.1664579 39.1039475, 117.1663553 39.1039914, 117.1662491 39.1040464, 117.1661606 39.1041068, 117.1660969 39.1041974, 117.1660509 39.1043128, 117.1660474 39.1044116, 117.1660792 39.1045023, 117.1661359 39.1045984, 117.1662456 39.1046808, 117.1663518 39.104733, 117.1664863 39.1047659))",,,sports_centre,,,
way,543834386,"[5257159822, 5257159823, 5257159824, 5257159825, 5257159826, 5257159827, 5257159828, 5257159829, 5257159830, 5257159831, 5257159832, 5257159833, 5257159834, 5257159835, 5257159836, 5257159837, 5257159838, 5257159839, 5257159840, 5257159841, 5257159822]",yes,"POLYGON ((117.1650042 39.1046982, 117.1654941 39.1047102, 117.1654879 39.1047437, 117.1657436 39.1047437, 117.1657498 39.1044711, 117.1656974 39.1044639, 117.1657036 39.1044018, 117.1655403 39.1043946, 117.1655311 39.1043444, 117.1655064 39.1043205, 117.1654078 39.1043157, 117.1654109 39.1042033, 117.1654694 39.1041938, 117.1655557 39.1041507, 117.1654694 39.1040838, 117.1654201 39.1041053, 117.1650442 39.1041101, 117.1650381 39.1041746, 117.164995 39.1041842, 117.1649888 39.10433, 117.1650042 39.1046982))",,,sports_centre,,,
way,543866662,"[5257437698, 5257437699, 5257437700, 5257437701, 5257437698]",apartments,"POLYGON ((117.1564853 39.1007311, 117.1566254 39.1007365, 117.1566605 39.1001041, 117.156518 39.1001023, 117.1564853 39.1007311))",,,,,,
way,543866663,"[5257437702, 5257437703, 5257437704, 5257437705, 5257437706, 5257437707, 5257437708, 5257437709, 5257437710, 5257437711, 5257437712, 5257437702]",university,"POLYGON ((117.1600602 39.1012421, 117.1601466 39.1012439, 117.1605366 39.1012548, 117.1605342 39.1012059, 117.1606113 39.1012077, 117.1606159 39.1011461, 117.1605856 39.1011461, 117.1605856 39.1011171, 117.1601326 39.1011116, 117.1601326 39.1011787, 117.1600555 39.1011859, 117.1600602 39.1012421))",历史学院,,,,,
way,543866664,"[5257437713, 5257437714, 5257437715, 5257437716, 5257437717, 5257437718, 5257437719, 5257437720, 5257468721, 5257468722, 5257468723, 5257468724, 5257468725, 5257468726, 5257468727, 5257468728, 5257468729, 5257468730, 5257437713]",university,"POLYGON ((117.1570504 39.1024326, 117.1575875 39.1024254, 117.1575804 39.1022931, 117.1578303 39.102284, 117.1578723 39.1022641, 117.1580358 39.102255, 117.1581315 39.1023329, 117.1581268 39.1024562, 117.1586429 39.1024616, 117.1586405 39.1022731, 117.158351 39.1022532, 117.1583603 39.1020883, 117.1581362 39.1020938, 117.1581338 39.1020648, 117.157884 39.1020702, 117.1575828 39.1020793, 117.1575711 39.1022152, 117.1570387 39.102226, 117.1570504 39.1024326))",范孙楼,,,,,
way,543866665,"[5257468731, 5257468732, 5257468733, 5257468734, 5257468735, 5257468736, 5257468737, 5257468738, 5257468739, 5257468740, 5257468731]",university,"POLYGON ((117.1570224 39.1018528, 117.157473 39.1018564, 117.1574824 39.1017422, 117.1578723 39.1017386, 117.157877 39.1016498, 117.1572979 39.1016444, 117.1572886 39.1017169, 117.1572045 39.1017169, 117.1572045 39.1016353, 117.1570271 39.1016371, 117.1570224 39.1018528))",继续教育学院,,,,,
way,543866666,"[5257468741, 5257468742, 5257468743, 5257468744, 5257468741]",university,"POLYGON ((117.1559389 39.102255, 117.1564737 39.1022713, 117.1564807 39.1021626, 117.1559553 39.1021499, 117.1559389 39.102255))",经济学院,,,,,
