u,v,key,osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,junction,service,tunnel,access,width,bridge,area
634828888,8403544536,0,"[190537572, 701865960, 647083572]",2,Nanyang Avenue,residential,40,False,True,92.74199999999999,"LINESTRING (103.6814271 1.3439564, 103.6813799 1.3440249, 103.6813407 1.3440945, 103.681325 1.3441451, 103.6813231 1.3441613, 103.6813197 1.3441891, 103.6813264 1.3442079, 103.681334 1.3442291, 103.6814829 1.3444041, 103.6816769 1.3446349)",,,,,,,
634828888,8410385183,0,"[544824710, 647083573, 647083574]",2,Nanyang Avenue,residential,40,False,False,22.968,"LINESTRING (103.6814271 1.3439564, 103.6814617 1.3439224, 103.68153 1.3438523, 103.6815739 1.3438111)",,,building_passage,,,,
634828891,1301853643,0,115096948,,,service,,False,False,14.538,"LINESTRING (103.682507 1.3428967, 103.6825605 1.3427774)",,,,,,,
634828891,4909930854,0,"[646147481, 646189569, 499763030]",2,Nanyang Avenue,residential,40,False,True,71.96100000000001,"LINESTRING (103.682507 1.3428967, 103.6823123 1.3430996, 103.6821589 1.3432516, 103.6820505 1.3433554)",,,building_passage,,,,
634828891,4905129705,0,646147482,2,Nanyang Avenue,residential,40,False,False,72.358,"LINESTRING (103.682507 1.3428967, 103.6825807 1.3429086, 103.6827308 1.3429486, 103.68314 1.3430472)",,,,,,,
634828896,8410516870,0,993435519,,,service,,False,False,6.127,"LINESTRING (103.683507 1.343137, 103.6835066 1.3431921)",,,,,,,
634828896,3736498119,0,499763031,2,Nanyang Avenue,residential,40,False,False,10.088999999999999,"LINESTRING (103.683507 1.343137, 103.6835537 1.3431351, 103.6835961 1.3431233)",,,,,,,
634828896,8410380642,0,499763031,2,Nanyang Avenue,residential,40,False,True,26.137999999999998,"LINESTRING (103.683507 1.343137, 103.6834402 1.3431287, 103.683349 1.343109, 103.6832768 1.3430906)",,,,,,,
634829205,634829216,0,"[646671666, 22886845]",2,Nanyang Drive,residential,40,False,False,99.553,"LINESTRING (103.683428 1.3407991, 103.6831906 1.340621, 103.6829606 1.3404618, 103.6826766 1.3403166)",,,,,,,
634829205,6584877887,0,"[646671667, 648651925]",2,Nanyang Drive,residential,40,False,True,99.296,"LINESTRING (103.683428 1.3407991, 103.6836079 1.34096, 103.683713 1.341045, 103.6837999 1.3411271, 103.6840814 1.3414071)",,,,,,,
634829205,10687561637,0,"[651145539, 1148733062]",2,,service,,False,True,93.463,"LINESTRING (103.683428 1.3407991, 103.6833838 1.3408629, 103.6833926 1.3410223, 103.6831176 1.3415593)",,parking_aisle,,,,,
634829207,246167728,0,"[694269033, 22886844, 694272614]",2,Nanyang Link,service,,False,False,138.71399999999997,"LINESTRING (103.6818696 1.3423166, 103.6816357 1.3425541, 103.6815935 1.3425802, 103.6815606 1.3426017, 103.6815217 1.3426137, 103.6814672 1.342625, 103.6813892 1.3426094, 103.6813 1.3425509, 103.6811455 1.3423959, 103.6809171 1.3421661)",,,,,,,
634829216,5204561461,0,646685747,2,Nanyang Drive,residential,40,False,False,51.458,"LINESTRING (103.6826766 1.3403166, 103.6822556 1.3401242)",,,,,,,
634829216,8410371653,0,647084427,2,Nanyang Link,service,40,False,True,6.367,"LINESTRING (103.6826766 1.3403166, 103.682646 1.340365)",,,,,,,
634829216,634829205,0,"[646671666, 22886845]",2,Nanyang Drive,residential,40,False,True,99.553,"LINESTRING (103.6826766 1.3403166, 103.6829606 1.3404618, 103.6831906 1.340621, 103.683428 1.3407991)",,,,,,,
634829224,8410371653,0,"[49967298, 647084427, 698246023]",2,Nanyang Link,service,40,False,False,155.84,"LINESTRING (103.6818797 1.341393, 103.6818445 1.3412701, 103.6818434 1.3411777, 103.6818611 1.3410875, 103.6818987 1.3409952, 103.6819573 1.3409297, 103.6820819 1.340812, 103.6822936 1.3406713, 103.6824967 1.3405504, 103.6825466 1.340509, 103.6825941 1.3404472, 103.682646 1.340365)",,,,,,,
634829224,10687561628,0,"[1217436722, 115096951]",2,Nanyang Link,service,,False,False,91.94800000000001,"LINESTRING (103.6818797 1.341393, 103.6821626 1.3413376, 103.6823517 1.3413416, 103.6827005 1.3413669)",,,,,,,
634829224,6572436167,0,647084463,2,Nanyang Link,service,40,False,True,59.379,"LINESTRING (103.6818797 1.341393, 103.6817293 1.3414655, 103.681534 1.3415786, 103.6814242 1.3416678)",,,,,,,
634829629,4323207762,0,22886843,1,Nanyang Terrace,residential,40,True,False,49.132,"LINESTRING (103.6874436 1.3461813, 103.6870526 1.3463873)",,,,,,,
634829629,4323207740,0,721618664,2,Lien Ying Chow Drive,residential,40,False,False,51.841,"LINESTRING (103.6874436 1.3461813, 103.687744 1.3458247)",,,,,,,
634829629,4317760696,0,22886835,2,Lien Ying Chow Drive,residential,40,False,True,190.52999999999997,"LINESTRING (103.6874436 1.3461813, 103.6869709 1.3465982, 103.6867656 1.3467669, 103.6866752 1.3468666, 103.6866068 1.3469764, 103.6865694 1.3470987, 103.6865566 1.34719, 103.686551 1.3473779, 103.6865547 1.3475235)",,,,,,,
634830184,9176218032,0,295766737,,,footway,,False,False,3.628,"LINESTRING (103.6844798 1.3444178, 103.6845122 1.3444217)",,,,,,,
634830184,7750247260,0,295766737,,,footway,,False,True,7.197,"LINESTRING (103.6844798 1.3444178, 103.6844162 1.3444057)",,,,,,,
634830184,7747895646,0,755056591,2,Tan Lark Sye Walk,residential,40,False,True,41.774,"LINESTRING (103.6844798 1.3444178, 103.6844403 1.3447914)",,,,,,,
634830184,9176391703,0,755056591,2,Tan Lark Sye Walk,residential,40,False,False,20.524,"LINESTRING (103.6844798 1.3444178, 103.6844853 1.3443546, 103.684504 1.3442834, 103.6845236 1.3442401)",,,,,,,
634831113,8403712890,0,644042505,,Faculty Avenue,service,,False,False,1.972,"LINESTRING (103.683637 1.3471134, 103.6836341 1.3471309)",,,,,,,
634831113,976468538,0,524744274,1,Faculty Avenue,service,,True,False,19.274,"LINESTRING (103.683637 1.3471134, 103.683653 1.3470264, 103.6836494 1.3469416)",,,,,,,
634831124,4280535660,0,326480146,2,Faculty Avenue,service,,False,False,11.676,"LINESTRING (103.6832544 1.3462954, 103.6833428 1.3462387)",,,,,,,
634831124,4174045242,0,905299625,1,Faculty Avenue,service,,True,False,2.04,"LINESTRING (103.6832544 1.3462954, 103.6832383 1.3463042)",,,,,,,
634833508,634833517,0,49967535,,,service,,False,False,156.01899999999998,"LINESTRING (103.6841142 1.3521996, 103.6840516 1.3517699, 103.6840373 1.3516978, 103.6840272 1.3516629, 103.6840079 1.351628, 103.6837726 1.3513815, 103.6837397 1.351343, 103.6837196 1.3512948, 103.6837218 1.3512477, 103.6837324 1.3511975, 103.683759 1.3510808, 103.6837939 1.3509273)",,,,private,,,
