u,v,key,osmid,highway,oneway,reversed,length,name,access,geometry,width
4357248087,4357248088,0,437945149,residential,False,True,33.411,,,"LINESTRING (116.3358694 39.9893004, 116.3358498 39.9896005)",
4357248087,8250970723,0,437945148,residential,False,True,300.288,,,"LINESTRING (116.3358694 39.9893004, 116.3351889 39.9892418, 116.3351248 39.9883713, 116.3346481 39.9883447, 116.3346073 39.9889164, 116.3345863 39.9892813)",
4357248088,4357248087,0,437945149,residential,False,False,33.411,,,"LINESTRING (116.3358498 39.9896005, 116.3358694 39.9893004)",
4357248088,8250970723,0,437945148,residential,False,False,148.477,,,"LINESTRING (116.3358498 39.9896005, 116.3357849 39.9896266, 116.3345665 39.9896266, 116.3345863 39.9892813)",
4357248088,2269053369,0,437945148,residential,False,True,80.127,,,"LINESTRING (116.3358498 39.9896005, 116.3359221 39.9895713, 116.3367793 39.9896114)",
4357250389,4357248087,0,437945149,residential,False,True,94.467,,,"LINESTRING (116.3359248 39.9884519, 116.3358694 39.9893004)",
5263985207,8093495286,0,544569993,residential,False,False,21.923,,,"LINESTRING (116.3410772 39.9908294, 116.3410641 39.9910263)",
5263985207,5263985210,0,544569993,residential,False,True,45.372,,,"LINESTRING (116.3410772 39.9908294, 116.3410913 39.9904215)",
5263985207,9620074879,0,627111142,residential,False,False,50.92,,,"LINESTRING (116.3410772 39.9908294, 116.3404798 39.9908146)",
5263985208,328538095,0,244249229,residential,False,False,89.277,主马路,no,"LINESTRING (116.3411155 39.9897204, 116.342163 39.9897435)",
5263985208,6163185313,0,244249229,residential,False,True,16.338,主马路,no,"LINESTRING (116.3411155 39.9897204, 116.3409238 39.9897162)",
5263985208,5263985215,0,544569993,residential,False,False,40.834,,,"LINESTRING (116.3411155 39.9897204, 116.3411028 39.9900875)",
5263985209,328538095,0,136728280,residential,False,False,76.715,,,"LINESTRING (116.3421565 39.9904334, 116.342163 39.9897435)",
5263985209,9070331844,0,136728280,residential,False,True,4.317,,,"LINESTRING (116.3421565 39.9904334, 116.3421548 39.9904722)",
5263985209,9070331844,1,868296019,living_street,False,False,4.317,学15楼到综合楼路线1,,"LINESTRING (116.3421565 39.9904334, 116.3421548 39.9904722)",
5263985209,6085590186,0,544569991,residential,False,False,38.221,,,"LINESTRING (116.3421565 39.9904334, 116.3417079 39.9904284)",
5263985209,6085590186,1,868296019,living_street,False,True,38.221,学15楼到综合楼路线1,,"LINESTRING (116.3421565 39.9904334, 116.3417079 39.9904284)",
5263985210,6085590186,0,544569991,residential,False,True,52.535,,,"LINESTRING (116.3410913 39.9904215, 116.3417079 39.9904284)",
5263985210,5263985207,0,544569993,residential,False,False,45.372,,,"LINESTRING (116.3410913 39.9904215, 116.3410772 39.9908294)",
5263985210,5263985215,0,544569993,residential,False,True,37.152,,,"LINESTRING (116.3410913 39.9904215, 116.3411028 39.9900875)",
5263985211,5263985924,0,544569997,residential,False,False,61.388,,,"LINESTRING (116.3392801 39.9907849, 116.3385598 39.9907693)",
5263985211,11020118254,0,627111142,residential,False,False,27.514,,,"LINESTRING (116.3392801 39.9907849, 116.3392631 39.991032)",
5263985211,5263985217,0,627111142,residential,False,True,7.407,,,"LINESTRING (116.3392801 39.9907849, 116.339367 39.990787)",
5263985212,5263985213,0,544569992,residential,False,False,155.54,,,"LINESTRING (116.3392422 39.991337, 116.3410667 39.9913893)",
5263985212,11020118254,0,627111142,residential,False,True,33.961,,,"LINESTRING (116.3392422 39.991337, 116.3392631 39.991032)",
5263985212,6163158418,0,658096484,residential,False,True,74.93,,,"LINESTRING (116.3392422 39.991337, 116.339193 39.9914177, 116.3390641 39.9914671, 116.3387151 39.9914497, 116.3385937 39.9914061, 116.3384936 39.9913363)",
5263985213,5263985212,0,544569992,residential,False,True,155.54,,,"LINESTRING (116.3410667 39.9913893, 116.3392422 39.991337)",
5263985213,8093495286,0,544569993,residential,False,True,40.364,,,"LINESTRING (116.3410667 39.9913893, 116.3410641 39.9910263)",
5263985213,5920349972,0,544569993,residential,False,False,113.694,,,"LINESTRING (116.3410667 39.9913893, 116.341058 39.9916006, 116.3421166 39.9916086)",
5263985215,5263985210,0,544569993,residential,False,False,37.152,,,"LINESTRING (116.3411028 39.9900875, 116.3410913 39.9904215)",
5263985215,5263985208,0,544569993,residential,False,True,40.834,,,"LINESTRING (116.3411028 39.9900875, 116.3411155 39.9897204)",
5263985215,5263985216,0,544569994,residential,False,False,145.275,,,"LINESTRING (116.3411028 39.9900875, 116.3393977 39.9900699)",
5263985216,5263985217,0,544569994,residential,False,False,79.781,,,"LINESTRING (116.3393977 39.9900699, 116.339367 39.990787)",
5263985216,5263985215,0,544569994,residential,False,True,145.275,,,"LINESTRING (116.3393977 39.9900699, 116.3411028 39.9900875)",
5263985216,5263985218,0,544569995,service,False,False,43.064,,,"LINESTRING (116.3393977 39.9900699, 116.3394169 39.9896829)",
5263985217,5263985216,0,544569994,residential,False,True,79.781,,,"LINESTRING (116.339367 39.990787, 116.3393977 39.9900699)",
5263985217,5263985211,0,627111142,residential,False,False,7.407,,,"LINESTRING (116.339367 39.990787, 116.3392801 39.9907849)",
5263985217,9620074881,0,627111142,residential,False,True,66.919,,,"LINESTRING (116.339367 39.990787, 116.3401521 39.9908065)",
5263985218,6163185313,0,244249229,residential,False,False,128.431,主马路,no,"LINESTRING (116.3394169 39.9896829, 116.3409238 39.9897162)",
5263985218,6163185320,0,244249229,residential,False,True,16.722,主马路,no,"LINESTRING (116.3394169 39.9896829, 116.3392207 39.9896786)",
5263985218,5263985216,0,544569995,service,False,True,43.064,,,"LINESTRING (116.3394169 39.9896829, 116.3393977 39.9900699)",
5263985923,6163158424,0,29813003,residential,False,False,26.606,,,"LINESTRING (116.3372511 39.9907411, 116.3372363 39.9909801)",
5263985923,6163158426,0,29813003,residential,False,True,24.78,,,"LINESTRING (116.3372511 39.9907411, 116.3372649 39.9905185)",
5263985923,5263985924,0,544569997,residential,False,True,111.535,,,"LINESTRING (116.3372511 39.9907411, 116.3385598 39.9907693)",
5263985924,5263985923,0,544569997,residential,False,False,111.535,,,"LINESTRING (116.3385598 39.9907693, 116.3372511 39.9907411)",
5263985924,5263985211,0,544569997,residential,False,True,61.388,,,"LINESTRING (116.3385598 39.9907693, 116.3392801 39.9907849)",
5263985924,6163158425,0,544569998,residential,False,False,27.698,,,"LINESTRING (116.3385598 39.9907693, 116.3385308 39.9910174)",
5263985924,6163158427,0,544569998,residential,False,True,24.717,,,"LINESTRING (116.3385598 39.9907693, 116.3386004 39.9905492)",
5263985925,6163158418,0,544569998,residential,False,True,16.958,,,"LINESTRING (116.3384759 39.9914882, 116.3384936 39.9913363)",
5263985926,6163158425,0,658096485,residential,False,False,16.556,,,"LINESTRING (116.3383366 39.9910118, 116.3385308 39.9910174)",
5263985926,6163158424,0,658096485,residential,False,True,93.803,,,"LINESTRING (116.3383366 39.9910118, 116.3372363 39.9909801)",
5263985926,5263985928,0,544569999,footway,False,False,20.418,,,"LINESTRING (116.3383366 39.9910118, 116.3382635 39.9910784, 116.3381421 39.9911045)",
5263985928,5263985930,0,544569999,footway,False,False,31.759999999999998,,,"LINESTRING (116.3381421 39.9911045, 116.3379563 39.99109, 116.3377704 39.9910958)",
5263985928,5263985926,0,544569999,footway,False,True,20.418,,,"LINESTRING (116.3381421 39.9911045, 116.3382635 39.9910784, 116.3383366 39.9910118)",
5263985928,5263985936,0,544570000,footway,False,False,30.667,,,"LINESTRING (116.3381421 39.9911045, 116.3382711 39.9911917, 116.3383621 39.9912499, 116.3383846 39.9913002)",
5263985930,5263985933,0,544569999,footway,False,False,37.167,,,"LINESTRING (116.3377704 39.9910958, 116.337649 39.9911714, 116.3375314 39.9912295, 116.3374058 39.9912767)",
5263985930,5263985928,0,544569999,footway,False,True,31.759999999999998,,,"LINESTRING (116.3377704 39.9910958, 116.3379563 39.99109, 116.3381421 39.9911045)",
5263985930,5263985938,0,544570001,footway,False,False,26.547,,,"LINESTRING (116.3377704 39.9910958, 116.3376263 39.9910726, 116.337502 39.9909902)",
5263985933,5263985930,0,544569999,footway,False,True,37.167,,,"LINESTRING (116.3374058 39.9912767, 116.3375314 39.9912295, 116.337649 39.9911714, 116.3377704 39.9910958)",
5263985936,5263985928,0,544570000,footway,False,True,30.667,,,"LINESTRING (116.3383846 39.9913002, 116.3383621 39.9912499, 116.3382711 39.9911917, 116.3381421 39.9911045)",
5263985938,5263985930,0,544570001,footway,False,True,26.547,,,"LINESTRING (116.337502 39.9909902, 116.3376263 39.9910726, 116.3377704 39.9910958)",
5771614601,328538095,0,136728280,residential,False,True,120.134,,,"LINESTRING (116.3422055 39.9886636, 116.342163 39.9897435)",
5771614601,5771614602,0,609319219,residential,False,False,304.654,,,"LINESTRING (116.3422055 39.9886636, 116.3386311 39.9885821)",
5771614602,5771614601,0,609319219,residential,False,True,304.654,,,"LINESTRING (116.3386311 39.9885821, 116.3422055 39.9886636)",
5771614602,6482076818,0,609319221,path,False,True,67.787,,,"LINESTRING (116.3386311 39.9885821, 116.3381835 39.9885763, 116.3378356 39.9885698)",
