element_type,osmid,geometry,nodes,building,leisure,name,source,addr:city,addr:district,addr:postcode,addr:province,addr:street,amenity,building:levels,name:en,fast_food,tourism,operator,layer,ways,type
way,826336731,"POLYGON ((112.9448021 28.1848731, 112.9447123 28.1848734, 112.9443458 28.1848351, 112.9439705 28.1848451, 112.9439705 28.184617, 112.9447963 28.1845662, 112.9447982 28.1846843, 112.9448021 28.1848731))","[7715240946, 7715240947, 9066188893, 7715240948, 3444500166, 3444500167, 7715240949, 7715240946]",yes,,湖南大学机器人学院,,,,,,,,3,,,,,,,
way,826336732,"POLYGON ((112.9446528 28.1850758, 112.944778 28.1850758, 112.9447742 28.1855573, 112.9446717 28.1855606, 112.9446452 28.1854302, 112.9446528 28.1850758))","[7715240950, 7715240951, 7715240952, 7715240953, 7715240954, 7715240950]",yes,,B2栋,,,,,,,,2,,,,,,,
way,826336733,"POLYGON ((112.945037 28.1853412, 112.9450289 28.1852194, 112.9454314 28.1852176, 112.9454354 28.1853412, 112.945037 28.1853412))","[7715240955, 7715240956, 7715240957, 7715240958, 7715240955]",residential,,凤凰山庄1栋,,,,,,,,7,,,,,,,
way,826336734,"POLYGON ((112.9454235 28.1855743, 112.9454335 28.1854508, 112.9450706 28.1854596, 112.9450706 28.1855809, 112.9454235 28.1855743))","[7715240959, 7715240960, 7715240961, 7715240962, 7715240959]",residential,,凤凰山庄2栋,,,,,,,,7,,,,,,,
way,826336735,"POLYGON ((112.9447124 28.1834945, 112.9448344 28.1834997, 112.9448324 28.1834246, 112.9449675 28.1834149, 112.9449679 28.1831768, 112.9447164 28.1831749, 112.9447124 28.1834945))","[7715240963, 7715240964, 7715240965, 7715240966, 7715240967, 7715240968, 7715240963]",yes,,D1栋,,,,,,,,2,,,,,,,
way,826336736,"POLYGON ((112.9450986 28.1833642, 112.9452392 28.1833768, 112.9452947 28.183032, 112.945141 28.183018, 112.9450986 28.1833642))","[7715240969, 7715240970, 7715240971, 7715240972, 7715240969]",yes,,D4栋,,,,,,,,2,,,,,,,
way,826336740,"POLYGON ((112.9447428 28.1859307, 112.944918 28.1859881, 112.9449706 28.1859131, 112.9450732 28.1859153, 112.9450957 28.1858469, 112.9450456 28.1858249, 112.9451182 28.1856219, 112.9449681 28.18558, 112.9448855 28.1855624, 112.9447428 28.1859307))","[7715264697, 7715264698, 7715264699, 7715264700, 7715264701, 7715264702, 7715264703, 7715264704, 7715264705, 7715264697]",yes,,机器人研究院,,,,,,,,3,,,,,,,
way,826336741,"POLYGON ((112.9441623 28.1872306, 112.9441953 28.1872248, 112.9442531 28.187024, 112.9442184 28.1869948, 112.9441785 28.1869582, 112.9440896 28.1870822, 112.9441623 28.1872306))","[7715264706, 7715264707, 7715264708, 7715264709, 7715264710, 7715264711, 7715264706]",yes,,星巴克,,,,,,,,1,,,,,,,
way,826336742,"POLYGON ((112.9448469 28.1847132, 112.9450685 28.1846792, 112.9450868 28.1844427, 112.9448754 28.1844929, 112.9448428 28.1845394, 112.9448469 28.1847132))","[7715264712, 7715264713, 7715264714, 7715264715, 7715264716, 7715264712]",yes,,方叔章公馆,,,,,,,,2,,,,,,,
way,826346233,"POLYGON ((112.9451413 28.1842055, 112.9451758 28.1839744, 112.9450457 28.18372, 112.9449924 28.1835806, 112.9449924 28.183491, 112.9448938 28.183491, 112.9449129 28.1836306, 112.9450068 28.1837867, 112.9450618 28.18388, 112.9450272 28.1841965, 112.9451413 28.1842055))","[7715323321, 7715323322, 7715323323, 7715323324, 7715323325, 7715323326, 7715323327, 7715323328, 7715323329, 7715323330, 7715323321]",yes,,D2栋,,,,,,,,,,,,,,,
