u,v,key,osmid,highway,oneway,reversed,length,lanes,name,maxspeed,geometry,service
3464569152,9441043055,0,339271956,living_street,False,False,41.15,,,,"LINESTRING (112.9385811 28.1819658, 112.9390005 28.1819827)",
3464569152,3464569153,0,339271956,living_street,False,True,29.294,,,,"LINESTRING (112.9385811 28.1819658, 112.9385268 28.1819503, 112.9385314 28.1817372)",
3464569153,6050997046,0,339271954,footway,False,False,14.634,,,,"LINESTRING (112.9385314 28.1817372, 112.9386806 28.1817422)",
3464569153,3464569157,0,339271956,living_street,False,True,32.116,,,,"LINESTRING (112.9385314 28.1817372, 112.9385576 28.1814493)",
3464569153,3464569152,0,339271956,living_street,False,False,29.294,,,,"LINESTRING (112.9385314 28.1817372, 112.9385268 28.1819503, 112.9385811 28.1819658)",
3464569155,6050997047,0,339271953,footway,False,False,9.097,,,,"LINESTRING (112.9388013 28.1816754, 112.9387497 28.1817434)",
3464569155,6050997047,1,339271954,footway,False,True,15.036,,,,"LINESTRING (112.9388013 28.1816754, 112.9388239 28.1817423, 112.9387497 28.1817434)",
3464569155,9441043056,0,339271953,footway,False,True,30.034999999999997,,,,"LINESTRING (112.9388013 28.1816754, 112.9388927 28.1815548, 112.9390336 28.18154)",
3464569156,3464569152,0,339271953,footway,False,False,21.839,,,,"LINESTRING (112.9387049 28.1818025, 112.9385811 28.1819658)",
3464569156,6050997047,0,339271953,footway,False,True,7.904,,,,"LINESTRING (112.9387049 28.1818025, 112.9387497 28.1817434)",
3464569156,6050997046,0,339271955,footway,False,False,7.116,,,,"LINESTRING (112.9387049 28.1818025, 112.9386806 28.1817422)",
3464569157,6050997046,0,339271955,footway,False,True,34.729,,,,"LINESTRING (112.9385576 28.1814493, 112.9386806 28.1817422)",
3464569157,3464569153,0,339271956,living_street,False,False,32.116,,,,"LINESTRING (112.9385576 28.1814493, 112.9385314 28.1817372)",
3464569157,3626960633,0,357450939,living_street,False,False,77.299,,,,"LINESTRING (112.9385576 28.1814493, 112.937769 28.1814414)",
3464569157,9441043052,0,357450939,living_street,False,True,47.364,,,,"LINESTRING (112.9385576 28.1814493, 112.9390408 28.1814438)",
3464569162,3442442040,0,339271957,service,False,True,176.949,,,,"LINESTRING (112.9353363 28.1816444, 112.9361312 28.1813049, 112.9363345 28.1813294, 112.9367751 28.181696, 112.936733 28.1817865)",alley
3626960628,3464569137,0,337163085,living_street,False,True,31.081,,,,"LINESTRING (112.9424176 28.1811327, 112.9421005 28.181135)",
3626960628,11397564479,0,357450938,living_street,False,False,54.622,,,,"LINESTRING (112.9424176 28.1811327, 112.9424302 28.1806416)",
3626960628,3442632919,0,"[337163085, 337163086]",living_street,False,False,177.19,,,,"LINESTRING (112.9424176 28.1811327, 112.9427629 28.1811303, 112.943457 28.1811253, 112.9434012 28.1818008)",
3626960631,9441043055,0,339271956,living_street,False,True,5.867,,,,"LINESTRING (112.9390603 28.1819851, 112.9390005 28.1819827)",
3626960631,690140943,0,751872167,secondary,True,False,56.859,2,麓山南路,40,"LINESTRING (112.9390603 28.1819851, 112.939036 28.182496)",
3626960632,9441043052,0,357450939,living_street,False,False,5.979,,,,"LINESTRING (112.9391018 28.1814431, 112.9390408 28.1814438)",
3626960632,3464569150,0,751872167,secondary,True,False,10.109,2,麓山南路,40,"LINESTRING (112.9391018 28.1814431, 112.9390933 28.1815337)",
3626960633,3464569157,0,357450939,living_street,False,True,77.299,,,,"LINESTRING (112.937769 28.1814414, 112.9385576 28.1814493)",
3626960633,9441043048,0,337354541,living_street,False,False,242.327,,,,"LINESTRING (112.937769 28.1814414, 112.9377685 28.1813977, 112.9377598 28.180526, 112.9391922 28.1805822)",
3626960633,3444498150,0,"[337354540, 337354541]","['footway', 'living_street']",False,True,116.80000000000001,,,,"LINESTRING (112.937769 28.1814414, 112.9377745 28.1819927, 112.9377848 28.1824917)",
3640713119,2774498645,0,"[359336577, 312552702]","['living_street', 'footway']",False,False,141.864,,,,"LINESTRING (112.9392171 28.1829153, 112.9392286 28.1834757, 112.9392321 28.1835138, 112.939294 28.1841887)",
3640713119,3130911902,0,1030935839,secondary,True,False,29.153,,麓山南路,,"LINESTRING (112.9392171 28.1829153, 112.9391415 28.1829033, 112.9390687 28.1828813, 112.9390034 28.1828407, 112.9389681 28.1827939)",
3933408820,2760610629,0,390178154,living_street,False,True,73.358,,,,"LINESTRING (112.9454557 28.1863306, 112.9447341 28.1861554)",
3933408820,3933454230,0,390182609,footway,False,False,23.569,,,,"LINESTRING (112.9454557 28.1863306, 112.9456459 28.1862009)",
3933454230,3933408820,0,390182609,footway,False,True,23.569,,,,"LINESTRING (112.9456459 28.1862009, 112.9454557 28.1863306)",
3933454230,3933733947,0,390182609,footway,False,False,68.182,,,,"LINESTRING (112.9456459 28.1862009, 112.9455892 28.1858266, 112.9457073 28.1856153)",
3933454234,3933454236,0,390182609,footway,False,False,49.772999999999996,,,,"LINESTRING (112.9459324 28.1848787, 112.9460102 28.1848102, 112.9460397 28.1847251, 112.9459901 28.1845808, 112.9458922 28.1845111)",
3933454234,3933454236,1,390211892,footway,False,False,46.879,,,,"LINESTRING (112.9459324 28.1848787, 112.9458412 28.1848113, 112.9458158 28.1847215, 112.9458319 28.1846151, 112.9458922 28.1845111)",
3933454234,3933733947,0,390182609,footway,False,True,96.52700000000002,,,,"LINESTRING (112.9459324 28.1848787, 112.9460016 28.1853356, 112.9459785 28.1854335, 112.9459076 28.1855053, 112.9458016 28.1855396, 112.9457073 28.1856153)",
3933454236,3933454237,0,390182609,footway,False,False,64.491,,,,"LINESTRING (112.9458922 28.1845111, 112.9458634 28.1841463, 112.945796 28.1839404)",
3933454236,3933454234,0,390182609,footway,False,True,49.772999999999996,,,,"LINESTRING (112.9458922 28.1845111, 112.9459901 28.1845808, 112.9460397 28.1847251, 112.9460102 28.1848102, 112.9459324 28.1848787)",
3933454236,3933454234,1,390211892,footway,False,True,46.879,,,,"LINESTRING (112.9458922 28.1845111, 112.9458319 28.1846151, 112.9458158 28.1847215, 112.9458412 28.1848113, 112.9459324 28.1848787)",
3933454237,3933454236,0,390182609,footway,False,True,64.491,,,,"LINESTRING (112.945796 28.1839404, 112.9458634 28.1841463, 112.9458922 28.1845111)",
3933733943,3933733948,0,390211658,living_street,False,False,19.619,,,,"LINESTRING (112.9454642 28.1856003, 112.9454681 28.1854239)",
