element_type,osmid,amenity,parking,geometry,maxstay,maxheight,layer,name,access,golf_cart,motor_vehicle,surface,nodes,fee:conditional,note,ref,building,capacity,source,fee,parking:orientation,authentication:app,payment:cash,payment:credit_cards,addr:city,addr:housenumber,addr:state,addr:street,building:levels,loc_name,maxspeed,paloalto_ca:id,roof:levels,location,ways,type
way,109915390,parking,,"POLYGON ((-122.1663894 37.4223664, -122.1662856 37.422222, -122.1666936 37.4220368, -122.1667975 37.4221811, -122.1663894 37.4223664))",,,,,,,,,"[1257070636, 1257070770, 1257070673, 1257070653, 1257070636]",,,,,,,,,,,,,,,,,,,,,,,
way,130097057,parking,surface,"POLYGON ((-122.1706986 37.439901, -122.1707431 37.43979, -122.1708008 37.4398069, -122.1708121 37.4397825, -122.170755 37.4397661, -122.1708096 37.4397522, -122.1708622 37.4396452, -122.1707876 37.4396332, -122.1703908 37.4397517, -122.1703588 37.4398089, -122.1704955 37.4398467, -122.1705745 37.4398199, -122.1705557 37.4398647, -122.1706986 37.439901))",,,,,,,,,"[1433951103, 1433951096, 1433951097, 1433951095, 1433951094, 1433951093, 1433951083, 1433951081, 1433951092, 1433951098, 1433951100, 1433951099, 1433951102, 1433951103]",,,,,,,,,,,,,,,,,,,,,,,
way,164139677,parking,,"POLYGON ((-122.1757415 37.4372862, -122.1754572 37.4373544, -122.1744605 37.4371416, -122.174615 37.4366516, -122.1756986 37.4368773, -122.1757415 37.4372862))",,,,,,,,,"[1758054004, 1758054018, 1758054030, 1758054071, 1758054070, 1758054004]",,,,,,,,,,,,,,,,,,,,,,,
way,166769922,parking,surface,"POLYGON ((-122.1730752 37.4288047, -122.1731576 37.4285573, -122.1730293 37.4285304, -122.1729469 37.4287778, -122.1730752 37.4288047))",,,,,,,,,"[1782081134, 1782081131, 1782081128, 1782081133, 1782081134]",,,,,8,,,,,,,,,,,,,,,,,,
way,182326202,parking,surface,"POLYGON ((-122.164747 37.4287584, -122.1649705 37.4280867, -122.1647518 37.4280408, -122.1646786 37.4282606, -122.1648102 37.4282882, -122.1646598 37.4287401, -122.164747 37.4287584))",,,,,,,,,"[1926782719, 1926782716, 1926782714, 1926782717, 1926782718, 1926782715, 1926782719]",,,,,,,,,,,,,,,,,,,,,,,
way,211779021,parking,surface,"POLYGON ((-122.1776105 37.4277127, -122.1766402 37.4275107, -122.1767384 37.4272132, -122.177875 37.4274499, -122.1779844 37.4277961, -122.1779311 37.427958, -122.1775553 37.4278799, -122.1776105 37.4277127))",,,,,,,,,"[2217384966, 2217384979, 2217384950, 2217384968, 8678167539, 8678167538, 8678167537, 2217384966]",,,,,,,,,,,,,,,,,,,,,,,
way,232805755,parking,surface,"POLYGON ((-122.1761488 37.4278646, -122.1757153 37.4277807, -122.175773 37.4275927, -122.1762065 37.4276766, -122.1761488 37.4278646))",,,,,private,,,,"[2411240669, 2411240657, 2411240632, 2411240648, 2411240669]",,,,,,https://campus-map.stanford.edu/#,,,,,,,,,,,,,,,,,
way,232841895,parking,multi-storey,"POLYGON ((-122.177055 37.428362, -122.177045 37.428383, -122.176371 37.428241, -122.176352 37.428231, -122.176344 37.428218, -122.1764229 37.4279664, -122.176486 37.427765, -122.176504 37.427771, -122.176523 37.427767, -122.176537 37.427753, -122.176537 37.427739, -122.177129 37.427864, -122.177146 37.427892, -122.177141 37.42792, -122.177248 37.427943, -122.177262 37.427954, -122.177269 37.42798, -122.177259 37.428006, -122.177306 37.428018, -122.177317 37.428027, -122.1772672 37.428185, -122.177232 37.428297, -122.177215 37.428304, -122.17717 37.428293, -122.177154 37.428323, -122.177129 37.428324, -122.177112 37.428372, -122.177055 37.428362))",,"8'0""",,Via Ortega Garage,private,,,,"[2411555368, 2411555373, 2411555360, 2411555359, 2411555358, 4675013242, 2411555340, 2411555342, 2411555341, 2411555338, 2411555337, 2411555345, 2411555346, 2411555347, 2411555349, 2411555350, 2411555351, 2411555354, 2411555355, 2411555356, 2572379215, 2411555363, 2411555364, 2411555362, 2411555365, 2411555366, 2411555371, 2411555368]",,,,parking,,City of Palo Alto CA 0713,,,,,,Stanford,285,CA,Panama Street,5,Parking Structure 2,10 mph,29216,0,,,
way,232841898,parking,multi-storey,"POLYGON ((-122.172564 37.433463, -122.1720051 37.4333398, -122.171897 37.433316, -122.172243 37.432281, -122.1723668 37.4323072, -122.172919 37.432424, -122.172934 37.432449, -122.172894 37.432556, -122.172957 37.432576, -122.172958 37.432577, -122.172962 37.43258, -122.172965 37.432583, -122.172968 37.432586, -122.172971 37.43259, -122.172974 37.432593, -122.172977 37.432597, -122.172979 37.432601, -122.172981 37.432605, -122.172983 37.432609, -122.172841 37.433026, -122.17284 37.433027, -122.172839 37.433027, -122.172839 37.433028, -122.172838 37.433029, -122.172837 37.433029, -122.172836 37.43303, -122.172835 37.433031, -122.172834 37.433031, -122.172833 37.433031, -122.172832 37.433032, -122.172831 37.433032, -122.17283 37.433033, -122.172829 37.433033, -122.172828 37.433033, -122.172826 37.433033, -122.172825 37.433034, -122.172824 37.433034, -122.172823 37.433034, -122.172822 37.433034, -122.172784 37.433026, -122.1727795 37.4330394, -122.172777 37.433047, -122.172823 37.433057, -122.172828 37.433068, -122.172807 37.433131, -122.172792 37.433136, -122.172753 37.43313, -122.172746 37.433149, -122.172747 37.433149, -122.172749 37.43315, -122.172751 37.433151, -122.172753 37.433152, -122.172755 37.433154, -122.172757 37.433155, -122.172759 37.433156, -122.17276 37.433158, -122.172762 37.433159, -122.172763 37.433161, -122.172765 37.433162, -122.172708 37.433326, -122.172707 37.433327, -122.172706 37.433328, -122.172705 37.43333, -122.172704 37.433331, -122.172703 37.433332, -122.172701 37.433333, -122.1727 37.433334, -122.172699 37.433335, -122.172697 37.433336, -122.172696 37.433337, -122.172694 37.433338, -122.172692 37.433339, -122.172691 37.433339, -122.172689 37.43334, -122.172687 37.43334, -122.172686 37.433341, -122.172684 37.433341, -122.172682 37.433342, -122.17268 37.433342, -122.172678 37.433342, -122.172676 37.433342, -122.172674 37.433342, -122.172673 37.433342, -122.172671 37.433342, -122.172669 37.433342, -122.172667 37.433341, -122.172665 37.433341, -122.172663 37.433341, -122.172663 37.43334, -122.172662 37.43334, -122.172661 37.433339, -122.17266 37.433339, -122.172659 37.433339, -122.172659 37.433338, -122.172658 37.433338, -122.172657 37.433338, -122.172656 37.433338, -122.172655 37.433338, -122.172654 37.433338, -122.172653 37.433338, -122.172652 37.433338, -122.172651 37.433338, -122.17265 37.433338, -122.172649 37.433338, -122.172648 37.433338, -122.172647 37.433338, -122.172647 37.433339, -122.172646 37.433339, -122.172645 37.433339, -122.172644 37.433339, -122.172643 37.43334, -122.172642 37.433341, -122.172641 37.433341, -122.172641 37.433342, -122.17264 37.433342, -122.17264 37.433343, -122.172639 37.433343, -122.172639 37.433344, -122.172638 37.433344, -122.172638 37.433345, -122.172637 37.433346, -122.172602 37.433444, -122.172564 37.433463))",,,,Roth Way Garage,,,,,"[2411556260, 314070856, 2411556186, 2411556035, 3316594109, 2411556040, 2411556043, 2411556054, 2411556055, 2411556056, 2411556057, 2411556058, 2411556061, 2411556062, 2411556063, 2411556064, 2411556067, 2411556069, 2411556071, 2411556118, 2411556120, 2411556119, 2411556121, 2411556123, 2411556122, 2411556124, 2411556127, 2411556126, 2411556125, 2411556129, 2411556128, 2411556133, 2411556132, 2411556131, 2411556130, 2411556137, 2411556136, 2411556135, 2411556134, 2411556117, 6925108722, 2411556138, 2411556139, 2411556142, 2411556154, 2411556155, 2411556153, 2411556160, 2411556161, 2411556162, 2411556163, 2411556164, 2411556166, 2411556167, 2411556170, 2411556171, 2411556172, 2411556173, 2411556174, 2411556188, 2411556189, 2411556190, 2411556191, 2411556192, 2411556193, 2411556194, 2411556195, 2411556196, 2411556197, 2411556199, 2411556213, 2411556223, 2411556222, 2411556228, 2411556227, 2411556235, 2411556234, 2411556245, 2411556244, 2411556243, 2411556242, 2411556241, 2411556240, 2411556239, 2411556238, 2411556233, 2411556232, 2411556231, 2411556226, 2411556225, 2411556221, 2411556220, 2411556219, 2411556212, 2411556211, 2411556210, 2411556209, 2411556208, 2411556207, 2411556206, 2411556205, 2411556204, 2411556203, 2411556202, 2411556201, 2411556200, 2411556218, 2411556217, 2411556216, 2411556215, 2411556224, 2411556230, 2411556229, 2411556237, 2411556236, 2411556247, 2411556246, 2411556249, 2411556248, 2411556250, 2411556251, 2411556258, 2411556260]",,,,parking,,City of Palo Alto CA 0713,,,,,,Stanford,345,,Campus Drive,,,,29687,,,,
way,324983015,parking,underground,"POLYGON ((-122.1789238 37.4341999, -122.1790848 37.4337186, -122.1776364 37.4334033, -122.1774647 37.4338889, -122.1789238 37.4341999))",,,-1,Pasteur Visitor Garage A,,,,,"[3316594111, 3316594112, 3316594113, 3316594114, 3316594111]",,,,,,,,,,,,,,,,,,,,,,,
